,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.018557926396282988,,,,,,,,,,,
BMP1,0.026035268859983227,0.019587234580936943,0.008680830242091306,-0.053497076646691025,-0.028980248989906428,-0.07692764989358947,-0.04007245082397243,-0.016603456470145012,-0.033472532835544806,-0.19527746551913705,0.00128133676280261,0.012318279184863631,-0.058810363816945765,0.00707201804875564,-0.06117086347761806,-0.0016254586620107051,0.06783477306163958
NDP,0.10664433523383293,0.026281479077987988,-0.05579285163708764,0.1113164658028691,0.037739415424407535,-0.013591777366064648,0.005159857488875613,-0.01626416294108221,-0.05438592807234806,-0.05809418085667493,0.01539628445281544,0.052531277373286264,0.08937656728745909,-0.05202711333528685,-0.009709484215447388,0.11278404916670538,0.003518512924192219
TNFSF18,0.002004930057154556,0.019716969324921764,,,-0.0038120362286143397,-0.027557963574262927,0.00887568988688798,,,,-0.026700406971724412,,,,0.06822915188733958,0.007573330216011714,
IL36G,,,,,,,,,,-0.031947056623460396,,,,,,,
RTN4,-0.013169076920651215,0.036589496178767895,-0.026683040332797326,0.11932833482809715,0.11090213656641539,0.15468288998668103,0.12937738952483127,0.057765761797826214,0.22545863571242633,0.28231670396583247,0.04962743454846032,-0.00141842380429914,-0.041254499248669974,0.09352282219561976,0.0077862892516091025,0.14227486920820293,0.030858347560477725
HEBP1,-0.013957787816007107,-0.02306162492058891,-0.039783575626338614,-0.06255494003267353,-0.031540497484440405,-0.09116327831125548,0.03963441764428559,0.0079770164569044,-0.13926709941357424,-0.05989074394761328,-0.05613971082256855,0.04398363752957248,0.0450373847409462,-0.03770718866019387,-0.02362635786231213,0.015872848107688672,-0.04576800185150949
WNT7B,0.05512238115740821,0.037535260918762185,0.012121399392587218,0.03542270965239445,-0.0650953136715627,0.0840158451254142,-0.02912018527237728,-0.013854879699920598,,0.0042878288414406685,-0.029394541971702583,0.04630432122691836,0.06027016540260474,-0.00698295417073818,0.07387570385215882,0.10887942563713911,0.10507332430365487
PTMA,0.06654496093032819,0.030220052242344815,-0.0549752194395271,-0.07415804950132607,-0.11394571297858579,0.03833596499651379,0.06277158737864982,-0.10496537620655935,-0.29670244293903075,-0.25600718154623475,0.13255744108560674,-0.05396850589042773,-0.0485805732172054,-0.016935322129525313,-0.0012535547587834391,-0.12686167243751575,-0.18796608536594547
CEACAM1,0.03189539954793241,-0.013691698242861358,0.09587748346404223,0.03821458562197202,,-0.014109098930790705,0.04300551392307205,,,,,0.023874112433110915,0.00856777940665066,0.013590234699559176,,,
PDAP1,0.06751672273476526,0.002911084497443512,-0.013880472315542234,-0.06946512991252225,-0.0864646475110435,-0.08926221666905403,-0.0004432578565968813,-0.04854294631571181,-0.019240010323554563,-0.08486676553046203,-0.05744724294219404,-0.05951441432016013,-0.11217385918208439,-0.004165058035319713,0.07535053855145013,-0.04195820892047134,0.08766042835065212
QDPR,-0.030143012917302325,0.008849854959027383,0.02689291120632921,0.07562033363809272,0.06320666471235933,0.06427393214131738,0.09409297672971771,-0.013172335290014598,-0.2466329311827398,0.07672030719114833,0.041320446248000714,0.010987058278230936,0.09207715035070772,-0.015357860262514131,-0.003924089599903527,0.12355938220647358,-0.00775945662155114
POMC,0.01926095890415926,0.0025920629611411645,0.009782761121849977,0.09587875917238205,0.04205782355953388,0.008630584469983422,-0.015071148457549395,0.03193156784205531,-0.0847915305382653,0.04295159429187781,-0.0087054241844643,-0.013145148700796926,0.03864811014464174,-0.0039539142487159985,,-0.028578461042436366,-0.01975944578411693
CCL18,-0.03639272381955444,,,,,,,,-0.10385803537137135,,,-0.058180251768999165,-0.029642286509254177,-0.058051375742421835,,,
CCL17,,,-0.004215119654622735,,,,0.01342508039492807,-0.022569934418959044,,-0.029184543202161094,,-0.0061335970650057275,-0.00691735909036234,,,,
VEGFD,0.0022118737625748215,-0.019610610776159377,-0.0213290817574224,-0.023156921218632238,,-0.031089504761814775,-0.038095190364905954,0.0441608749551622,0.10336610818698769,-0.03127797889244084,,,-0.004163934597474082,,,,
TNFSF13,0.021311226261151322,,-0.013205444312208691,,-0.03182390013090271,,,,,,,0.050963877637388376,0.12852574723515214,0.01946172053286381,,0.037940834269512794,
WNT5A,0.0387791561739252,0.03851738874308858,-8.286152971379308e-05,-0.050778060291371704,-0.08604046726288836,-0.1081809055581686,-0.02393892636268453,0.0022855099557850906,0.09424214547221309,-0.051731404521267586,0.035482414595586674,0.006376426229566249,0.04066913320721774,0.007840989365988055,0.05309122454818151,-0.01891660481609399,-0.013191428813788025
CXCL8,-0.021034159613240847,0.1377336275757156,0.08150061182788063,-0.023827508058828946,0.04692729397520479,-0.061817916252255356,-0.04252839822690577,-0.03965705914562027,-0.037831330799056685,-0.07153355123738116,,-0.14128522070342656,-0.20699710090212992,-0.04908849300534676,0.031624680535244865,-0.1458914053768265,-0.034078840283646356
GRN,0.008813462827864818,-0.0009747492498900004,0.03481757309718078,-0.09362334774766469,-0.06992951062373949,-0.10318645857479176,-0.03585083829981995,-0.034243076005536284,-0.19741026489924102,0.01249890089121871,-0.11543853144202654,0.03707127263631645,-0.04273805204591038,-0.01779354647321923,0.005611920972691362,0.03726836890526329,-0.006428047426640134
MIA,-0.015580437825068018,-0.017440305798934453,0.031137522122382338,-0.02250046426197894,0.06642410323430226,-0.020075500117081885,-0.04886579466646746,-0.008735504276342407,,-0.008097403266466486,0.007473841236448572,0.17037413251736627,0.21492028842115088,0.023295688561713865,,-0.06565502949727578,
COL4A4,-0.009278783358097427,0.038165631317071055,0.006779748990523336,-0.10754166727968027,-0.021019808302414733,-0.01828745899834851,-0.037330562945093806,0.013428361214670068,,-0.04155311592224455,,0.086058373688669,0.049618061856009095,0.005529448585766847,,-0.04797110956169722,
TAC1,0.056399708268416233,-0.01855907245519755,0.02359621134186753,0.1350429883797,0.1845337332596886,0.12949272494230138,0.19281231261765233,0.03526625917427514,0.2992548724285416,0.2869761211829892,,,,-0.008669819366584473,0.03560549562045531,0.18098364355747812,0.3492484054808003
RARRES2,0.020234832046766477,-0.022320147181556893,-0.03580192911424024,-0.10341343774656525,-0.07065759159291718,-0.14204631272157092,0.106637993423717,-0.05764128180358565,-0.04932793909520934,-0.17082170237563735,-0.06279775275612233,-0.009888455427958133,-0.08963037198584409,0.03388113296946858,-0.031001058850474682,-0.07816663614170863,0.08839152849371965
FGF7,,-0.022134200418382335,-0.01724696135825131,0.10900384579760504,0.010843815445525014,-0.02631024577296309,-0.03013399368416929,0.020868021276601985,0.01747076140693539,-0.0144718607272721,0.07559542213956619,-0.018769774577684,0.02709443036457628,-0.014782126077683803,0.01280385501769536,-0.023066788997353795,-0.020936455077839054
EFNA2,,,,,,,,,,,,,0.04031915292266532,,,,
HBEGF,0.04754099705668386,0.0810292375462481,-0.005230098675679569,-0.09214228362725686,-0.019068542835432287,-0.010106352215600786,-0.1736723774593648,-0.005692097736123431,-0.14935252607780208,-0.07921179965366984,-0.029148746144362372,0.027957487624160365,0.006266749840536059,0.033477758161270875,-0.0488179339873744,-0.09309137645204872,0.07875161955080875
CSF3,,,-0.010332550098295479,0.04611443484635227,,-0.019347779630376125,,,,,,-0.08084417012965622,-0.12649975721185,-0.06022634823608979,-0.034329544248125295,-0.058079021376862494,
PI3,-0.0382866798392477,,0.044089175535263446,-0.02236912949892636,,-0.021785855226853994,,,,,,-0.14112841084994465,-0.22313943918078097,-0.012310876365740202,,-0.12267724408006636,
PCSK1N,0.06686047254605534,0.040002753593943174,-0.033670240057429565,-0.0056742544564239075,0.04766937133985821,0.09811431803752434,-0.015657591291923185,0.04424097342961183,0.3119407450595586,0.2539175387367497,-0.10804287079004508,0.09404317308198612,0.03340074154085314,0.1822419819246698,0.13071847737892,0.15398391617225252,0.22200380681544657
NTS,,,,-0.05342009206569117,0.04694176795896211,-0.023780748536549767,-0.042645828764825415,-0.07317710108172638,-0.049267191959679,,,-0.04712631205716719,0.026919129999352243,0.04389733804043358,,,
SFRP1,0.06341358879054422,-0.034100257206679245,0.0006124356650424164,0.0022370752373042815,0.020335610265028968,-0.015368978276495611,-0.04355426147057628,0.024827167368597813,-0.08402790236736993,0.017244382906851725,-0.0349606724537295,0.08483864733008215,0.09425938433242122,0.007485987302216449,0.09554304731398743,0.015322945529904318,0.03381232483648793
CXCL13,,0.005529215176421973,,-0.026180611910225814,,,,,,,,-0.039695901509101836,-0.014169011524789214,0.02800162317888014,,-0.04517356323887879,
MICA,0.03466477938042096,0.005887907990866844,0.04525918431799813,-0.04206230721581942,0.04735680568203877,0.01568050881133263,-0.03655615359723289,0.043679918669020205,-0.029795957680370307,-0.10786159528115803,0.006237656380499159,0.014025116622915404,0.012553201954465503,0.06331786791469873,0.06985047806741833,-0.043186006140264965,0.017606006720225345
