,UKF251,UKF259,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk
SPTAN1,0.034746145417185334,0.036610064096018996,0.026574955510436978,-0.004715454374260139,-0.033721370824222135,0.0036283802340590643
LIPC,0.00725963266750669,-0.01601926197113682,-0.017613629218067334,-0.04365751495297497,-0.05360856918593518,
COL8A1,-0.018589264439746695,0.03055394058983295,0.038561138720530554,0.06351472871028564,0.013065799280303714,0.07709135631110177
GSTM2,0.06157045102568727,-0.03929547982376104,0.11556333347917545,-0.011692029257748232,-0.0025811906931380753,-0.018461298737984116
IL4,,,,,-0.051244675841577735,
SPX,0.010868987902026074,0.010007023923509403,-0.009751444491430871,0.004980528581713634,,0.1504868332398222
MFGE8,-0.04802976598914508,-0.01174303800222825,0.03689376829053116,0.02814861938506515,0.08978262857925576,-0.014587353841717419
TGFA,-0.05780590354954547,-0.0070917042999715674,0.010121133594394522,-0.027233474265257823,-0.042227260675010606,0.025668947392204055
SLIT2,-0.0019176008368416721,-0.030338900207243724,-0.008149758317868381,0.011718514717222897,-0.011685946498705949,0.052367753902694936
PLTP,0.03364311381380584,0.010059880982393778,0.032321031378752633,-0.013842632721724675,-0.0026162849989911597,-0.05332023350454572
APOD,0.04010366362367803,-0.0009230245681312106,0.019838324654988238,-0.08568915144737353,-0.08039153958224773,-0.011168255193867993
B2M,-0.031160285224537433,-0.002184311349802829,0.03106973458457352,0.026402792033172508,0.04242024953003406,-0.05036734466614497
OMG,0.01318014576771607,0.057589344062833794,0.004055633066536626,-0.02935899489171844,0.10044635580471456,0.03951970936652361
CXCL3,-0.019588888625609834,-0.010045890547166864,-0.013349801053905288,-0.04243073138714225,-0.01431197010533602,-0.00869399869811241
CXCL10,0.02681825313710024,0.02557431151711298,0.10655731574223697,0.10672119788118646,-0.00866396025016237,-0.017993809156799233
RSPO3,,-0.010351962483444565,0.03344060364448873,,,-0.03540564902120846
CORT,0.10737843005871468,-0.009839361656392286,-0.02789564484898119,,,-0.014038431793657187
NCAN,0.03071781369214408,-0.010663879949328933,0.04128531657423202,-0.07700168856415787,0.11467440539720485,-0.005333807361651942
PRG4,,-0.010216940543011716,0.0658878432317142,,,-0.020714565179978228
ZG16B,-0.01792672601078948,-0.011858009029348072,,,,
TGM2,-0.031061723252624195,0.010302066471550967,0.009909492722594665,0.0276847844885216,0.00633373236418004,-0.00276941033158682
VEGFC,-0.02301860654755121,-0.0182093237329477,0.02326292047638942,0.012843413015868234,0.024562529025278352,-0.0281279008913991
WNT6,0.06177216770928612,-0.014131344333511956,-0.014527088287946872,,0.003222651787104614,-0.02609105295354724
NRG4,,-0.012434484023710897,-0.019418564956194664,,,
PMCH,,-0.017229189026109294,,,,-0.01969667085437593
COL9A1,-0.032166718984340016,-0.012986911022915265,-0.02212699312163512,-0.01949109477988172,0.014460553481893566,0.04539614554756056
GDF11,0.026283176043633606,0.003440698867424026,0.0058472410135398745,-0.009780775768802846,0.00945775940447753,-0.07617632684201842
IL24,,,,,,-0.013201401922536882
SORBS1,-0.01244680111088774,-0.04345289841154322,-0.024712268971838196,0.013021620032835789,0.015097292065186986,0.027151850035930125
DLL1,0.033761549796701006,0.009006357608237587,0.015451066468911616,0.0570792863440531,0.049279621254654044,0.04814232911732159
TLN1,0.024352618329206936,0.05411473735407353,0.0473698796260373,-0.030378611718177073,0.06574465307824554,0.017540631889979768
COL2A1,,,-0.01355278882413798,,,-0.03440689181787097
SHH,,-0.010617078703462918,-0.012934682670114446,0.02145685014280511,0.03568819608382889,0.04346252743221768
PON2,-0.00035237740739979474,0.06624732609111399,0.08708962345247069,-0.025779647888124698,0.10048955911288933,0.0057122525049691526
ICAM5,0.025266208452006698,0.01919955928239621,-0.025260736562324453,,,-0.0006315628151503903
HPX,,-0.025832796859574028,-0.012793021163773025,-0.0077961816099885554,-0.11748135783014461,-0.007083490657852997
SFRP2,,-0.012091702071908263,0.0015100474457027113,-0.02661355284704105,-0.029377547712055897,-0.04120756438150247
CD70,,-0.020552453095425943,,,,0.018476312486127633
HP,,0.004718574245304848,-0.0306109943045413,-0.02444589545213796,-0.016399720769641656,-0.04561429191883828
CXCL2,-0.015390329686632783,0.020633767640624707,-0.025600845783882015,0.03380584599759809,-0.07255584802480809,0.0026836538474110726
NPPB,,-0.037820511377680145,-0.01664519921625041,,,-0.028097274244526304
CCK,-0.02529041255340913,-0.01287874936926162,-0.03147879029738419,-0.00967041853211841,,0.03544747803186079
SEMA6A,0.034294919023130394,0.05105841149222614,0.0761183607535835,0.0195716672417526,0.00987243133989094,-0.007470243033318621
IRAK4,-0.002622397908371295,0.03668232671315385,0.11151591694666521,-0.07549455003471728,-0.009311980950177216,0.03857363837702662
GSTP1,-0.08561278228933925,0.003630730253298147,0.05422074453739042,-0.029361362888430022,-0.021918011399671606,0.08339992723520949
VCAM1,0.053664874104728276,0.023124300729745192,0.09232999884561267,0.09749008405392849,0.05021769672545386,0.004385279815499106
NXPH3,-0.06328577772502622,-0.034312644169338415,0.0014078215319702997,0.05711432641591532,-0.010825340606284406,0.06600621079703303
MTMR4,0.034917152325022724,-0.03957304902930739,0.015188788812089443,0.08402156449233304,0.007411380769631914,-0.006749263838465715
LAMC2,,0.0018341083313674746,,,,-0.017337144966589047
IL10,-0.01019270608018067,-0.00255776851403992,0.05249668674590289,0.06099015773147703,-0.013901354241246658,0.01336203485508128
SEMA4D,-0.025296149233847983,-0.02343800536658301,0.023753428917194265,-0.06556458328513175,-0.03366862812779636,0.006892344391151957
TRH,,-0.0251676883171349,0.15820077923710302,-0.028498497519036256,0.014418479814906056,0.009404064207292761
SEMA6D,0.005909650910015762,0.03341689695186554,0.051455193434794225,0.022701359068297112,0.04610624347566703,0.050850668654292636
CEL,,,,,0.042840414679955745,0.05748161279966327
PDCD1LG2,0.026493235817817727,-0.008212349420894811,0.02994800974598512,0.030462149184453113,0.01935378766257292,-0.003517340026440833
SPINT1,-0.02177694549004722,-0.02958592807312489,0.0397123064739759,-0.06424770845217682,-0.04834371036490705,-0.019540360053408885
CTHRC1,0.07945330788864306,-0.04163397652417632,0.09751917779631819,0.04592267219782939,-0.05142305400176666,-0.05439569472248824
PODXL,-0.047775194273809746,-0.03822137645224398,0.016377986215239733,-0.04364684434362157,0.0430813340656761,-0.0532537006814163
JAM3,0.0022494818771077447,-0.0026987068344199255,-0.014016785411460373,-0.03443475834689416,-0.03834369006579556,0.0006694035123314141
TGFB2,-0.017026866317981736,0.008392589487612722,0.06840414648227133,-0.020182174529717007,0.04434617374647066,0.011039291879095636
COL18A1,-0.005989274950514496,-0.015233933503412195,0.05751253887508076,-0.023564901990177103,0.05232501478954755,-0.04456072990284663
NODAL,-0.015967949633634595,0.007093273644734903,-0.02288338139298621,-0.04848318761961217,0.0662570546704293,-0.016306841131265588
INHBB,-0.016342005294653145,-0.02019646159977123,0.08911585080125145,-0.04700368409164869,0.04923898046561602,0.015050653823705688
LCN1,,,,-0.001598804951301092,,-0.015399748901938029
ARF4,-0.01766985671538196,-0.008145032488259284,0.03348000756860824,0.023134850730761235,0.0031132442940006396,0.03435298896296293
CXCL14,-0.007624799984742732,0.004263460589750303,0.0003438481426774124,0.003140932294132626,-0.018853310711288526,-0.07651328893694458
LIF,0.05875742917892868,-0.003829876705466003,0.02167589706608,0.020924992181442535,0.040640329823716195,-0.04190342483477909
IL17B,,,,0.04326356737142087,-0.04848534926370833,0.008755895666240082
MMP1,,,,0.02752363009007073,0.03516575352145902,-0.025382649277867472
MATN1,,,-0.01355278713755826,,,-0.012645675736214267
ADAM28,0.015784622667130738,0.016968351898975883,0.09612355289444549,0.00013645730895212344,0.037310986917561816,-0.039076567416906856
TCN2,-0.027779787924510326,-0.04430257284645806,0.012196733700838793,0.04549090283234566,-0.013162581951898494,0.05924515393318758
THPO,,-0.007402479312369923,0.03590756860569403,,-0.06498186440574585,
CUBN,-0.011745068599208467,-0.005857298384860937,0.004918525739966511,0.10899858680924863,0.09373764926010729,-0.02424843149283915
TIMP3,-0.018116678388672255,0.04015437225011102,-0.05192248710633778,-0.048379985310877956,-0.010130657385847574,-0.02312681934339499
PIGF,-0.02389036229804386,0.03831506030422957,0.031088926096130346,0.08364791120552,0.05416170376293478,-0.012006672765775606
CRH,-0.020039734685358,0.0856397975913483,0.05378472261157482,,,-0.001534960043135286
BDNF,-0.01792672259380236,0.03378383881150989,0.028709501013841135,0.00653684084914201,-0.043986358602200855,-0.028320340264924374
CCL5,0.0031294655756881925,-0.005278919638013064,-0.018385987662539304,-0.0368104351440564,0.06428812879919926,0.016253818465004143
GAD1,-0.0218677854081551,0.00952668609804197,-0.0362051440398856,-0.021467944198248972,0.02483077630958172,0.0689091021496494
COL14A1,-0.025007060028960203,-0.025939923567763985,0.0018160703159532511,0.006909381151784197,0.06593255411226828,0.04182052770841867
HLA-A,-0.05561182551950281,-0.02129136608065349,0.0029058774370108323,0.0024021435231160043,0.0021766482163080225,-0.026513458617903527
CD5L,-0.04925620851552721,,,,,
FGF18,,-0.009514360039450324,,,,0.09173451353614433
ADM,-0.029815935401381395,-0.06563635668305785,0.00948825739487529,0.024196120416472327,0.058307098205477255,0.05332294910480498
CCL15,,,,-0.02475411504575033,,
GNAI2,-0.04282758314483694,0.021139828791587163,0.03633663593560716,-0.04965940011089161,0.0920367938052445,-0.015798843498026613
COL11A1,0.042785386231540413,-0.008740072973536439,-0.006201177978955873,0.013308576279668178,-0.02539367032466776,0.034047345541728516
NUCB2,-0.02790074745881926,0.01922122819563317,-0.025888525359121253,-0.019958688788156202,0.057455605017714254,-0.06100242585499181
CXCL1,0.0834462663682253,-0.03149724203367837,0.01919962366174538,0.058111679269691734,-0.026310789444993068,-0.03546528044562209
VCAN,0.06739556695069483,0.019307762693562817,0.07521408990826746,-0.10184424774986389,0.0009710787953790623,-0.00905742409247051
MMP7,,-0.018915194952278114,0.011646178346493952,0.009712004170934463,0.003112205434263906,-0.01532492288079338
PTPN6,0.01875954488522254,0.04454324912626889,0.06575518143246066,0.043193699141407894,0.00847180112047941,0.021543773749614737
PTGS2,-0.01918569704724896,-0.028711922282678836,0.022774020826995735,0.019610045118005157,0.11893378381601384,-0.0017930480583540867
XCL1,,-0.010351964225700814,,,,
CD58,0.03860391901916295,-0.062238371609028474,0.06934656751131105,0.074196245131876,0.08133669508527605,0.029380324655624682
TNFSF14,0.035248122105320204,-0.01901324725509761,,-0.05407944475831448,-0.023493656189574438,-0.026207568843556354
CNTN4,0.001213116015736051,-0.018604342137423867,-0.011248475442459854,0.0563091536420907,,-0.013436082921968956
NTF4,,-0.01309478140878091,,,,
INSL3,,-0.009514358173264134,,,,-0.015212285341745624
BTLA,,-0.015102177876835782,,,,
MFNG,0.0003153346704951185,0.002054224270884087,0.09446000582262877,0.018940606473275372,0.018850058015054297,0.039580825892557424
ICAM1,0.024466498462607074,-0.02109420814612677,-0.009902861874786081,0.08981319864454415,-0.04075445631690252,0.02185295300255487
PROS1,-0.0009661237800771109,0.007342395550981835,0.0030164996113067034,0.08578380823897998,-0.09210889382701941,0.05916536345190165
CLCF1,0.02191966814623297,0.006692064652401587,0.05476888370801265,0.009650220710420343,-0.0005425120005121231,0.015475861690095509
PSAP,0.029160083496421803,-0.03739660387936358,0.010608373510940709,-0.059624736164139366,-0.015344454578318276,0.026980262705405912
EFEMP1,0.08849777852293668,-0.01306840649860541,0.008232232055962387,-0.04443575416404089,-0.01801499241899886,0.06956714556380796
C1QTNF1,0.015869662548934887,-0.036881737667036237,0.013116619101800071,-0.06696884377850179,-0.137796992109755,-0.047775297459434825
ALB,0.048498980175760056,-0.01689138459301028,0.05110045538063408,-0.03138877769198217,0.07847733092884282,-0.023406734283548256
EFNA3,0.05389384717170991,0.04987468307463998,0.0004346753673607541,-0.02165676635578403,0.07758068313620387,0.03441798657919517
DRAXIN,-0.005093365679143295,0.0022791218915447723,0.033846320618186695,0.020325227191479937,0.09703646864980074,-0.0036058051124478927
RAET1L,,,,,,0.09000955384475738
NPTX2,-0.0032416367696423073,0.03250364880493684,0.02981188644871906,0.07854957587865859,-0.03357707329868418,0.023410668750223337
FGF11,0.028274301585598394,-0.05823557445130562,-0.013550132585964582,0.043690802578700255,-0.024401582345551346,0.06321698279133088
CD59,0.04706487511082181,0.05482591426599749,-0.00570720299069569,-0.06652094211876601,0.01749322090612575,-0.023355120501914347
COL9A2,0.03220477760974965,0.027833766206059655,0.05106985140498156,0.03545481534785588,-0.05805624414670553,0.005809400694101423
DLL3,0.03290835245553465,0.07418125464232146,0.03756756196032452,0.0444155618890763,-0.04748958811093703,0.019097020940641602
LIN7C,0.03984325791169558,0.010782402375661668,-0.02345070138663635,0.008777408711089176,-0.03392506441272197,-0.03179920804573586
GDF7,-0.018834020297487493,-0.01697639270543016,,,,0.01772610083643759
PSPN,-0.03393392067946608,-0.014041229757499224,-0.015646961916892754,0.0045608770826065115,0.18684224543792236,0.04976512151140024
ANGPT1,0.025521501819997617,-0.022804328484575878,0.040646488517979175,0.004344630359495781,0.08723678983863105,0.012989630901744145
PNOC,-0.039413734723992004,-0.0020837757336984028,-0.026816429584453013,,,-0.014038433320995787
L1CAM,0.0436640815719255,-0.003127856408308366,-0.022336872780743238,0.012100321863845631,0.027250332064468242,-0.028679449030590907
APOA1,-0.0013697887816883473,0.005225917977065378,0.025963598706242597,0.01793815885711987,0.023334483657255562,0.13247892951618168
PSEN1,0.037073134430284906,0.0561937059327349,0.06154088988330324,-0.04322113146455607,-0.03671640152001109,0.013668795133358188
CALM2,-0.053152329458342605,-0.022582746835789477,0.015051066306552768,0.011064059234830819,0.009036244902346908,-0.02706498670872691
CLEC2B,-0.028382185633336682,-0.029078859387574738,-0.006806325989736098,0.05051331457154914,-0.09303643896250484,0.004256173950630917
NTNG1,-0.012709309843426614,0.0010106837850761138,-0.03227868009765313,-0.0863978939637407,0.004877011181919213,0.049781958370089294
LRIG1,0.027022184929589587,0.044162167483900845,0.0598237639136583,-0.051226537515047514,0.0012074946555533112,0.016619087454714118
CPAMD8,,-0.01125378801548969,0.0014917470022323693,-0.04544210840144246,,-0.014830713606577225
GHRL,-0.02388892073383067,0.0843340538956856,0.0018127555758750838,-0.023160593794825653,0.1238940629715031,
NPY,0.02060005229181737,0.06163559228662615,0.065119889821909,-0.004698943418373663,0.06989607393327922,-0.01643875241038767
MMP2,0.00011759054113197033,0.038091040273637265,0.0862782693320262,0.09178003710368679,0.071577951419019,-0.021573224012813447
LHB,,-0.009801199472469095,,,,
PPY,,-0.01706102973052382,,,,0.08695097643028533
ALKAL2,-0.015117387059350115,-0.009658803331380934,0.04789283598988878,-0.02701558838499118,-0.04906940196633014,-0.0052011517689220695
CSF1,0.004067946462746884,-0.00017990024358946127,0.003549742335241437,0.04743204287923338,-0.0022470749096096575,-0.062089139409796615
SEMA4C,-0.006328185184372659,-0.013279015152149016,0.03789407052944045,0.0224830970836315,-0.0249035312392427,-0.03014528834613836
ICAM2,-0.004602131775895271,0.03290870134317484,-0.011617754240324097,0.07487306740983123,0.03234690419526893,-0.02717893839861922
SYTL3,0.028762371302098657,-0.029135755727054846,0.05526342046484346,0.03903298166629131,0.010861631480450924,0.010065076421444483
IL1A,0.012761236187420113,0.007459573455052505,0.024936368752055234,-0.024603835274194068,-0.10072481841934294,0.03422044156357459
HLA-G,,-0.010351963290831498,,,-0.01555122003029815,0.20385719799773044
PGF,0.017448785592523004,0.05378670684715293,-0.020744111857103634,0.00031378042568214046,0.03494915869747921,0.015066651050843656
LGALS8,0.04863185678839356,0.08437869967025187,0.0006205072859528444,-0.08472212257245319,-0.03817017412080504,0.01723505571865699
DKK3,-0.038900950259242124,0.017225795821236498,-0.029530648170780313,-0.06541129119148496,0.04781862109001774,0.018504615319570396
COL16A1,0.010769101830400288,-0.011461435032818617,0.06966115979329839,0.003455493175287821,0.05491016645123214,0.025014562077662963
TPH1,,-0.0030974478186661194,-0.016310187883986985,,-0.060139127607559476,0.054432991800260185
TNC,0.046184519624111214,-0.05906033296650775,0.03355863893825769,0.009487658040397596,0.05399633884030902,-0.0649329758397145
TNFSF9,6.83660141839267e-05,-0.016976393847361448,0.03493976109238599,,,0.016982149587424195
C4A,-0.014897507333111997,0.0867795199797424,-0.014337274739949375,,-0.06821659188870635,
CNTN2,-0.005403534639646905,0.02261511845201267,0.07793117303785542,-0.006117822388273299,-0.008145761315443242,-0.05989713739656403
LUM,0.00712315604258557,-0.04256707846865002,0.011368476525711695,0.028700447068956608,0.017081029857993327,0.015525726713927249
BTC,-0.02331195303993051,0.05020854774989659,,,,0.013545537016390243
APOC1,-0.03246683812161233,0.023876205396692482,0.01338549846040461,0.048951626231552116,-0.04072250813788541,0.02659570363289928
PKM,0.02519475629387568,-0.04913903147204219,0.014621833522638964,-0.007124750342924595,0.008130361867806983,0.024015476744137294
TNF,0.00782585816285427,-0.025652707221872864,0.017529034699336796,-0.015638421292573344,-0.0665983406268082,-0.01539974300986967
GNAS,0.02369046327930759,0.04280012598312361,0.013545334804371404,0.026241885480401267,-0.03746458978806684,-0.06091737860583293
BMP8B,-0.0063151787896731865,-0.015007680238618959,0.0217287848004962,0.10570683555054966,-0.02948240489504287,0.027557205632378984
LIPH,,0.084611788520655,,,-0.014855306964821022,-0.017169388596533157
CCL28,,,0.09023782494553818,,-0.05283089063823659,
PTPN11,-0.017678240084604783,-0.020133391972503863,0.007623321725619767,-0.07153188346319062,-0.04945769914339005,-0.03100778518136007
ADAM12,-0.017740052087444592,-0.029449826005990727,0.021006366604998754,0.023579323983504076,0.017428089911403787,0.026357655554172
EPO,,0.004539409265456219,-0.016310190279193316,,,-0.017831718941679297
EDN3,0.05645312737326471,-0.0025966643555570845,-0.016478487169626785,,,0.07427258799302731
CCL22,-0.018834019841414182,,,,,-0.016306833940730934
CCL2,-0.018527701811439572,0.0014563323190900964,0.033670387351505904,0.03580456222536923,-0.021879734254020834,-0.06606013343569637
DSCAM,0.035160432729434594,-0.006630745705800808,-0.0068122501282163435,0.08331293975407977,-0.05206271696375991,0.03471516254023741
ANG,-0.061487306158156875,-0.008818727869895206,-0.0430874849495442,-0.02278437563895132,-0.04030631063697804,0.12308910575743527
FBLN2,0.08105356643914437,0.015767254262010335,-0.04115433896301567,0.0928456208830295,-0.0722558378168818,0.09060563702702792
VTN,,-0.01929768613440495,-0.013552786142908979,0.03965898156506262,-0.00785455453996597,0.019921151353574855
VEGFA,-0.012885758950454811,-0.07445081366570107,0.02781747223457467,0.03047125935302683,-0.012603600735161272,0.022356778897937277
F10,-0.006458369009427582,,,-0.0020832851537053343,,-0.021415304757946063
SERPINA1,-0.025364213180920345,-0.017377563834985177,0.0263760298048375,0.040234354170753855,0.0748331586682149,-0.0887083690498957
VWF,-0.033590193392906094,0.03607840979753639,0.03475133642067597,-0.024458718916934935,-0.0232394844560328,0.004589314575180969
GDNF,,-0.012206967013920081,-0.01631018900900801,,,-0.03909396056491742
VASP,0.016673892504690473,-0.007440288727934726,0.036262550949217646,-0.011913118494880175,0.05023725082611221,-0.0037881819792155917
ADAM15,0.010500867405795167,-0.00974940012481109,0.012226117567076797,-0.05813163943349506,0.00974585538654207,0.0364397412346437
WNT2,,,-0.015263918725960862,,0.049431256316984584,-0.018314068565653045
CALCB,-0.02724793172840123,,,,,0.05205346724981967
OLFM2,0.004335328877270199,-0.021565173653940478,0.022720537127122888,0.09588923727895989,-0.006526997214486246,0.023116088922897137
MFAP2,-0.015832587766380708,-0.028542185925433568,0.07269234137137748,0.010062923709343983,0.1125082426363441,0.012545795711124587
HLA-C,-0.05751917246089279,-0.006806996713325304,0.03812300973947143,-0.03317336659286763,0.05619439551179203,0.029111921261845888
THBS1,-0.030857251905489342,-0.008055539273026768,-0.036586457801995216,0.0251613043054145,0.10533948055286772,-0.042237353516530914
HSPA4,0.004803839281947593,-0.02524968648139168,-0.008728904909327385,0.08611179563008921,0.0628272325211169,-0.07851950180954395
LMAN1,0.015044671400678474,0.012595534888689131,0.04177493185129946,-0.028637291263921436,0.09195756000477762,-0.04901557870719145
LYPD3,0.03988643152647051,0.09471581326002021,,0.028596934741232337,-0.06431963033754007,-0.008970763287027811
APOE,0.0582213806858114,0.021573898131953883,0.007117310266023091,-0.10155168112834574,-0.054298299851822336,-0.01932500347226692
SOSTDC1,,,0.002555407652934993,,,0.014031454185100814
ANXA1,0.015116199240947464,-0.03294075371828511,0.043774721040348887,-0.13457094940943243,-0.05729713522491227,0.05512993375179835
WNT2B,0.042361201741985315,-0.020350878484655322,0.026812435847944967,-0.028724028371709072,-0.02357367973853389,-0.012358380150626637
AMH,0.00492090529464141,-0.015289573289488637,0.02467784423544796,,,0.04675595012945096
GDF10,-0.019531461574284564,,-0.019545525321318168,0.023968442711076846,-0.0041103292254503305,0.0027652151543253677
EFNB3,-0.029028668356350852,0.03382584918063603,-0.012503608283242117,0.05674470408701182,-0.02021073262293097,0.009763546899692896
LTB,-0.028494159030733344,0.021247974518206526,0.07377126253087868,-0.030530908197137913,-0.03178334684112247,0.04233760571647107
