,UKF251,UKF259,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk
BMP1,-0.01923249192671057,0.040017452977225684,0.05871982133935962,0.010566061160312548,0.029508592124843327,-0.004523671610462162
NDP,-0.027574607593131614,0.034829995331688825,0.06167988219833604,0.07761372502494639,-0.056358869510382964,0.11125132564888543
TNFSF18,0.02252089434339118,,,0.1239784581813762,,
IL36G,,,-0.01631018900900801,,,
RTN4,0.07517853930496772,0.05666999510275234,-0.019089736296371618,-0.07452034785155993,0.029159492936194267,-0.13105709307633584
HEBP1,0.007046488620313712,-0.052447065087297,-0.009639111247146505,0.05754550166045749,0.027600586284486913,0.0433556831009925
WNT7B,-0.0057547650134154305,-0.022423415378701413,-0.01792677732990707,-0.04602324553593499,-0.06739177292540714,0.03558249912119636
PTMA,0.01755964614994357,-0.0006605529327937674,0.0009908305877178235,0.0006801542284276804,-0.008700851073019484,-0.05240849182180538
CEACAM1,-0.016377435466621265,-0.025892616067957192,,,-0.061613888740824865,0.16741727020535485
PDAP1,0.015428900776919476,0.0011817049703397163,0.0060536636456188534,-0.021146395931725837,-0.08058104355281043,-0.009091857365243062
QDPR,0.03788498229020144,0.002110190027522752,-0.014831361394945685,-0.06051942595451375,0.017444487367216446,-0.023865155885155854
POMC,0.01587532444940604,-0.024112254637149867,0.06292910425568528,0.016251489894524865,-0.04334726889560994,0.09036491423877216
CCL18,,,,,-0.052830688429083936,0.07442063761530293
CCL17,,0.06357670382698899,-0.014899820705837785,,,-0.022230504327465695
VEGFD,-0.023457390511438688,-0.016720213397451188,-0.015968599347610746,,0.03834348851937586,0.16844676291280244
TNFSF13,,-0.01035196214349223,,,,0.010808273576920015
WNT5A,0.013066357834515438,0.015026774569065841,0.00011815761963949586,-0.013755068842238207,-0.04306438050104406,-0.0617970282186894
CXCL8,-0.021964110111034343,-0.052401381474550035,-0.018932267357646228,,0.00481835151348764,0.011888952726128705
GRN,0.029455794335359445,-0.04027936761128848,0.04494676743348717,0.05091862095201347,-0.04213039240736782,-0.045825381589815646
MIA,-0.020861362679323685,0.009444302950575606,-0.02186972860850165,0.03996634506052637,-0.01754370131897886,0.10207660422947269
COL4A4,-0.005354914274071032,0.01178390689571703,-0.021214448097460394,,,-0.02465740587999654
TAC1,-0.004160307436428777,0.03811619343147097,-0.03759644183622604,,,
RARRES2,0.004796506474506226,0.0070298197105833505,0.020851451210336786,-0.024216294310108317,-0.015993182167374918,0.04706678517269069
FGF7,-0.026476002649731264,-0.003917331791467044,0.025451405641290017,0.015783894216252977,0.021772652183430847,0.06727721869472576
EFNA2,,,,,,-0.014636430732707817
HBEGF,-0.014727814213143165,0.0031161861909725606,0.006186680832318998,0.020336485182105516,0.12012044736439721,0.04664052580753774
CSF3,,-0.01788784661909202,,,,-0.028346982759439976
PI3,,-0.03086902275560002,,,0.07193528562432822,-0.05720676617433476
PCSK1N,0.04622995523196931,0.049891314465128664,-0.008425579155015071,0.011910785178865953,0.02012240099815237,-0.06555671073903532
NTS,,,,,,-0.01783171338859602
SFRP1,-0.023927559822900204,0.0735323278943438,-0.01682299906685004,-0.0042509578669681775,-0.006630562003229063,-0.06470819783907532
CXCL13,0.09365948263721859,,,,,-0.016171024666821996
MICA,0.020334052035483975,-0.014953359639458935,0.024526721750209285,0.010633836172716083,0.05176052700994846,0.08178154325851938
TG,0.03528377666710316,-0.014131343746771068,0.022125270672861963,-0.025496566968167406,0.10114275393950897,0.05226994490490207
ADA,-0.0004979524238786587,-0.0190523993027925,0.02860403985692154,0.030543257526946924,-0.04555647959403756,-0.005023121540090037
LAMC3,0.022478625551493932,-0.028375314874416246,0.022058417655961855,-0.03051437270142027,-0.0054669316525863924,-0.02656134392607203
CCL7,,-0.010216938950853445,,,,
NGF,,-0.023409616665134445,,,,-0.01443969247954165
TNFSF15,,-0.01137706122585827,,-0.03278429457295155,,
HMGB1,0.027214192046737702,0.04438681878185478,0.06126473675452781,-0.06768095857024345,0.027614410052789612,-0.10409719181895731
ITGB3BP,-0.019334354835234595,-0.04186518549857102,0.015118399623279924,0.07392214031815218,0.0006754922928173622,0.06476704017162668
AANAT,,-0.010351963248337445,0.014466384918168767,,0.0906399536487874,0.06184696726694223
RELN,-0.03070134990188701,0.014540527045340198,0.008447931533247483,,,
IL15,0.005853088578873024,-0.00028899721198480345,0.10861698367520056,0.029714648019213172,0.0685821218309861,-0.03570988232466428
UTS2,,,,0.10887354905265603,-0.027226734842773773,
BSG,-0.047906037524758825,-0.025457185605405216,-0.01214750345772421,0.028402023505722847,-0.02739243650121312,0.09764506402153328
ADAMTS3,-0.03913002646592538,-0.029815584067927264,0.08165587057757256,0.051049246738999195,-0.05426527288643208,0.03255009617042093
CD34,-0.02580925571372966,0.02074803754604473,0.05773725307160331,0.023219370181322488,-0.0033390579806741967,0.08440726139270785
CCL23,,,,0.117143080562847,,
PLAT,-0.0559797519507078,0.021915418475395278,0.046960965239305236,-0.003271762304318977,0.05504618656298497,-0.013973444643886687
NTF3,,,,,,-0.03467947220928148
LTA,-0.016377437147239497,-0.013094780745136914,-0.01853672820100954,,,
CKLF,0.004514923865562769,0.004556763190723805,0.07014667210098686,0.110983878746998,0.021427955001160327,0.00960022525852683
CD24,-0.013688342427972509,0.03539438861438199,0.012245862126658132,-0.03806015905176783,0.02499584685374926,-0.04016908477740886
HSP90AA1,-0.041844468177709475,-0.012331793555894971,-0.04932066756140633,-0.012874255180150606,-0.01679836861695104,-0.08528290616284617
BMP4,0.001509750525727182,-0.030551695441883114,-0.01579520698258247,0.027842598149107643,-0.034099839035044745,-0.04847539949418895
SCGB3A1,,,0.03817767058611833,-0.05750561716725887,0.00018572555229558297,0.016418021309561954
IGFBP4,-0.060347728648876914,0.05317619229873367,-0.013523623791217406,-0.043303099348409944,0.042194394415603784,-0.07601563681986412
RSPO4,-0.02647599762326384,0.008770305560232125,-0.025713360285824813,,,
LEFTY2,0.1244123982939034,-0.006782147441128743,0.08265105273228171,-0.02468016682477801,0.009504585025872097,0.006916820576757493
PF4,0.028125796567337345,-0.00891407794892009,,,,-0.013415302093832678
ANGPTL2,-0.035292117826655735,0.057366168670640295,0.08889435893098709,0.008399798783073845,0.06900166051717,-0.016669165903775793
LRIG2,-0.01267397015252187,-0.030691526608538716,-0.02231609446339111,0.03718111045870527,-0.025036544600621713,0.05443084124392714
ICOSLG,0.0022996144519409813,0.07596720997914547,0.0646855703048546,-0.0026332329948349858,0.0532230830219683,0.026538394620155177
WIF1,,,-0.061902714402557,,,
NPPC,,-0.01382793316767458,-0.0037257662830014623,0.03556806931435083,0.06986558938932082,-0.025382650923458542
LYZ,-0.01686545398634197,0.05671059395811585,0.09232277328287927,-0.01568766644380072,-0.03731921511766908,0.014289405017885363
EREG,,,,,,-0.004325536668591758
