,UKF251,ZH881T1,ZH916inf
BMP1,0.05124844841837372,0.005101632791197641,0.08682826187274431
NDP,0.020542168260583603,0.020099358620073414,0.00943049097989861
TNFSF18,-0.024170223553461646,,
RTN4,-0.03480964291285867,0.0011805504538924374,0.015267066683377458
HEBP1,0.06695976452513813,-0.02309461060662533,-0.029381737255603863
WNT7B,0.07103900824275201,0.006805556896481262,-0.03502335409304051
PTMA,0.09736363071500705,-0.024693928842389724,-0.05340397350400409
CEACAM1,-0.01152218358795122,-0.01603498306079712,
PDAP1,0.044570214012050684,-0.022443297648100186,0.0043908597213442166
QDPR,-0.03289936741467272,0.005366196920756576,-0.03647538475101824
POMC,-0.02047308195668996,-0.02623112584178775,0.15414332660405272
CCL18,,0.011826128162117026,
VEGFD,-0.0165032163013506,,
TNFSF13,,0.06300072741815445,
WNT5A,0.07537148128286052,0.0497995026643772,-0.08148430929495609
CXCL8,-0.015452633567758682,-0.015767745267918867,-0.02698684287468201
GRN,0.016978178507601336,0.03739669961507619,-0.08628234062119115
MIA,0.007247656574362358,0.06470942862826086,
COL4A4,0.029355207846059453,0.07524613122222501,
TAC1,0.004021466283094025,-0.027664913865814572,0.17337907837820243
RARRES2,0.046707428572447994,0.018826506503729596,-0.06349248801885798
FGF7,0.01684143187304148,0.004499686522049081,0.024909773591212193
HBEGF,0.01772620431511491,0.03321687591690045,0.040608321967585057
CSF3,,0.07429319184019392,
PI3,,0.03431070394426878,
PCSK1N,-0.05348536439438723,0.057023635720340436,0.11151516307980616
NTS,,-0.0295537703972344,
SFRP1,-0.002590282717442858,-0.021646171536365555,0.04448288102720301
CXCL13,-0.02786162844084186,0.057508061675792345,
MICA,0.010216887905444626,-0.027189095132064137,0.07946624335918287
TG,-0.015667848140459177,-0.018919755899343405,
ADA,0.008699693588264138,-0.017397668102077442,0.03151548146762666
LAMC3,0.09042444165414482,0.02960339099840147,-0.04795516649433608
NGF,,4.0089157899484444e-05,
TNFSF15,,-0.01427536359396378,
HMGB1,0.07284987544210864,-0.013760421675256018,0.012100834065777746
ITGB3BP,-0.027152991028342805,0.03954958207032611,-0.03590193957334715
RELN,0.011778681580213344,-0.017243092167123025,-0.005148178971593817
IL15,0.045488921881282694,0.011513003573448057,
BSG,-0.011105078649162563,0.0523890549459884,0.13032953778346484
ADAMTS3,0.08346585122528252,0.07423165958437973,
CD34,0.040875871258103394,0.016648408750599128,0.0649282562921125
PLAT,-0.018873386827277724,0.027290412758526703,0.1034066346919476
NTF3,,0.021264145410084125,
LTA,-0.01152218477033364,,
CKLF,0.008327587173727237,0.04810549490340905,-0.08213602341349187
CD24,0.0619624956041394,0.016877010950036585,0.08992976168236819
HSP90AA1,0.021391481996243102,-0.0036259614694231137,0.07964968506563788
BMP4,-0.012214191287090491,-0.003649624723745899,
SCGB3A1,,0.022169013005065456,
IGFBP4,0.05102101705294692,0.040903561385908296,0.03961895169372455
RSPO4,-0.018626927635352272,0.017398355871903505,
LEFTY2,-0.011663694730010417,-0.013415364294133897,
PF4,-0.010480993077320705,,
ANGPTL2,0.03419502854940914,0.009796417599814975,-0.012347256632385518
LRIG2,-0.045155428790335864,-0.007442648176446761,0.05032181683212829
ICOSLG,0.03958821583631618,0.002793888631548392,-0.08108758968075663
WIF1,,-0.018559338651121485,0.10352326101372915
NPPC,,0.016678396625669903,0.1969837356255708
LYZ,0.022161823492659695,-0.003167172446235011,-0.06808531229997089
EREG,,0.05239877217358071,
SPTAN1,0.0049689364527638336,0.050988769756215024,0.0767849139827183
PTH2,,0.06773833710574083,
LIPC,-0.015774454733571787,,
COL8A1,-0.026664302967191293,0.018997964094031882,
GSTM2,0.01913205315002655,-0.04238634441297617,
SPX,-0.010380653128530001,-0.049132611812484746,0.01373615271332217
MFGE8,-0.02974077236926524,-0.03085010481517499,0.034587256374360734
TGFA,0.024969836512787454,-0.04039770058075874,-0.12006242230073944
SLIT2,-0.001873909414873607,0.0420800774785727,0.11558234469074806
PLTP,-0.03517074461086412,0.0671654994753035,-0.0030394207764655335
APOD,0.015550636736123457,-0.002038893422016373,-0.05455568109700663
B2M,0.00856511373159701,0.08349874783147376,0.0024105189599978264
OMG,-0.016043318286928596,-0.05705908182277865,-0.01872144205607485
CXCL3,0.08705573843770419,-0.002465360236743613,
CXCL10,0.01598657123679101,0.013989371083865993,
RSPO3,,0.020258683805721597,0.18846748802586882
CORT,-0.0006380251752325539,-0.03320436047076494,-0.028591340361749994
NCAN,0.05135204165116759,-0.03611145265376694,0.10023841738501882
PRG4,,0.003951884171818415,
ZG16B,-0.012612171707114653,,
TGM2,0.019305606351748553,-0.0006789937985467618,0.09296325436310149
VEGFC,-0.016194514160672677,0.045086064462246334,
WNT6,-0.01166369503611829,-0.02649672375752612,
NRG4,,-0.026364211442557108,
PMCH,,0.033612167411795756,
COL9A1,-0.01793719115076277,0.07225121804647104,-0.04356285989795528
GDF11,0.05110507411875133,-0.033086490835330946,0.05200650681380311
SORBS1,-0.019309459381901362,0.013232682171086866,-0.053078901353420575
DLL1,0.012161848080824133,-0.03838600357293404,0.06222223973853067
TLN1,0.009117247692078426,0.0496634798256073,0.001980932876670228
COL2A1,,0.01594512212197483,
SHH,,-0.016808464304306617,
PON2,-0.06691934748015,-0.06714135776615854,0.010158918343205672
