,UKF243,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.016020366852505456,,,,,,,,-0.017771222425513485,,-0.006376582852242745,
BMP1,0.023224929816107086,0.08769267561285282,-0.027172105037215986,-0.10002928980688885,-0.03882962932309196,-0.012876396091249676,0.005549232855695829,0.07166852701970032,-0.027223367409689732,0.0018148424088364821,-0.021417867870130402,0.03611977219143945,0.042878986501746354,0.08645853342104202,0.13157890275276135
NDP,-0.007353399615035458,0.012981027048893985,0.033031329542254476,-0.06032753787402612,-0.01863517337027358,-0.02677079579250883,0.006716988401689032,0.011454297194498673,0.0015837295993273244,0.09006965295635909,0.05172882937558048,0.03251822699307765,-0.0249232470419456,0.07129553963976282,0.026896872544016064
TNFSF18,-0.02335741324865491,-0.000481230382353564,-0.02779422045711835,-0.023789763831378347,-0.01208941524729365,,,,,0.1171860628913749,,-0.018327148006935346,,0.03043779063323592,-0.036454107436341955
IL36G,,,,,,,,,-0.01713623359004784,,,,,,
RTN4,0.10903348534690765,0.01359179076218788,0.10897979175878936,0.13028749373709722,-0.020750119300576287,-0.05001625159808641,0.1423994784662253,-0.02290970222313227,0.06553355644446657,0.04972842575367222,-0.02507629189181332,-0.03223966841681614,-0.02191876405486629,-0.055010162963468494,-0.03849495964642698
HEBP1,-0.006483295184188431,0.03410681698337756,0.00594368712166141,-0.03913133594103134,-0.03238118061355606,-0.0031097433035814515,-0.047215620225601426,0.05143476440140199,-0.002878123544987415,-0.032395890805804226,-0.03816319918915607,-0.029556494007792075,-0.013485176168675339,0.06944201105839598,0.062086976837941586
WNT7B,0.11509805091916497,0.005171392955489447,0.09036448022264423,0.18240503694003707,-0.02612961163757441,0.012609668411737133,,0.04161637965634323,0.05402844878623762,0.0028219975983872717,0.037290706462077064,-0.0383235491101971,-0.0010381997679537053,0.011474252848507265,0.008127404676242553
PTMA,-0.008079657467319592,0.030003414510291582,-0.05159460369706572,0.08018040400506031,0.010849760818712941,0.01228493845996411,-0.12020649067632441,0.09370880420313668,-0.06344668259315588,0.104405685148376,0.010068348229033684,-0.03573533889018132,0.019000835968663685,0.05692517552908054,0.04842504782309998
FASLG,,,,,,,,,,,,,,-0.02728386347631694,
CEACAM1,,0.06163431135515971,,-0.018649466710551857,-0.01901377007378851,,,,,,-0.020080489448015697,0.010936163348144606,-0.0131209988366157,0.01103522466528251,
PDAP1,-0.048058504310248135,0.027092133525635394,-0.03566111396120559,-0.054986369948498134,0.019352710018245515,-0.02290951155672546,-0.060653566042233216,0.07068000909387503,-0.04832178554715451,0.019332336990321535,0.006932471734801585,-0.05486369534289307,0.0007220622237879935,0.010170117751967842,-0.025954340502090806
