,MGH258,UKF251,UKF269,ZH1007inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.020432760852809744,,,-0.017760860057243238,
BMP1,-0.007065500565238249,0.0285350449727249,0.10662177598162223,0.015330363615462132,-0.05068784944572986,-0.004906647977584969,-0.013961294090951664
NDP,0.05481382456377307,-0.006984514809348337,0.017086050647723665,0.03117054650439815,0.09291870241416517,0.033170641389548755,0.009884528301621927
TNFSF18,-0.01871251888680054,-0.008080274349139617,-0.01781440857682088,-0.02807670480377496,,-0.015756098742448134,-0.023953089948428947
RTN4,-0.05333690063080449,-0.005823276020043963,-0.15870948276055252,-0.02657889494065502,0.049200156574978705,-0.0824180288889876,-0.03611300457680834
HEBP1,0.03858525474306497,0.0009325635757616643,0.02494219527003381,0.005271709406192276,-0.028921635864076454,-0.013164357864794255,0.010651598205605363
WNT7B,0.011719650690482223,-0.01862856209762137,0.035952890263748344,0.01657838534404425,-0.0024636174310874587,-0.03790905865512313,-0.028511911031703665
PTMA,0.012036669594949116,0.013250158310480884,-0.007551396079925856,0.009624818321500448,0.02083344219790909,-0.08728958278963116,-0.07526527516755417
FASLG,-0.016485147707189434,,,,,-0.015403987868442093,
CEACAM1,-0.022889771864288835,-0.01429630097736049,-0.009331283975383978,,-0.01351765766452986,-0.02143238668493227,
PDAP1,0.012886947317315834,0.08530847941685733,0.1279715361603945,0.06922531328280078,0.038697593718488195,0.05501843420819914,0.0035729524067019632
QDPR,0.017324167294231283,0.044406583412710574,-0.11505001957626677,0.023030285832195026,0.019963380656518655,0.019430619776929663,-0.004201188445271267
POMC,-0.014537676504709598,0.012534989594769563,0.0027599432984309574,0.038557829690397595,-0.004675518138886678,0.003155960456102723,0.04677380701647275
CCL18,,,,,0.0011822550449003568,,
CCL17,,,,,,-0.013961984832695498,
VEGFD,,-0.02047658289226601,-0.03423035538914982,,,,
TNFSF13,,,,,-0.015179423569579693,-0.022749888925354254,-0.026057545202657087
WNT5A,-0.016228535417394413,0.02296544012985951,0.10295402512687683,0.013554133627188474,-0.009252081701868422,-0.029818369230404224,-0.03768076495596941
CXCL8,,-0.019173058534543225,-0.0026415146340700024,,-0.01711381710065243,-0.03336744925776045,-0.06820200446444569
GRN,0.010991464088756968,-0.030958276491957423,0.12546578611485437,0.02671581315610159,-0.08112408381962125,-0.03211565021956107,0.009276227648280202
MIA,-0.02157763646922254,-0.018210440839124563,0.11009555166032664,0.16468732958598523,-0.07141312248590796,0.014147521561781895,0.07852590431522027
COL4A4,-0.019091809749473877,-0.019950972983756417,-0.020134969195354752,,-0.0003260685551274264,0.049261577245169844,0.004884734006717518
TAC1,0.23846732700215387,-0.03999630896068729,-0.09245209874757944,,0.14971193655971152,-0.01835444877695192,-0.026890926512133092
RARRES2,0.036852863512881515,0.028566752663059414,0.16398724235858347,0.0027485379846407566,-0.006178550965466263,0.01950937935959237,-0.07287899979769086
FGF7,-0.0368175015002381,-0.023111610076521946,0.020977122374630137,0.09327201095191603,-0.0203556554541922,0.01065781684155455,0.04952442397288329
HBEGF,0.016773204697261124,0.015181838004915967,0.03004686325699735,0.12094712097100228,0.007380292483945043,-0.040295643041370156,-0.03402054633636896
CSF3,,,-0.021302409858653195,,-0.019379408756106446,0.04046923132780727,-0.03063432930041343
PI3,,,-0.023986794662220562,,-0.04164860113892899,0.025119737527688705,-0.02934271435665827
PCSK1N,0.059159000458930584,-0.06636267001209296,-0.04596773036186251,0.011737129049520689,-0.055021713673564315,0.03174364691602062,0.005323663604075996
NTS,,,0.004211248519381352,,0.07504709955531638,-0.002891564878964214,
SFRP1,-0.023986293275317146,0.04514193191003459,-0.0036216756646624657,0.024297415680457003,0.05596054582142835,-0.021262580209704476,-0.02484531016556148
CXCL13,,-0.025275910619651756,,,-0.03161184845612294,,-0.024848602396924296
MICA,-0.04530489209275124,-0.022541629648011527,0.017609873562501644,0.1314848562461146,0.010347790920115904,0.040852853568127206,0.01278705485876897
TG,0.005707847226888277,-0.0023540547789900994,0.03442356185974653,-0.03598160822494858,0.07550256084734268,-0.02866744534787974,0.04504928631794595
ADA,0.09249592982750253,-0.02258651765035835,0.030023603671337214,0.010033314317965124,-0.011637449731247983,-0.06493071607140258,-0.00988814773518145
LAMC3,0.017819765593169026,0.016255746995482528,0.08182733378599558,0.04197240137388932,-0.023291213033917277,-0.0712517872002156,0.03460506537775597
CCL7,,,,,,0.09489055955560004,-0.05187390077542092
NGF,,,,,-0.03327020987398998,0.05734739341339546,-0.03471809751126138
TNFSF15,,,,-0.03316593430103138,-0.012034280134144542,-0.04069998841699978,-0.03390441774322571
HMGB1,0.007385315305435414,0.025437292978752482,0.1373124659162723,-0.06069414092728218,-0.06130779009913167,0.042148430506057724,0.0891318563152786
ITGB3BP,-0.04807808200580831,0.013009032670253797,0.09514532026182836,0.11203999306181135,-0.02595195197930693,-0.058850850389001154,-0.026301516134630828
AANAT,,,-0.019215350176628624,,,0.009280932273040303,0.08833603127271197
RELN,-0.015827612880467655,0.025391845266217978,-0.04964490732433655,,-0.014536106219093087,,-0.02609706831006556
IL15,0.025085687759345943,0.04134401955300121,0.06075615605939832,-0.03012465377257928,0.0918583765423414,-0.0024248155726901244,0.05955054178085848
UTS2,,,0.05136619301681474,0.04608973239732525,,,
BSG,0.07551149037267281,-0.07312881672938887,0.04832284392938118,0.01064397111777991,-0.04975107952847866,0.00942676881828866,0.0651525772526669
ADAMTS3,0.04243688580686324,0.04755640724732331,0.10428076227216812,0.07291733738496889,0.10013714059367239,-0.03639401578100007,0.07614026983209615
CD34,0.017523292497852935,-0.025043395589620227,0.06070707909055732,0.017554440255383427,-0.04831137972856941,-0.03999797007153154,-0.06530549381103473
CCL23,,,0.10459117906600544,0.08734859602604682,,,
PLAT,-0.00033793557628893425,0.03902433720133696,0.06965020552599278,0.04833469562987175,-0.010342802025507235,-0.01385090582824509,0.06454370420534844
NTF3,,,,,0.02264946102165456,,
LTA,,-0.014296302444417042,,,,-0.021934726862557635,
CKLF,0.06400885631469513,0.01857435614462878,0.09893009544980884,0.09487704755235353,-0.015812052078538044,0.02195206029835629,0.054989645541554916
CD24,-0.019551995162861137,0.027741126634591662,-0.004673667374713474,0.07136967017351753,0.09796546730916107,0.042748742495914684,-0.013517642128603605
HSP90AA1,-0.009041358061065248,0.020898253907052654,-0.10934049759075411,0.011229155895675967,-0.054713967917472774,-0.029221863583418734,-0.04834417750945442
BMP4,-0.019648239465235896,-0.015154918640412747,-0.039203648363442416,0.07681050421889796,-0.0417016325188731,-0.01997928582832474,-0.022695231987674605
SCGB3A1,,,,-0.019925732509121573,-0.009736406862882874,-0.005935243140226657,0.07182459558704875
IGFBP4,0.06094269936835831,0.048059336378634326,0.08709497752583119,0.05132762339283476,-0.08805318948789823,-0.05193668014816265,0.01409787527378943
RSPO4,,-0.008793911509050727,,,-0.016830646003687517,-0.013890693716461122,0.060688811690076915
