,UKF243,UKF255,UKF259,UKF260,UKF296,UKF313,ZH8811Abulk,ZH916T1
IGFL3,,,,,,,,-0.02372829655189788
BMP1,-0.044095316464392714,0.08069375384925766,-0.04284632788931511,0.06883643189336446,-0.017578860171854362,0.05956674979407945,-0.08915618990945312,0.007489309868432957
NDP,-0.09549033283947728,0.028713404484727378,-0.009109065624165106,-0.06569893842669774,-0.025744922756642124,0.04044122068264295,0.06076144975286541,0.032520792071863376
TNFSF18,-0.029826121236473383,,,,,,,0.03389796573033176
RTN4,0.024925193370300115,-0.008677511276643382,0.05156237477439935,-0.013466524710716984,-0.02281537860103742,0.023720862897741554,-0.02532697061413614,-0.054618417327698315
HEBP1,0.026295243956742705,0.07005655087896184,0.010648113043549838,0.03351033299926191,-0.027569803284850092,0.07032475678639104,-0.004559716489197267,0.05579057347611831
WNT7B,-0.04322103797692955,0.06143011879550776,-0.01234133081573559,-0.03378765560999907,-0.012031755070084327,0.03554599581954508,0.15816415800279687,0.046498513597870904
PTMA,0.11472685248128121,0.0488278994472634,0.007409227274467314,-0.009479922597651234,0.028665687066100443,0.04385244922638867,-0.016734333698758295,-0.036773579056380054
FASLG,,,,,,,,-0.0003272312897939806
CEACAM1,,,0.03425089229693794,-0.022230441594626858,,,-0.01982371333138643,-0.02863341220165866
PDAP1,0.011121980414859399,0.021504540592886628,0.0016532941819250903,0.02933829552043616,-0.008657789360488985,0.00978157768271644,-0.0021052932201832616,0.016973086065848055
QDPR,-0.05149114551697163,0.007785752416965682,0.006169042910613696,-0.06440971337153649,0.04167154055212441,0.13959152275634432,0.08435364926354821,0.010439662378527963
POMC,-0.04535636778683897,,-0.006333670412520032,-0.044732905368368346,0.07847905688149902,-0.002886698706044556,-0.015881959463026642,-0.009645342750530885
CCL18,0.0365744062738672,,,,,0.022494878801721224,-0.03627715222699115,
CCL17,,,-0.01866802348225207,,-0.014891939939434346,,-0.014063965113922713,0.1390288527455949
VEGFD,-0.04506749851585449,,-0.038932527824224364,-0.004132172553457469,-0.010923418040141944,-0.03368732111700809,,
TNFSF13,,,0.025256803100108798,,,,-0.010724685742240912,0.1124105387303561
WNT5A,0.08242879405395609,0.016521485931661344,0.0028092717463935363,-0.005188609372947368,0.03290388970808116,0.03210876018773626,0.052445798831029615,0.012629248062101967
CXCL8,0.13615053336498317,0.00017741795403632214,0.03789510270652696,0.057801949544287155,0.10100696135841297,0.0154847421368516,-0.06975325321142187,-0.03801716242390361
GRN,0.022762107836350454,-0.05760450471902174,0.0030205295041473785,0.047723261670811076,0.04931546487926537,0.023383528935956906,-0.06735870039263744,-0.008343423822000942
