,UKF248,UKF255,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.012644893364242316,,,,,,-0.018219037424096515,0.018663406684847863,
BMP1,-0.08054273433638658,-0.010486434322221927,-0.019110125187452146,0.09107446212321803,0.0013504566838007368,0.005014074087923296,0.10821867984212308,0.07238025566665417,0.02184719727915837,0.05065449561338594,-0.039033712424036755,0.08785102328701806
NDP,0.04630364574442654,0.06997600393412859,-0.02110335308567824,0.04716144618436594,0.005241480322047112,-0.024569341345269516,0.0468640855692395,0.055518250944597086,-0.010863041061638042,0.043294060256052945,0.1382394100087159,0.036814792242126394
TNFSF18,-0.022969483758109567,,,0.023600761414331463,0.035986408019762134,,,-0.008675805685253972,,-0.018788971710575114,0.07386111721649369,-0.0073287859880097166
RTN4,0.008662869474465821,-0.04416622073185817,0.025865884298786536,-0.10869560814857665,-0.023844091202887413,-0.050664476682934584,-0.08390971206636082,0.039178159894124355,-0.017063643232934713,-0.014423950689898126,-0.026845767883110265,-0.11931862298619712
HEBP1,-0.06408909020707229,0.021733755303188055,-0.043566200283421785,0.023620164500519725,0.03224449113222444,-0.02925195927636733,0.05998701895264958,-0.014876851021757164,0.0039056716527564013,0.04903788499553725,0.08929498532858285,0.058995920513384266
WNT7B,0.01083807547286053,0.02460097609474747,0.03978658675857114,-0.052336823100091384,-0.014546048172638095,-0.015148168043902408,0.06793432861495342,,-0.03178788055367448,-0.02654760368559315,-0.027140334371021656,0.015418537536922421
PTMA,-0.07276871179442802,0.03923563106088253,-0.005005068371911168,-0.05144298425805359,-0.01846973402654796,-0.011447161427947068,0.11733268792731602,0.028310317197785952,0.012084181545832597,-0.02409806086778103,-0.10287547825726111,-0.058694925748262954
FASLG,,,,,,,,,,,0.011090303882732775,
CEACAM1,-0.014619446917323444,,0.07739057903530347,0.0391460884255926,-0.01836162348633581,,,0.08627622734515983,-0.015399748203835729,0.17840453292871544,0.01825290022100787,
PDAP1,-0.013865321958787483,0.021994715806363127,0.01181382028013768,0.0983930004814483,0.05878255706917763,-0.0429357420219816,0.04882222466497427,-0.011882118056931514,-0.012903126858671081,0.005727258923608381,0.03153616164601603,-0.031749882948789075
QDPR,0.013530396200076813,-0.029127872860790386,-0.020106294262143533,-0.10372316430150669,-0.04975088594185714,-0.062364030840101926,0.05354009521455029,0.03136197815551947,0.02016322865084419,-0.06734413687899857,0.08160483060624062,-0.04554532813112524
POMC,-0.014693848197245556,,-0.023033516958026374,0.017231799818173018,-0.013546473694648937,0.10585538010444058,-0.009418658862387495,0.004114524864783451,0.02250842763240604,-0.01975535903028514,0.03670002745163235,-0.004942946949025033
CCL18,0.0005517427641106642,,,,,,0.09948289874037684,,0.0394519941313655,,,
CCL17,,,-0.00023232988223060127,,0.004560043778653675,0.0411212661225246,,,-0.0222305033197112,0.05934094532441315,0.03559031701867157,
VEGFD,0.056414745566318786,,-0.014458204585980133,-0.021183588298905594,-0.015513199125871216,-0.013752754367256705,-0.01699307612641988,-0.004249864054157792,0.03794477966793575,-0.02533447559612376,,
TNFSF13,-0.013767277111595677,,0.008372447952720845,,,,,,-0.02416379707179823,0.012628431549082135,0.001837788245451477,0.049960248203583704
WNT5A,-0.02802788102470392,0.05563489233278092,-0.02210704870740044,0.07984349466779378,0.0674761924835196,0.00932740574508397,0.043007081774905184,0.08278187718662944,-0.019250342545459705,-0.016714840520170485,0.0377356561782053,0.03567766560179136
CXCL8,0.026662853219760783,0.03938135445308003,0.009234637206105225,0.017800866936094548,-0.05097415405267753,-0.012807162856429664,-0.05855238290574416,-0.03138820590056713,-0.07995232140516359,-0.0341042266036345,-0.06482839061461505,-0.030430394270241568
GRN,-0.05939474461431578,0.019323682155505808,-0.006071845041931341,0.06161350850403127,0.03304975869850855,0.01293248808434627,-0.03234056121661997,0.026124178038225036,0.01122047827547865,0.04265286057452173,-0.06881014567011554,-0.006202766611379173
MIA,-0.0024885771792908335,-0.03497106919335503,0.002542511164031105,0.011818704390349544,-0.02861925738073749,-0.015640861789653022,-0.023045664083159008,0.12214057234727944,0.10654515481998969,0.026470683320472914,0.10278301159564854,0.03061958819780708
COL4A4,-0.021910521601068805,-0.035335943456282874,0.0029474353107819145,-0.012460603841137485,0.021688558237144644,-0.0038911659568167467,,-0.03580123274845358,0.04036739682592209,0.03175528842776951,0.0320790522014517,-0.008113059692545155
TAC1,0.03610778715523075,-0.05387808214726999,0.07406680810578088,-0.06801944969763352,-0.01073362774443839,0.024955743562978343,,,,,0.015927903821018375,-0.0720449598432717
RARRES2,-0.07788655938123108,0.0890979803340067,-0.007268453125273275,0.09812859844367504,0.023108760524802444,0.008073819445174737,-0.10035245913990833,-1.237084251615024e-05,0.03236668304365443,0.06482321507891285,0.0411713848552182,-0.029716544863924155
FGF7,,0.07924931223543834,0.03937537963850184,-0.035510823716738874,-0.0006996805262909814,0.016712901213316325,0.02688092543374438,-0.04277625206730125,0.00014684451117098237,0.08484536662621593,0.058547790583671606,0.05671808110954572
EFNA2,,,,,,,,,-0.014636430069208301,,,
HBEGF,0.021992613938305178,-0.056913857395059386,0.06118397318548241,0.02789257955568288,-0.023068305165174083,-0.0034986752913315415,0.12977455205476482,-0.0217680627202357,-0.01906784276229739,-0.0501952743715372,-0.023151592463617126,0.14245306487135148
CSF3,,-0.024733817209460194,0.0225602842774014,-0.013183079027081785,,,-0.010181759864452999,,-0.03459273429555467,,0.033314417663236805,-0.0021345634804027167
PI3,-0.019193129433835245,-0.01681713442759543,-0.021652381217878134,0.03633863437722092,,,,,-0.06659300023589525,-0.02040954347888117,-0.0496036981274111,-0.06825342983543543
PCSK1N,0.0166179677172452,0.0032961772541940564,-0.005385831739467412,-0.016417556324660926,-0.04246391264612051,-0.029074420152958785,-0.01128700339017224,0.017406164203961544,0.043925084493851956,0.011220456651961192,0.15187896959963876,-0.08327882724274459
NTS,,,,0.12446365281974908,-0.017366319138439,0.04747309953826073,,,-0.017831712580247766,,0.041871739013007836,
SFRP1,-0.014799029819086556,,0.04103408163306706,0.13083990819126484,0.003341709800552647,-0.01874918577215557,0.0693960125223884,-0.052941942472591916,0.05018952269688594,-0.002862658183955055,-0.03302362876967975,0.03378497537646547
CXCL13,,-0.01795967786838313,,,,,-0.013476940237067596,,-0.02587942470114369,,,0.04472613102479919
MICA,0.017828231426022745,-0.05789522295332942,-0.005260533290096145,0.08013538278565774,0.03454112528620487,0.009649112623559861,-0.009527665695131225,0.04809273534558276,0.03790629748975621,0.020818807978726945,0.024233769091179126,0.1028845762417294
TG,-0.004267687998314527,,-0.0074940860440753125,0.007714388747253074,-0.014669358795969116,-0.013568704186050712,0.03976488010274787,0.07057338716377619,-0.02196170334166542,,-0.035110923966669864,0.10762642817558361
ADA,-0.04557840581932838,-0.038233230402145775,-0.023838237070024942,0.09774493726892229,-0.0333451580759544,-0.02203666679406328,0.06045154272888212,-0.07507812243776595,0.04908857781392415,0.026662523308016366,0.05395747329950109,0.05872328489937257
LAMC3,-0.05820066653721749,-0.046169276985553696,-0.052187504488260546,0.09624639458795277,0.017640280178661528,0.036228392779129134,0.04667296304905757,0.06693101477903564,0.003059793991425061,0.050396990912261116,-0.013557405995559843,0.06979711646549762
CCL7,-0.011604527039339141,,-0.006136216041534412,,,,,,,,-0.023924443366559658,-0.04376360057238544
NGF,-0.019924396656336354,,0.0591112885121441,,,,0.007365694149606945,-0.0035218914952209112,-0.014439691824960684,,-0.021591668312036093,-0.02197490871740203
TNFSF15,,,-0.02246126981316937,,,,-0.01625746078667379,0.09769239258003,,,-0.04859804305255465,0.03919320967738839
HMGB1,0.0050342273671629655,-0.010490422515577318,-0.03925681550645692,0.11432613307990303,0.03445572214705005,0.0031042040295370765,0.08504198111580348,0.0071478669258554116,-0.0002560326545160286,0.0062833777162032345,-0.04766973108940609,-0.014532562756685283
ITGB3BP,0.013379962115063121,0.0850442507844959,0.030130933586798005,0.0890641493103795,-0.021412481083701855,0.026898320781186463,0.07592092599927817,0.008630234744737326,0.007371579357102664,0.0015619452590963925,-0.008991421316903227,0.02211619791307557
AANAT,-0.016836403228555816,,-0.020437460518226196,-0.011891494041865205,0.028435140819464445,-0.015640862659637694,,,0.08239591002081442,0.03687464229241069,0.040535444193603824,-0.028255470061919072
RELN,-0.03634772356600845,-0.02785405732155119,-0.00929750525850276,0.02017404707989627,0.01999967321348833,-0.003094087131713127,,-0.06830133112790711,,0.02397135835929624,,0.012156331114126048
IL15,-0.03669318874935318,,0.029837179336459,0.03451952092472027,-0.022108126084357752,-0.01635362003516751,0.003771774836273173,0.060847570990775195,0.009107040229550868,-0.03700201653502188,0.05697429820161893,0.05468802883172418
UTS2,,,,0.10254874546538029,,,,,,,,
