,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,0.2215129028124958,0.11801205963120304,0.007662795425243004,-0.0014127901406504385,0.11063991025931634,-0.004225120750463527,0.02345179249117819,0.02477156454058622,0.0026917195324190632,0.034764225671759394,0.06509621233755637,0.11528065129857595,0.13193725742594,0.033077086604008446,0.05075408170865392,0.1486708806806887,0.3651862173380116,0.38042798408541806,0.33930914124149386,-0.011210734799526565
RARRES2,0.04596683289594158,-0.0657016980188807,0.057091942681585114,0.027146840543099522,-0.0539307943536263,0.040930636032412614,-0.0503708618544907,0.019904657286160473,-0.03461230475468279,-0.089576940078465,-0.023315003534345492,-0.035169780828324386,0.0111255547595324,-0.004291518162386281,-0.04059963735559158,0.006412440015244535,0.05663798602276656,0.1357015397813373,-0.02943340323123866,-0.0235277322573407
SEMA4A,-0.004935219683579599,0.0707054963927589,-0.010396247246887284,0.0007473014320040624,-0.007403649928663937,-0.05224271952703382,0.09112399386703991,-0.01835161690355475,-0.008584968187454132,0.0024890111976326296,-0.013738003001922064,-0.0199791645833745,0.08685341204997224,0.05736881205236706,0.08812969717934438,-0.009692080837864598,0.02243767141193903,-0.00775647983385599,0.00455328959381661,0.006037200320458125
GDF11,0.0027784009166772843,-0.03372528326875543,0.04089216536056721,0.023001593504758684,0.06555970732636289,0.04857741607372829,-0.001129866051251983,-0.048603462209973844,0.06499433026789833,0.11249382156895418,-0.01599441406915611,-0.055113732494398576,0.10348381745617241,-0.015010849973174575,0.026351027712585157,0.04405316977506865,0.029707520002407468,0.0982451665001745,0.018331978846249507,0.08885214730629462
GPC3,0.03366411600574307,0.0863123814049215,0.007538963679677,0.06391701984486396,0.027998716410322304,0.0663531023311905,0.051604363875098924,-0.020103251175542337,0.08093308082535025,0.10910795022210236,,0.10400457853773742,0.0845660069602851,0.10882162693708533,0.17852469441433988,0.1357081825075071,0.19510718218413228,0.17995055339925758,0.2075683556348987,
OSTN,,,,-0.02885227897529961,-0.00948869922709633,,-0.016102350332817313,0.1095861120964619,-0.024879357026456807,,,,,,,-0.01758548291446368,,,-0.029069954733082635,
GRN,0.07079821952841721,0.09287216151981653,-0.04633562950865409,-0.023162132558049133,0.07397988861108741,0.024294000320561754,-0.06999783418734853,0.004750846749195512,0.018220290622157354,0.025724383716396064,0.0008767398009445473,0.03318323138634767,0.10336452316992847,0.030305395777939528,-0.017280466568152707,0.0910192549315986,0.14252015116476974,0.21252263814835606,0.1151044491766267,0.014427458381337858
CALM1,0.15254493623951698,0.00997046920234689,0.007562486716812923,0.004571886286281284,0.04978982196700842,-0.11373068176913252,0.04896768413114084,0.031930528278256994,0.0030312925746988992,0.009540187186930928,0.09027229944395444,-0.11375697219110553,-0.09436963557892558,0.11315669364728541,0.16147451831874873,-0.07434684200014031,-0.000691518065010001,-0.1969025023455336,-0.22085794871377915,-0.09051433209934683
ANGPTL4,-0.12803948166023144,0.07518866133404187,-0.03990871766660972,0.017757623777661016,-0.052398359681671794,-0.01340123149402386,0.009184657938342842,0.021045541939288353,-0.027252073441666233,0.01572992269108651,-0.028726395345372278,0.028935877767265892,0.02958459745962056,-0.04143583652563834,-0.1793680091677975,0.0239650491365032,0.10308831484401272,0.036746520012896904,0.11466693868726148,-0.042335791908265544
BMP8B,-0.03258840349389683,-0.025355859912827718,-0.020550828861324498,0.07158019401852049,0.029861685419088176,0.02180090546558867,-0.04357065363417473,-0.029043369413302465,0.0836156061582849,0.01929626219222606,-0.0320360050035333,0.022234041341746846,-0.0425718102630838,0.08381040811291345,0.006731196761810605,0.05846718021587509,0.04563123303592097,0.018252913312627066,0.08664318838543798,0.03934393356448382
