,UKF248,UKF255,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.03667585876153213,
BMP1,0.07642586967725586,0.00024001117611417372,0.030717801629377456,-0.009675473021066933,0.049681705093506674,0.07632052452990834,0.0844312872934795,0.18706111277321003,-0.008319696797943931
NDP,-0.019459358767894664,0.048446549194341354,0.04943074777233781,0.08095989548369753,0.06193693168516692,-0.019749231035288882,-0.0670700393457817,-0.09432298098994261,-0.010351098964080164
TNFSF18,0.1501303498554152,,,,0.024927697355746715,,,0.052269242172987666,0.06619119610834487
RTN4,-0.07631671147751595,0.03432272511240047,-0.027620734080192,0.003497157151539931,0.08989941499331101,-0.10086847053827509,-0.07164023180141012,-0.06864492238279848,-0.04623292440022554
HEBP1,-0.004209045846142152,0.044745775096868556,-0.01014215408680226,-0.036858046652166875,0.06629667278262062,0.0653282359371774,0.015700281823316897,0.0343813196227907,0.01149096646543207
WNT7B,-0.04078428029949556,-0.05042399148743243,-0.03300970906004001,0.01567636593882336,,0.035738320128970893,-0.022872893978983913,0.005328758383338978,-0.004198006826380821
PTMA,0.03727067527584029,-0.006772612893160114,-0.031058830323190786,0.04263125735706634,-0.05118322478872572,-0.13475459997256,-0.013847334018029553,0.1635845876043293,0.056917172895384165
FASLG,,,,,,,,0.008315047729714782,
CEACAM1,-0.017540541014554937,,,,0.025355127764379804,0.07642910039877424,-0.015181072390370011,-0.023366509984985757,
PDAP1,-0.08079221249132372,0.0672721798240678,0.03475746581161112,0.11854836434159947,-0.02237383992894206,0.07677431996691886,-0.047957961405582394,-0.027381088121393973,-0.03864606184779362
QDPR,-0.0848523286053198,0.01680189053805663,0.06450448205773945,0.013111283659467902,-0.023446009384186638,-0.08874483682852873,-0.06496980026395395,-0.05319823026397171,-0.08979737298041678
POMC,0.11865259312387058,,-0.021148208494015906,0.006154456238425498,-0.07002696957611594,0.04824551933079485,0.033888820710073216,0.08781537487922747,0.022480866165229898
CCL18,-0.021888937885210794,,,0.02811978612113967,,0.09993147419314233,0.02928610456872407,,
CCL17,,,-0.02872800640129763,,,,,0.02917814359185719,
VEGFD,0.008891181994846379,,-0.005934558465931091,0.0378115940101097,-0.0287007593132541,,,,
TNFSF13,0.0039037281299834584,,,,,,0.07119497720095296,0.02651937421626451,-0.024863175947064838
WNT5A,-0.04096739893479191,-0.06757389031894821,-0.001733455086804386,0.05818489454968885,-0.023260699108310585,0.013411820579659273,0.07335616364816627,0.10464675034997784,0.09452719281749615
CXCL8,-0.021831073023122368,-0.007202520413762215,0.007645444555707853,0.11553333598094871,-0.010627066616679066,-0.016881467420732665,-0.0075875610731153545,0.012208967714619,0.05568438648225514
GRN,0.11331868888425368,0.015798304960112204,0.011280929891960244,-0.025945151440174768,0.050994174820979954,0.044119514662897485,0.09373172930723059,0.18980310321995275,-0.008610713881996008
MIA,-0.04361033011846071,-0.0002019980312936907,0.0043952274010869525,0.06119325189047702,-0.0051962420088201506,0.018120427908961838,-0.013426916543689525,0.019495731467856506,-0.0018846399538833037
COL4A4,-0.02628843655763974,0.014054689750572308,0.043387907181563726,,-0.05166685359709242,-0.048123507935244156,0.08215956626180874,0.09228769846419844,-0.027788363849423663
TAC1,-0.044457988378455715,0.004679490000207559,0.029976720616035346,,,,-0.02619167469512775,0.06624848276568478,0.01516259078798596
RARRES2,-0.0946724564726661,-0.06147090321563451,0.01014443585447221,0.0448236422331916,0.05834880401066604,0.023208063498548946,0.005376942853364911,-0.03963679469336301,0.04673774341950648
FGF7,,-0.06080726950946266,0.04001476416526602,0.058914778544756116,0.08623141039553149,0.11790223354794327,0.010354655739626543,-0.05164054092493878,0.024981986821815606
HBEGF,0.052652050820623346,-0.0028055241546671356,0.04590256798430148,0.08976970495023565,-0.03876407095360109,0.09180612578106569,0.044179566717453524,0.04368701161629973,0.12220485319334413
CSF3,,-0.035791837811085365,,0.033990303867452054,,,-0.02176414098583067,-0.000798801944899164,0.07544702075023808
PI3,-0.023028085531260623,0.05228304674957173,,,,,-0.0141423887456847,-0.06595102147285077,-0.008268862853728473
PCSK1N,-0.07402926335186956,-0.0064367350552956264,-0.017889782745524548,-0.03994195819103139,-0.021226070486162804,0.04653180591773484,-0.06783375995667404,-0.10253927961774503,-0.06320586787108635
NTS,,,-0.004359945565005564,,,,-0.027650451526070145,-0.007930712377700058,
SFRP1,-0.004538762189443014,,0.003411806498415299,0.025727178900699945,-0.008998632365285192,0.025533833869182773,-0.011037823714000975,0.09652148667964999,0.005018636216906694
CXCL13,,0.08040634859906634,,0.09739200789397337,,,-0.03550184297572975,,-0.023709646040271946
MICA,0.06477626204640606,-0.056430456888832796,0.031961352526170925,0.05347020663821563,0.0026102110355741325,0.03897974680848975,0.10586985955152504,0.13560513322561762,0.027495069160004992
TG,0.018564418088586006,,0.08528286018195796,-0.024871797031281926,-0.0716647299321102,0.010141704788978915,-0.017912222471770052,0.034250954064491024,0.04924480910235646
ADA,0.05443937412025644,-0.020914200936032433,-0.015071475015641659,0.07975330125530351,0.03575318901626276,-0.011523180521679065,0.1794531937568445,0.16431960788654332,0.026122344850881007
