,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.02821733986733854,,
BMP1,0.026224685442142362,0.026023772385999008,0.031428388752968314,-0.007233455455292408,0.08348066897829863,0.009827302380659332,-0.02601620993926855,-0.017445206129329,0.02250729744121742,-0.005802299469777582,0.03727736550326745,-0.008556413940360217,0.017942819584655628
NDP,-0.00210915728673147,0.01596594049673394,-0.0069218830082681355,-0.002713060267960847,-0.017671872938048235,0.06749810764801216,-0.015161182977793482,-0.023431496231586503,0.025666532856010688,0.04477717240785113,0.017757870479226417,0.005346434443337305,0.029455918875752496
TNFSF18,-0.01726042684004604,,,-0.013259369911084552,,,,-0.04088557675395894,,,-0.011537486702277796,,-0.02430873417830757
RTN4,0.0020540161157513123,-0.0376724089599082,0.0008613465805783478,-0.0013935860093831588,-0.015476630656878891,-0.09134837343798331,-0.047458455448754724,-0.08211573663240955,0.024368850017567577,-0.015378680641469883,-0.0254336546061897,-0.016992461619806564,0.10196167222992322
HEBP1,0.009296507886734397,-0.042694751904555926,0.0650766629104319,-0.010643160827066636,0.036646248084096195,-0.0008254301425846655,0.04350026033170561,-0.058238109619113076,-0.05678390358453345,0.04526859399102598,0.02615764556466538,-0.008067133083391105,0.013513331183500163
WNT7B,-0.0077607934579928175,0.003464812917766735,0.005480564448419596,-0.03800674956635426,-0.012182918350307895,,0.015458650225077648,,-0.029509551444861035,0.019258099754344365,0.01156362513343506,-0.02415945712353435,0.041577838392708004
PTMA,0.028812832398631767,-0.016983116861373933,-0.00369896325792443,-0.06443894213498627,0.003715305669920257,0.07208324232556959,-0.06957166445271011,0.1130371782971334,-0.05711644046368263,-0.030736405589953286,-0.008328398920548012,0.07165182758411924,0.004928467369447762
CEACAM1,-0.01714421533695197,0.056178366676626845,-0.0175285096138886,-0.020853830036908442,,,-0.025010466190976098,-0.028749499328022867,-0.026464638400512993,-0.023840000164199078,-0.04181372591804971,-0.01603498306079712,
PDAP1,0.009138957545776616,0.015350777070211204,-0.042835928603870234,-0.01086216236374869,-0.012161191437604359,-0.010742996849636569,0.03762320487892225,-0.008698707407387244,0.001348480529411482,0.03709596321333089,-0.018773395409419708,0.01765309332630037,0.001453162317564296
QDPR,0.0293102119921158,0.010510833325756688,0.029912951388149287,0.0038670019794391297,-0.05415074028961183,0.10195011194548015,-0.0553161021870971,0.013768594199368142,-0.05472837164727515,0.09192463899596774,-0.019381555548242918,-0.053713709808689954,0.08058312470600239
POMC,0.014411117847552753,6.921565051059559e-05,-0.0248762501126341,-0.015385124318548701,0.001250540251836669,0.015973259654937764,-0.05121129204770258,0.017646012369858636,-0.0259343060100943,0.003667852962542378,0.003986207286830848,-0.011158491136060973,-0.0024668179105514667
CCL18,,,,,,0.12579737747073627,-0.04194782708058659,,-0.018763863746358456,0.019635396426947598,,0.013977909375846989,
CCL17,,-0.015228933061595151,,0.06870839782383013,-0.015079037705057453,,,,,-0.016913326228056313,0.01992951424609399,,
