,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.020688236189841492,,,,,,,,-0.028367962962309035,,-0.054634345995692744,
BMP1,0.011839678227269203,-0.014631585315788013,0.03252594810118107,-0.026066569017685996,0.03951513740318637,0.0400955555076434,0.10643065264462111,0.008333816433973457,-0.0888256163174692,0.015764221267988505,0.11607384568263117,-0.010895382662208413,0.11352751079377597,0.0623954816942622
NDP,0.0485645862617396,0.02853049639624643,0.004143541595587932,0.050301826653123556,-0.027647311120247018,-0.03502430697099168,0.08267134923189244,-0.0563885834200141,-0.0005692081340839087,0.051165137992772315,0.07407049504403712,0.01872454331133612,0.055854871049876076,-0.01181948096299344
TNFSF18,-0.02689502483864995,,0.056880649268407975,-0.02854175543855733,,,0.032094181488165216,,,,-0.02925537947907799,,0.012873516081903605,0.04112594090381139
RTN4,-0.04805170437276859,0.02697836444327759,-0.07487030811570267,0.02925615125399799,-0.0461931207689307,-0.062156998511624754,0.05481568330427582,-0.09957081737991326,-0.02550247698594135,-0.05246158195187848,-0.07004331894878589,0.032721289150682585,-0.01743877664743112,0.032491859440893674
HEBP1,0.014773943033844597,0.006468029706301266,-0.00746014351849193,-0.015156901510819798,-0.01642149996933219,-0.0076793224091351924,0.03533736310592977,-0.0002577976409366792,0.030697322516876888,0.06270009499228997,0.06735303675234552,0.06959998782942524,0.07574188516879071,0.02847273761562576
WNT7B,0.03196453605938992,0.012593595639228438,-0.03198584969029391,-0.019985710367810775,-0.018684936030764793,,,0.0608275799142408,0.012937044399490094,0.06887589873468496,0.040196657134549105,-0.02415945712353435,-0.0005259529634786106,-0.015098461386382633
PTMA,-0.011026641910079857,0.0004657984254087797,-0.03806076911812238,0.02357492571505682,-0.009987554232801626,0.0380629309842039,-0.09540828709728899,-0.08637528125296441,0.016033801512726067,-0.05095158350787529,-0.05284472718396061,-0.008061964889558954,-0.00623194510507519,0.0006272299553221656
FASLG,,,,,,,,,,,,,0.0855199105643321,
CEACAM1,-0.02689259879942842,0.04691550245878493,-0.0404276253572228,0.017872875107060704,,,0.0924766000340647,-0.00525697607305035,0.010287335239970217,-0.0265069825682077,0.07094191582316868,0.031157734445807505,-0.0084824624469513,
PDAP1,0.008187499778773437,0.00911128070516762,-0.03467022841719185,-0.0782436006782509,-0.025221809615988196,0.057341126094808445,0.027695341119773058,0.03852842784331746,-0.030414898105203036,-0.06077771187828784,0.01839308052966486,-0.0383130058679386,-0.032840066968178386,-0.04788356305482162
QDPR,-0.10756139195430846,0.013915274932572703,-0.0594709285328713,0.03519255835624431,-0.0847182412879711,0.04411207554884344,-0.03679695867160055,-0.07221010536120887,0.05541622718549657,0.03759992352177962,-0.07720746558895941,0.03281952644613351,0.0262123175122574,0.050067471051863266
POMC,0.023687423889302058,-0.019633496290994656,0.10137124818606945,0.0017912200418588444,0.07279327188509166,-0.017036712695982982,-0.013481327990266797,-0.048694893379333415,-0.060803730403606975,-0.017994909316548246,-0.01925273095087653,-0.02623112584178775,0.01921555402544298,0.005684407658475573
CCL18,,,,,,0.07493659650474628,,0.15287089315841534,0.09136997099219467,-0.006011734023945514,,0.05918592272409387,,
CCL17,,0.062344614632952176,,0.00425634523222663,0.11347053073067812,,,,-0.017965878321586436,0.04065129135351439,0.015109120674141926,,-0.0008431225874834613,
VEGFD,0.06697983341463083,-0.02622414113713875,-0.034658345108344174,0.016127324858099312,-0.01696372359048727,-0.02400150816914321,-0.05637977436146728,,,-0.010060771750979403,-0.039447060163004234,,,
TNFSF13,,-0.021717316123410508,,,,,,,-0.00928482906229559,0.018324474565860657,0.010999693732825827,-0.018006211272057714,0.06165482497458109,-0.020203833878297522
WNT5A,0.07523472530058581,-0.013408276574617267,0.08389281819316693,0.015722025964950245,0.053987468468139566,0.05433290409128658,0.012647747618020178,-0.01429764899919941,0.024351564964240582,0.016672564591293623,-0.012077984993534538,0.01555130175656634,0.17088534121031876,-0.04584434739899593
CXCL8,-0.02612794659618286,0.011248907564468757,0.06049434866284815,-0.0896555065052845,0.1098306194847012,0.02707999109914512,-0.08726483488712404,-0.03616627072105795,-0.08096426173348283,-0.08088832155405452,0.03592006340545699,-0.011482480865840167,0.029097287810191667,-0.006380447965559928
GRN,0.01137948996828448,0.0009447783616453305,0.08661120558637726,0.012227259479556715,0.07956784056662479,0.06439996894503851,0.05704083203749624,0.040999299064743575,0.029055779364616306,-0.04985848891885357,0.08119125881852429,-0.005538082251279075,0.18770903260242358,0.08048704146392124
MIA,-0.03425543993672418,-0.04688735217340406,0.01810659994495697,-0.06996662191252749,-0.0046791442731776356,,0.04890215733712264,0.007948137176092485,0.012743491849401286,0.16218288048473561,0.07922878375396362,-0.06211879896810659,0.010197223034907789,-0.04242743818370527
COL4A4,-0.027221439995814202,-0.044687192964254496,-0.02038672117729995,0.03275109631358675,0.006281212622579278,,0.10686669087391468,-0.02597067739483286,0.04714348259905607,-0.042441823694673156,0.0008183602412701542,0.016081401496086195,0.04269108468253283,0.013957759167650415
TAC1,0.008343422046670951,-0.016851665868060223,-0.00948286779044462,0.07104541987039027,-0.0235636244873923,-0.038595956182280636,,,,,,-0.013610042604744592,0.12060250640322893,-0.007088978322596894
RARRES2,0.04804740200879935,-0.008327429264058496,0.013837875998921874,0.06404896232818917,-0.026867045968733138,0.05148967607533267,-0.030185685645639154,0.04768810607641226,-0.08474845181578437,-0.05259265833383566,0.03670265425027127,-0.00549583633333721,0.09015647392029819,-0.07989414986136058
FGF7,0.01177589414437691,0.018489571413257987,0.00017480575512928461,-0.032097373315838125,0.028144234721658067,-0.055721478284554087,-0.019168315371762897,-0.004118593671463095,-0.02679473658451488,0.06617439728938143,-0.00767572975773652,0.024781571817582285,0.056809299357389514,0.05847327545913889
EFNA2,,,,,,,,,,0.007510325296763239,,,,
