,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,0.05052271805312136,,,,,
BMP1,0.030947060435389178,0.05824097772158846,0.016134361106338042,0.034372103056231,-0.004534720100444478,0.16598395759346743,-0.015271219145794502,-0.04340987273495828,0.016860165339414163,0.03096104185100356,-0.04107150914085789
NDP,0.044279447840718626,0.0027885380791262157,-0.012445395281155548,0.02811132538659072,-0.012138341278934074,0.01785248365892345,0.043193504887392736,-0.08100974643038014,-0.004059866923131602,0.012155589508680398,-0.024378756984535798
TNFSF18,-0.02450430544503359,-0.024830504610871256,-0.01845548281020903,,-0.014612395850449718,0.030123414645329128,,-0.04782902805075787,,,
IL36G,,,,,,,0.02535333805870402,,,,
RTN4,-0.05678159510745555,0.029135293078351044,-0.008624398844981026,0.025574781164606434,-0.0725859001587127,-0.13224737608461073,-0.0534266880476427,-0.06427868164118761,-0.030573588470926127,-0.05226114027117726,0.06570544554603133
HEBP1,0.0512081229004988,0.012275961150487909,-0.05138621353833305,-0.017684939676564652,0.03903515212951123,0.04772046876219877,-0.007385846966103751,-0.05094156422436533,0.004590264286982203,0.06795248037456816,0.04201124972216
WNT7B,-0.021587525600885574,0.039913981051374565,-0.01862856209762137,-0.03210226108969949,0.001511716812798717,-0.08500247452032365,-0.017926775654611204,,0.054500384620663575,0.01936208653320554,0.03317896090590539
PTMA,0.0003666958310903378,0.04351415048070791,0.009114756822785302,0.034056278912528104,0.07336052419610899,-0.1384238536121086,0.08529414112323037,0.06336736653831848,-0.05459575665877295,-0.03927285733809296,0.043764256987187146
FASLG,-0.02158753170362376,,,,,,,,,,
CEACAM1,-0.029974476697806646,-0.01580393568753256,-0.01429630097736049,-0.021034105930009935,,0.05481854026286148,,-0.03363192399315006,-0.0021981503960208006,0.03478698677378105,-0.017163928396483053
PDAP1,0.016752111457242112,0.062385076356516314,0.05840641870001721,-0.0025161678238400887,0.039433294742302394,0.07882631786453845,0.05942666862705204,0.04081670117654318,-0.012650267686154513,-0.0052163763040965535,0.06120987060735954
QDPR,-0.048423926359766334,0.06918743225011319,-0.0010896036641406851,0.011870977980799587,-0.04362067481390054,-0.13138314596376904,0.03380564977290681,0.06003682077180502,0.004038735141004414,0.04509033420012942,-0.010020597911877142
POMC,-0.0005174834264401859,0.038919886949756795,-0.02540224596777595,-0.02608485938736959,-0.01916974792467643,-0.0022596254336088644,-0.034944751500919136,0.08741564278291407,0.027692777213014188,-0.015908098057521778,-0.028077932106352958
CCL18,,-0.019721818518551773,,,,,,,0.01606527770697868,0.09551773290355248,-0.025911404662352904
CCL17,,,,0.05797031247137343,,,-0.014899819313417523,,-0.015465280008556457,-0.023177465863781204,
VEGFD,,-0.019721824781152864,-0.02047658289226601,0.024947868444262892,,0.1281186628395548,0.1510996303826895,0.08776318082879193,,-0.01605573806278829,
TNFSF13,,-0.01488272184950288,,-0.014820284328172586,-0.014170975657206182,,,,0.02828055668662556,-0.025193112981582978,0.01856494516025819
WNT5A,0.017333995928721504,0.026082879890660767,0.01924899396614882,0.018696354912087824,0.0848857239975576,0.09235250812632385,0.00024998392278205146,-0.008526376842041855,0.025945876939569484,0.014991719519256336,0.040542309948801376
CXCL8,,-0.04150970811127959,-0.019173058534543225,-0.04287895910360843,-0.0019549335950986364,0.00622758686698735,-0.01750400907592059,0.047074857702046134,-0.04788162595032407,-0.04385275852550045,0.0004637899239550778
GRN,-0.1524851518023159,0.08689358139512073,-0.019241006121054394,-0.0039048965639467215,-0.01802514736986285,0.14602333206884469,-0.03265762726235262,-0.040398634643139954,0.008853326780027754,-0.00017477947307371962,-0.07247353998194651
MIA,0.08639901286125964,-0.022467302558227268,-0.018210440839124563,0.027445973367487598,-0.02562385701977796,0.05911692960682037,-0.021869726564728516,0.04473448529089362,0.09135691901533122,0.01976099416039868,-0.030537632412459714
COL4A4,-0.025000992139523108,0.06106733143351,-0.009456788545826744,0.07233300845742804,0.09565913985717317,0.052285739085581005,-0.004831339731667997,-0.03580111970626458,0.1597857030563564,-0.025707747096269724,0.009851894449343297
TAC1,-0.00015674274138908128,0.032836822636376946,-0.003049091716423252,0.06600801067362198,-0.012411085061007878,-0.10961310842055327,-0.03759643832275776,,,,0.01944485835688602
RARRES2,0.0894973656769987,0.04627551404446331,0.02941250616592501,0.044266671664027826,0.02823811140455888,0.12597633164403454,0.050335108431041276,-0.02731323091014039,0.02314061589120399,0.00022795227275533846,-0.06991420659486364
FGF7,-0.04763825573161447,,-0.00884485135873114,0.0305502581128473,0.009083270231711064,0.06655506554690813,0.050773560874968586,0.059858417980023684,-0.030896041460035294,-0.035479211380262436,0.028160338362772704
EFNA2,,,,,,,,,,-0.01525990452928275,
HBEGF,-0.03604460177559822,0.05310576134178949,0.03362478883493807,-0.013401003173999445,0.06381564713078812,0.07751508115446759,0.017807742171515605,0.17684982682187,0.03322403298617871,-0.010906596253250972,0.013870646611368904
CSF3,,,,-0.025608958885185034,,0.06807540245732918,,,-0.021179264412936397,-0.04039206333415891,-0.024606835926078797
PI3,,0.06413234338793837,,-0.01677953895874008,,0.11093467408710116,,,-0.06356528622571532,-0.018607622084124028,0.017611007827921726
PCSK1N,0.04632531816054381,0.047262162538110414,-0.00505550820392064,0.07212284648473044,-0.024382604062542227,-0.0289463796452369,-0.06590182763847087,0.03861007593952274,-0.022885432825827987,0.010440645823682001,0.015079351009258916
NTS,,,,,0.05064465759026525,0.0018000247012712818,,,0.01505870258361087,-0.01859129789720027,0.0043763118183587245
SFRP1,-0.03141038683611572,0.009298488316057625,-0.008389843107373784,-0.018747014357933484,0.04223241336110394,0.08731178498799,-0.009327723597855267,0.10259972687494848,0.07849601053353375,0.03591679565221711,0.06904861402381823
CXCL13,,,-0.03456968228888358,,,,,,-0.02185106821348489,-0.027781488376124375,-0.04013886997634944
MICA,-0.013650739044201289,-0.04442644946051235,-0.025761974885636526,-0.019211444537420925,0.13832890087279448,0.08401461210368395,-0.02794546167986294,0.04890173036124026,0.020692747609037596,0.09972288744463582,0.022846874786363183
TG,0.013198527299206179,-0.020006947461395187,-0.002840633390988123,-0.020230998661248934,-0.018998889875410815,0.07434581697036731,0.023731535000435393,0.008988060657384828,0.06388326133964169,-0.022897215694644583,0.12769840192139786
