,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.002623862365753543,,,,,,,,,,,-0.023728295007882663,
BMP1,0.00485182790313014,0.0323388506665148,0.0735129073178456,0.004485227533005288,-0.020112370910814713,-0.029976920414131532,0.17528699349438842,-0.028524345159866127,-0.0073533144973235215,0.008279309007340717,0.05739100470889261,0.12478931953388124,0.05464203675639925,0.12766783111541108,0.04494525822754016,0.08395046100206978,0.04551658484880189,0.0593630138508341,-0.01663999563541625
NDP,-0.07506330746655318,0.017874517840147375,-0.025405125162629043,-0.024774634102339845,-0.029947612339117965,0.018720159870050494,-0.008889284180848023,0.0605023455437507,0.009637797197227113,0.002769426045561367,0.03084566867997028,0.10180491830031801,0.025693805491178393,0.021199697559484434,0.0251409083760063,0.10003920728914828,-0.08796875781724257,0.026476312629898635,-0.08759443063646564
TNFSF18,0.08018782536737418,0.023969646855688337,-0.003709673276240767,,,-0.01476970484844167,0.06250243019923296,-0.015882541520189763,,,,0.24286251369196712,,,,,,0.054590019134149154,0.02613588643944386
IL36G,,,,,,,,,,,-0.016310187738822802,,,,,,,,
RTN4,-0.08390086727319798,-0.04122749253051982,0.023419105908398623,0.011872711283319673,0.007821918244249935,0.08005108619768364,-0.14958543347661762,0.009084857489054536,-0.017889224171603185,-0.06184921945735914,-0.024350932630511957,-0.05492776604611812,0.009430416086213306,-0.07582423556319581,-0.06191746617621816,-0.05773370041754722,0.02660528835282755,0.011154478113356764,0.005876387209060625
HEBP1,0.042958334021599126,0.03757967930152139,0.037157572714522635,0.03772415133508065,-0.026542383820458613,0.01765802588989374,0.0765126987950005,0.08591457257210898,0.014194237145143396,-0.005222743135220741,0.027278074896966886,0.031497296228294336,0.044358195455866126,-0.021384609623978368,-0.026197280789352666,0.0521599179598132,0.00016574695279763472,0.052484632037201946,0.012632699178129939
WNT7B,0.025106147689759602,0.016294150421763895,-0.01722763696686439,-0.01052458382631055,-0.014119328544477389,-0.004253193000862182,-0.07697346254245252,-0.04552582679893729,-0.011083479878930713,,-0.017926775933827147,-0.03922331399399914,0.04688727974326406,0.20165868259027708,0.05596255646695892,-0.03832007744655109,-0.032797883256547845,-0.024371855805319576,0.005826492956166174
PTMA,0.08689322716972277,-0.06486183457403605,0.014332527710187531,0.043612770584233254,-0.02571996802538821,-0.08532816646886598,-0.14527666590391689,-0.0028397608429715743,-0.05509364433721122,0.10752357075481477,0.0035290048859107923,0.026725906540020865,-0.056679936227373044,-0.08325436844066629,-0.015224180164989,-0.045073536695273364,-0.02785988798467744,0.024496167762894896,-0.012072271570219433
FASLG,,,,,,,,,,,,,,,,,,-0.02057954216531182,
CEACAM1,,0.004744296182382153,-0.013221175199477332,0.031093160670631063,0.007572621482990348,,-0.013109206483345417,-0.0025471448841964403,,,,,-0.013133690655051437,-0.03203773010576054,-0.04050720401715194,-0.021645046882334543,-0.021768432119960185,-0.028633410338464477,
PDAP1,0.020614132845039983,-0.03158163225424429,-0.03622634951120451,0.00939775362596674,-0.005604944355881562,-0.04229576487559579,0.06364164326455832,-0.022666486655011798,-0.01292762314053025,0.0024012513899119795,0.025027198748269242,0.03212812360310241,-0.059758638691646986,0.03200852602174605,-0.041874167261544554,-0.040525755493172985,-0.039794742767366456,-0.04928681316751569,-0.027101920991910857
QDPR,-0.022014473531060338,-0.041290818375587755,-0.027815415128374456,-0.05625913103282246,0.0125898837832458,0.05666278827600632,-0.14335947566532614,0.07359399387122677,-0.03518279307166356,0.06160510685721323,0.02653832707166827,0.0026413041917035677,0.11681526730616218,-0.13870871368425883,0.025285607695246196,0.03471507709482677,-0.027719754013302095,0.026902416532099932,-0.05631147202693206
POMC,0.020762255394229552,0.012409081332016913,0.0047586583594708175,0.04813273811175275,0.030184817142935576,-0.008661056257876679,0.04507727738453789,0.011807943886816222,-0.029810163171851187,0.0511547339404072,0.014776357170158185,0.06335255582525563,-0.08635456498358085,0.07850375623587673,0.02838040866195386,0.003235978369974955,-0.035610295324422024,0.0034719734402773386,0.10576084142622888
CCL18,-0.05009982266251655,-0.04076735514061117,,,,,,,,0.12037601820330684,,,0.12274208381084774,-0.022715277395796353,0.04645636358633623,0.09666166024522797,-0.0383143836894494,,
CCL17,,,,0.009184559129750395,,,,0.00836797844198494,0.13453092056200236,,0.07384086017251014,,,,-0.02873790064638369,0.0733266545194785,,-0.01865304348652157,
VEGFD,0.08109084969180048,-0.02528909017415596,0.016453751381207672,-0.03287716162016962,0.03428032215917542,,-0.01843765428380323,-0.021104410784275905,-0.010062495733318933,-0.029580206907632977,0.13163172662043293,,0.07263839327379404,,,-0.020735725829094182,,,
TNFSF13,,0.0026745827293540754,,-0.02035519071361572,,-0.014323532568750215,,,,,,,,,-0.007104927231311553,0.03687684627583173,-0.024444490295206154,0.03716324294444304,-0.03268962253264582
