,UKF248,UKF251,UKF259,UKF260,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk
BMP1,-0.01400201896775979,-0.004210147713680745,-0.051004635295747024,-0.03673761718211706,0.030823632264073926,0.037533548783622715,0.07479987647265181,-0.08423203382607618,-0.02783514127077293
NDP,0.02251292687214403,0.050661867630314786,0.03378138154535307,-0.03398214036817456,-0.011309375851200771,0.07874537952868332,0.06994854618157996,-0.017155698573193073,-0.007710437555180595
TNFSF18,0.04705072836108412,-0.02936183593743996,,,0.011405307877613699,,-0.052880477354452775,,
IL36G,,,,,,-0.018536728111001405,,,
RTN4,-0.07726410028284396,0.04721884496371487,-0.008779880354904124,0.03670406087202593,-0.0212672412600838,-0.050040709467940335,0.12360302377994109,-0.021477878583218157,-0.0320195886753074
HEBP1,0.028617979885071285,0.024536168474931536,0.033609045616534675,0.0033408642596057785,0.004298558452131949,0.003747587129311633,0.014756440550891321,-0.04278534376269716,-0.05038519548230009
WNT7B,-0.015553554981281975,0.0522452853274359,-0.026695714406282843,-0.012686480981058677,-0.03346462612583523,-0.020374000392479934,,-0.03572386774904359,0.022466310276988033
PTMA,0.017793638464496355,0.00019503795863194982,-0.014846523404960633,-0.006403550840386178,-0.022859812982523958,0.05893495408580715,-0.05716334536920117,-0.06880813171929152,-0.046755753799827056
CEACAM1,0.01447563953691349,-0.013997076336599879,0.00781690894892478,-0.02591795396555707,-0.01836162348633581,,-0.046915565788501784,0.05629447198056737,-0.0184898898645241
PDAP1,-0.006658771445663729,0.030947019981123106,0.024249081813947082,0.05021015976664175,0.005469424594372359,0.02884423150047639,0.00928643501892244,0.05327768525986265,-0.027866968692590147
QDPR,0.04599495456599847,-0.018285118946294403,0.0160321860037971,-0.10180787303799922,0.024893039161612764,-0.018570353013732208,-0.012410966680151228,-0.06474397787327854,0.0062181912990472415
POMC,0.001965802352305434,0.029273464424129324,0.011599633979231624,-0.02799243353727824,-0.013546473694648937,0.059187827019851466,-0.03311178465488078,0.026147353478089844,-0.03351392970406029
CCL18,0.017397375067726782,,,,,,,-0.02271528214139344,0.047981020897846116
CCL17,,,-0.0017181786603729546,,-0.01456070453984554,0.003120356413034164,,,-0.013117681923054394
VEGFD,0.0025512169207258352,-0.020048003627626435,0.03818840202820539,0.01863602546015659,-0.015513199125871216,-0.01814850730771378,-0.03298946365097932,,
TNFSF13,-0.01889121294978752,,0.010549695800510175,,,,,,-0.025170861304288288
WNT5A,-0.026218830760425114,-0.002695810661275532,0.018213024462116912,-0.02567558355590846,0.0032433660974871843,0.07585500184084729,0.03539095937131721,0.07793454283632066,-0.026636102085348057
