,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.06093671810966573,,,,,,,,,
BMP1,-0.011615946495311258,0.02159356583652584,0.06518126155693667,0.03139227101457837,0.005138268319688185,-0.10768792994282121,-0.113668560885819,-0.398245054878578,-0.07642173358698039,-0.03866201923797199,-0.05517332498107517,-0.18630344426372697,-0.005498344973255517,-0.02600638760993319,0.045325821950625574,-0.024760582267182453,0.03944367142144158
NDP,0.027374954482246763,0.04423609554709255,0.016786505032167564,0.06698896794809461,-0.020720955803501976,0.1377648625343458,-0.004896902745311728,-0.11975210849104335,0.12495339105543676,0.028210307491222365,-0.09573506168542724,0.0063058515562037926,-0.006309451723308792,0.014062509740226293,0.052550383085867264,0.004851882597573013,-0.043174821888749236
TNFSF18,-0.013157150885123526,0.024135404326905877,-0.009823531006488426,,,,-0.020148434920483883,-0.09048919702244565,-0.054308616203918726,,,,,,-0.005610508463442327,-0.08656620569437945,
IL36G,,,,,,,,,,,,-0.038669473559025995,,,,,
RTN4,0.21654584282035932,0.12495689782361319,-0.05619848991790878,0.019755902377710514,0.04924850022175686,0.2619109058421009,0.32293107401593263,0.5192294644917308,0.24438307662685135,0.185380398679258,0.25252622656417495,0.28081276524772686,-0.026618964431226494,-0.06632717441725923,-0.05742867642660085,0.29393636313370386,0.14120077391843888
HEBP1,-0.06613806394198322,0.02979329987798918,0.013154006115134361,-0.06558599236966269,0.001736386444561093,-0.03903230111402156,-0.11557356703299837,-0.1692676202999609,0.0025733779193484077,-0.050491875586311186,-0.16271896516464907,-0.01682363929638279,0.0401679982898721,0.016800906206510764,-0.07100550269923148,0.025050457153407667,-0.08990975542527482
WNT7B,0.29835002758248635,0.037615508044149114,0.05676176940359076,0.018211959142979527,0.020095456336017663,0.09159271847339007,0.08400494266864947,0.3806616973975455,0.034136025408115625,0.01575677912803147,,0.026977639566224544,0.07176758531698225,-0.03447285334183375,-0.06033600267599625,0.04652306428603457,0.12602093599510056
PTMA,0.02741791358018778,0.054394510104139995,0.07822889204338279,0.22816460733307672,-0.05390352962019618,-0.215336076641459,-0.35007930680787575,0.15980364004361228,0.08341224311971854,-0.10666859974902283,-0.4300962214958703,-0.3257309154304289,-0.05189963724557365,-0.1399422523686067,-0.09645858738974976,-0.1888313593518347,-0.311687331366607
CEACAM1,,0.026440253730408574,0.0039001328727182537,,0.019126206948299754,-0.005238934071235042,,-0.11907862940224555,-0.004871460268848939,,,,-0.0187637893835166,-0.022880134125827623,,,
PDAP1,-0.11803279019177164,0.035870889241120266,0.05612369316646345,-0.04068596001180492,0.03219121335186578,-0.09108275278797878,-0.14852374106338706,-0.24955522066137212,0.025289327044892857,-0.04154912432617073,-0.005640885212253801,-0.16921193715813232,-0.01601029005420588,-0.05363781936878613,-0.004547432227189524,0.025346132643831353,0.04931782695140226
QDPR,0.14368507182356025,-0.004318796629259443,-0.0528742415635715,0.07627830738885318,0.03424890097425757,0.28192918564359143,0.03183345223597072,0.13577231505790527,0.09758026122320922,0.05441860590465437,-0.3408992640183327,0.03504382987973802,0.06375426267990475,0.0659993846534659,-0.006630119823189977,0.15557763572172578,-0.0361242945303638
POMC,0.07468548629301312,0.0348886212029251,-0.017866347972692143,,-0.006296808315759326,0.12841613494098217,0.063209958161106,0.004076477445971943,-0.034081663253121314,-0.050002023925337535,-0.006530818540796097,0.06779142062093081,-0.026020282514503303,0.0017838909141386498,,-0.06590711797735649,0.007011065282878604
CCL18,-0.04186054550695506,-0.026136011840873517,,,,,,,,,-0.1239705016441178,,-0.03433750440404625,-0.0007038757168330326,,,
CCL17,,,,,0.04894009135137408,,,,-0.011387819253354012,-0.0016619718690028594,,-0.03532566192215236,-0.013312000374670204,,,,
VEGFD,-0.02085405066547158,0.029040431812859476,0.007732582106560588,,0.03110051139668812,0.009968267786639812,,-0.06812199348177682,-0.039411955914425756,-0.009331199286377588,0.13719515254037848,-0.037859606035593685,,,,,
TNFSF13,,0.038631072483238264,,,0.07550971510978605,,0.030459781668053774,,,,,,-0.008392124947549118,0.003603942835038164,,-0.021410426869411393,
WNT5A,-0.008780764846831777,0.009433983348574669,-0.04069859743549358,0.12174041976762676,0.06668225460352789,-0.09245313992527371,-0.1913610767306863,-0.3398297029762156,-0.04106818116288719,-0.030408965302957485,0.023084049966547348,-0.0399795605030194,0.04585848848069587,0.030943140487995496,-0.0023020479863924974,-0.14750693879319132,0.012807320655846733
CXCL8,-0.09193288151244056,-0.0035617070660979126,-0.046189795639951695,-0.13978657701105723,-0.03494911124760921,-0.1532924759898001,0.030205535600008465,-0.16205607111661055,-0.16922201953952198,-0.02454658870676607,-0.11431038633778356,-0.08787700198516901,-0.04240838952067785,0.004202057389057054,0.08092642143077879,-0.2027274678105035,0.07980518662613477
GRN,-0.044085530970750804,-0.035840616112020995,0.023878367110687585,0.1098242594054112,0.011852355162023119,-0.1072797108639749,-0.18756141905941032,-0.4065839360191446,0.02001393882115962,-0.10381098488413175,-0.24935470811036187,0.007594415549290577,0.008889174279752417,0.15067680354788424,0.07285949617914395,0.06568058151988174,-0.06460655077569502
MIA,0.021694129092140024,0.04393391046334416,-0.00954887438878322,-0.007456866209041889,-0.037305523273627156,-0.09563676964972302,-0.029452596410579707,-0.15483987008222083,-0.05269277646361191,-0.05496260659696853,,-0.023162550535182302,0.0661958217755176,0.008477967604860205,,0.023518390290333598,
COL4A4,-0.019513391441075105,0.028119826988722205,0.032826790977815504,-0.03767408430061613,0.020328875198957177,-0.10070670128818168,-0.07009807309148332,-0.010612956882208556,0.046784979646173924,0.01620701189926072,,-0.023126276210792943,-0.010212168038815455,0.04811193683722213,,-0.12420295663497415,
TAC1,0.272018082661736,0.28806872827411595,0.02321428402162306,0.2422154636268786,0.23263056723055792,0.4198975121277318,0.32529837313616444,0.5578876294008126,0.3343303928422972,0.21749102549468094,0.3770999303382918,0.2465827551564492,,0.1042786845013243,0.08465564664549789,0.4283121518740058,0.42521068304837584
RARRES2,0.10024879140052634,0.05852523646351968,0.032961152690172635,-0.11336996008121163,0.03961463212475626,-0.2425942187075503,-0.18142156708339682,-0.43530705972612344,0.13340427442337024,0.004937924489501836,-0.0803734784954652,-0.12840245014949367,-0.027999834536406712,0.09344424745191568,0.0091119048318516,-0.15569593741342627,0.04528214045547075
FGF7,-0.057245663732564754,,-0.01842596143960235,-0.04981619480546313,0.062022117946491505,0.1406074742119294,0.04716521106467614,-0.05751577833387413,-0.04255862014674935,0.05004596402624352,0.09362306845025643,0.022084294857891304,0.021206422387855365,-0.0009117882770483584,0.04174046803042033,0.07880639868208508,-0.05598115256592963
HBEGF,0.012671883343036521,-0.005392867349926737,0.06577956926238042,-0.09485610858640386,0.011821591546501569,-0.15841980389669563,-0.1639241432665832,-0.2059809389773741,-0.2834775965681115,-0.020932443768693115,-0.14519413329528125,-0.02234496681158838,-0.0053579609637916985,0.0027687594244874673,-0.05899418414775574,-0.13506482836107045,0.043078748824447705
CSF3,-0.04747936310620546,,,-0.049433092690607736,-0.0031969720080794297,-0.010612434376004079,,-0.03422947235644131,,,,,0.014897419494614051,-0.032801797665170794,-0.010347873793296677,-0.08675619812022198,
PI3,-0.056246385768614224,0.005756544473199706,,-0.09735679220573415,0.0016252378144589487,-0.08021277276209424,,-0.07153592973634648,,,,,-0.050267576681144774,0.03908980011394148,,-0.09485307472392207,
PCSK1N,0.18650999248948702,0.10982156605705788,0.008828949202751913,0.18293129605560773,0.020221470584999537,0.022485182725775044,0.14215733535094977,0.25909851891101415,-0.11290665770257186,0.13306747324858056,0.41623526495682356,0.2789453917403256,-0.02570804706569139,-0.027649651241619166,0.035254633850669424,0.28826217232932055,0.26796363967945386
NTS,,,,,,-0.12915230869737584,0.012358591884171604,-0.07808635184040966,-0.04074306210450688,-0.03379671123101349,-0.06082576559018856,,-0.031055511145936448,-0.05420154961913546,,,
SFRP1,0.15914379859039857,0.05922513076299955,0.025454872521013742,,0.1298768816605481,0.20243757431225348,-0.057563061759466,-0.033621050871169934,-0.04143928328496224,0.08743378911590954,-0.12071632179909825,0.06717216847393254,-0.004886474962015666,-0.0433904949775319,-0.0362586173525102,-0.027426239439208033,0.007417757419481985
CXCL13,,,-0.011852204150613953,0.025663121722253848,,0.017055536142384756,,,,,,,0.0004089637005379054,0.04655113274062283,,-0.03930435276719582,
MICA,-0.06116381621402478,-0.05614120950278852,0.06103844443574818,-0.016851431382575114,-0.021069566904900437,0.010608424808945322,-0.051765520111491645,-0.1628582751991744,0.004240098970399538,0.03714349089975638,0.037531927870907034,-0.11697490320531857,0.049300186858502126,-0.01614294542866944,-0.044281137901779725,-0.01154710309299536,0.11924254920878022
TG,0.008819572559994488,0.04094215688253299,-0.006667056886859553,,0.0032982084088884517,0.05688239116324725,0.009998356745863099,-0.036878448535282715,-0.032675654006457736,-0.024622503704898425,,-0.02425142123711733,-0.01768832030709835,-0.012506301874009466,,0.03625492159478273,
ADA,-0.008092684223850816,-0.012123969553900353,-0.023593906205495594,0.07653207487253877,0.052696683912007186,-0.014078003616436217,-0.06524699978376859,-0.30919150429417336,-0.06563103231089816,-0.013174697315025897,-0.1707031562897205,-0.08355457379456588,0.04436527176112931,0.04864315265189961,0.07026510120546017,0.05314751167442043,0.20535895246877037
LAMC3,-0.004947663593336152,0.03389452717758338,0.0439274648472107,0.14423354698604246,0.008029015793407193,0.04739969597191963,-0.08727995665255019,-0.2198437120342468,-0.07575763604700579,-0.03270770281518072,-0.06737284598233474,-0.00336886746047156,0.051013686613955854,-0.022321932424437245,0.000824803454663472,0.12070773221030408,-0.02929801647965464
CCL7,,0.03344307399729584,,,-0.026400564825201363,-0.018442990931050857,,,,,,,0.10974310504995743,,,-0.13750447061564133,
NGF,-0.027354210757527725,-0.005378174880768967,,,0.017958929487097226,0.04719935932662876,0.015447707895481668,,,,0.11821877255619104,,0.013931859178314908,0.012998516509336474,,0.07574846776018046,
TNFSF15,-0.03384057260574148,,,,-0.02257283054000072,0.05203768200437499,-0.04948635101311865,,,,,,0.09283734697851358,-0.02036935321268815,,-0.02003884538227634,
HMGB1,0.09994868011580933,0.04283732186949075,0.027028972621119262,0.188709697304175,0.07344273468601385,0.028729026857740165,-0.04674952531133541,-0.37664546642352725,0.1708824968556432,-0.04447460408764626,-0.13286098510526315,0.023147671020826783,0.013576504937772776,-0.025216809097956927,-0.07961126655646047,0.09774795428510143,-0.1148328387919132
ITGB3BP,-0.14656357140253481,0.0009048442644104195,0.09890198848556364,-0.01902360412956156,-0.04843892200612542,0.03669131947939289,-0.1872373748098087,-0.3287796981486476,-0.07133704279674082,-0.030806613427604653,-0.029339998136387508,-0.10791949275433926,0.015391590574093568,0.004472466528333343,0.04289236525084201,0.008273347632556986,0.029289948826919477
