,MGH258,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0008418014468649868,,,,,-0.0035516538138221244,0.059521948139488697,
BMP1,0.013562409794973891,-0.013078417720796574,0.006307333396306176,0.015098172939604219,-0.016338796044692218,0.08965627311473821,0.0299392146532526,-0.014373405280764058,-0.08257809671501164,0.07163536282265417,0.007478939708860421,-0.007559156530361737,0.03616965465145812
NDP,0.036351775681199364,0.0571746894500517,0.07807350703213142,0.06047543184521337,-0.014990459792844288,-0.00586631115232104,-0.0018564967351819067,0.04099740870649135,0.0167628222676783,0.04208529680189909,-0.08166939211038018,0.04519384941353551,0.08381346360995048
TNFSF18,-0.0039286504922437255,0.07235127175727163,,,-0.011833033994616975,0.11592020076027636,-0.014339158375271666,,0.03854425194295663,,-0.02513722712558527,0.03042498209557436,0.10619615143907707
RTN4,0.0036983179233754694,-0.10539672078691452,-0.028972030161221424,0.03367387811242632,-0.005794564162843959,-0.09802846357022349,0.02889551293422234,0.03599626798488264,0.030140303258165947,-0.1198146804899533,-0.014715325959984798,0.0069699202101547635,-0.17933806677588127
HEBP1,0.05989564270247657,0.026385088697613215,-0.0028080565759755895,-0.04141285456900815,-0.014885116905498465,0.01350252060892144,-0.011955970109997072,-0.0026426239177816018,-0.011368164927678781,0.008831512995615208,-0.015323970546744342,0.050532067326790546,0.04941154207036989
WNT7B,-0.021188863718254385,-0.02066157865770597,0.016037289450718865,0.01673114111545827,-0.006653209791775548,-0.034719050935775105,-0.011731165981610935,-0.014137971819613737,,-0.02251420009470933,0.05236724963440793,0.028330094096537962,-0.006622686476238444
PTMA,-0.054791468207547316,-0.12847266102095936,-0.028500956470783167,-0.0004040919685769778,0.03035684189350432,-0.06577704861191506,0.04572094864457194,-0.015321227592849105,-0.07096435877135555,-0.0483433597784397,0.013523351786404443,-0.13758308419342394,-0.006128727883250171
FASLG,0.06778899835822165,,,,,,,,,,,-0.0252751134272433,
CEACAM1,0.0031539101781121962,,0.04240015547627966,-0.014122257985585186,,0.04554940916846404,0.03835214040664368,,0.007995731048483782,0.020626873983216134,0.05342176757831633,-0.023136678859863556,
PDAP1,0.04078626982754612,-0.005920052985637023,0.06872514830136002,-0.07098563992139467,0.03226014773052503,0.03619497812446809,0.0314746110428193,0.0896732734485617,0.03216766605158967,-0.062197878734483535,-0.018436966998672213,0.01474884597215132,-0.005844651831229275
QDPR,-0.03329111157996223,0.08030969601612463,0.015618529109139957,0.004911580328229203,-0.02680166056463197,-0.11539422251236328,0.01039938780283998,-0.006140022565568104,-0.004305418224537671,-0.10590254845755791,-0.022253332313938494,0.044292015737386066,-0.05674347865975043
POMC,0.0327037660506954,0.1407999444537413,-0.026234230049316173,0.025973625194948294,0.01675743003386135,-0.017216173622090995,-0.01663802546473105,-0.029811668918286665,0.0968888651722006,0.0532123548865514,-0.040533252127565624,0.054932505058922027,0.008039101697744355
CCL18,,-0.03165774187980075,,,,,,,,-0.026134522964817514,,,
CCL17,,,-0.0218009332992877,,,,-0.017883722242347983,-0.01749884584391124,,,-0.032136671345137126,-0.022909051430687694,
VEGFD,,-0.00209049213323028,-0.024288647166376756,-0.013511376864366334,,-0.03269357380812526,-0.019053593423183315,-0.012835615047498196,-0.08011872869725463,,-0.03389426930740039,,
TNFSF13,,,-0.01503779587055393,,-0.011475574464638502,,,,,,-0.03446242400336485,0.028942291212137816,0.058684317456019174
WNT5A,0.0511167720310246,0.031212864904869637,0.019105693670260115,-0.022798271837324708,-0.03192715014270176,0.09676867652572498,0.04262377525754931,0.014567615176530548,0.01927267779357226,0.07158967323454299,0.014301996342854192,0.016658482667524167,0.019983120228313313
CXCL8,,-0.08880080257058509,-0.06386944982841179,-0.00503083614267115,0.09597512230850555,-0.04005065890009147,-0.009516249831914323,-0.01195308284332714,0.03588454645578034,0.01641505709602039,0.04888076597544898,0.0407229026237577,0.00692198735596957
GRN,-0.05912037429709616,0.03585352844180389,0.018967874118195675,0.011199890102181516,-0.011326137450128906,0.11335446526008544,-0.002122750698857307,0.033748255049437514,0.004091544744980862,0.016961975283951387,-0.02523378730155591,-0.03753651936101717,-0.047555316588022006
MIA,0.039359107103581904,0.037078325636445454,-0.04590545163323552,0.026427281857234444,-0.020750051825273116,0.07953695700403604,0.005931040962320026,0.04310295710727361,-0.005279307276664663,0.05837650875900909,0.04352731623587937,0.02186567654199832,0.12838640570542845
COL4A4,0.05138934945420545,-0.0021038990257434905,-0.008409247684018607,0.014579112487155035,0.1236978616093021,-0.01923100400299434,-0.018671159319618904,-0.024523158129530195,-0.06273454244673478,0.012713995911247741,0.014307403912358647,0.059341796100841504,0.05967882352471146
TAC1,-0.021188858180299707,-0.01991808431506151,-0.038596922655027344,0.034857559469714486,-0.03248724531076949,-0.06082678574585026,-0.02658669681699975,0.011672343390050901,,,,-0.0022687317351840963,-0.11899780565462155
RARRES2,0.06912024074663715,-0.00463416421828275,-0.04636116562003606,0.013328160083084363,0.007517245764355713,0.0660661993739684,0.031081062220486736,-0.006991668476963042,-0.13117386081331797,0.04261647672011847,0.042095741842585854,0.04332838467776802,-0.016737293376827035
FGF7,-0.018808344706147027,0.01782895127557272,0.015059245021920385,0.004223984685544606,0.019162008562866574,0.066835793814671,-0.027278841215240608,0.06716651601567489,-0.007038481036226124,-0.012272162906120985,0.001747220648637813,0.10821913502654057,0.036850069301608515
HBEGF,0.017119345736658118,0.06814934437343229,0.048058938160097674,0.029278552061287284,0.023700949200300785,0.04179613728590261,0.008812904006695153,-0.03296309015421197,0.007965280014006348,-0.008639691530153303,-0.012866790270141955,-0.045711816478489,0.055127730505926606
CSF3,,-0.019635087613075194,-0.025984811603159436,0.049021107793484855,,-0.0009357896139325,,,,,,0.010653503416905375,0.029209074674714567
PI3,,-0.04253727563198235,-0.04484193976829972,-0.022690110716105105,,0.04640485864497853,,,,,0.009105382897176254,0.005280336152635328,0.010369196275480436
PCSK1N,0.03992402357395711,0.049817999755737336,0.00851247551121777,0.0011399117947628293,-0.01998007990690288,-0.03899385673233563,-0.04800377592749505,0.053094632264288164,-0.010727913333310633,0.04818185667766275,-0.015113736430108509,0.0847276140099273,-0.08246115285927011
NTS,,,,0.021555154202552763,0.014299046342708259,-0.00993284758725942,-0.007712682102023862,-0.00039967947226508436,,,,-0.011149884057659756,
SFRP1,-0.030830323878379324,0.06061782514481674,-0.01902215698797655,-0.015414141144855715,-0.03022258671755821,-0.01684385944494668,-0.011836414069639069,-0.0013315489563802598,0.12566768289051383,0.02075002101807807,0.02096156530570704,0.03744483920898262,-0.03245648224031842
CXCL13,,,,-0.015275610722126562,,,,,,,,,0.08386444509431598
MICA,-0.017031118647455486,0.07877571243900289,0.05889557757873149,-0.024606832973169814,0.02871805583242578,0.039525696475889716,-0.05727750589265213,-0.0378572566018936,-0.002769646674094994,0.007737065744389587,-0.07647098969238694,0.06779690847049294,0.043832846367981085
TG,-0.024539287442199253,0.11556003453922196,0.021767938543922005,0.0031033618564275936,0.0801851196984668,0.039783437925587584,-0.018017173376642038,0.07560806468306862,0.06161804724360564,0.024837313106015724,,0.06422528910606426,-0.038452238287070846
ADA,0.004360240909619116,0.04469216956627562,0.015751270851187223,-0.039040608899936456,-0.0058029791111950425,0.09553485595881583,-0.030290040218228006,-0.02056709255071237,0.07607570533879668,0.029540379355067967,-0.08195843537581295,-0.0038966810435193486,0.04487581399795046
LAMC3,0.010715156233718584,-0.07471914630779554,0.048450598919623174,-0.017652762747081763,-0.00042730302750299454,0.10669761184052479,-0.01906057116778843,0.00414531330577775,0.010614845772268568,0.11951528335226139,-0.043749679606126995,-0.017779601458704393,-0.011087918963471399
CCL7,,,-0.014841654194169522,-0.020252639525722503,,,,,,,,0.08712310057487567,-0.049785512601742805
NGF,,-0.020687082143819695,-0.034006020495304136,0.044268287987812356,-0.01468159934765643,,,,-0.07285718542034887,-0.0027216068860830686,,0.008107781651464032,-0.005889757441559125
TNFSF15,,-0.02559250243022329,-0.016526907841215795,-0.014994985579080477,-0.01782668029997018,,,,-0.012975141065890844,0.05371476888978107,,-0.015900072620382833,0.007069730704771284
HMGB1,-0.03976625154642363,0.030829776452662442,0.0037831278545953175,0.04404978462761118,0.07730801537182684,0.03626685144243677,0.016456950598259173,0.02349399271746986,-0.03464685216229018,-0.03693127162923849,-0.009663843398478422,-0.022174764794273247,-0.02434199450781314
ITGB3BP,0.021901035841062087,0.01258425940238894,-0.019401534421068473,0.015140633556165375,0.056428995289034056,0.07009192800708867,0.029481092874443983,0.037507478812551134,0.09100476633891062,-0.030326154835213937,-0.00328103175417101,0.03475301301138932,0.006227757332712395
AANAT,,-0.03707832370891577,-0.015037797475509262,0.04097653422145886,,-0.018352671542747417,-0.016202949310303135,0.024811718720879845,,-0.0019432542710631224,0.04222340627044161,0.01987907014053189,-0.026266386135587766
RELN,0.003246027746596586,0.09497354037031992,0.019656996773178673,-0.012797490925058662,0.02229417675722254,-0.05385249664149202,0.10394549120363844,0.007117507949340021,-0.06277627277014758,,-0.027255085731304925,,-0.06095540811729317
IL15,0.018608524343381696,-0.036379300441773836,-0.021865158327711336,0.04821257357699295,0.21972818688890947,0.08670436759295853,0.007992257224998519,0.0265498611274733,-0.034201040446246965,0.06672826355319218,0.0385488696803945,0.043903227224789995,0.00035929072206722677
UTS2,,,,,,0.07348196800875433,,,,,,,
BSG,0.06896327232847178,0.06917648732830745,-0.03620060245729616,-0.042226931764145374,-0.02449070520657928,0.031939039645761294,-0.03731550042268335,0.03259772778799786,-0.044708755964198904,0.04111705641993167,-0.008782243376053114,0.11598705892048593,0.061173235385316424
ADAMTS3,-0.0009053955978586062,0.01601325257180311,0.027060701832032956,-0.03971174972858572,0.12304058265277397,0.08931689535451276,0.06318418768242302,0.03595655745035929,,-0.0325934197798556,-0.052928727670228215,0.02278569187550279,0.04834162630985242
CD34,-0.06150612416959373,-0.022037574180068516,-0.03731582113175008,-0.028231790437900146,0.06153993787539097,0.08507809778941784,-0.03264338811835141,0.04481112249017721,0.07928805765198663,0.02678440548004406,0.01620920582912542,-0.017016567261780784,-0.015571570141647903
CCL23,,,,,,-0.0027252735924182133,,,,,,,
