,UKF248,UKF269,UKF296,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,-0.012030816748186757,,-0.019085639322119805,-0.027000002534443547,
BMP1,0.005072167284262224,0.05144722549505989,0.008914915962022995,-0.0020859681602573427,0.00486330105805334,0.06231301728435365
NDP,0.013598787506462625,-0.0009996962741067091,0.007004360405167953,-0.0773851978422984,0.12459056050662412,0.0249034496485982
TNFSF18,0.018630695565425466,0.06957065779434474,,0.03153697165295484,-0.03578299203909667,-0.022520271174696353
RTN4,0.049228486657213105,-0.042142412941108216,-0.040003365072407274,-0.053820154910310905,-0.025991563687581713,-0.09036056172439227
HEBP1,-0.035955672719686055,-0.004411918535778922,0.013462869153680375,0.019155781403770045,0.07752282982593825,0.011861955919248018
WNT7B,-0.03621164672905388,-0.010201647401663324,-0.03551683860611178,0.008103771295217556,-0.027729440434548624,-0.07076336490422126
PTMA,0.030822064751726042,-0.013368554910940104,0.04419618600980952,0.02338826385951967,-0.1366690114490129,-0.07485680222773827
FASLG,,,,,-0.02341709298693892,
CEACAM1,-0.015573938536887696,0.009125026693825276,,0.04657398189317202,-0.0069657847711955085,
PDAP1,-0.009598349456339765,0.06902989726389773,-0.03809435445599024,-0.06161068746702435,0.014550004068816024,0.089347056328404
QDPR,-0.03330690941888596,-0.07507449824577203,-0.02672940562197005,-0.05950076138193749,0.02550215010030757,-0.032582763244822115
POMC,-0.008000493544129638,-0.030305501441324836,0.012506012737969183,0.005059509780553709,0.03409678635229296,0.02085120070226643
CCL18,-0.019434803805604008,,,,,
CCL17,,,0.001610511654022362,-0.02516331296389499,0.017062019866962604,
VEGFD,0.015981565996906876,-0.020154845244789252,-0.0021238686246479455,-0.026539528537504076,,
TNFSF13,-0.014666131268086748,,,-0.026984398955878116,-0.03458430822962156,0.04930542558401544
WNT5A,-0.04218025489808757,0.030693170005304384,0.07155961135891659,0.07336081610133667,0.028708180339922826,-0.04057837700391181
CXCL8,0.018610244422283078,0.06849322180764048,-0.001774266837032756,-0.004572085652766107,0.013453822109684179,-0.04876862712612045
GRN,0.016890602420397388,0.013129713355871472,-0.02158723420012042,0.024168197777484603,-0.05955272065920032,-0.022883009496586358
MIA,-0.01906173285751247,0.027469596087356007,0.06762552608974429,0.03536568146893079,0.026839531656010336,0.016183453545461
COL4A4,-0.023341041467297128,-0.011855476915954191,-0.03706766148178675,-0.03876204954382496,-0.04830687438755316,-0.021755917548108208
TAC1,-0.05640769616679305,-0.02479790784804827,-0.006665345811697137,,-0.02790237420365871,-0.03585409424239146
RARRES2,-0.013040432151549175,0.027769868499622197,0.007297374278726524,0.05089573717623,0.1257733509844243,-0.016509389394805153
FGF7,,0.04062907778810312,0.03175605568380388,-0.053368109973349225,0.07742414797287471,-0.011264537059057118
HBEGF,-0.012717810752054314,-0.04677434615368052,-0.03338148868116924,-0.032997168900936555,-0.0354373554218822,0.012584431730970746
CSF3,,-0.012542866387484846,,,-0.02234661337991101,0.011639792109980063
PI3,-0.020446233008916435,-0.014123433100225248,,-0.021380338406454813,-0.013685953837244682,-0.010359988109987669
PCSK1N,-0.0036076438251136564,0.04963610733980752,-0.07005748704235802,0.042814689424188576,0.11396916405141719,-0.030145707368063036
NTS,,-0.015416691588735081,-0.01476400808842735,,0.2376163061390986,
SFRP1,0.014513575897895092,-0.017848990275186934,-0.03688095512856757,-0.040357957758874,-0.006921735731490783,-0.03921622390811153
CXCL13,,,,,,0.015769804273488366
MICA,0.02210948408284982,-0.045943013167054444,0.07326842448349712,0.03722488963338556,0.044957276888884505,0.11051896364519491
