,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,,,0.03989387309133379,,,,,,,,0.026390521688969135,,,0.04185673837752371,
BMP1,0.08014266263544084,-0.01418373606168139,0.047678001007203624,0.008637853441323617,0.04880800460566654,-0.03485776285845415,0.019335340183037595,0.05889036806966007,0.11896646679843828,0.02691901165586183,0.023443651595150154,0.05101730068545324,0.03378576127869436,-0.0064311913629938045,0.06857264703022013,0.0041604590787466065,0.06255252622268805,0.009948781567440118,-0.04272293654897847,0.03346921194298476,-0.09477704173560109
NDP,0.09257199249099154,0.0843287332103061,0.04197443262925649,0.005201041020501682,-0.0066764477102310114,-0.02038929345809655,0.05755774249197797,0.005312261468425412,0.032447206914412094,4.999784409591671e-05,0.008717649373899964,0.010604160383555297,-0.04627764587627179,0.08106619040930639,0.037230730040585844,0.014338684343030522,0.07626543819554171,-0.060769266827049424,0.04759699569327431,0.07423778865328623,0.006588819920714028
TNFSF18,0.076876532940598,0.008488875047254471,0.09894185777818246,-0.024457861137708713,,,,0.1341391310309819,-0.03745024633730678,0.06636491028173261,,,0.022096548886310595,,,,-0.021770472749935134,,0.029589415343674555,-0.02477785881246167,
IL36G,,,,,,,,,,,,-0.02626978188931235,,,,,,,,,
RTN4,-0.018851116059675266,-0.08893094556655651,0.03630715832140816,0.010776379270559338,0.006620246989791153,-0.01791969573898453,-0.021856882573854243,-0.08193453197056719,-0.17807748136349377,-0.06009599247471065,-0.06467554429620269,-0.07130407720842129,-0.0236517752638857,-0.08095851850908369,-0.00902906291519881,-0.026417881696079254,-0.034374085693209856,0.014512993965976427,-0.012604099091476383,-0.028118841789632757,0.016129204063428652
HEBP1,0.05559651184645204,0.0511461657450211,-0.004927783643094,0.02283395490956962,0.03119360266996585,0.041819358426992165,-0.042009710480597824,0.051551814665159935,0.07879468800246552,0.036392443944911215,0.06480426895804592,-0.01224679265294524,-0.037455977825568545,-0.020785332705301644,-0.03203445770310963,0.049432594503744084,0.03377920817268774,-0.052843147013565545,0.024703848918868523,0.05506756184061451,0.04453724496376399
WNT7B,0.0019394825907365228,-0.015054013786960505,0.06175489565779762,-0.025265468575375528,-0.024036437141868115,-0.01010458822801962,0.04818176152882702,0.04212947376512791,-0.037562083593712145,-0.007629528754576976,,0.020043363490926135,,0.1240168620247561,-0.03749439120668499,0.012360740448279487,0.01497796579852311,-0.023345689832324743,-0.033140110821074424,-0.006055662403388551,0.0416806877422988
PTMA,0.07664845709471789,-0.03505118888095311,0.032234115375048236,-0.0048922318114775955,0.16893094438603348,0.018814721716177152,0.03876169302999301,0.15042619351924716,-0.07833707650995639,-0.057491078731441034,0.16645750902714945,0.04325198763501095,-0.06890341615642208,-0.12847837682471475,0.052664803042944894,0.010255542022006974,-0.08225395657482197,0.011384436028405049,0.03243443298022051,-0.013101798507466456,-0.028660119539603686
FASLG,-0.020370424250059724,,,,,,,,,,,,,,,,,,,-0.029333577858371793,
CEACAM1,0.12041536024731624,,-0.028890968824993972,-0.019389727515991845,,0.012039401835273158,0.13397201945253995,,0.017321503808952775,0.009655380882893132,,,0.07111546507720921,-0.013193027155054302,-0.030790765598900736,0.12862903932431533,0.05155667161795052,-0.022880140400374786,,0.02309139231183334,
PDAP1,0.0162788836407612,-0.06035708213209201,-0.001979526903667404,0.029787724945083718,-0.05196712126062623,0.026557126083285334,0.02849465497104226,0.09191339479370964,0.15174042361498224,-0.014466659232146694,0.0684651834362814,0.04840715597059672,-0.040664277968609774,0.07277878085211698,0.05404513143289598,0.019518849506296714,0.06982937127928748,0.04526023614180364,-0.1069937784770416,-0.036526840072155745,-0.025227519293928944
QDPR,0.05344812111529134,0.0005954290868535327,-0.015192791034836825,0.055099144355870426,0.05683445158054295,-0.04125881922547037,-0.018702980368744262,-0.07219585774260945,-0.11571117928159005,-0.0053165751379872775,0.10081907395754616,-0.017600950508139937,-0.037696067172246606,-0.1629404411469919,0.01690216766680852,0.028151513004956163,-0.05172970043647411,-0.0010378322227871484,-0.06819206540177124,0.012415111087024304,-0.04656006477244904
POMC,-0.00997314321508657,0.15737021573962245,0.07506387363581989,-0.034452452308423344,,0.029738692118130326,-0.05481137825788679,-0.012788392182192437,0.04280356999641376,-0.03244535276268295,0.06588246708891903,0.03514334654104394,0.053797693271058725,-0.01906976032127482,-0.05942404470523207,0.09077201732191931,0.0017681209696075004,-0.004878580904461988,,0.015050964609437887,-0.026537201837233678
CCL18,,0.020144829987724672,-0.0018033350881153053,,,,,,,,0.026612663425291175,,,-0.0476038045677526,0.050158832029905544,0.05841016014452078,,0.005229342916193646,,,
CCL17,,,,,,-0.04060166257142652,,,,-0.0024245171439442625,,-0.023998191554741803,,,-0.02184455787747339,-0.031190578913710906,0.048302674262900636,,,-0.026587593592327357,
