,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.022046867342248713,,,,,,,,-0.014974380019371692,
BMP1,0.002179334900846021,0.01308326682641881,0.013418891310540308,0.05107507199901527,0.05814416495361833,0.12491505612434808,-0.04796993148298005,0.0557544961003995,-0.004071978769945118,-0.006253640801007032,0.09432617500479618,0.018090974782441843,0.005861973737902898,0.010455868167431182,-0.03232518221665689,0.03275608333842718,0.08993370083122734
NDP,-0.04206292915329274,-0.033051731957730396,-0.00700162498779314,-0.054407223664385204,-0.008318459678118669,-0.013959336605074837,0.02063467140259014,0.02780961398813945,0.0004630212312769101,-0.0005732605804109194,0.025687338005277102,0.03302045429990875,0.040225168440127024,0.04004630503278957,0.04309601937516516,0.07655705942015538,-0.02823094897201597
TNFSF18,0.026634585780607452,0.007439578376390339,-0.012770726318098075,,,,-0.013291553597487807,-0.02119168988686828,0.052060003836919014,,,,-0.0036792916900942377,,,-0.025259101948335267,0.03179163568386705
IL36G,,,,,,,,,,,,-0.018982333059296082,,,,,
RTN4,0.15884829200090064,0.022365627628421134,-0.06298129293629107,0.016914380952457432,-0.010452621412064936,0.05017960739575794,0.05566453673182053,-0.09101519946331153,0.007485999302488546,-0.012011675582149318,-0.0649550860096618,-0.015900278157487204,-0.03237051946552576,-0.01346951550356841,0.02580451655531409,-0.007529302983564151,-0.040451146161150225
HEBP1,0.042283409060842006,-0.017560704673051694,0.0010555957422472544,-0.0031162424403556564,-0.007056563917581115,0.02940999710852902,-0.04694776621910493,0.05853687044515971,0.027642640800095417,-0.00679557355821944,0.018074951718422175,0.015572729149296236,0.037589199430583024,-0.005749722307997368,-0.009307878663209018,0.059123393927979814,0.02448929141122455
WNT7B,-0.0539304247620253,0.04472928993581684,-0.015709237236456175,-0.03302385215577199,-0.028071510871855596,-0.026400563026447117,0.03095809636611347,-0.030211786897463403,0.0008899428870679068,0.027185122674859848,,0.04279972896331275,-0.0323620891624945,-0.04875035349499564,-0.02390731803578131,-0.0192325446191255,-0.02712683932273994
PTMA,-0.05242826986300371,-0.033037742084975404,0.02337569378440015,-0.019278574779724184,0.011324984973922899,-0.044259598607658275,-0.013068193967468087,-0.031028164169106594,0.031686223074234354,-0.014659327510727908,0.09448901119579844,-0.04436474423136482,-0.08707602439140429,-0.0013112324284527538,0.021373393699214534,0.002960367796564693,0.09132383753155203
FASLG,,,,,,,,,,,,,,,,-0.012987274682217508,
