,UKF248,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.0037812865405383155
BMP1,0.04853317003397164,0.02951495795461734,-0.007240965142811771,0.008965462305809415,0.026978200200526724
NDP,-0.02050527318614973,-0.0214673466234447,0.009840825216619078,-0.03109389341722237,0.07059765547654373
TNFSF18,0.003597579277908139,,,,0.06342496290813303
RTN4,0.09842818982077571,0.09258538350795104,0.018564956652095097,-0.10309305036290854,-0.0014641461514543158
HEBP1,0.043480834184899925,0.012291722130812225,0.039287900934905355,0.04479914484269504,0.05724462269863876
WNT7B,0.0391834355923747,-0.05640687141016446,-0.005345147405420266,0.046845234859439325,-0.003311060738660876
PTMA,-0.004338494738596083,0.07517705223204224,0.004504198921365938,-0.017282542896726122,-0.061491927557494164
FASLG,,,,,-0.019403849267454785
CEACAM1,0.005626343202911786,-0.01673503497502357,0.09141050447266091,0.15821953622172882,-0.026997606348951927
PDAP1,0.028351495256074107,0.00795270692884779,-0.047011353250137555,0.004913599694868761,0.035492549416402584
QDPR,0.029004515238779383,-0.07958455483512075,0.01845300900584964,0.021225350931806723,-0.01311941136158494
POMC,-0.008725800602147303,-0.0034115202469244053,0.009719872607921735,-0.024254469669081048,0.023224287994831623
CCL18,-0.01972181414326377,-0.03642076816271482,0.005464057851426233,0.00037574175412767574,
CCL17,,,-0.022230505738322217,,-0.017587409927992424
VEGFD,-0.019721820405863472,-0.04103206649851631,-0.015399749879281405,,
TNFSF13,-0.014882718547769102,,-0.024163799700745715,0.005694605974474739,-0.02865721651620323
WNT5A,0.04637865475253077,-0.03296333289749763,0.01383229447806167,-0.016798334427373447,-0.023899311453174005
CXCL8,-0.015821742007114885,0.12724596937909258,-0.06382291087565904,-0.01417650100899717,-0.01111112196043654
GRN,-0.005806762404827398,-0.114509037388362,-0.019532014771566974,0.017240254162415387,-0.03938712389206875
MIA,-0.039292670564146814,-0.07258411690453526,0.06158550372185911,-0.033623843808689824,-0.025558902446264395
COL4A4,-0.009537194983569473,,-0.008057831824294167,-0.0042863501502226,-0.011155734455012698
TAC1,-0.0032891740736396458,,,0.03342565207379446,-0.004750591584672759
RARRES2,-0.031878628951638906,0.04318746780713048,-0.04231089836062385,0.05500947137076461,-0.016679250088938894
FGF7,,0.06970667203616529,0.041257373433580685,0.03592857280670938,0.08268833229072016
EFNA2,,,-0.014636431661607292,,
HBEGF,0.04002113600873218,0.061680892296484026,0.008313932546374685,-0.020891639373858475,-0.039684459934204656
CSF3,,,-0.05737407073433993,-0.02125604383401487,0.025151210510292784
PI3,-0.020748179984993814,0.12453049668065176,-0.07989927193516093,-0.02681483348388757,-0.04023091883773918
PCSK1N,-0.016257528239975443,-0.08570924929688233,0.07259625055999261,-0.0070797766037564705,0.033446267959001255
NTS,,,-0.017831714520283756,0.03773854145218939,-0.027420899476487633
SFRP1,0.043635327522644575,-0.12421857423353086,0.04389313352122041,-0.03911805261330481,-0.026783707241909125
CXCL13,,,-0.015063741810512553,0.008884428682916624,
MICA,0.0025029074942905846,-0.022761396013605568,0.029054212636981408,-0.03708682159364508,-0.009572011290603415
TG,0.1300869585216131,-0.03733247294418158,0.0896198647280358,-0.0174940507081097,0.07079796565836582
ADA,-0.024804945486127678,0.10826400828395724,0.02019427031194633,-0.041895752362389044,-0.013886078614920768
LAMC3,0.034755637538189,-0.04362577680227232,0.025417959066963664,0.04504366103937661,-0.006810310893881638
CCL7,-0.012544739849900746,,,,-0.019403842367677594
NGF,-0.02153869536196159,,0.013926901146610745,-0.03649198220382081,-0.036482101894353997
TNFSF15,,,,-0.013199638299676601,-0.015434350839174512
HMGB1,0.004595240058290047,0.011634597357568773,-0.03237871911400706,0.02486898745149044,0.04194827952559089
ITGB3BP,-0.02046614402420646,-0.031271753830256994,-0.009016370182249296,0.04644457754459826,0.013667941613028946
AANAT,-0.01820050897328855,-0.049600080349621274,0.0008048718180450618,,0.08099165795371598
RELN,0.0030947014954992285,,,-0.015943732590478505,
IL15,0.03298686507621817,0.04916810974458003,0.1673058039122476,-0.0066687497746177596,-0.03202689220396655
UTS2,,0.015316019232869318,,,
BSG,-0.0471863597569347,-0.018397692330969623,-0.0005933928534554312,-0.023881659275794515,0.02631172221201989
