,UKF248,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.02118739058187638,0.00607049451482482,0.07270546226451739,-0.02883453894313038,0.024857929326113467,-0.06400156189038339
NDP,-0.04483007431420535,-0.07857119574138524,0.008653427341322812,0.005094112897371239,0.04129018443793174,0.020103473077163342
TNFSF18,0.024217562770347877,,,,,-0.03858436438247767
IL36G,,-0.017926781251687875,,,,
RTN4,0.05497744304106061,-0.03794222777169662,0.08881030600303956,0.013798110173884699,0.039932039081332506,-0.01692570069314619
HEBP1,-0.027073761749754153,0.06469540269510914,0.03270682520793746,0.0364142676627785,0.016432704813134694,0.07378684843722771
WNT7B,0.023006651153262146,-0.019703598502964687,-0.06081521921161655,-0.02611219744414492,0.008603005336291008,0.036104804923285654
PTMA,-0.01960641737089277,0.0646284405862148,-0.0487121486535449,0.04165273036301631,-0.01718519844844276,-0.009064292760690946
CEACAM1,-0.02006054501047192,,-0.04579538512004989,0.05904551834656681,-0.019915043462258846,
PDAP1,0.012686065953224442,0.019089007801750157,0.019749697348034004,0.038123487973230376,0.07327353377669976,0.07374169898776015
QDPR,0.011881266535272716,0.028762562054322635,-0.07298692709139834,0.02475200311404967,0.08328063862604043,-0.03192924301309727
POMC,-0.018153320595712754,-0.03840832097337452,-0.06445780852126311,0.16054224049574806,-0.005498462080014227,0.0041663012264171895
CCL18,0.0029585084809389812,,0.07845326826218996,-0.028652432973443272,0.03792801486732615,
CCL17,,0.10549266893924215,,-0.018400343878990012,-0.028748615492925154,
VEGFD,0.045394868503162066,-0.017551334766406506,-0.04423883219240613,,-0.019915043462258846,
TNFSF13,-0.018891212761376355,,,-0.03530749612972964,0.010076729314308697,-0.04197428478650821
WNT5A,0.03586009187995049,0.02693604713780382,0.11752065891598808,-0.03666149222710502,-0.015275911029735086,-0.044894590997536996
CXCL8,0.05017448608359963,0.01581545576310523,0.041843993159414006,-0.12260069628808444,-0.001976710277041841,0.01956978550475964
GRN,0.024722647351255556,-0.046518293356153866,0.03622768461420409,0.028204926321108686,0.10949844671596089,-0.050424180582108256
MIA,0.014799222580488765,-0.024037357297445213,-0.015585251412114481,0.032482340980987894,-0.031164109650444232,0.029806131753271434
COL4A4,0.016275783536908537,-0.008685641018750058,,0.008920854491115474,-0.004222848397254173,-0.0007498067408506478
TAC1,-0.03645931069845628,-0.041322831284640184,,,,-0.04554606451042538
RARRES2,0.04066611617985101,0.04652216128721625,0.02762121219610953,-0.0702491210338748,0.031003387646480637,0.11291177444971784
FGF7,,-0.037557576362350575,-0.029302984010451776,0.0634638971947081,-0.06474835998597972,0.01900216227974352
EFNA2,,,,,0.06688621999113466,
HBEGF,-0.0006929604886779893,-0.014761330035147015,-0.007168768251638402,0.03606861834756943,0.04009426841538451,-0.006788209557440304
CSF3,,,,-0.027136557156935786,0.0386501591496206,0.08496169176332795
PI3,0.0411308026343622,,-0.04570177332956268,-0.08263291861215087,0.014116816761645834,0.1073414449469136
PCSK1N,-0.030548404561160168,0.006723271595870886,0.04892976077333258,0.045567631172358576,0.023546275043398523,-0.0737474050098942
NTS,,,,-0.02169933416402159,-0.02306007386235639,
SFRP1,-0.002923137279991386,0.006776189286449798,-0.002657355925288716,0.08530118975154041,0.008693636308105528,0.07746877757353379
CXCL13,,,,-0.030794861530262438,0.04751295247962081,-0.014457125273339698
MICA,-0.00984587144283319,0.047589639475276974,0.015867811568675387,0.009111625496116105,0.035555031943091946,0.0063739538460851055
TG,0.018089616848848866,-0.024599999458794687,-0.04329372180212145,0.047712382359193554,-0.01344420334311934,0.10562423768957761
ADA,0.003876369163538963,-0.010159923308879625,-0.0057281116829291795,0.03650743769488732,-0.0012788285210875946,0.007429809701321015
LAMC3,0.027651221031675305,-0.024927679290666294,0.030022200301455457,-0.0078628582070411,0.043834865439914446,-0.06635565314916743
CCL7,0.07160687617878564,,,-0.027577874183899457,,0.08240289609348822
NGF,0.02357796985602667,,,0.023615384346771514,-0.018673492999326396,-0.01826215653632446
TNFSF15,,,,-0.010810256667013693,,-0.007033302382800888
HMGB1,-0.014548061559842404,0.018313173145671467,0.0047703923807514495,0.007469317086939984,0.03054194164320722,-0.04374823492186257
ITGB3BP,-0.025974173403329914,0.044906159911714316,0.06210064451266643,0.014967198792423243,0.001644094037266163,-0.006352476241858883
AANAT,-0.023102613025714525,0.008183091519837222,-0.008130324977541962,-0.024193577168142178,0.05707309238010306,-0.030131038845493934
RELN,-0.035369051579926904,-0.024320111378451865,,,,-0.07694813207762434
IL15,-0.0075148759340414855,0.04611252699238209,0.03192723355111079,0.028916041431349956,0.011693033523230801,-0.03216041163944361
UTS2,,,-0.0307315646317709,0.06378676966884333,,
BSG,0.003885102321404268,0.049496765118722474,0.023173076246726154,-0.041023517387779186,-0.04127005248572915,0.023837106318439355
ADAMTS3,-0.03532113134484331,0.006943368515878291,0.020778127880284908,0.033933998284526846,-0.04003084599035333,-0.021895674728021914
CD34,-0.01886433535172148,-0.0312579664069046,0.050842355207099635,-0.01247711347828208,-0.03784796532988505,-0.05295402850393753
PLAT,-0.017355798404431,0.009460639591745326,0.15377982072354732,0.03781259868949065,0.02209613411919424,-0.06570198749319012
NTF3,,,,0.014480633938486124,-0.006595301004774741,
LTA,,0.04586206602222452,,,,
CKLF,-0.03217043671664331,-0.0029617907033922318,0.021843570201690844,0.033814356739269656,0.01356750593469958,0.00927070087158026
CD24,0.020874354269160178,0.03524832307791698,0.012894765868355943,0.02216781992189328,-0.06584640809763097,0.05576523620625148
HSP90AA1,0.008398804612219974,-0.05531260130433595,-0.06614012725042481,-0.0922338747188089,-0.002909020085314448,0.005592920338894072
BMP4,0.04604790661267643,-0.017360756533569475,-0.04041643859292951,-0.04438058386951676,-0.002891977699302357,0.08781297006050902
SCGB3A1,0.00496569003810138,-0.014216711218158802,-0.04423878918826864,0.05836953330873212,0.013149122707679182,0.016866365092683244
IGFBP4,-0.03974412661075204,-0.0027448321746362603,0.06261192792788635,0.018565903842960366,0.03969329953124402,-0.1382972678640964
RSPO4,,-0.004688275212959282,,,,-0.024512319834245434
LEFTY2,0.028614521210315522,-0.025151481579561107,0.0013898281839200865,0.014582623915701904,-0.02176370271530305,-0.011971059164930933
PF4,0.08751213836189567,,,,-0.017348745486648002,-0.029762886478522807
ANGPTL2,0.0396392302938348,0.0022266849492703113,0.0010117973914827013,0.02409717610130574,0.01699485902151851,-0.08442872351148421
LRIG2,-0.08055110930779295,0.030146708744300258,-0.06896747206124833,0.009930414214885441,0.08052481903271833,0.051206406310317636
ICOSLG,0.004848513469633507,0.0022420304110599455,0.023360626161635163,0.03922269094107885,0.06244786759952539,0.0249667459523867
WIF1,-0.029721639916041157,-0.024350521138751937,,,,0.053580187321026505
NPPC,-0.04135179870072675,0.07628390449665001,0.03539435126390522,0.04936417973922969,-0.03282498952073211,0.02842074870214372
LYZ,0.025998750209017266,0.005224266881753794,0.04976163907416707,0.00491824260434842,0.00834427005710299,0.08997097945849045
EREG,,,,-0.04796835289751343,-0.029699125886540334,-0.03426589907967979
SPTAN1,-0.006711038432766728,-0.015036057541466079,0.0892347422450561,0.04053237855099375,0.01115078475742014,-0.049054477678050344
LIPC,0.04928491324411102,-0.03200565650668473,-0.03984531932291527,,,-0.0022692733768485012
COL8A1,0.06370258823838516,0.030809298335420916,0.009152927171552019,-0.004063925935644876,0.04884708580755468,0.0447156277454663
GSTM2,0.02652110858344888,0.08390029365466574,0.03489492978435846,0.05906233230299107,0.035509683400721984,-0.009366599972222387
IL4,,,-0.038088322510996094,,,
SPX,-0.022524003376284425,-0.02290060864674645,,-0.027805283110554576,-0.0215406850138094,-0.001226581883178397
