,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
DCN,0.03867496006138916,0.016709640828664683,-0.03588381514940931,-0.012345589556983718,-0.030453233197612214,-0.03004224768287189,0.049604946578474717,0.011832541861632719,-0.012195179707658892,0.014980545190869634,-0.005170994828099809,-0.04576621852020462,0.02617130637485688,0.10099596170628965,0.010602819663191694,0.039307128777051385,0.08323918174481737,-0.05818311149659866,-0.050964830505492074
RARRES2,0.037800880752427005,0.0683627727612106,-0.05103594161854718,0.007655254794079888,0.00513513427289005,0.07027451363393565,0.04955438389112169,-0.06986015279784652,0.006228579874580026,-0.014772331880204971,0.05385241980430377,-0.04617943316883615,-0.03389561253490655,0.014465153506728341,0.037181976036677875,-0.018190230015952633,-0.07939200785049354,0.052354728978880764,-0.05664775633949722
SEMA4A,0.02829418086548038,-0.005683491722229306,-0.0002466963936138395,-0.0391626557637894,-0.0034880365686419733,-0.013251519617305358,-0.0029648265190725677,0.03302560897435405,-0.007798187655850102,0.002821450494399972,-0.01760654747339106,0.00796804575670361,-0.0425860841747513,0.04442902399827448,-0.01075107460350331,0.0014707154419424887,-0.047985761519821236,0.016294433413700918,0.012700570211185345
GDF11,0.06538274004659983,0.007425986203098485,0.011651811418770641,0.006694995788486132,-0.02853873258372017,-0.020083908718169455,0.04320360409080193,-0.06334257770265732,0.00833730204524288,-0.01637804722004574,-0.0008537222216801511,0.037230771347502495,0.08225326336615071,0.10897517136203834,-0.03621432730902154,0.003449078746025728,-0.07964695618301172,0.07835964216211644,0.0240245463444258
GPC3,-0.026182497510660024,-0.013662438880699887,0.006387299499652841,-0.0167617328321155,-0.011905965526471253,-0.01126437035294,-0.028780543865467644,-0.021648144149468432,-0.011315378445626594,-0.019150977530436455,,,-0.023207583429854642,-0.029357777111582824,-0.017720366872460952,0.04194352105822242,-0.013100692191417823,0.014758714025506846,-0.019123646429454907
OSTN,,,,,-0.020479094862233656,-0.016240097957522303,0.04983788196706703,-0.03345362091111737,-0.03373896121327854,,,,,,,,-0.016367654909405657,,0.027924502526795826
GRN,-0.06682396705723427,-0.0677338444230753,-0.0507783246310965,0.0501673807789352,0.023435013047153404,-0.009911062736763461,0.033419603178272944,-0.031377756468442826,0.01871503623457649,0.002662712504078787,0.022696271799723264,-0.14009266673916848,-0.08287855360390757,0.08442785691757852,0.04536320008970386,-0.03018918817934722,0.02639136331095437,0.004824521407039335,-0.027054759040158416
CALM1,0.05540998501832252,-0.022027917914652338,-0.012335720972425773,-0.020652289945504894,-0.008205372829215747,-0.039318668391438695,-0.022777294256927372,-0.036818051944367304,0.012302876243304338,0.04696127717734841,-0.02660597470994912,0.027087497474435437,0.014397014806898147,-0.00558025442073939,-0.06139281574821846,0.0027458992351020893,-0.09523084327647056,0.12376216565786059,0.0974668154803214
ANGPTL4,0.06651324118366768,0.037476198644044605,-0.07269327112647854,0.02655348900981085,-0.03985739341683884,0.04323032640748255,-0.019370506606526866,-0.0015908143984379234,0.008396287896028195,-0.022990130963274708,0.006761361638765083,0.0901269003674976,-0.06509751876303412,-0.052500877940890256,0.018380406243108275,-0.04510060912222105,0.04199244268475559,-0.07373897721843171,-0.0594034144921199
BMP8B,-0.03241141470520112,-0.016390691736303396,0.01271826890233926,-0.02948879817769658,-0.0033781527516013885,0.030873986146708554,0.03312524649937566,-0.00739023971809082,0.044971996137151776,-0.026367815248282245,0.018796203479921315,-0.02546360120958201,0.05364991426125264,-0.010313442629747416,-0.023261408916391394,-0.001071926613589082,0.023696318510100248,0.021458863727717006,0.040746611033640315
TNFSF4,0.02272115954503657,0.009036973189505245,-0.03750995882942436,-0.017171775882300046,-0.01049810014648101,-0.03275530659419725,-0.021783690063679115,-0.01800184816005813,0.022011291110031955,-0.02601607044108047,-0.03071486704263388,0.053684433380865405,-0.043699785518122605,0.07865354584980952,-0.014738042972222216,-0.038877942649139074,0.04541724259259954,0.04092491359543756,0.016065306185023265
RBP4,,-0.04434672571450746,0.056993197160892614,-0.019402536878529587,0.05619410787199829,0.014360715472873506,-0.012416041119776733,-0.030558930048676457,0.014201793757169482,-0.022911048433946552,-0.016654339749436912,-0.058991253824591895,,0.06772391875372141,0.09546495024599515,0.030231590553419466,-0.022025787442628075,0.0246164984669879,0.07725619607860161
DKK3,0.010507030406670817,0.049419268410387136,0.0010831103805696604,-0.009762779703924506,-0.022686914483094418,-0.008591213965819992,-0.03408692182366741,-0.016908199360256223,0.02751967342886698,-0.05374940013300657,-0.022890970687385517,-0.02926473188060648,0.1759248044106803,-0.0010611711864726757,0.031100989175209356,0.03742706148468532,0.023530491502009043,0.04716036548369274,0.07134779354838311
COL11A1,-0.02700072013905203,,-0.013376477965602212,-0.011911597743402821,0.02174310603950748,-0.0038230979774584416,0.0016218430962777674,0.0017046108418145524,0.024857437341378755,0.02954404122291297,0.04235095386350068,-0.041559963987169116,,-0.02464418243063309,-0.028738112205389865,0.023443077505373226,-0.04840328210357414,0.022805939875987762,0.008179464750444593
COL5A1,0.052796097948351564,0.016027274639410054,-0.012134546071249112,-0.025580139491988032,-0.04377322275352775,0.028041962213606123,0.034127368105107796,0.04615670874172585,-0.0008699334329173205,0.01756090861629908,-0.019205844109665884,0.08560900864320943,-0.0033345843246886677,0.040498626837825936,0.037764015364868814,0.005322019964759498,0.03210523715907126,-0.06478085913887136,-0.07973807912690177
KISS1,,,,-0.02706932117207195,-0.02847208324980797,,,,,,0.05617211893246115,0.3038271410704865,,,-0.027890631977204417,0.08038209747155421,,,
MEGF10,-0.04596257314643734,-0.017649254738532415,0.06684263935622907,0.010088160226221823,0.02177411913721184,0.006365844826563108,-0.014826911869623058,-0.05479965246309354,0.026444617773070698,0.08631430823791858,0.026488839714999657,-0.06951365387381322,0.021520552831612142,0.01605932569816294,-0.05508123230490215,0.05583351247436561,0.037615541260644356,0.09236046683048772,0.056652166033860654
CEACAM1,-0.027993875299741268,,0.02918546583695621,-0.011702679254127045,-0.03831817718924911,-0.016974348602457147,0.0019278639688673712,0.05714707815992535,,,,-0.05130767608416977,-0.025223908017581585,0.05049761946098376,-0.023621183583410303,-0.016268859124782094,0.05890928884844194,-0.044257487662596635,
EFEMP2,0.011747714156697366,0.026150814884478624,-0.02224249536233799,-0.04188756857429467,0.008186720320747853,0.0813650637783001,0.03517524834711307,0.020809397035749813,-0.0387322932160615,-0.06924104330523166,0.031149809552270282,-0.019759308145670375,0.06071291382829901,0.10687054749400349,-0.0026910080653934883,-0.014384145827369197,-0.0037427428195918222,-0.0007452681504490347,-0.059565814164159445
