,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.030889982003017093,,,,,,,,,-0.009559608176435782,
BMP1,0.04821631730800085,0.13477530610258132,-0.019086271239018366,0.0022838670673527525,-0.008444616342722172,-0.020796796869187163,0.49556230166917453,0.015290482218142732,0.043820858818484625,0.058725130825763645,0.014965537808478951,-0.021798321349814687,0.014100925856584767,-0.012609877288539231,0.024491166433787386,0.08019231325186471,0.07149182949119089
NDP,0.06491826885225511,0.0635149218747126,0.010853160320901256,-0.01967940362992823,0.028697740741031874,-0.004515790171976566,0.1610668063202956,0.028853239724952347,0.13361159156791375,-0.06311971955423053,0.10627775245701192,-0.007845272407471444,0.037200068986576004,0.09126865809037538,-0.023351153155415232,0.046906742456863104,0.04990903809598424
TNFSF18,0.11919436696320337,0.08855775619364785,-0.018227794583874767,,,-0.025067110816282816,0.12107163885539203,,0.031165688944096204,,-0.054531566980437325,,,,,0.08942996345250094,-0.00381295136011745
RTN4,0.0036113726363040796,-0.03979073422011992,-0.024664681495536276,-0.02398648460044008,0.05811280821956287,0.06793721989587748,-0.6201825631957223,-0.006941926500123176,-0.01732732115448014,0.005268420129989582,-0.07170203404572636,0.01825788344486834,-0.047931351590957016,-0.07512954509051105,-0.008760214955699697,-0.00033749101355994227,-0.09037046533412972
HEBP1,0.04346167790855895,-0.012093047543907868,0.05275602574373995,0.030765164585855913,0.06500209601794617,0.043868488089716634,0.20821538204647946,0.025133738366537935,0.122790429472979,0.01732997240483485,0.0015970293665281245,0.019407378505679362,-0.033907844989510695,0.059062860114759884,-0.04316882222251018,0.08864416916233764,0.03072477723408378
WNT7B,0.008362245089850433,0.0319802755700797,-0.034931295380506926,0.03744757585619402,0.04507459552513194,0.04095722678512834,-0.24195545277743227,0.03105834776377149,0.09516728014198773,-0.06594661375776299,,-0.03887547802603427,0.0892121454089575,0.01023582906267785,-0.044403651494569235,0.10066996951887584,0.03878176272832362
PTMA,0.002857094375398817,0.04873439561786694,-0.0009897226581167722,0.011181098914532802,-0.03200476519190901,-0.05813836018906084,-0.31733532444637486,-0.02125285476686056,0.09130153412587994,0.010694306070678816,-0.03154031520377838,0.031869035552873314,-0.013662138865213036,-0.010523724822799039,0.0016003765762960236,-0.013158734296289365,-0.07626366107524893
FASLG,-0.022716919348471733,,,,,,,,,,,,,,,0.011641265371878025,
CEACAM1,0.03699588140709856,0.005978081126096489,0.08299513910815731,0.0043162420738564015,0.001514257203803529,,0.12508539422003812,,,-0.003525980131294063,-0.038344946377901146,-0.0348641513758167,0.10280013038443302,-0.030325956165337505,-0.016768648477456544,0.018603459761850693,
PDAP1,0.1022196207526802,0.058538292253601396,0.00027770974725084595,-0.013591069876960767,-0.03178734084825563,-0.01826724908882883,0.45368187097360246,-0.017943320844316688,0.05569612547454924,0.018979753790032316,-0.06027034618475108,-0.08891956461810627,-0.00372076376404542,-0.0738328076326925,0.04181891978370919,0.0040840447366207325,0.002198881821427717
QDPR,-0.026794785831343093,-0.001709716776382375,0.006825097320328763,0.04940215513545449,0.007310063740994186,0.0006126791758374207,-0.4839654823775124,0.0015991144005640112,-0.06193951300915897,0.004351693089021086,-0.022023896695315383,-0.021825427088501916,0.0426622609875313,0.07677677721213771,-0.047106521726113924,0.02889946902577629,-0.015550719926941011
POMC,0.011611823091583031,0.026347418911720284,-0.019254892407763294,0.048957859346841555,0.013280562713077147,0.01606392255295415,0.009014689856072823,-0.0008336984687528281,0.1930415878001783,0.07727961893067951,-0.03066399972283693,0.10687295259011063,0.0044192014394664495,0.007156490157312044,-0.03192855427021269,0.0418778824126768,-0.0009269496007194145
CCL18,,-0.08238740236422287,,,,,,,,0.004061824855063592,,0.03423358112521052,0.10790798674940466,-0.006503359412833868,0.12156949773970106,,
CCL17,,,,0.0719640144057536,,,,0.033593244455685144,,,,,-0.034806252562375045,-0.02210557398201685,,0.0808374222435309,
VEGFD,,0.11878875275574069,0.01317931329999624,-0.015507327582356597,0.14299603401185837,,0.1359403574711968,0.015320059692879265,,0.009143860378835132,0.10337235190889706,,,0.07107923788663262,,,
TNFSF13,,0.04089900799771708,,0.034962803811805755,,-0.024309868197493503,,,,,,,0.030239874688750175,-0.00980213720595737,0.056624517559214535,0.08988045464513016,0.02295749161945693
WNT5A,0.06362076153103605,-0.04240002544022085,0.04241213635500602,0.045788202344674775,0.11144339266972736,-0.020764056750804206,0.33464319562261513,0.02276743923117889,0.03784596382618372,0.024332324393531973,-0.005883154545991855,0.01805383612968339,0.045816061060411514,0.022749536975332586,0.06043793435277637,0.08487929456572538,0.017822104461309454
CXCL8,,-0.059960778919414884,0.0216533948502031,-0.025420383877115246,-0.12034160747186745,-0.01329474606420376,0.1912284628238433,0.0418447753038366,,-0.06977294688835037,-0.03388093560343937,0.019680971129643808,-0.05705099113696744,-0.2099596704698215,0.06121003764545992,-0.01568793575487051,-0.03901146312413001
GRN,-0.11139912209854406,0.059302653552582234,0.025921424554299684,0.060128699063942775,0.01557658391371815,-0.0018756233574735443,0.4832985689182509,-0.05431450058323169,-0.020064679276886578,0.1050525459841854,-0.05347877669279239,0.061535001959121004,0.0010463130496295824,-0.06524988130866384,0.021957036715476885,0.018004959631848363,-0.05489472518617151
