,UKF266,ZH1007nec,ZH916bulk
BMP1,-0.0325049438224552,-0.00915951381692808,0.053036484031493684
NDP,0.025117503329786517,0.02725541431594402,0.049284187072236973
TNFSF18,-0.013291555122478758,,-0.03642884120079219
RTN4,0.03510577507765095,-0.009356342850870912,-0.047491343829282745
HEBP1,-0.032613063734776626,0.09328354086064258,-0.04717840823997226
WNT7B,0.05771154962231615,-0.0681352811149876,0.029613021695446835
PTMA,-0.078028802709963,-0.062331743914946225,-0.008816926709500319
CEACAM1,,-0.051307575297331195,
PDAP1,-0.07914522942231464,-0.07126702813045585,0.053435044087927465
QDPR,0.09895865821405497,0.115291499722491,0.0285574922069018
POMC,0.034673143949325205,0.09593817095127748,0.008895193682810516
CCL18,,0.06435519636036575,
VEGFD,,0.058656809276210725,
TNFSF13,-0.01289003569399359,,0.010036575267930434
WNT5A,-0.07118604510875153,-0.08673226674631195,-0.014415017452563138
CXCL8,-0.018335239737875198,-0.07984498821346979,-0.11446948011575045
GRN,-0.045562469820190375,-0.021787585322712025,-0.0912152928093411
MIA,-0.023307670522654998,0.008354736625812367,-0.013291820346067558
COL4A4,-0.012264299475697541,,-0.021197002943216
TAC1,0.08585023769636745,,-0.047381665645437956
RARRES2,-0.07149006347296614,0.00581013397913458,-0.023605601343365163
FGF7,-0.0006997457997685738,0.02039097651164207,0.07675115024029995
HBEGF,-0.016576239459121993,0.08410469958910657,0.014177414828030097
CSF3,,,-0.04658994391872733
PI3,,-0.036504771356266785,-0.057574788432817305
PCSK1N,0.1152383035862896,-0.0082277013472638,-0.01275185656385633
NTS,-0.014971923110691334,,
SFRP1,-0.036370745121664674,0.040956955373769754,0.027051903848352155
CXCL13,,,-0.024581036852759308
MICA,-0.03177839789016554,0.03066908703474266,0.07119217152004527
TG,0.025335753656638926,0.010125525478085678,0.018253424928364313
ADA,-0.009600621952248822,0.06274507745331234,0.01288370521292584
LAMC3,-0.04423579348521873,0.031349834659439024,0.022497756667370604
CCL7,,,-0.054045100652454985
NGF,0.02868223898283123,,-0.010726843060327671
TNFSF15,-0.020023968828759335,,0.05942582071699182
HMGB1,-0.05401542493085953,-0.09330156290172296,0.0430250533582787
ITGB3BP,-0.07811931233029083,-0.06128790577119663,0.001189024659778331
AANAT,,-0.059913186699775585,-0.02844776237433292
RELN,0.004281807735411362,,-0.04993029332192249
IL15,-0.01424824423285385,-0.0007323030176940074,-0.057822223563161974
UTS2,,0.003798961748307037,
BSG,0.048304274864496795,-0.09911220201431775,0.028803653376074122
ADAMTS3,0.02778257896292883,0.06758795834960353,0.024726838519767546
CD34,0.013450069491833881,0.0369322588742679,-0.004788475533624342
PLAT,-0.06840010257432354,0.09932959540363455,0.027607856678870557
CKLF,-0.05347015496815585,0.14054180398363336,0.061684084209939836
CD24,-0.026486533278743403,0.11936190623923491,-0.007222738248358185
HSP90AA1,0.047770080196613045,-0.024388199765563032,-0.022473846921570322
BMP4,-0.02916480694579639,-0.01945138455418059,-0.005206746825040503
SCGB3A1,-0.018188135762153713,0.04251468916487451,0.05419293359198792
IGFBP4,-0.0549436159139325,0.05236700562735193,-0.024348801236141304
RSPO4,,,0.17306233575683927
LEFTY2,0.010859004975777622,-0.03307578626632805,0.026998545552803746
PF4,,,0.09974403566200246
ANGPTL2,-0.08926329985555462,-0.025943730732502755,0.042722815854930526
LRIG2,-0.017833815297388738,-0.003427149360070872,0.0066508428673046245
ICOSLG,-0.01077817487837528,-0.030329379113864765,0.03623643369232171
WIF1,0.05468896536669611,,-0.012932046759232006
NPPC,0.010948967362153299,0.008333333204152775,-0.051088904895726116
LYZ,0.032420539292375906,0.007601635987344672,-0.028874840270036367
EREG,,,-0.032351627820073725
SPTAN1,0.019254449503451707,-0.015528825188234282,-0.028592862932452476
LIPC,-0.022095373364720457,0.0030552953637210866,-0.04382054384749169
COL8A1,-0.04490916188168623,0.02679177569131738,-0.011183595657337756
GSTM2,-0.012048809062170493,0.04833442866709769,-0.04494704830158256
IL4,,0.04313142648132503,
SPX,0.0370404826648122,,-0.00757296763346958
MFGE8,-0.013563539308570453,0.030616092710628578,0.004025463367917955
TGFA,-0.06346249914889797,0.018110639468950012,-0.0015983451126304986
SLIT2,0.041499076965260374,0.02659228148271229,-0.0076884839698513315
PLTP,-0.021269852672779165,-0.024807012555238324,0.018125293349214606
APOD,-0.00915461412987647,-0.0842565164221868,-0.018386014833737457
B2M,-0.06728298580201864,0.06485394091259482,0.04324158664165857
OMG,0.037555263346881355,0.028671810759343375,0.05803489999564499
CXCL3,,-0.08648389007730645,-0.021216921816713724
CXCL10,-0.019475735711480178,0.04626379950361769,-0.03208532972043287
RSPO3,0.021213690701584798,,-0.031047681635254332
CORT,0.005921046553128506,,
NCAN,-0.02538639267601996,0.06132586944839169,0.03123373665239432
PRG4,,,0.012891547793767914
ZG16B,,,0.019878346444765417
TGM2,0.02174914322435653,-0.07465919558957476,-0.024624766916609912
VEGFC,-0.02920907254688014,0.03994369259944244,-0.01677804514059545
WNT6,-0.014614308387340364,-0.05411207182590505,-0.024770612058259606
NRG4,-0.01789061508999552,,0.019712406292983643
PMCH,,,-0.03700114887062332
COL9A1,-0.07108168929842103,0.003049843311717931,-0.0012245641648552326
GDF11,-0.050547432228656375,0.002976819040697837,0.02822375517367773
IL24,,,0.005915735956351371
SORBS1,0.011325439919413828,0.11094071340915129,0.014457606376830934
DLL1,-0.038644339617123394,-0.00707064127011417,-0.06488060042911233
TLN1,-0.06765271758906732,-0.06331621323339605,-0.046202817329960365
COL2A1,-0.01583278434689475,,-0.033561332883342655
SHH,-0.017281547914880877,0.006711060003211573,0.08076463611968097
PON2,0.0518043038737922,0.11990250584766987,0.09610884588109118
ICAM5,-0.006327666352035076,,0.011522336828571577
HPX,-0.014614309373178605,0.08391859035597284,-0.017015895859206858
SFRP2,-0.03454818212940632,-0.04267287239275215,0.006099304529579018
CFC1,0.11579448549505299,,-0.032961451904081486
CD70,,,-0.06543982151589789
HP,,0.014420190058829822,-0.03456863277195541
CXCL2,-0.0056715192989754935,0.18903906067355894,-0.07860652215005767
CCK,0.06827126874542318,,0.043595691029005984
SEMA6A,-0.04463754286855977,0.1002742043155398,0.04973318879804342
IRAK4,-0.028212183395291645,0.02839730413443769,0.018599735989932233
GSTP1,-0.048323185185455905,-0.14442487117470626,0.059542419435040114
VCAM1,0.0074895458650769495,0.06540579678512658,-0.0458901833265144
NXPH3,0.005022235958219296,-0.09313245885054285,0.04870747110460509
MTMR4,-0.012268650287007469,-0.08588455991726401,0.02440023293568489
LAMC2,0.01809650225458064,,-0.035871521259647314
IL10,,0.02650254506005871,0.003175352506390505
SEMA4D,0.023858055170175873,-0.013086000784117596,-0.02647706454172036
TRH,-0.027393171853635833,-0.01471881318977175,0.01853030065349256
SEMA6D,-0.05860878424562701,-0.1454051514528498,0.07620391255103412
CEL,,-0.032204668772106176,0.013577990553353028
PDCD1LG2,-0.014061844097279876,0.1748694599496807,0.08750882885909207
SPINT1,-0.01818814131954401,0.0018018400065556153,0.011299132599157803
CTHRC1,-0.061377805356505284,0.08998652729212367,0.027154171944431454
PODXL,0.02479479580969615,0.05030995532006567,0.024293290725985166
JAM3,-0.04357509785502125,0.07412864385337008,0.08765935271753758
TGFB2,-0.037824102971624474,-0.0026358042575415127,-0.019933249432362465
COL18A1,-0.07240681614636917,-0.06300576116841354,-0.027941674026476182
NODAL,-0.005305511954572241,-0.06988530883328284,0.06763804544415672
INHBB,-0.011948915401369574,-0.04322858489773085,-0.02695345095658829
LCN1,,,-0.025160811678610957
ARF4,-0.010890099676698557,0.022917545308226237,0.014223943806265226
CXCL14,0.006416587184030771,-0.021732123198722555,-0.014848232890344482
LIF,-0.01774014790645243,0.033298934843242096,-0.039859625194310806
IL17B,,-0.056275247833646555,0.026762742732086547
MMP1,,-0.03446494028004974,-0.06366389838850627
MATN1,0.07113533873564075,,-0.006795535201580521
ADAM28,-0.014844269439574379,-0.012794219418183388,0.059311867275515455
TCN2,0.002062190318605462,0.042253755590468,-0.018820980411165183
THPO,0.021599975076872197,-0.012564370212275319,-0.013620159749619904
CUBN,-0.004076465890749814,-0.10998516517143397,0.008431243127369639
TIMP3,-0.023289266480485436,0.03829280758221537,0.03275401953603104
PIGF,0.02228491164817164,0.06412764932156478,0.06475745975009022
CRH,-0.014432369774589096,,0.12216033924126848
BDNF,-0.01835856840897296,0.1075920102005828,-0.04210168438398644
CCL5,-0.021082140175632834,-0.07503205229493494,-0.017044267954913796
GAD1,0.06096058277044352,0.055737246771686004,-0.04780048292583679
COL14A1,-0.02234238841152693,-0.07070770798827326,0.09128325204504262
HLA-A,-0.032433067539774374,0.03016421542383219,-0.04015657282963374
FGF18,-0.02002396394384252,,0.008289022909882983
ADM,-0.04159341521048854,-0.0824201816212662,-0.023323215579739015
GNAI2,-0.02266169657649282,-0.13602355548642095,0.005855939760391414
HDC,,,-0.02592471456385421
COL11A1,-0.06799961778364942,0.14226603541750435,0.022134945512669906
NUCB2,-0.03167020399407587,-0.07518360738138773,-0.04220272390680296
FGF16,,,-0.00640179196517663
CXCL1,,0.06493922732490798,-0.03750625249292157
VCAN,-0.09089114679110048,-0.04864293023081824,0.01737508651536177
MMP7,-0.01774014292688084,-0.07743349763467794,-0.09962715192419212
PTPN6,-0.03244954337763786,0.11438540291713513,-0.051111675672612
PTGS2,-0.04350356855831506,-0.044777258341417575,0.02465851384763878
XCL1,,,0.07513470005511012
CD58,-0.03999402604663894,0.009054944261425819,0.020984425937183977
TNFSF14,,0.02851165249148777,0.04009660950280119
CNTN4,0.033593201557608275,,0.010974616955776482
MFNG,-0.03305774845940289,0.026245725546145463,0.05503424636847117
ICAM1,-0.031155383048067743,0.09136713111356641,0.005834995366643263
