,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.02168368257138667,,,,,,,0.016642980985050345,,0.06320419031238109,
BMP1,0.023703644364649584,0.014879466254570043,-0.008866361367758879,0.04259654364808552,0.06360732058362831,-0.026412853313813316,-0.0897343465256093,0.029243874632096264,0.06265255288553004,-0.007129326260207081,0.055495105392047835,-0.00020346075838246117,0.09867244225347384,0.08160329542446765,0.0025255598730379984,0.04108602270050874,-0.01956729710289601,-0.014059946691640197,-0.012695060309820306
NDP,0.05849532131164006,-0.03010777970615121,0.029998265790312346,-0.01686863116705638,0.0863664625625724,-0.05565201271036672,-0.018519067784790656,-0.016175951213277293,0.012068302489708483,0.007880499880935367,0.012933499197963648,-0.09769787415734776,-0.01887065218274063,0.012538884391271527,0.03909732919279863,0.10483807306463301,0.005767159592768414,0.06105296508529786,0.024538913622755038
TNFSF18,-0.024949404790979745,0.047686086942303335,-0.013044919295493052,-0.03860695625283214,,,,0.1780777060296489,0.028908390289718956,-0.018888983764048392,,-0.009338257152993128,,,,0.03166616778265215,,0.04846522326398715,-0.03256831059345791
IL36G,,,,,,,,,,,0.07325520558165316,,,,,,,,
RTN4,-0.05822214000583095,-0.06222871562146494,0.006829638098440421,0.009885780913652126,-0.0007469903587103147,-0.018583872443836615,-0.021480897542695006,-0.029135638749573835,-0.06565261007854802,-0.029450394003175187,-0.04886958977974263,0.060605019825136,0.004798370086799481,0.008759525905484018,-0.0853753972411659,-0.10231952485394641,-0.004643607401515877,0.006532188129262631,-0.04104393723985405
HEBP1,0.014815404599126959,-0.05310677306749743,0.00858791456543514,0.005959587173025812,-0.008720938618366298,-0.006528113711204921,0.021378759068897246,0.032074168645544125,-0.0015587316524911846,-0.016429316723981097,0.02047341802952656,-0.04985998272421436,0.04298945108748174,-0.013780475689951614,0.02165972489340924,0.06633961153459486,0.01054128349755789,0.04974070823802946,0.042392707678581144
WNT7B,-0.021979644183764954,0.016564688166290878,0.026749255250665942,0.02743987392236507,0.11335746863135071,0.024956744237136622,-0.027390680464977973,0.0553502726887186,-0.05625037148969565,0.004116394642367073,-0.02609185382438022,,-0.034477280638715524,-0.021863862214314148,-0.0003650861967807563,0.012197444177420951,-0.020196844126841074,-0.048417909139278036,0.04638196159911064
PTMA,0.04891469231229583,0.016455923270858413,-0.03087822095082797,0.023654021076618466,0.07181025133336015,0.026825946216586755,-0.010271181630677475,0.08028233548732648,-0.032159688499197155,-0.07965388611340177,0.12836478255910502,0.0015242110985883024,-0.04573872297221616,-0.0645156547366556,-0.005729980803221263,-0.13558388814386124,0.045342418540353174,-0.04946848552803275,-0.06957020119380039
FASLG,-0.02197965039735406,,,,,,,,,,,,,,,,,-0.03007161665618755,
CEACAM1,-0.03051893693575132,,-0.028900853461591425,-0.022032029406343082,,-0.0016984503322835427,0.002225428012638173,,0.042190074504736455,-0.0020107888200943344,,0.15478712696812472,0.060356629508203176,-0.014008871097526247,-0.0019229238143510952,0.03033688861818018,0.05840606482754168,0.10041436341355298,
PDAP1,0.03652123226166412,-0.03843625273644555,0.028098572759966328,0.03267651201182599,0.03789725323085965,-0.003946582361803292,0.004037256740431807,0.03094018157641488,0.058942470236145926,-0.018409396938252127,0.04221563739620871,0.027142542719518777,-0.02899687429805367,-0.03141756835538817,-0.09334634272214277,-0.0008554724829696866,0.02727463911814579,0.03593345609975296,0.014529610779618798
QDPR,-0.09151326177399717,0.0014648677827410912,0.02218698170485338,0.01001897747630509,0.05117606209692306,-0.00846303817497475,-0.0572453162695558,-0.032270127304778094,-0.08410251294894476,-0.06957535943026179,0.02148446359949173,0.12277036954074506,-0.03926435504377438,0.04726622049997146,0.05952726600923817,-0.014885458971538345,-0.007697028573098085,0.07561687114678811,0.022114721173545716
POMC,-0.0018385288066001516,-0.007027184283970752,-0.02668195922906876,-0.005796975314640256,,-0.012081793781349328,-0.04675467664631169,0.004377080373948383,-0.013907842264631326,-0.021917283054150954,-0.03071798456152577,0.021944378251545146,-0.03009374859699991,-0.03172269154769132,0.05968390677255269,0.014665684169403332,0.013050348474110634,-0.023648422547087385,0.017772454008501165
CCL18,,-0.009610181042786539,0.01234981875567583,,,,,,,,,,-0.02192263062549804,0.040233492515030826,-0.05251397806431857,,0.0390101382434395,,
CCL17,,,,,,-0.020135315463680303,,,,0.02413528648982835,-0.021686214801007322,,,0.06949016674866215,-0.0045212851854700255,0.04212175770105953,,-0.02725654286631083,
