,UKF243,UKF248,UKF251,UKF259,UKF275,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.009295410606268,
BMP1,-0.029927853174274373,0.01556917181588655,-0.01658963068196979,0.0014939128012688672,0.01230786769693476,0.04674542047628716,0.03654828847960527,-0.021996113930168676,0.09161811035174725,0.009086664860238892
NDP,0.08253976033154137,-0.021769419290395105,0.019440515016360387,-0.06533554711245831,0.033301872784543364,0.06728489739036152,0.014097574016035728,0.0124547204982607,0.024026613143848154,-0.01137616618310644
TNFSF18,-0.021544819491276294,-0.005580861682070323,0.04129865616055498,,-0.010647509681371023,,,,0.08228328366828924,0.010469814164289095
IL36G,,,,,,-0.013752909645679781,,,,
RTN4,0.03361843267841752,0.03980699851100519,-0.018814049612931774,-0.045962449405934504,-0.010006713530319492,-0.05398814216012302,-0.011660371976934416,0.004959100853373894,0.013812461022611633,-0.07490306667991652
HEBP1,0.0804663060145363,0.022337744562029044,-0.025962348135404968,0.015090794216564783,0.014219790786070394,0.012067925840208972,-0.002452235440109763,0.024453419783895966,0.05236764911388126,-0.04223677774616565
WNT7B,3.7016154379002494e-05,-0.016873496389331482,-0.015480750617120726,0.049715077360910326,-0.009676716174682045,-0.015116032605156642,-0.03208394831790725,-0.005349325497737596,-0.036575297791728655,-0.004130241945962013
PTMA,0.011200633528447706,0.0391353704134637,0.0406974222185058,0.015192978182622654,0.03033995589966745,0.016772758804982364,0.028531765845730875,0.013027596700001493,0.05950926858463436,0.01876048423547608
FASLG,,,,,,,,,0.0776187020903731,
CEACAM1,,-0.01854773275406515,-0.011880544994188062,0.0011484027114465128,0.048930275858295014,,-0.020435810768560048,-0.014826660991910582,-0.009889544409286397,
PDAP1,0.024221989636365484,-0.06386467508957099,-0.004249935539096091,-0.0285212839628155,0.024224767746339883,0.028035736316232962,0.04040010430175202,-0.009846592101609151,-0.022677171353100545,0.026921176336010398
QDPR,-0.03546619127116992,-0.023646287801717677,-0.040812082438982,-0.01119862635571931,0.021448279392282842,-0.0014653446485281445,-0.0651465125943774,-0.06708072622202911,-0.002425447632943907,-0.05574331492671065
POMC,-0.04068021474306465,0.035599200828510535,-0.021109833001663213,0.06555530502744131,-0.012354528249030876,-0.02946575632138943,-0.011988404614026454,-0.024254469669081048,0.049865935165285646,-0.025070688615587842
CCL18,-0.028893374443920716,0.07742889061932266,,,,,0.0832112293427395,0.0029175378196667078,,
CCL17,,,,0.0063153659560799,0.0682795571425852,-0.01256367340630094,-0.02950037579304762,,-0.026683951325673586,
VEGFD,-0.03255438790546049,-0.023145825362469164,0.05951143450704996,-0.01595876799951924,0.12017945391214066,-0.013464877928420079,-0.0005673038136715813,,,
