,UKF243,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1019T1,ZH916bulk
DCN,0.006634078152920084,0.06230172440937422,-0.00803859231763,0.04927992810876388,0.014468021536914587,0.013259435288652924,-0.018393925703811195,0.0726631440767555,0.04597621327057006
RARRES2,0.08920802149581028,0.02347999559714901,-0.030710672457063836,0.03140869010123374,0.07903721420417556,-0.010457279570422683,-0.04863425857509474,-0.11617635367554496,-0.02340179451214673
SEMA4A,0.1279487168178609,-0.03975787751836851,0.03580255280239853,-0.03237106040334193,0.049008233886536044,0.00866041883753367,0.04914047259949086,0.23109672071166745,-0.02823629951566354
GDF11,-0.012363782118361736,-0.003976532534235525,-0.0457832308256242,0.07552354748318434,-0.059490543114795055,0.04597828379980356,-0.01975391253552193,-0.017934931065865328,0.02462669221275847
GPC3,-0.0323553405580657,-0.01701648950863648,-0.016908651517211232,0.1162217127179927,0.03227505674793128,0.03048721448121399,-0.019990518890164913,-0.03236421679573038,0.02446786428888016
OSTN,,,-0.02189089851902958,-0.022631669670470422,0.014543521839385051,0.0664887615909412,,,0.05934822352238301
GRN,-0.012191547255084343,0.021007974217049353,-0.07246265869264368,-0.009568058496736153,-0.0190888877683289,0.023735978621017388,-0.10986576591364541,0.10931821379078274,-0.004332477992840539
CALM1,0.10640399249668522,-0.04578357935251247,-0.06105263869170681,0.01281140636906939,-0.05127860400367978,-0.023049220140042785,0.05632507205271388,0.07210106280963306,0.0471081940380161
ANGPTL4,-0.052603031377132486,-0.04209677732350154,0.011380467942443967,-0.06298888894602274,-0.0672034874865839,0.033005021156002484,0.05913686280351772,-0.018356136297662747,-0.08189681741462142
BMP8B,-0.03413923617743347,-0.029936989799266515,-0.016698955821930952,0.010694990932756453,0.015489671224240624,-0.0339401886626301,0.010615807819912188,-0.011306856896039063,-0.0425641126520859
TNFSF4,-0.0004523274654245794,0.019287104499872868,-0.003523982904823576,-0.045646724590813516,0.05185529526492194,-0.003475365698884399,0.072479253805654,0.044815177094593074,-0.023527569168026473
RBP4,0.16219846306567984,-0.030397677129897143,-0.007953781276127421,0.022849134531173532,-0.018573445825995474,-0.0593874084703725,0.03869841279778762,,-0.003364730010720233
DKK3,-0.0019926128672280562,-0.02288480296401734,-0.03796311888223715,-0.004668994240754634,-0.01943858666131096,-0.03974774199974044,0.05462401713997252,-0.011923275906857746,-0.01343092649824658
COL11A1,,0.031716789551717244,0.050065023631283595,0.02339504639972839,-0.04328193603524492,0.0187370897505865,-0.034201500467696794,,-0.002137228756644929
