,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.062384115992523505,,,,,,,,,-0.04532940177839216,,,0.009633723175686539,,
BMP1,-0.04211965830182133,-0.041402196603574894,-0.1793735342632809,-0.037718360237919295,0.03177137173850533,-0.029981756121330146,-0.12284258217575761,-0.21246106401234838,-0.5506558812876131,-0.17975588635786544,-0.053370783275654136,-0.2093097119942593,-0.3837598426548923,-0.001821942334688059,-0.040131907175239775,-0.09204824488880951,-0.09710894419091307,0.04703718213709756,-0.08005945465131284,-0.10952356446219833,0.0006534782068957941,-0.21132740728639934,-0.03173819386503421
NDP,-0.01742449259250311,-0.09223733956778858,0.027343015779186585,0.02944122013466182,0.004811009209620019,0.0335618917393911,0.20805966792766273,0.011011710759962927,-0.1136313024147616,0.10175506070685031,-0.011332215788992671,-0.10124905534139925,-0.053533514607957355,0.001948923198719981,0.10213055204449474,0.060845531879362286,0.05512503423831938,-0.02747060987072579,0.029246572461471332,-0.10446267057172366,0.0594470644417174,0.03326563731512204,-0.11299452487797716
TNFSF18,-0.03591761282549778,-0.026175931094174834,-0.016658472437383165,-0.000765333235046075,,,,-0.06477267874241985,-0.10228539503861447,-0.05288523639977905,,,,-0.03590236258392839,,,,-0.046747411943127905,,0.05483768630441769,0.021677334873883226,-0.13997698077739787,
IL36G,,,,,,,,,,,,,-0.0410493486076443,,,,,,,,,,
RTN4,-0.02427680506135853,0.3886370639903802,-0.0006852793014822996,0.09367897450309617,-0.0009019541333995223,0.05849402417367828,0.2921441415545379,0.5609961501196582,0.6979961011227938,0.2569341192934756,0.2612712990313924,0.5213134796277059,0.5530075829295682,0.11860494270122486,0.07382204621584834,0.20766788247856074,0.1516097861302063,-0.007244122602174125,0.05080093585728417,0.12640711500096075,0.07227099186653092,0.6105432368293442,-0.1666762907698668
HEBP1,0.03308341995343182,-0.08526117778725095,-0.09527472474819987,0.028797028565402772,0.056224515408659595,-0.016844039557719626,-0.02102363694021906,-0.1601562976325903,-0.2694244225948325,0.007246610368789903,-0.02219598515801669,-0.25247281497119356,-0.047043557416483604,0.016626956891257202,-0.068358805038265,0.0331137220104757,0.05062093124760785,0.013591045011964517,-0.0261959381296179,-0.05162260632815883,0.02751170763295345,-0.04244083615929685,-0.1955395255427142
WNT7B,-0.031642291928346736,0.3989682449594356,-0.0010467014935764164,0.023585730033053906,0.05692588405621968,0.021784155703060623,0.08348954244912389,0.09243604373793138,0.41322398041006364,-0.04450148014976712,0.11244743617156344,,0.1697045788723459,0.11533810453851699,-0.018064356988793745,-0.07707159354176672,-0.011551310290207705,-0.055043328696999974,0.01701450711512634,0.09217123655644865,0.03263213276289469,0.015158991116235827,0.010194432100320713
PTMA,-0.07439830913685808,0.034888575604053944,0.061719080432267336,-0.042766203729343824,0.08770202671714074,0.025041981434904863,-0.2553940551183649,-0.5759478258084514,0.1763702201796927,0.21426408955729176,-0.11918741503186837,-0.6913819371812795,-0.5688269310115612,0.06678481153445505,0.1588727599738666,0.0887227485922348,0.0004536296335541013,-0.017799173090591477,-0.05319066003093224,-0.15404657862025425,0.04395785873863847,-0.289584565639117,-0.3860092947612753
FASLG,-0.016219886421918434,,,,,,,,,,,,,,,,,,,,-0.02114556947813958,,
CEACAM1,0.08283189724483461,,-0.0503204693679926,0.05705035635401113,,0.03959340798111479,0.017078023618116406,,-0.11931200677436751,-0.026194674807324365,,,,,0.006301283571738986,0.03911238123971174,-0.018436603790005106,0.06794523318800713,0.05867444765277189,,0.012824457933065333,,
PDAP1,0.007075569124101604,-0.17110154672727126,0.059941122566024505,0.0020793202562462104,0.10534348337730161,0.01587212227258201,-0.19447706455864017,-0.20890838390896543,-0.4107491934477469,-0.03816423074545118,-0.0044324342853648184,-0.026519879520364827,-0.2615880839431223,-0.12552004467884223,-0.09361772033895416,0.06136784592881273,-0.022676012482550075,-0.0486404484928927,-0.05358996376078293,-0.10306709806687969,-0.017419830762513428,-0.03774556085683825,-0.07641205046422933
QDPR,-0.10954801388544716,0.2395817715773605,0.18602874539552708,0.03058576565632577,0.07125185924455044,-0.02416822340643319,0.35807463022472846,0.1647980604762999,0.2852144920892255,0.19425887048901586,0.15953634313248566,-0.4303449395784489,0.13748105947277506,0.032822435555157584,0.05722496449739742,0.08264372376438103,0.10575323356550859,-0.013598763440003941,0.004316514668428012,-0.21326936308318403,-0.07006749245481314,0.4492324084438175,-0.08246419961824586
POMC,-0.04033040400277149,0.15518615791814805,-0.06677663009458189,0.003703883235737763,,0.0497687031291912,0.1786801264371304,0.019592357265276115,-0.00957282232151677,0.012200167782032598,0.010346937018982138,-0.06516810153518918,0.13282111830448542,0.07146527906450932,-0.02547218583976842,0.003959830169226847,-0.010583492470053768,0.06985486958515436,-0.027357446417221914,,-0.050600232345516416,0.04756445949229702,-0.06842914513360437
CCL18,,0.006279273660935977,-0.03803395822864492,,,,,,,,,-0.2757125284816435,,,-0.03815060945993713,-0.012377112351060543,-0.06585632042948278,,0.036296555625397825,,,,
CCL17,,,,,,0.047920004450826746,,,,-0.009435105937697757,-0.06057337622926638,,-0.009539379957405818,,,-0.05739505562850316,-0.0039433161856418705,0.012175519227735925,,,-0.019166083669627857,,
VEGFD,,-0.012050287014760372,0.02503510372058367,-0.01761381331500557,,-0.02187607350591519,0.049915435547242384,,-0.13053391579608922,0.09895743109162156,-0.02233411223468182,0.10278279718398076,-0.03788053626881631,,-0.0158247955126941,,-0.011260312181051073,0.03017142253448014,,,,,
TNFSF13,,,0.023462309505687676,,,-0.02189934287947966,,-0.03630001403879334,,,,,,,,0.06202506493684083,0.038172668601819545,0.01553105332336264,-0.03532778251342759,,-0.031229533611654883,0.045680493046160696,
WNT5A,0.046469242062488425,-0.06594042221872759,-0.07541945845832489,-0.04436321447308695,-0.004788531306715245,0.030069076148321827,-0.10412497777214215,-0.37373118797816135,-0.46828836757616604,-0.03024110498413754,-0.07844540466464356,0.021716154664691484,-0.12938319346682842,0.0035985330484321794,0.032877113220037425,0.06808972048895834,0.049269714734678116,-0.009806616550343417,-0.043444393152898025,-0.1002695065133203,0.008932130721799773,-0.2534401420625878,0.0729086910045073
CXCL8,,-0.18998154718633378,-0.14408692634102757,-0.05188993455413983,-0.008249569576824293,-0.04366023022144684,-0.20234531835167444,-0.020306172199929893,-0.16792078113802456,-0.15902854767377692,0.012366654609606443,-0.27546028363123576,-0.1267334953096347,,-0.05143595034962864,-0.21165887219004942,-0.2590633935305265,-0.012676151806485547,0.07933467275156146,0.0847866715692101,-0.005425732465341438,-0.296832355090848,-0.060018633296871356
GRN,-0.0490713125311686,-0.11484793746538462,-0.17611503709172444,-0.010801432085661514,-0.006053286712420037,0.04080328976722999,-0.15699258743142883,-0.28860895137077247,-0.5647335173180936,-0.05525900765176515,-0.10246766816862574,-0.42800370897094964,0.07322086545083994,0.013474313573345284,-0.014850413771031825,-0.017297580132878094,0.09386818805983611,0.056633129292890924,-0.011924658989709049,-0.04467329905373802,-0.004123440996881193,0.12650006909713782,-0.08194612449173919
MIA,-0.04141704262687791,-0.07381743659093737,-0.005095261100190528,-0.001365804026426495,0.04352053692106213,-0.042405907987052655,-0.12071623941538236,-0.08100212323539553,-0.20091852541625388,-0.12338685581868608,-0.026877416352024952,,-0.05497583294891575,-0.02477178346356221,0.06047537329179845,0.03206367140219499,0.02907525760818832,-0.030229323745054004,0.027131607129872934,,-0.020239399213321813,-0.14099911142341784,
COL4A4,0.06756611354799136,-0.06669290514204779,0.009583689649950707,0.011925592376751273,0.08229612204676949,-0.025949125984255212,-0.09699180308327005,-0.07393742147950481,-0.031039709045348914,-0.002589865481869138,0.021115603301077562,,-0.08149488138198524,,,0.05445093793114001,0.05888372671579464,-0.033395475065506094,-0.03440264810867204,,0.08356148249930834,-0.17087766438142754,
TAC1,0.07247054407109677,0.37005047019382054,0.08703869010955216,0.0820719566114045,0.01188479042890224,0.17283562416434942,0.4565207385540072,0.467595334314961,0.6237495360940724,0.36416284376252334,0.19183059023338464,0.37864277347459585,0.502459073867647,,,,,,0.07993102005953535,0.0969113030734043,0.0076743163655671395,0.41448730213745627,0.12167953243482574
RARRES2,0.13684580967020488,0.11228341077450699,0.04666946526838522,-0.046354794943093816,-0.029004903378397853,0.13746100597291744,-0.3670631536676672,-0.25282296879823807,-0.620793417046895,0.27561316200232755,-0.0019496002232071482,-0.21410461480808765,-0.26330496770697426,-0.054896857444284686,0.029211677703981736,-0.1183327748685521,-0.06843637021217851,0.06657573448792178,0.0037112213670101478,-0.09406915088100656,0.05594448832798252,-0.29103519146644513,-0.00865873043202631
FGF7,-0.00353407770529416,-0.0699312870163098,,0.048926731986617025,-0.04287943472386786,-0.013071647893879991,0.18852538798280197,-0.04445916188081265,-0.1269160686114171,0.005888535133106691,-0.03568844339432777,0.028273198505437767,-0.050868834228973404,-0.02038983998736603,-0.09323104295056657,0.0902991406545598,0.09118287324716683,-0.013854074115564725,-0.0021985675948062475,0.034561004255578766,0.023529158147410828,0.07563439511048801,0.012053909615736115
EFNA2,,,,,,,,,,,,,,,,,0.03211546193154479,,,,,,
HBEGF,-0.06790733779774687,-0.12397750168901724,-0.12898992266861561,-0.008672888246943029,-0.029032647671840637,0.0007336474633001785,-0.22857299043894538,-0.22848739456483222,-0.2587770343605107,-0.3399851012746634,-0.03677884514774179,-0.3335844682444589,-0.07972314388846957,0.009475747752344572,0.0956671614872997,0.01743185267833197,0.06241589051797143,0.03308030890629095,-0.10049055764818472,-0.012088613777491364,-0.033559766589608735,-0.31354297320353286,-0.013755240392247181
CSF3,,-0.08205376886827095,,,-0.03412116905373321,-0.033631521653588785,-0.05828619651241276,,-0.049754744451448195,,,,,,,-0.08041364172734042,-0.18411874825033145,,-0.005064758885913373,0.018269196428076742,-0.02017892938673431,-0.15466939461115445,
PI3,,-0.1199027282783907,-0.12224397773006035,,0.027056292832237285,-0.069407156324529,-0.10597402625954672,,-0.0835226471899828,,,,,,-0.061069152282135164,-0.1502298356509863,-0.177700459820783,0.02656957580391678,0.07336370512623487,,0.04451442630045913,-0.14779808924995227,
PCSK1N,0.08393482880759906,0.4070386786925715,0.13045993482830523,0.12891304612988713,0.10219631637280274,0.05144886469713332,0.0975743986456773,0.24308401437784685,0.3004241284247083,-0.11937133482788949,0.23487863073152396,0.6421746961037696,0.5244508315224685,0.05163545483133052,0.06750578016706187,0.1436883163436899,0.23839537139261296,0.017236475899914984,0.06661486475938881,0.2139175064645923,0.03876530710012822,0.5324276962950287,0.2590381049984945
NTS,,,,,,,-0.19172097393166862,0.034940741068722275,-0.10177537444286905,-0.026714998614352788,-0.05049615174650891,-0.13634196829216327,,,,0.12084082025472466,0.06933505383049081,,-0.005413915874025675,,-0.0007119122065033165,,
SFRP1,-0.046040322000123104,0.08919736059983471,-0.033962585254775565,-0.047568771337227166,,0.07917634041077927,0.16160233450904216,-0.12211580415755878,-0.08459529638748653,-0.0006537380781987887,0.060581596373647476,-0.220829463845465,0.022344246845355225,0.034899914999097476,0.055246241699694255,0.1306882755946869,0.18804888812920695,-0.02202899728151278,-0.02189297672518563,-0.11469001673910184,-0.029187855180665852,0.04621839888083594,0.052813571939504374
CXCL13,,,,-0.02353987408150299,-0.008935477373250882,,0.008282354069636047,,,,,,,,,-0.07101368873247937,-0.09086099630498334,,0.0028520675049241826,,,-0.12435116473444861,
MICA,-0.00037481881436057183,-0.08966340429829366,-0.020695053229341193,-0.02084063498974236,-0.05552019801938745,-0.021433485507106522,-0.0036522293057779385,0.028869343112083442,-0.2351671690122558,0.0073415611955560305,-0.014063649379019334,-0.10948829792466262,-0.20647100063109708,-0.0065812528844033154,0.018536093144182274,0.008188451086779529,0.006493841820680034,0.028983000409634384,-0.0175365651452472,-0.026283095857775673,-0.03660831932534756,-0.14782933041602594,0.11224291347063947
TG,-0.03664563174714925,-0.01997730724744213,0.05199231473578151,0.051540712639557416,,0.03460523728771349,-0.005748325240644522,0.06407740233778764,-0.02881522393320855,-0.006108602610568859,-0.01019718653130512,,-0.06236525827001877,-0.04601055408294481,-0.04081691286403243,-0.024764075837638826,-0.014607354911831157,,0.035957553396881003,,-0.039352761281138814,0.041363397913413744,
