,UKF243,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,-0.024031215644555973,,,-0.005166633600079896,,
BMP1,0.05296135489935063,0.02997514251176298,-0.04759213065674853,0.0701381682131715,0.031622990543046035,-0.007335443675613873,0.02193489555049658,-0.04865084039533046,-0.038805370566447374,-0.006189082638705422,0.049568443158000554,-0.004052694899321167,0.020159886917255742,0.06825122496219711,-0.020090518005484278,0.08781603056725952,0.012298266813957898,0.025251562528486877,-0.02980950638363517
NDP,-0.0027954023835209288,0.058685951154417056,-0.06991258796277983,-0.028368911113612835,0.04114110339892292,0.0012814152231831943,0.004985956619028472,0.017115487185582298,0.018767811248728006,0.007902864758709877,0.06451270670334004,-0.007258166419685727,0.02395261575823963,0.005480251471714146,0.01482435051183772,0.09736527618301478,0.09235539880502242,0.023133316009190004,-0.04170203480167834
TNFSF18,-0.031984744608525975,-0.026712699725950972,,,-0.012213191479984684,-0.011674763729586283,,,,-0.04957559325538212,,,,-0.0247829685183647,,-0.0326474124501741,0.05265045621716144,0.01248550692011133,
IL36G,,,,,,,,-0.017297018239370413,,,,,,,,,,,
RTN4,0.01559735411227664,-0.024252612657759604,-0.039846937163120585,-0.03676538804381989,-0.01238671965661624,-0.021016383368457583,0.03137129190761494,0.05530334757431399,-0.0409204329239301,0.08890680707329579,-0.02176595387993952,0.0016480455799230706,0.005868046122284106,-0.004077060839957811,0.006157463231997818,-0.08786001834331017,0.041780224343968754,-0.17119612957726463,-0.09682615558458031
HEBP1,0.0030113612920961113,-0.026968321295478805,0.05113561990574155,-0.005241697081991152,0.013028621658941648,-0.013503201649351038,0.02106735537444266,0.007122204848510611,0.003553223121259288,-0.042911902017280505,0.011304997295770005,0.019917017987897537,0.04227710405618783,-0.02492966290509836,-0.0037453997990781387,-0.014536461091778132,0.03526788055250798,0.027644759495262076,0.02262262613554885
WNT7B,0.17968618808156755,0.06066128785650664,0.0009089582312692712,0.03997415314275374,0.051912420020452446,-0.03346462345437708,-0.01527004584942191,-0.01901141637765691,0.08275265895112269,,-0.029509533716238795,0.010804603442891402,0.01875978734625474,0.053041046970887726,-0.035490401423466565,-0.03264737859725986,0.04014362477246508,-0.038951853446100054,-0.033493929519264186
PTMA,-0.021598125528433366,-0.010277993969118323,0.11841007052348987,0.010186291515725981,0.0572966018728156,0.03413453277506646,0.016301575223499874,-0.11730325580221693,0.08840501227586486,-0.012694937115121544,-0.02120299101136938,0.016467391114829557,-0.050794860446264696,-0.0707029784771608,-0.028168317625033346,-0.03793037397702102,-0.08997752349385515,-0.06228475309830052,-0.031113651174782195
FASLG,,,,,,,,,,,,,,,,,-0.009045688156513422,,
