,UKF243,UKF260,UKF275,ZH1007nec,ZH916T1
IGFL3,,,,,-0.018395380674311578
BMP1,0.019733834582557064,-0.012449871468581107,-0.021382440654213707,0.08733686849904504,0.04445515193313223
NDP,-0.026618029276370123,-0.009455841188354096,-0.01193506369547667,-0.015534510970519827,0.06722565427686304
TNFSF18,-0.025285695191113063,,0.08169632044175619,,0.039065931044223345
RTN4,0.0392341315761575,0.04426273039886946,0.009963655982984458,-0.02085998015539999,0.009824716769403009
HEBP1,0.03960850698762613,0.062071794836803224,0.023174645494356192,0.10765406685649409,0.06645921485456739
WNT7B,0.06734829921744491,0.041384608453845444,0.0023844089781336216,0.016290846824203613,-0.028695601456804366
PTMA,0.021878398119386293,-0.019047854091487848,0.005774779455110229,-0.08289671841263725,-0.04976582727169192
FASLG,,,,,-0.01595430738315563
CEACAM1,,-0.013897367845189348,0.011526566378835127,0.06064219753486467,0.05492874460587948
PDAP1,-0.06073356887553614,0.007809054398845792,0.03226314498662664,-0.023918217550665068,0.016164814154420875
QDPR,0.020830604910234436,-0.041495355005716925,0.020810564836939435,0.028625771142853154,0.02850857401928815
POMC,-0.02109844644240397,-0.027964790444761974,-0.013546472848331409,-0.027040323563132223,0.07244995663550452
CCL18,0.034204623969217064,,,-0.03815060945993713,
CCL17,,,-0.014560703630163823,,-0.014460787661105139
VEGFD,-0.03820687985081689,0.0951643447384164,0.0025227946298794577,-0.01699412953115207,
TNFSF13,,,,,-0.023562646500867326
WNT5A,-0.06215498685576066,-0.04501515849974165,0.014938811892256114,0.008044226965611448,-0.004360185174133086
CXCL8,0.044186565577322943,0.04028981223841451,0.0061906734408849265,0.019429104353133712,0.016017610810455392
GRN,0.03164553582069927,0.0049752159271590395,-0.02923828672177283,0.12687071405782457,0.033690001209946974
MIA,0.059056832883261696,0.10414499460684588,-0.007686232406963871,-0.0026796641860819784,0.05572256440159744
COL4A4,-0.03846189247134096,-0.01249408961274323,-0.015201825078717418,,0.06598197215975478
TAC1,0.0014393529380352665,-0.01972531190111122,-0.011627051659270663,,0.07045231446347906
RARRES2,0.01567506470976614,0.07554025160553508,0.06153620497188327,0.0657382199076469,-0.0057825574141421145
FGF7,0.07250151070689986,-0.02545838426020141,0.006263114569064414,0.04319666696037452,0.015118881132955338
HBEGF,0.03490249387416296,0.05928711935049538,0.07755722146133089,0.008553992484510959,-0.01128065448213064
CSF3,0.06931053980605881,-0.0013138701810469005,,,-0.01522497856734366
PI3,-0.04556381103449521,0.044777063034919705,,-0.023842628697714287,-0.03307882042356588
PCSK1N,-0.06441796647699849,-0.04333360485444832,0.005568959397230819,0.003689792758335914,-0.005564287564227099
NTS,,0.1328955962648148,-0.017366318053476184,,-0.02254611716162232
SFRP1,0.04723128918722364,0.03278450331776674,0.031408844835493374,0.029941549929691242,-0.022022202518063614
CXCL13,,-0.015032353996223545,,,
MICA,0.05465853736669862,0.12175651447130548,-0.0004740127909823454,-0.053107410959598915,0.04047332352907633
TG,0.043949972980560095,0.04599838378069983,-0.01466935787949921,0.03938998708461158,0.153973859887119
ADA,0.01039135934154233,-0.008670199847289922,-0.024226457313119315,0.05551685328113232,-0.01665380900367872
LAMC3,0.009465350736602117,0.033785788395774535,0.058491207408359114,0.12175735333455046,0.02472369214103891
CCL7,,-0.0017620634824629853,,,0.035227458852571156
NGF,-0.022158972046328815,-0.02127333517128549,,,0.02248045908677159
TNFSF15,0.16296469443988007,-0.014756197673098657,,,-0.010621986197503186
HMGB1,0.06807191251169126,0.009816327222468656,-0.00837242241548991,-0.07546329928921784,-0.05062148767457998
ITGB3BP,0.024144099683667954,0.021008296482720904,-0.025217227994331244,0.03339565743331392,0.00953957310447539
AANAT,-0.009020499791533665,-0.0132962166090108,-0.013192239269027926,-0.009354415834637416,-0.01688031653830694
RELN,-0.022745319902677797,0.06559648288184113,-0.02904505240144142,,
