,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.004826161854099742,,,,,,,,,,,-0.02635489655521665,,,0.053832286938796235,,
BMP1,-0.1532853888412022,-0.015540395152284057,-0.02827635172330422,-0.08500112701912949,-0.009686460130502018,0.0705734561164265,-0.008492684204467494,0.05672295550155295,-0.033760548996729645,0.03449634206242488,-0.04284574392793958,-0.013063346224746052,-0.08138107787120832,-0.0563983233584083,-0.02828967722628922,-0.0863075273483454,0.0360994243068581,0.035068653150817156,0.03982127373851772,-0.005194409542840797,0.10961081291403571,-0.03654840976814741,-0.04278865958987563,-0.009574840834091797
NDP,0.050419697676034235,-0.06777477060697923,0.00982106162952401,-0.025241145233300406,0.028539607979202086,-0.06401585878171555,0.02305346473726463,0.025629496820664982,0.03701134752239094,0.010929916175651685,-0.10832054818563067,-0.05745344282413621,-0.0040307020278388265,-0.09816395320236901,0.20245754866007565,-0.026479268536495112,-0.004120939506864223,0.10276431194409345,0.012827622186942484,-0.041819313859383984,0.02792837262263404,-0.04978293063210619,0.008266004679470779,0.033705451439540256
TNFSF18,-0.024909277618632337,-0.050052827543618776,0.0012373499555740847,,,,-0.014323997222983286,-0.01968429716466276,-0.015670482449978044,,,,,,0.013257860020810443,,,,0.010456418743635936,,0.05137981022879297,-0.05491585841585429,-0.04906765927814355,
IL36G,,,,,,,,,,,,,0.029111997418122457,,,,,,,,,,,
RTN4,-0.09395743535393948,0.01644010111835337,0.08676480263492373,0.03283773435295786,0.04570625147652217,0.015936033858369912,0.0658871169377137,-0.03727497009648451,0.07220348248568678,-0.07423080796333714,0.1813585246737541,0.012406446470136362,0.11899012826571027,0.030147491045278942,0.017160301639337728,-0.011735475936286413,-0.05838176404010506,-0.02957257673532232,-0.07801015697400931,0.027248199619827815,-0.04283771722882253,0.04059251411569982,0.016795392998804486,-0.018331131933204788
HEBP1,0.021533149795840104,0.02568707221801331,-0.05003954286097594,0.07101282587075568,0.008404923923420902,-0.041320781790614505,0.0084448244909415,0.010455558451277852,0.0433468151867786,-0.017747928996778958,-0.09721355376762272,0.06877142045968247,-0.02388145109661302,0.10270474746392948,-0.16363257798186917,0.013540739309397044,0.0574571629855932,0.04063078422835759,0.0819891757949681,0.05532696404572932,0.14464005667689966,-0.00829207657291183,-0.0638116740891929,-0.07315846423854817
WNT7B,0.005792516857667296,-0.02971380648931616,-0.02250204928417982,-0.007440515758960204,0.07090756791964416,-0.05640584246538236,-0.001032045898489062,0.0342968938282255,-0.0019787865334479075,0.003144307929748126,,0.05039712883578084,0.061109054062022154,0.04057672631797912,,-0.05822401451007477,0.10737282672081205,0.013911481672544251,0.04586435040315726,0.0537361288313556,0.042010535637404,0.07090933159691871,0.11630063378814003,0.1528880005567502
PTMA,0.11013307229263473,0.0006007947024530956,-0.06046690536060832,-0.03557577663403674,0.0002793162533601771,0.023160712147020424,-0.07639300403822898,-0.07448423346446573,0.11147659662398175,0.020313268340915985,-0.2540326637532081,-0.10101019303456923,-0.12030335069794446,-0.030678564968775253,-0.11398988522580729,-0.06355849686866115,-0.07609015286146957,0.080758115905657,-0.08380490134562064,-0.05207814557528336,0.005546122537632655,-0.05176198294282016,-0.08022914110331197,-0.19944157108995733
FASLG,,,,,,,,,,,,,,,,,,,,,,0.05384209823866455,,
