,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.02240494180010063,,,,,,,
BMP1,-0.06361953058707581,0.03444905574978923,-0.05138435759629066,0.012875485673553,-0.20233409665567212,-0.05585088568609399,-0.014162381281460183,-0.08013108294092222,-0.13139172765131493,-0.05965872294250938,-0.03478942803585444,-0.01577749986128518
NDP,-0.048829416427498724,0.0017933176776731205,0.09971009542481675,-0.052179420089305435,-0.046303168774634154,0.03800498244500654,-0.016154972229658927,0.04651960388303264,-0.021000747137028576,-0.03322617804515932,-0.006352740822123714,0.04870153401844805
TNFSF18,-0.022852776976269952,0.006913313555066619,,0.03045762313907277,-0.033270665958364906,-0.015238832961253322,,,,,,0.02772045336755834
IL36G,,,,,,,,,-0.018234095957282818,,,
RTN4,0.20468308339082558,0.023480219252155946,0.10384529087842893,0.14531751434293055,0.23737347257935484,0.021607512467966578,0.07120482371274267,0.1821894322958703,0.19041622021444488,-0.0030249493389535777,-0.029872263727150853,0.09796037210169695
HEBP1,-0.06108597138601014,-0.02024384922165253,-0.0188495111775861,-0.02549290646003907,-0.0728183169270742,0.04050816663983588,-0.0007113338508128596,-0.13237207576697135,-0.05365565916614625,-0.008232168741605336,0.008989344442202816,-0.046616549016460576
WNT7B,0.25679497648930355,-0.008854943977582403,0.04954572389179769,0.11459385445396938,0.09220954262072466,-0.010134150551835147,0.1052058243048013,,0.06519046348620182,-0.011984890216584353,-0.019847014926385267,0.04671731162928746
PTMA,-0.07137854198272932,0.06327889390874716,-0.05243535845909687,-0.11336448873936486,0.07038706257615243,0.0031803620130136617,-0.07637228774154324,-0.23918117346040035,-0.1979024453033453,0.07406426525190155,0.06310714354936106,-0.06163937359693375
CEACAM1,,0.05352272660185913,-0.02178702016022792,,-0.04378230144576617,0.08307148175485908,,,,-0.020585075943705504,0.04974446884162768,
PDAP1,-0.001639006699353933,0.008771553192726758,-0.0213859160794696,-0.024751642683940873,-0.10871267120620955,-0.016682917147052702,-0.028649522129707287,0.01727764960678553,-0.1365240894748797,0.021732371226755864,0.07943304745483469,0.014201993696503547
QDPR,0.13438616545405915,0.0038197890480957107,0.11196933691223557,0.005009193212503008,0.058498443870186066,0.03163649148826274,0.03337183173113517,-0.22012471070541803,0.059431265584166816,0.04259908136036546,0.02290996724649101,0.034656270117042164
POMC,0.18378412885932535,0.06606013909789545,0.07648028902396832,0.14918085374914516,-0.026040987947344187,-0.017681936709713762,-0.032360645419912945,-0.03801948705670578,0.08174087020860793,0.03345928511089416,-0.012446448166041128,0.0021590199878513405
CCL18,-0.030647452977089793,-0.02314581817374901,,,,,,-0.06689359956332785,,-0.03767043646820888,0.003196449403266471,
CCL17,,,,,,0.0407087669609618,-0.014891939129704171,,0.02426139017372801,-0.014604115036376809,,
VEGFD,-4.3179156274954716e-05,-0.008641508523824348,0.0505053614451576,,-0.03753428750110393,-0.020249063430964744,-0.010923417446195068,-0.04528134797897673,0.03926037565611693,,,
TNFSF13,,0.020620252578081935,,-0.024968725977736125,,,,,,-0.028023103183075056,0.03944866446029727,0.0694718404127357
WNT5A,-0.09658527299631799,-0.0037546050858929658,-0.011383966260924276,-0.05399061205885846,-0.16781364432661136,0.009123186409924398,-0.03407433416276059,0.022664254857282257,-0.027200960628509786,-0.048927891075142824,0.0184326830443463,-0.003778868043199348
CXCL8,-0.12103753589702866,-0.02372283124624337,-0.05776659129521741,-0.003990275846706024,-0.07463262792726058,-0.04855176170114229,0.01784054839470107,-0.10318105130757309,-0.04721134196783242,-0.053103501235089494,-0.05264984994415723,-0.10879832268290808
GRN,-0.08117501574515065,-0.015409828530127668,-0.06003508871374943,-0.07741155937999365,-0.1848190849921295,-0.0025537870504542025,-0.020404162120715857,-0.14627418987602359,0.004047113504001135,0.02384428329685045,0.03142214691592538,0.08845534761019529
MIA,-0.023005023138230128,-0.03169262441614882,0.004933746649716289,-0.04514827206651642,-0.06400178407905831,-0.0208391544505176,0.16945986601211516,,-0.024449424208812767,0.05037809812890095,0.06793778859041207,0.02778837118488984
COL4A4,-0.03476119774795639,-0.0277979395723159,0.04133082785947046,-0.023756639639118827,-0.004120925533494413,0.05171221002718497,-0.020869798007858043,,-0.02371684853414311,-0.03858820256339558,-0.0420566085130383,-0.031139926250406104
TAC1,0.3229584890399243,0.0005103879910841969,0.10517726486249561,0.08376391774090748,0.2176032327216661,0.12286230476931735,0.047949118457712714,0.1906133795333476,0.17895837361888045,,-0.02489320358277122,0.0358892291945453
RARRES2,0.04649891996120979,0.019847874822644083,-0.12124353606470784,-0.053536967186902505,-0.16636189148667957,0.06107402421595808,0.07458794837191747,-0.09340706851815186,-0.12077231117928208,-0.07882834908805858,-0.03916141460272982,-0.10733049686623997
