,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.059738836995246784,,,,,,,,,,-0.026425632939516195,,,0.02470560563095042,,
BMP1,-0.00834491731961788,-0.05746261174074599,-0.013404715462103301,-0.029729725733279578,0.07813873916056034,0.010461711278451975,-0.11170014373206583,-0.162875647607799,-0.5275543143003232,-0.141165042069284,-0.0012560724184555714,-0.17029735037222088,0.04101210091202607,-0.2409693504502296,-0.06814272249396382,0.07861666428630941,-0.12107579043179513,-0.11688777599352433,0.03163936857299079,-0.16033904435052376,-0.08271233640347621,-0.012621967614336746,-0.0001654859556691091,-0.00826575885575911
NDP,0.09460162757750722,-0.04596467692428495,0.01618061230446921,-0.05781983481806798,0.04586254031505451,0.007241815482674263,0.17170684945810835,0.048020716512351666,-0.10987642304449381,0.05366295705030119,0.05171407974796522,-0.065717775450729,-0.02349364325986205,-0.014139604305825474,0.017987748453542014,0.019096542405672413,0.07777896306433753,0.06826975981324637,-0.02612839381110575,0.012333421181893258,0.08488685716668497,0.2558238772425418,-0.0036658943507405168,-0.020376873909048493
TNFSF18,0.1668001905926668,-0.04551171849911612,0.01137415369192227,-0.011641555111627446,,,,-0.029777080844138274,-0.07618675697607519,-0.036105686728188834,,,,,-0.02813461311876595,,,,0.05259361758780231,,0.0012651844879793053,0.03739415398963386,-0.010698770665057767,
IL36G,,,,,,,,,,,,,,-0.019514963196296108,,,,,,,,,,
RTN4,0.03394589010097645,0.3109245616793139,0.10660538916742812,0.06093540194916593,0.028626316924632623,0.07881885983884106,0.3002830111080699,0.41690753049571094,0.6717148021382987,0.16257971703954227,0.09679169612066527,0.41766336679394106,0.020463256193200392,0.2897418703631153,-0.06134482650933514,0.030717125434034345,0.08619794339774661,0.14765093908999932,0.06966864571722609,0.1834166988381612,0.00043830839866670224,0.06783423115096235,0.18754715853228046,-0.009780593184667735
HEBP1,-0.004943713079176271,-0.08516134472772695,-0.06508862272014002,-0.01651346452077385,-0.027840168385290336,-0.017484960026570906,-0.02708041686673417,-0.1509926826552241,-0.2508600080354493,0.008455212409196224,0.01725148460477769,-0.1313390433095139,0.016896405532412194,-0.005454678510085061,0.055499266781656786,-0.06253045451541588,0.07087940276021436,0.06736077016797247,0.04266409743457365,0.032423520767555156,0.04945957523784692,0.13451868132713815,-0.007768394636517955,-0.052144479335545516
WNT7B,0.0349250758323509,0.34808282301993976,0.03784241043117474,0.006630528170212051,0.08180112592055891,0.010592195284654797,0.10272626169042706,0.08763809576364295,0.4139917674359254,0.03384935790498208,0.019340550376465225,,-0.04202951071553599,0.09871212670446504,0.18120227143281842,-0.05434559592848641,-0.06336670343204012,0.10971598801778756,-0.012682141462536057,0.0030408102056342944,-0.03876432086407353,0.01853636494436533,0.049992119150544266,0.05940532725946598
PTMA,0.04082081496485863,0.08896721012894089,0.04848346526411051,-0.07351851315689584,0.03732079322755314,-0.013660550789315202,-0.22537941888191276,-0.4188002448701783,0.12769648259977068,0.1318000069355038,-0.14431946214687538,-0.500131749097307,0.05144644974447313,-0.31067730494292306,0.0047814252751976405,-0.022790393362857018,-0.07426015309047404,-0.039207456471939246,0.04695789139180547,-0.09181153607406946,-0.14315189043646642,-0.25239080396101626,-0.12787227622956726,-0.15483216221250648
FASLG,0.03708940397122064,,,,,,,,,,,,,,,,,,,,,-0.0005003077916557034,,
