,UKF243,UKF248,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.005954068315251334,
BMP1,0.0336807633019611,0.07432196131339285,0.0042515337089691525,0.04687468366071072,0.16341139929856832,-0.0060501417296984885,-0.014431320898229873,0.08505885052135456,0.051218987915742184,0.03580470625073847,-0.031350705648438115,0.12381426996959663
NDP,0.0011147287324096366,-0.018876812056488636,-0.008307663787795011,-0.02178632932602667,0.05234802773736725,0.06858697901804674,-0.07130364738068942,0.013298295132526328,0.10141270200892612,-0.0037490206263094627,0.017496399708074897,-0.04657742505141645
TNFSF18,-0.028592023121357977,-0.06818789305674422,,-0.016195549592603248,,-0.033078816016665014,,,,,0.0002521791931558875,0.20666913617479035
RTN4,0.008305342181969468,0.04267248894075397,-0.005631108381429824,-0.04110855980765322,-0.029387092572602965,-0.03726091039600567,-0.025836724931032375,-0.07477299575121625,-0.05437417142250531,0.03373841262836069,0.0631756422778208,-0.19038226466109875
HEBP1,0.017797380456692245,-0.024471778470279922,-0.08610833461110295,0.04886135068413241,0.01467056932471145,0.004500361444444978,0.15599556033856665,0.004726060765927989,0.09082545941007872,-0.0019277836270346,0.0699692065947504,0.01479902768923813
WNT7B,-0.02934895987078842,-0.05913708006505133,0.05607921151882779,-0.005219209975940444,0.05032251237492354,0.06586677747260807,0.027949529194156688,0.006662072021153959,0.009613322752270833,-0.024159454834219152,0.0747491245961709,0.04708741602325169
PTMA,0.008641313420163589,-0.033542993935799445,-0.009301154326862104,-0.015055522277766945,0.05870651112248438,0.019488648869865375,-0.16028312206920464,-0.09052279810084483,-0.06637203254030212,0.0335492366493049,-0.13885621023988023,-0.010591313599206157
FASLG,,,,,,,,,,,0.08053129056011574,
CEACAM1,,0.06934731961850076,0.02962735954467741,-0.025471741177997234,,,0.001613301026829186,-0.03774963928274391,0.055625391084389915,-0.01603498154134533,-0.027302092507431562,
PDAP1,0.007799977660669349,0.07110150604840368,-0.022913055552896175,0.0007788717296851898,0.11370480285691761,0.03572923515392476,-0.06612900998078469,0.007347151577271797,-0.020273857559939715,0.07654275768029505,0.0023468418662475074,-0.022217579383831784
QDPR,0.028408084185271437,-0.039757962453661616,0.004912397820674546,-0.003585724637771105,0.06523804257805897,0.06179300001368257,-0.048124698240452034,-0.06205899002653592,0.008386423014450011,-0.02938939430786147,0.10332096965754047,-0.1178821093080745
POMC,0.031358148458856205,0.059537312439105955,0.04907746384613241,-0.018792035033363116,-0.0011782947825580395,0.08917494253017427,0.014810825608611293,-0.004350364178427124,0.07303799624128497,-0.02623112335616423,0.027265950879599432,0.0385794517851078
CCL18,0.03547507653891209,0.03834710038683254,,,0.056553384594152316,,-0.09174833892538722,0.03650840071838469,0.056463828929203895,-0.01637662284005929,,
CCL17,,,0.01689336577815378,-0.020199003518628834,,,,0.10560587134614162,0.0737169879434124,,0.025133878977612326,
VEGFD,-0.043202766775162396,0.028033696169260835,-0.017981487033389938,-0.021520329793875925,0.043860509211269806,,0.06207535348250053,,0.06966125538191244,,,
TNFSF13,,-0.028629954075014084,-0.021795182117240103,,,,,0.0815061578140543,0.022371937541072834,0.06629169137360545,-0.010883162358301102,0.10910324764427498
WNT5A,0.04045220326922006,0.08248365582768664,-0.0664928942416588,0.01989633439011699,0.016462974717034295,0.09771441324222634,0.12167931115986215,0.0749827627254011,0.016658668531842426,-0.02233621327298103,0.016853942060404088,0.15986541984897373
CXCL8,0.03525720935120332,0.011429637069094641,0.01137895020246374,0.08797111578918353,-0.05604793903546822,,0.10960783386049522,0.13314355808224537,-0.026070840315140103,0.0616066062836146,0.0336636934622168,0.10356964734346366
GRN,-0.016876715552847414,0.09640212669818973,0.025886644533412786,0.025262091279562054,-0.017214930462889896,0.06362479655587124,0.10429126893786682,0.09914091413208492,0.048342913567276415,-0.029125562171039506,-0.04374148310160387,0.08443435348146633
MIA,0.0002443529190503046,-0.013285128821037948,0.016456893494070278,0.041708728878536154,-0.027590706078190905,-0.012764878457812684,0.06499794824623241,-0.02049742963971165,0.07447512757214135,0.058613382126589515,-0.0146892662864096,0.14241547817032404
COL4A4,0.008006923463527984,-0.05353291362905081,-0.06411459183802594,-0.021088384603782942,,,,-0.037281901106260326,0.012086316857194348,-0.032316030008392206,0.04899423003540405,0.0947055774743808
TAC1,-0.0544692428859433,0.022352519547608293,0.020026616980852636,-0.035070931035012166,,,,,,-0.027664911244327368,0.0833154343760763,-0.07184555645125143
RARRES2,-0.02398687234335579,-0.007999624863268294,0.025753843651553764,0.013192520619302841,-0.098703484077692,-0.041251388799182616,0.027875696345160305,0.11086908922515405,0.07064963930300046,0.00961023385594802,0.07946482830764322,-0.024619302673833506
FGF7,0.09018410402300044,,0.04170709201710127,0.019782532283542976,0.004520599911389793,-0.007920154846244318,0.05076517516693293,-0.0336642067748359,0.012428122078964172,-0.036977099813401984,0.09102093098425235,-0.003023710977182287
EFNA2,,,,,,,,,-0.04638536091676105,,,
HBEGF,-0.03222780322907268,0.09568389026486618,-0.00911053418978036,0.06394931411367706,0.09729648783294234,0.06864399959826,0.019361498772459775,0.1040484132625845,0.027473052977212642,0.030689267224452192,0.03221870794547828,0.1974148812477187
CSF3,0.011427191145582634,,-0.014987170675518656,,0.02094563006314313,,,0.1786139160340666,-0.027978919641473584,-0.022988336396604598,-0.011252964109404132,0.05668846279838276
PI3,0.005533462693791482,0.008114559256105464,0.03938619807719708,,,,0.04401344879888915,0.12487431343640672,-0.02691476715883047,0.053612428194659216,0.001550391986400964,-0.025325274921282413
PCSK1N,-0.019096714927789762,-0.011111901464112454,-0.04074268011686061,0.013405356579076648,0.07346167499964833,-0.05457085173250515,0.09366383160411251,-0.03436156493200973,-0.049127498019605524,0.014542170547765259,0.05310029067930037,-0.1258880452256521
NTS,,,,0.04710185373019051,,,,0.03538953787486112,-0.02333422168138141,0.024752908258444194,-0.03945970270316501,
SFRP1,0.034681267782212796,0.027096178170257394,-0.006975594522150205,0.08243184022824324,0.03161774958678012,0.03600307154800441,-0.07177626881882808,0.04084840194645181,0.06471831962466854,0.02483554629588428,-0.038542759181206775,-0.04232491652124243
CXCL13,,,,,-0.0054585652649688475,,,0.03524877062110336,0.055487764823295684,-0.015131277570546553,,0.08763746909877285
MICA,-0.06348864747764241,0.04697716778879734,0.008542199795868578,-0.0064756915911422745,0.04705595274263051,0.12628055300676302,-0.0815064737753536,0.08611703296441495,0.1057460686907242,-0.048237382117936024,0.011933893675922728,0.027846930203402495
TG,0.03368237585865605,-0.016240837686009715,0.02012713978901205,-0.020349731644163434,-0.013872466701864657,0.15561602682333928,0.15288552888893375,-0.045557535656489435,0.03979760709593088,-0.018919754106534716,-0.027505435239532895,0.044039495807379946
ADA,0.1304531304513021,0.04884347600381331,0.036937557701022805,0.052792739474562096,0.0852468510599717,-0.01020616693121189,-0.039993652066302,0.017117297125745612,0.05235920908609863,-0.034426469577207804,0.015135760166905269,0.0700650088626398
LAMC3,-0.04356733114555662,0.09949548543273427,0.025150676228941116,-0.018176719898634047,0.045381431842693484,-0.0035942618217072626,-0.11095164960924787,0.007864882715160205,0.007756326838566261,-0.046192065322163946,-0.034707521117521796,0.15564219575152186
CCL7,,-0.015561672598908498,-0.021510902187230552,,,,,0.12867079746641938,,,-0.027922856862670313,0.007922060383177
NGF,-0.025056453315028242,0.059205906701786624,0.0329734602400894,,0.08086152107169399,,,-0.0050122415018170954,0.011923928681678606,-0.02935637840433839,0.06687136976791942,0.02923890867977976
TNFSF15,-0.03099795988141391,,-0.00038004055506436394,,0.03321740155769402,0.07633252067766683,,0.10924912437963703,,0.08790513090758477,0.03830630342496426,0.01195583783068408
HMGB1,-0.05241468240782377,-0.0844642088674534,0.01099174934384373,-0.08029572417692714,0.03764903930526133,-0.09807123467691596,-0.2257542970979188,0.010298462118609976,0.012231951145401378,-0.01657743751479909,-0.017095181274869385,-0.09409191807217648
ITGB3BP,0.005581613032430792,-0.0019353974794823444,-0.003218726006571898,-0.008089043911793171,0.005882360458575414,0.05516826106634605,-0.025344755037515522,-0.028109086570612174,0.04956548723173656,0.04957057163660205,0.05772029044059346,0.02640641688252943
AANAT,0.008792381247192048,0.00604875073952816,-0.008552840525549998,-0.0030787173509944942,,,-0.05119081687152655,-0.03465804090218896,0.09199381375415025,,0.0403745355715585,-0.025433017734651207
RELN,-0.01624787509789723,-0.02260242133405432,0.027590810003469884,-0.03348578602199471,,,,,,0.07065271264704674,,-0.030598667279819414
IL15,-0.0440630649028005,0.04019545151078994,0.04603581295471125,0.03552589233445935,-0.01669272260525,0.015128982586745615,0.0982762740030459,0.10666588123308465,0.06748959493114799,-0.010960301285875317,0.03502563744398199,0.03149313025019437
UTS2,,,,,,0.1257225028280582,0.06703259028187836,0.05363732476489477,,,,
BSG,0.007420867698674609,-0.031221630235510008,0.006605073276903975,0.0006572268525087908,-0.009556719196311134,0.08040780871619696,0.1658630025117938,0.1264312543961665,0.12751601075763824,0.10222354548254038,0.08944581187921988,0.1489286824306771
ADAMTS3,0.011774039952780944,-0.006017969791969817,-0.01651685951960793,-0.026041577263911354,-0.017748781155223943,0.08016742407734843,-0.19781361544373352,-0.010806623824106269,0.05378330441627427,-0.0280857913150587,0.025460753362313873,0.013756806984519575
CD34,-0.029039792255224357,0.02891798808489019,-0.006451704235944255,-0.05605773502192552,0.0793786104829065,-0.032883997565244856,-0.10720408501777408,0.033349978436751464,0.09372763793887877,-0.012137479599325773,-0.08085327578110625,0.022643497268710632
CCL23,,,,,,-0.0163014860675868,,,,,,
PLAT,0.030382335980563592,0.013948087876220415,-0.006208380589493428,0.049649687624319774,0.031177510710799636,0.011732956120391531,-0.10397187716555481,-0.05180118273750492,-0.03708381250612345,0.08517054302804959,0.0008945119485641766,0.10336549984454851
NTF3,,,,,-0.031347806028811875,,,0.004752643859924685,-0.017085669950401814,-0.05924029922241174,,
LTA,,,0.03826297166357274,-0.01762541641009231,,,,,,,0.028939871534034142,
CKLF,0.0306347466402175,0.0004351697332613372,0.0213950848740448,0.04661327629825139,0.006381417668671564,0.0025772276295305827,-0.047826116802301415,-0.007380945010690926,0.12010701829751928,-0.028146634213806837,0.006949523332776356,0.06876584136625326
APELA,,,,,-0.02221617061205799,,,,,,,
