,MGH258,UKF248,UKF269,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,0.021399010154087017,,,,,-0.015610211255027913,0.037380934830023936
BMP1,-0.01126826274558512,0.04425636639280026,0.09153922228791964,-0.005873555171802763,-0.048774424125068064,0.004711949791194663,-0.023880061975782907,0.11757107578119526,0.03402234218719517
NDP,0.02362503718624663,0.003207528891662993,0.06587598378071087,0.03501604754586614,-0.005215535556395107,0.03389326197070744,0.05901465826063291,0.08279616199067762,0.03161813854198239
TNFSF18,-0.01927998241522272,0.015599299534582042,-0.014984681378162683,,,,,0.015119703211483381,-0.02650800504856313
RTN4,-0.015777491273180393,-0.041720160814466986,-0.06914498132221869,0.06343292717399186,-0.039731511344658556,-0.01594456460733771,0.0063436952865386885,-0.10945112663885599,0.027752412735769297
HEBP1,0.023172339356166374,0.03787700917264722,0.028497936497503762,0.019193764015068296,0.012456360946095948,0.025148881606879017,0.030555661074279775,0.0403139526651325,0.032459987389583236
WNT7B,-0.01698506064196971,-0.02763363682058746,-0.041793505936728904,0.06859204486366306,-0.057311854577755915,-0.03628851294615807,0.023003299973417084,0.1215485344988784,-0.007751007799723623
PTMA,0.01831822494205553,0.04241469343759979,-0.07404724882223375,0.006397170396271405,-0.15715525572472658,-0.01413649708283027,-0.028441767455000683,-0.10953229227858842,-0.018641735310428405
FASLG,-0.016985065443602843,,,,,,,,-0.01362941341095411
CEACAM1,0.11333358443806929,-0.015803933934479673,0.01694317635504229,,0.06683171851304336,0.06294384888058054,-0.019560872295460382,0.06224245403456007,-0.018963326964883755
PDAP1,0.015566899400633936,0.07255801357996244,0.06165785433838873,-0.025847155132487643,-0.08138704700359495,-0.011757612075836223,-0.0022433535904000843,-0.001707797822090164,0.006741036517302495
QDPR,-0.04668339551196425,-0.0017708506761721537,-0.08358804982186882,-0.013610659176861736,-0.053795679824425784,-0.02790913936627432,0.07298655761264748,-0.12644380064846428,0.05398483245796028
POMC,-0.021630031578301286,-0.037457088752052885,-0.004948057897707287,0.005624677683644586,0.1809314274986657,0.09640241241162033,-0.03711313729054144,-0.0008198487720995805,0.05576232542000946
CCL18,,-0.019721816330907405,,,-0.037005097364352965,-0.037211416394400225,0.0067104899956952554,,
CCL17,,,,0.025520118408895467,,-0.01442616164399801,0.0008371416877504198,0.12338916524106093,0.08735734743865614
VEGFD,,-0.019721822593507802,-0.008267453015009035,-0.017505899437028266,0.06589265468081348,,-0.019560872295460382,-0.021706773353886606,
TNFSF13,,-0.014882720198635716,,,,-0.02768163735210975,-0.003623904036692478,0.00039950211241550885,-0.020129049948953176
WNT5A,-0.018696283182166394,0.055128913351182356,0.0267502615461361,0.049681406885920966,0.024172371107601988,-0.028607727379827,-0.026143089950915542,0.025350719293012136,-0.0019979236513622545
CXCL8,,-0.0366655280703122,0.02901925681367445,-0.01630225473757394,0.02936149257637708,0.019883863962605573,-0.06615612186556037,-0.029220763401471426,-0.005044547399318028
GRN,-0.0563646523971838,0.04358139798005916,0.09841362201022333,-0.039351830576934185,0.09015756434391518,0.04350799037663334,0.004326162126038795,0.04927661631373169,-0.026745541476500212
MIA,0.020210896061096738,0.004312342665896953,0.08117118031327265,-0.019909273901526154,-0.05950666646451935,0.04403949698261884,0.049511098990370345,0.1236075954478915,0.07735691748634269
COL4A4,-0.019670775402892315,-0.023685741178276907,0.06048990288235994,0.02908800582042245,,0.0930215018654053,0.02022860537503003,-0.031703616098187934,0.04807446120207659
TAC1,0.09276825045073,0.007411211930226288,-0.026746882295841195,-0.031785340539551725,,,,,-0.016239974508403653
RARRES2,0.04329846192873696,0.013425159993881046,0.09397712238736586,0.0009242543289915937,0.09006026765138776,0.039913129216627805,-0.03755226151902633,-0.05507795478543437,0.0029258671305955304
FGF7,-0.004150685628046242,,0.03948102736810793,0.0419079752989793,0.0717090720250245,-0.0007124279826228302,-0.010407792989767777,-0.022878573614393716,0.02308085496528425
EFNA2,,,,,,,-0.018591300043068807,,
