,UKF243,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.016803101585468425,,,,,,,,,-0.037474074237565665,,,-0.017569010441912728,,
BMP1,0.07356299800852406,-0.046937181101456005,0.005123600960352224,0.026420315196098536,0.006895870998682741,0.08729545485041253,0.015681418094002707,-0.049405212834110875,0.054112403940769264,0.08000410627627735,0.11059715241146961,0.1037856555650241,0.06829493133429544,-0.05322283945788268,0.032767781690732314,0.02890622960988575,-0.016892195612715193,0.16469913250350895,0.0693335136402596,-0.08197902095769216
NDP,-0.01848144142765444,0.015158142794976638,-0.009175704229783914,-0.009062221453121182,0.004447697705543559,-0.014624461475527335,0.0693931879419556,0.004143498946431441,0.084723471109671,0.060508719268661054,-0.07990512483980569,-0.025332062208094044,0.04023633354015988,0.060697096885898194,0.004037418857052981,-0.00106319618350081,-0.06627356442880725,0.01655376971950313,0.06238908443068914,-0.05979337074483643
TNFSF18,0.009255980346753994,,,,-0.013800795853045443,0.14459813296635676,-0.010647509681371023,,0.10498838447803158,,-0.052592924212912666,,,,-0.02556955783692157,,-0.04154597825880138,0.06768750554890633,0.04611715897574829,
RTN4,-0.05581842614313296,-0.020393276263344574,-0.029878502520853195,0.04093438248580152,-0.11958766325442015,-0.1418741158834208,0.029843450861379302,-0.03486262285123953,0.02977373926630647,-0.14201648601358222,0.02173326012005217,0.02868193162096856,-0.04827616507915368,-0.017204624828780775,-0.06694359511090882,0.08388322498936901,-0.027881444878039636,0.011281014144069531,-0.007972495293041575,-0.05784171725179067
HEBP1,0.01226539529110622,0.05640439038001874,-0.020573062448332343,0.004375912345402239,0.008433989288749659,0.03172250663778726,-0.01116128707041453,-0.012200424125299477,0.08497231568532793,0.04916161811050354,-0.04196122214255738,0.025611498303928632,0.06643617324901893,0.016244946771437792,-0.04695715486320961,-0.0011637308323133493,-0.03475997855692312,-0.008180337340043621,-0.010949757397991703,-0.03105340731609459
WNT7B,-0.04638285385923646,0.05267526269294311,-0.022753995280856167,-0.02929372951126678,0.054717943488615785,-0.03684055039451076,0.00017605042181078581,-0.010917753188812065,0.017300749102870702,0.044080257871245844,,-0.009962717130811838,0.014408194710297225,0.08684336048125463,0.003833754026021172,-0.026256487779719343,-0.04154593517874285,0.1877481237807205,0.062410963449336755,-0.04681333270061965
PTMA,-0.04139135911126226,-0.011973446568058254,-0.01952110464756434,0.05733545420289086,0.09066706739504184,-0.05233960840989542,0.07026472334718749,0.03249802031591418,0.08563050626110104,-0.04973709158416964,0.08533676459716862,-0.07692935330288705,-0.11090220751945797,-0.018655668135281078,-0.09661716183463072,-0.008257613888758291,-0.035126910095428704,0.04005743418359472,0.040430264301160944,-0.09644696984362709
FASLG,,,,,,,,,,,,,,,,,,0.048268154621903814,,
CEACAM1,,,0.06942062419297512,0.06837188598003856,,0.002678823928798595,-0.016745996129576765,,,-0.007449054079486052,0.09931027976860264,0.03534355889068618,-0.010153569107784501,0.09226668686409746,-0.026381524690148588,-0.02956931721457156,,0.010161042726909816,,
PDAP1,0.03556486462337003,0.022364696168167608,0.03129558465184255,0.03269162965179665,0.055100585468548645,0.08137664403641202,0.045715737670746534,0.01424455377609004,0.041442016075467075,0.06756804759718421,-0.009899296669864355,-0.03962409339716629,-0.004714118006442143,-0.024923491207542066,0.08265469063694555,-0.001500415450669414,0.13708891866323875,-0.021376037761957206,0.04096144628171149,0.06674050292118727
QDPR,-0.0019650247070069314,0.06332189556889713,-0.0009325508335716465,-0.009149098636904955,-0.004956458924515916,-0.12475605057143418,-0.024750894787153206,0.02755405884049672,-0.061658603675966275,0.005326643638031671,0.021921770182774386,-0.08583059438105264,0.007688345363329334,0.0701641272379993,-0.015330748851982833,-0.061516114244840735,0.017739404790177504,0.015487682432355624,-0.031209085577123877,0.04811408814075845
POMC,0.12972618070626166,,0.02642732996217129,0.04608532429963498,0.08559938567669838,0.04127059009297009,0.07702883835654843,-0.02936442413245806,0.12038629409300942,0.012123140910379646,-0.03281146655286927,0.12342887908016008,0.05215549966593455,0.053279140463231955,-0.027091167215758324,-0.030587681574909632,,0.04386324073833783,0.004895036471057394,0.04585694936394757
CCL18,-0.02665078173305802,,,,,,,,,0.06197534736238499,,-0.02704291360494088,0.026903142457537593,0.015089521754235221,,-0.07645167260458531,,,,
CCL17,,,-0.015228933061595151,,,,-0.013279517579130084,-0.013513117896291884,,,,,0.07091566715149232,-0.012232169818987835,-0.025813002392045335,,,0.04113021020503017,,
VEGFD,-0.03002764139597678,,-0.01696671315743807,0.1464430315493848,,-0.00012737593447864772,0.02525677313227487,-0.00991203539681523,,-0.021741640968177087,-0.0016615286487372523,,,-0.010450082865113767,-0.02233274514255289,,,,,
TNFSF13,,,-0.01050457719230214,,-0.013383892969034234,,,,,,,,0.1302996352856995,0.06527206142850603,-0.014050186243609812,-0.033204361421358485,,0.007445911555162373,-0.0021551840179504667,
WNT5A,-0.03789149729337126,0.007058818691582299,-0.05253975461923457,-0.007097173249838802,0.05874778071198946,0.13165399010736617,0.04208406345333945,-0.010950371971205682,0.04591855900882378,0.13162565872568896,-0.0701676354161377,0.0033723138604443404,0.035741365684177316,0.0174856030115339,0.014122462975261258,-0.03593507227971422,0.002487396892549644,0.12497578495103778,0.03950287292508384,-0.04294518859715664
CXCL8,-0.03757151470681149,-0.03742256026550514,0.020885147381033187,0.0225792502770995,-0.01903771968045467,0.034948704049540764,-0.01120967222221773,0.05137475019726157,,-0.008253555204546507,0.02784417281890487,-0.04761330712525217,-0.03022942346153642,-0.0843990736694565,0.00652551839027638,0.010851762953137074,0.12100674356597664,-0.04934260030973133,0.06648335723487643,-0.032267103404658465
GRN,0.024163572048425692,-0.005473622943909154,-0.011731612575118653,-0.014102265140527776,0.06101533155822896,0.14101504295394834,-0.028530953117115728,-0.021741282892828145,0.05426717167510991,0.040190158233785606,-0.0825360919102933,0.042487547985370716,0.10828538703327942,-0.03488391512908353,0.11886812834896701,-0.027731456897230517,0.042778788897511605,0.1449474472410966,0.050211085417803336,-0.03773203888223469
