,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH916T1
IGFL3,,,,,-0.015367755009742724,,,,-0.022198081226855734
BMP1,-0.06051966762239498,0.0709068909073504,-0.05465519842693846,-0.0074363837965950785,0.07543178027806434,-0.015191271739376818,0.059421888367445164,-0.014678843819584413,0.02802479818548743
NDP,-0.004170635208937934,-0.020260080389613976,-0.04198203483587201,0.014087313718002134,0.028033694392700485,-0.030291993798729502,-0.01931636691534798,-0.005879316653702778,0.016232501111708604
TNFSF18,-0.03151831961130152,,,,0.08290389497611135,-0.019510021747054216,,-0.05963946611638024,-0.01515546321331508
IL36G,,,,,,,0.08194441463693418,,
RTN4,0.011424227230621467,0.08118361622193714,-0.030030918753916957,-0.010914576638281053,-0.04456051411886295,-0.038222842803176664,-0.038402740040070424,-0.020513010107707178,0.0010187616317542496
HEBP1,0.019041460045186465,-0.04310637136562221,-0.02464460165969997,0.010527806754456293,0.041829551591190214,0.01394686089633421,0.010330869432956857,-0.02368582056796454,0.05496574658429409
WNT7B,-0.03897909705170667,-0.036582975375403254,0.08162467569226416,0.0030250790080973825,0.015788686480198596,0.00304351731876254,-0.015116032933254355,,-0.03878120081175611
PTMA,-0.0358465262806235,0.0025535571552337388,0.011598760550206184,-0.015849362305784515,-0.05989558962610849,-0.021138945570868043,0.06301303538179587,0.017635477799104474,-0.0481126020102405
FASLG,,,,,,,,,-0.019252388275067134
CEACAM1,0.06719591759087684,,0.0094697544429981,-0.017160925672936374,-0.03003068199794285,-0.021560034674014055,,0.04906827221135502,0.07154312532758605
PDAP1,-0.015384033427272677,-0.02809362865353135,0.004290897467025187,0.0414202143262743,0.05761582779372039,0.006600484884400169,0.015532710317675206,0.09190477502471706,0.005784518073862228
QDPR,0.002434752915973816,0.04184298042014341,-0.02051770122104884,-0.04419495644486585,-0.03421847016406145,-0.008108764974232095,-0.04627953143035187,0.06752328900912873,0.022488682644529426
POMC,-0.023472935881946672,,0.04779793653537194,-0.03453184053467521,0.004055389028051397,0.02676011999328877,0.02714658445692358,-0.028258715216661734,-0.0567701157889089
CCL18,0.0312971788760278,,,,,,,,
CCL17,,,0.03666889428780906,,,-0.02433279560313636,-0.012563673678998983,,0.006079750656600635
VEGFD,0.0032730145972502574,,0.024956350902669268,-0.016418602063855075,-0.010011462807153588,-0.025924535618973715,-0.013464878220679016,-0.023452354524085218,
TNFSF13,-0.018891214306348044,,0.08903208211376144,,,,,,0.07091757185779894
WNT5A,0.02921109064171259,0.00737772002400483,0.051549623751847753,0.004241096812896864,0.05121081130912722,0.005827978037035831,0.0226951202693466,-0.006909193804240255,0.043570241637591926
CXCL8,0.09800964624894354,-0.07833026027035804,0.05931723641726467,-0.017915267409101612,-0.0260925698861277,0.03947844064843725,0.03698761018112571,0.0792707889700999,0.008965656876434294
GRN,-0.026843592085898465,0.06978356150528028,-0.008164586096664988,0.018339563715684157,0.04070339831913211,-0.005615679024880063,0.03026042199226471,-0.04939536771841706,-0.009544028565475038
