,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,-0.020521705750145763,,0.06387633142892397,,
BMP1,0.0997442596787005,0.05372244005566721,0.01386316175141767,0.024354858477389142,0.05585988217730906,0.06424525870222299,0.008263825074944204,0.016426630076799696,-0.05799554667305357,0.02302441626953523,0.0755179765819585,0.03415373960025841,-0.018990242933009042,-0.046369256332477723,-0.02482786926814767,0.006899536258989712,-0.060896228974221936,0.021356198167617517,0.006942801966879088
NDP,0.0897037338134271,0.028449726359655196,0.09021873286429431,0.04994024836403168,0.049869645332179885,0.006895993942100521,0.009828452300016345,0.0033361192175499163,0.015948442488432232,0.05677031422168493,0.09620636276420486,0.02298147397528409,-0.02120922425708573,0.025577306480797053,-0.04820159324891271,0.0007494775152957373,0.06397829195892353,0.04485824689161847,0.05797495080712166
TNFSF18,0.04453466061893363,0.010533387434962838,,,,-0.019301677443466843,0.00029540627392312334,,,,-0.00031411445136396367,,,,-0.021163672910746903,,0.08037309217681171,0.0690937454472784,
IL36G,,,,,,,,,,-0.01838598717234792,,,,,,,,,
RTN4,0.012909218602545264,0.002749039091969699,-0.05802730705554154,-0.03138098220212488,0.0020421819404359194,-0.061061853277459444,-0.030366654600668803,-0.008538761509786153,0.14130373019370968,0.035736908229744936,0.058602566462113745,-0.044718501911163666,-0.018799584860478686,-0.0016615394120808962,-0.03218089216760942,0.017975390874661743,0.019250448938167054,-0.004839336189575325,-0.04913143300359463
HEBP1,0.008960867717574315,0.02758679599494012,0.03555175435396575,0.001142233668979086,-0.00122937972009893,0.020703871704961647,0.00931777057144108,0.004583993513682804,-0.06246876261169113,0.027537348056194642,0.044496109046692905,0.01017086754739273,0.037419544617469186,0.04656798620078546,-0.02670861230007885,0.027373607107170628,0.0860476477529412,-0.029410297065270385,-0.06468670907527528
WNT7B,-0.02369291337306523,-0.0199368237204476,-0.04101479815851233,0.021785120784805365,0.06748524149739765,0.011651744826826106,-0.020160207053488973,-0.022656105835614632,,-0.003580669302086465,,-0.034477280638715524,-0.010044268499352383,-0.0034158981930844626,-0.044254952152960915,0.05186014005480095,0.07701102156729998,0.06175442988539583,-0.04319133394571468
PTMA,0.03660453008148087,0.010847175369530412,0.01190915757881529,-0.03862897070644789,0.024825662061116006,0.04175346968705361,0.008885824707967177,0.003890365305574816,-0.1220997121907597,0.01092538285146347,-0.0750969965905908,-0.1163929219412021,0.014447856304675892,0.03235861879772664,0.02362603511351578,0.01713984056356868,-0.09433362559144953,0.020102250392206627,-0.1256611421891686
FASLG,,,,,,,,,,,,,,,,,-0.017174636876822767,,
CEACAM1,0.07550843749992964,0.0280328790333395,,-0.03334817108567956,-0.02741806583897995,,0.017026145346915246,,,,0.03449210086390837,-0.008362095687807582,0.05011547199838948,-0.005772798019493898,-0.030409988455385707,0.05913688431477253,-0.023895984719091493,,
PDAP1,-0.005397898967098562,-0.045074613916179535,0.0014159792810984715,-0.040851378171323664,0.04208621648597546,0.015534304005406728,-0.037367326807159755,-0.060705872723142366,-0.010610543484304973,0.009162597010386134,0.03375017778644753,0.007174817753804175,-0.022670808445220538,-0.04363134433724759,-0.001992346080303002,0.00742724449075643,0.08537218880650925,-0.0035241125784268336,0.06949993058796294
QDPR,-0.0205860735393135,0.012809739673212734,-0.019839873446862586,-0.04702669353878986,-0.004242197372604098,-0.03226488125449511,0.012151942424223744,0.05319351115867585,-0.06489886092246352,-0.016114778158865865,-0.023591094980761996,-0.09700233106769524,0.02420729921922173,0.05028649696580327,-0.005030141822176511,-0.013470420374797822,0.008233242948866069,-0.03635203120802424,-0.008148870271788641
POMC,0.07762145343576586,-0.027186215302557677,,0.008477718379906907,0.04780132154385809,0.008908060692589585,-0.018911679006597407,0.054954620771654285,0.03919070169993341,0.0550393080919338,-0.015481386694295579,-0.07363362468454453,-0.021086175381237065,0.0024778845672343845,0.04143339640796523,0.008998779826785052,0.0073053644182514196,-0.021579632008661573,0.04227625714977134
