,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.025539750983878635,,,,,,,,,,0.004733672062012397,,-0.033698809385138744,
BMP1,0.08845868509908916,0.022668253982363377,-0.022992761861691594,0.09669082727670017,0.0018477369707869673,0.00732973533511749,0.03839367600374809,0.1440267614527182,-0.01727831682974314,0.04947210407938335,0.0060614515542333726,0.06758009308533525,0.02204321644645604,0.0394124852638564,0.10841919874153019,0.12108209286605069,0.02156259718524713,0.058082477563043154,-0.07273953773217928,0.020265424394268188,0.003512460613947464
NDP,-0.07630961315627247,0.026370688545451604,-0.009355972787532032,0.025059201731429632,0.044231932393247526,0.05584085153301051,-0.0036270068741654175,0.05118822452427138,0.00706441893185361,0.03709521182007285,0.04999849494589282,0.030020138652775356,0.0519735104384026,-0.025031447315894614,0.1119954272008732,-0.15028983722487715,-0.011417957801565886,-0.0019285935939734682,0.09840004620596149,0.03546610936088596,0.11893536921758384
TNFSF18,0.04823513569891334,0.01136729609361527,0.05274333894588056,,,,0.030290883313519323,0.002801960315056745,-0.022608368369420415,,,,,0.005927485202655513,,-0.048999386410417574,,0.02812128297941879,,0.0956058137085343,-0.006138680514992424
IL36G,,,,,,,,,,,,,0.05978155954043868,,,,,,,,
RTN4,0.00033912327398449984,-0.008424385097443863,0.021472410836642895,-0.0027550485965700485,0.0006239269950132528,0.032635060897928864,-0.08870826621736078,-0.17829389390591435,-0.010295043859291092,-0.009778726419518899,-0.12783032244893885,0.005478084846858472,-0.03279487242193907,-0.08213366906828908,0.03380323639311299,-0.06215811000798392,-0.05134863239955674,-0.059946311862784936,-0.0308654935629788,0.0025366361303799335,-0.03790242968926251
HEBP1,-0.02136132650354181,0.04535787265393224,-0.028166020619654765,-0.00033901637116878975,-0.015818880930185842,-0.012298964082829463,0.011041698177629513,0.07356901293102645,-0.0036953947757821224,0.061943794135218,-0.037874504326552386,0.0036884093058459065,-0.020345671930571296,-0.07977869511070869,0.06981201033912807,-0.025639973151591906,-0.055966195180833234,-0.03135976821625195,0.010609205973890671,0.05504600115871417,0.018985924744321002
WNT7B,0.013238672491347567,0.006164310190589613,-0.0040830949585547146,0.1054884864273446,-0.022563296944678717,0.06045784007419992,-0.025094529870255153,-0.08063387203705318,0.021459265365685737,-0.010258545048842445,,0.0048559586849346,0.04882593647494758,-0.02655916499081578,-0.07700069888211654,,-0.012123885481696905,-0.017907556024604643,-0.020366673885378588,0.024459599620771884,0.05270710795914052
PTMA,0.060440393943901376,-0.03681292475486994,-0.011423488497267011,0.061087496664569516,0.0019936580101208865,-0.04219079229168633,0.09859957438873612,-0.13690686412496847,-0.018898784707628943,-0.04551055848256728,0.13079967108342327,0.07410487575884056,0.004805446691164506,-0.04445830888068243,-0.035424933687725244,0.11060186679978448,-0.02018421578506347,-0.07651081431371669,-0.058408556543377156,-0.04956162923996282,-0.006211933434508331
FASLG,,,,,,,,,,,,,,,,,,,,0.027978314965446355,
