,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.06463208083552954,,,,,,,,,,-0.03586902183705508,,,-0.0028796305457442794,
BMP1,0.08930024664499171,-0.029442835681475373,0.0018708551001279407,0.03212298850478947,0.003449139869321291,0.02143095534671443,-0.015403829380852857,0.04290684387210975,0.02556065370391088,-0.07734378299104608,0.018969508279729364,-0.008369863791928278,0.25726189791798015,0.046422959630949646,0.005920436441768618,-0.07184202538691782,0.07053520315346774,0.061309412762120444,0.09329963711583188,0.019579467721668433,0.008289471023901334,0.11540272688124274,0.042460128698877865
NDP,-0.02079713137909314,0.07105155595067866,0.026291872057975486,0.031868659134865966,-0.02621832138459257,0.009983040327783091,0.06003128541067073,-0.01440769083390085,0.05855042735091227,0.00913674124669905,0.009414666481743036,-0.03254202798943939,0.04021248130830398,0.046255203418717625,-0.032812108871228624,-0.02780960303519102,0.05885489226362622,0.10436475809211977,0.030609640430608848,0.03655359501030085,-0.02697016793369974,0.07993152195902703,0.006292680083246627
TNFSF18,-0.005001222544251557,-0.022337921774808076,-0.004516224776482174,0.0469302685959305,,,,0.004385157741798416,0.05425507640714863,-0.011184604546131743,,,,,0.1618285929814304,,,,0.03264137533753367,,-0.05687028934349289,-0.005073534967985279,-0.051399465733771056
IL36G,,,,,,,,,,,,,,0.010423168892978545,,,,,,,,,
RTN4,-0.03642899574481857,0.03546422994345603,-0.027938209282890012,0.001716344977899602,0.044614975058031844,0.043302769989710645,0.00963243519529463,-0.11793612973670806,-0.08243214860119269,0.07403704682195734,0.10183458473326416,0.035982977638643936,-0.0660389951681843,-0.059857286574708235,-0.010083019355391883,0.0693895195118237,-0.0480135168457393,-0.08102951402823226,-0.0475631351980951,0.14043219243378638,0.05936941661925281,0.03736995039832181,0.00860506942266422
HEBP1,0.0017661892981256319,-0.058467092263141215,0.00810859503357227,0.005801944068375612,0.051006096076030905,-0.016903885222300796,0.027837593215266472,0.0623049512264536,0.03550646644793605,-0.022176309041589206,-0.002548198508848316,0.04849920881382033,0.046485230070525865,0.02911171862815385,0.02756420500795379,-0.08061998663550933,0.08072634435901697,0.12667627350304014,-0.0062345379076391245,0.030380502263819265,0.0257254637559305,0.06682006412650866,0.04656048630301743
WNT7B,-0.02118886289640889,0.10956408204725658,-0.06770995186296125,-0.02931966408256542,0.0197670306232116,0.0947183594051888,0.012816915961128458,-0.017381120946112865,-0.052437565794621985,0.006342975282467032,0.05734629705294642,,0.11104148467877913,0.055895195879221204,,-0.033189145420112594,-0.07003662983313282,0.03754140567069537,-0.051002260660745743,0.03263573683402471,-0.02232135884245453,0.07418275840746781,0.12286751968404956
PTMA,0.029449046372988747,-0.024756224798526846,-0.02336941952898005,0.0390169419121391,-0.022071586172741738,0.028158541998062905,-0.006820063038143221,0.17273679377203735,0.019493012711574942,-0.02212372202477206,-0.07340605784087922,-0.06224508177713503,0.2682088499192135,0.07030018009354495,0.012828889928941212,-0.008478583463853339,-0.0870992717698475,-0.09680812824900266,-0.08123300327481979,0.08022918073918786,0.017503467614990834,-0.014224780717070005,-0.03607656269908276
FASLG,-0.021188868886446152,,,,,,,,,,,,,,,,,,,,,-0.019723503112080376,
CEACAM1,0.08046041933555091,,-0.007715113735732338,-0.029585992108924365,,0.030969733876268803,0.009909134446970782,,0.01825811598221753,0.027669469672578637,,,,,0.1113229529028258,0.13582884383318974,-0.01810702176449119,-0.02467339653784932,0.06518526357791464,-0.01967115541045256,,-0.010080328194366961,
PDAP1,0.059133435037479046,0.04438117583098532,-0.00540935892938947,0.009067965183794572,0.06787057116890532,0.0112794215341942,0.0769975329334515,0.050830419119665154,0.05984768202789505,0.005572222959880569,0.0010655787663317654,-0.025637972325687642,0.15740348280627736,0.048314070854694836,0.017713689400492477,0.054948325302656406,-0.04236224921374086,-0.06705795912830594,0.03725851227724466,0.11835904606424417,0.07853903262716905,0.011879306108516022,-0.021129168453726727
