,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.017543360978701582,
BMP1,0.003307102571424045,0.0952548320769863,-0.0003035159006714356,-0.007876066580242123,0.06621945600786831,-0.021566746992584734
NDP,0.045701808809550354,-0.021065140112488626,0.05515889066483866,0.0506852394263711,0.04038473454013146,0.009646830470764136
TNFSF18,,,,,-0.01809215851882896,
RTN4,-0.06866862843074058,0.023277774867520758,-0.03850804676260059,-0.04696178799079452,-0.10715988631332682,0.03760721941745596
HEBP1,0.018645740940128372,0.0054927896309162096,0.025586893100475027,0.025835251469194374,0.011309550281938856,0.06744560661738702
WNT7B,-0.015148168626614505,0.06922886901810262,-0.0112464520208757,-0.05583292716628038,-0.023410203587443622,-0.010714337123602655
PTMA,0.046140812389632656,0.0661214706391732,-0.048422137918419844,-0.023681685704436187,-0.06335904081671202,0.019491137800220243
CEACAM1,,,0.03823482902667795,-0.027048453840513388,-0.006815525856034703,-0.011581786835296912
PDAP1,-0.0061201676514196545,0.07916506686823364,-0.019761904748166043,-0.09542914705962093,0.06308433449935996,0.05114413363572724
QDPR,-0.014760564123580127,0.07446520473960146,0.02914471684263724,0.05018842676127909,-0.004520707219833146,-0.028455540090177832
POMC,0.016694064226408956,0.05131493882727364,0.034533215112452165,0.04224652661977081,-0.00955621342778869,-0.04301131807700189
CCL18,,0.0570093356327155,0.0734410686371504,0.03957514305939758,,-0.020530986780983414
CCL17,0.04122132445073375,,-0.025097427638559072,-0.03904614120540086,-0.02312990805783603,
VEGFD,0.07009206845487585,0.05875560338126569,,0.034019705830831706,0.057377828595019734,
TNFSF13,,,-0.029478473232786837,-0.013521549914051818,-0.024803835160376944,0.02140196344733734
WNT5A,0.016024399459972586,0.025529850681847377,0.04010004432595191,0.009323658198685116,0.03779265253883617,-0.04308393628360084
CXCL8,0.05266846540324756,-0.036867134029644984,-0.04746037595794584,-0.13852541287905445,-0.03283942747796775,0.020671114144587957
GRN,-0.03344780374760512,0.07995376204291595,0.02238881539991199,-0.0032706921279375013,0.045498390562210014,-0.020770626469955034
MIA,0.05634992766204844,-0.026680678602854706,0.10027664748210915,0.12269178541082293,0.026427873378333498,-0.05269394462814549
COL4A4,0.05419152122860148,,0.06428031720944047,-0.033166272088965124,-0.03562975365637938,-0.05298877317620712
TAC1,-0.03168821489811466,,,,,-0.037118719184158135
RARRES2,0.03569660779639305,-0.03981750757181969,0.05129241349156324,-0.01060742468423885,-0.0073078400665792746,-0.01477796771869406
FGF7,-0.00778976417414234,0.005399723294163874,0.018801284683145767,0.036449661753967966,0.10621109532656486,0.005814053679170879
EFNA2,,,,0.0896505978082832,,
HBEGF,0.021019790099803145,-0.029168061652713906,0.0065275001177175496,-0.001269915081507755,-0.06131683551032981,0.0055319269934987056
CSF3,,-0.029555880343497334,0.026745288542438777,-0.09578574077011405,,0.0270330190733001
PI3,,,-0.06498114676882384,-0.1261267316883735,-0.019652629297909965,0.05798448881739757
PCSK1N,-0.0612298065110384,0.005013387795027746,0.017289801720514468,0.05126621399310933,-0.05023193171814049,-0.030391080652268174
NTS,-0.05198032917333664,,-0.05854968613482436,-0.03132000914820143,,0.014465625352159471
SFRP1,0.011547414977103843,0.13248507348248434,0.08357898766876845,0.03543348882283916,0.055382475812909865,0.053944289822565224
CXCL13,,0.04970790758533802,-0.05637396816984751,-0.009930995040504475,,0.00526340196325821
MICA,0.042394752610116423,0.03885211090659682,0.05065038125822476,0.05053850642532657,0.034419961352686726,0.09117436198061663
TG,0.027785435515577155,0.11308032180566557,0.006868468608489938,0.006013335914230349,,0.017139674238009786
ADA,-0.022036667641758677,0.01505655930642622,-0.024424924774253693,-0.030686934011295536,0.004944368974488166,0.03997022300266143
LAMC3,-0.006967261926127917,0.0863696763629099,0.019954487878320118,0.0886787688924417,0.016676842627239463,0.00749383781514974
CCL7,,,0.07275482816906095,,,
NGF,,0.016821915587450876,0.010562526142423671,-0.00853079069870535,,-0.06471253650330985
TNFSF15,,-0.018821765542644264,0.037518522048130144,,,-0.0062916987672107655
HMGB1,0.04349790762822434,0.04363924055869838,-0.0885291885048189,0.010397173672992754,0.041940147041489295,-0.06330972765980465
ITGB3BP,0.028028119944984182,0.020650886212318465,-0.025877249453544807,0.031501687231061296,0.034604457636146585,0.00105290503708678
AANAT,-0.01564086326130252,,0.07460392416921577,-0.03459566222162419,0.008427834694846044,
RELN,0.07321284200382505,,,,0.021975652622466327,0.023439340630454726
IL15,0.0021542784230422934,0.03013477801590785,0.009758790538903056,0.03452160766191964,-0.03562974914114951,0.021083191299306994
UTS2,,,0.06505866953336395,,,
BSG,0.03290719292676933,-0.014752412911647486,0.08120444141524667,0.006738783045579744,0.1474968254350181,-0.0364748356835902
