,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.0017076858748668543,-0.09701798237495042,0.04863510529919188,-0.055604262678255245,0.12468556841722025,-0.033574104212382765,-0.07070269822120517,-0.018426608918743724,-0.04242085502442728,-0.03154481443044467,0.0964250315967555,-0.04968908125554914,0.059111187966386064,0.0354491859820052,0.016872890607014315,-0.003712451083326438,-0.02048868842656796,0.1069818822460424
RARRES2,-0.015777733296606568,0.03541131092247994,0.0169252196157484,-0.013578785871239323,-0.18554616952593828,-0.06831697645133701,-0.23413730883487546,0.06873355535378256,0.01021393073813727,-0.11838137841914444,-0.10471917977688323,-0.021756054760951413,-0.0046221490799007595,0.03605311423130644,0.01801335760615263,0.06429842446703969,-0.128641939283415,0.07396888945861987
SEMA4A,0.12830137167491565,0.028362391571669525,0.07063626020875323,0.032223925781272894,0.1322938940312544,0.12852753597111308,0.17319780203602514,0.03319938926478453,0.05454565234585835,0.1414302201289237,0.1773880515613843,-0.057307769679692526,0.03729688939176652,-0.03231653111906733,-0.004582936469124537,-0.08728329531209984,0.10430166783104919,0.13103940758791263
GDF11,-0.01815797590893445,0.015087589994678867,0.030774097151237034,0.001676253617125635,0.022887191759528053,-0.029031517941479634,-0.1103742724396646,-0.003952932233982839,-0.009452908465432376,-0.04546506359081114,-0.08049932296888875,0.008826834125265014,0.006547694664389426,-0.012014422135633335,0.08142748759910676,0.05931653716490985,0.0098364211754041,0.05545514834523048
GPC3,-0.055169684613067385,0.01493240926797643,0.056446426317825565,-0.02143171846907537,0.03404502573560208,-0.011464735051614165,-0.027828987960108905,0.02575844673413772,-0.012477835748766226,-0.07485211853623591,,-0.042456832718190105,0.06761862512335191,0.006109800598978323,,0.04752291706739212,-0.06516892455994559,
OSTN,,,,0.05787977119424621,-0.030193007696407887,,0.044890751728428636,0.027182157687805384,0.025551048432105417,,,,,,,,-0.028482327238060833,
GRN,-0.09869930950831153,-0.08867899597908556,-0.03223375163372791,-0.022874727328278662,-0.0617303000115155,-0.021803233217700623,-0.1990836362039945,0.06368627445743925,-0.028996406692062552,-0.20494753260430457,0.06816203161176913,-0.037897696403571615,0.04440851466905218,-0.0130640971708541,1.6114715527959767e-05,-0.06234302049340142,0.04719982934728818,-0.07731860463486946
CALM1,0.297200933596848,0.08862574047269353,-0.011635813616968457,0.012277804899522843,0.2791527834418895,0.08238689004999077,0.2667817469973956,0.03448816081684378,0.018879220154275313,0.2826281404372509,0.21981926978130925,0.03906141719685226,-0.0033164599636718744,0.07283438384408683,0.13381508247743298,0.069738971135598,0.33821822823350534,0.182611856822832
ANGPTL4,-0.29197890291790685,-0.10006993710362412,-0.02621970232806583,-0.00559629268252798,-0.0944364179000581,-0.07986535626341207,-0.01951150703395777,0.05935976315554091,0.0241697767853835,-0.03702385873514253,-0.1338051374826433,0.03514839369880393,0.040208194113973396,0.007975472025165176,0.04139402132854032,-0.1254589875401466,-0.2723820731917495,-0.09900218099255866
BMP8B,0.0035401313838636177,-0.04319194932865965,-0.004352701637216341,-0.007715300631764988,-0.03267710798976941,-0.011395639705834714,0.01211446276938414,-0.021753594279941956,-0.0344108642274466,-0.061024974403828036,-0.029345757633359056,-0.009676868252423974,0.014954379227539694,0.041084535497459516,0.007957777277259808,-0.0729913620183385,-0.05740526011020027,0.0737815233256382
