,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.06079895929665817,,,,,,,,,,,-0.028301774244228053,
BMP1,0.07157865885384433,0.06374353015090849,0.0609364959321871,-0.042746485167389076,0.07590393712810406,0.10265617469390137,0.1846632351485074,0.011074879155723534,0.0181800909723453,0.09020560728110893,0.04108514606720695,0.05021495882403708,0.007211547719669631,0.048754435186018324,0.04203194226181077,-0.04237194257074979,0.022256127691009698,-0.0018016029213094946,-0.024368321813582946
NDP,-0.004856052138101244,0.031225527822704633,-0.04240728105371561,-0.001692819621636205,-0.014594176052053385,0.028800248813290717,0.0049217878299991245,0.002583482471553787,0.0376869799257259,-0.020015627843170018,0.024642862815143718,0.04310985110107364,-0.007453985005331446,-0.0020393445186355197,0.056796810331428145,0.06260724889710516,-0.025289445142115903,0.029667134847763975,0.00452346721074384
TNFSF18,0.029267154734817058,-0.02806687067890664,,,,0.008514838501789882,0.01080194320251351,-0.019246032781114197,,,,,0.0024235087130738174,,,,,0.054217493711645075,-0.02285518704180192
IL36G,,,,,,,,,,,0.003013496327030952,,,,,,,,
RTN4,0.08423389664380668,0.03608252336515569,-0.0418485561843224,0.039704074875668634,-0.01605814138569655,-0.10560653776802877,-0.20863912979271998,-0.0025457818671855955,-0.04285350385756199,-0.03720513361068176,-0.02033912562306728,0.04117106672920778,-0.1162119161277468,-0.04955137496850299,-0.022595256449089274,-0.010263756198991536,0.03832287644045966,-0.008613977243122878,0.07313172767398965
HEBP1,0.013707244179902102,0.002459650160752899,0.06410458010386867,0.0050589564631454455,0.05443116306502054,0.09949553357731346,0.08707065624068328,-0.025494996062131032,-0.03643341737686311,0.0029217281301294955,0.017430887309935604,-0.004702929947682084,-0.015821543543500318,0.05186032857142497,0.0572818469612613,-0.01932210158065947,0.009439186415605485,0.008072143708867207,-0.03706792425706454
WNT7B,0.09539216806042794,-0.01743427002764707,-0.03520712955310293,0.008134387290218795,-0.05989537351140247,-0.01039114049690964,-0.08987123423818626,0.055107932328896145,-0.010578798154173044,0.020676127968984544,-0.027131685128347197,-0.0440831686420388,,0.04589253052079965,-0.04653994987519957,0.045550632471224636,0.02853043480983426,0.023323122567746657,0.09359905521055312
PTMA,0.04583862068004388,0.030449101059796875,0.017297818989663462,0.005495983304172368,0.02230414340508955,0.1734648564992425,-0.09849889399964226,-0.009038143303765962,-0.017018864164925374,0.07905143024660809,0.025036802371808633,-0.042736787419964,0.0065840540171157366,-0.030622294628239326,-0.06905588992634741,-0.006040575625678557,-0.027799076187897835,-0.025908284959217202,-0.08922059887273974
FASLG,,,,,,,,,,,,,,,,,,0.04628228214371507,
CEACAM1,0.009974426803209629,-0.013379753645486304,,0.04302850981425478,-0.03144912712081966,,0.10718575917714866,0.00584281722719612,,,,-0.016694637738491638,-0.04397964943992449,-0.030919727090981827,-0.03459406853688502,-0.023942727976484182,-0.018079739979175995,0.0036559407567958746,
PDAP1,0.0011148375208564138,-0.027324525875013186,0.058737947401039874,0.022249171105236287,0.02449632917706337,0.06994785266525654,0.20555373190734127,0.038653045760214284,-0.022417220666730714,0.0418965933200072,0.03932061219063292,-0.11759697447256162,-0.031006292983224992,0.01380141164316027,-0.012094911874397261,0.06396378334853167,0.00045932574777819636,0.017482201055936883,0.04209120604437702
QDPR,0.05411995139498603,-0.0217366343364591,0.050196768668645385,-0.006849524132020596,-0.05383774367472104,-0.05183031450730264,-0.16672764953815125,-0.024013367984602896,0.03632028741149213,0.039864080115836246,-0.062246310428620104,0.03748913189700041,0.02166202405474506,-0.031398839045437145,-0.03149088630174212,-0.0353905990028925,-0.02248546055327639,0.056825943865245275,0.031759060936575975
POMC,0.00023190354713199386,-0.010433618213612491,,-0.03759640136042885,-0.01125184618228052,0.00732307554855117,-0.03809105768015903,0.028380073667643994,0.04286772654943219,0.023528381876370862,-0.0011204226129092262,-0.0060221704719974995,0.03895234854095801,0.08849622594152391,0.09448984838577114,-0.04897373039239574,-0.017249868158240915,0.06495041750854706,0.0066664193466392865
CCL18,0.028462020827466437,,,,,,,,,0.03488408512895227,,-0.04880070011394385,,-0.021922594876585395,0.023672371711055233,0.032821307572641754,-0.005591978208250342,,
CCL17,,,,0.0021192303514585326,,,,0.05831005280475183,-0.01309358658198149,,-0.022550469413439984,,,,0.011699631204443511,-0.03456283094496313,,-0.022248299995761438,
VEGFD,0.009943726267609893,-0.002207047848499307,,0.032970846506713856,0.044843830521226154,,0.17318334134519653,0.01718398462021768,-0.009604304104197842,-0.020552162864284428,-0.024168036533666875,-0.05497944368728103,-0.04357810058283065,,,-0.00704566689045336,,,
TNFSF13,0.04383850255127671,,,-0.023526292523712848,,0.043106601600701615,,,,,,,,,0.08593624622838149,-0.014497974733684095,0.05153922361390361,0.011700161260796328,-0.02486318344477296
WNT5A,0.10533396488878083,0.0909261430942488,0.03558356592998704,-0.0028827002909599165,0.01159840672043123,0.10185914869254915,0.11471225234235195,0.020352460083380493,0.00675160182755347,0.0158646869702138,0.0005458726676556851,0.06639748276146001,-0.1293372619666877,0.08647660635554326,-0.0034674972149580457,-0.02857123588258107,0.006737021268792199,0.05505850725288054,-0.05270603056472767
CXCL8,0.03617012416086877,-0.01794385836090868,-0.029986261489794032,0.044062404845356604,-0.0687917673649558,-0.032067315300175564,0.05853494603150436,0.019897186353373203,0.18078603292582637,0.010602849463804319,-0.032135556686140127,-0.05916439354419185,-0.056326386915696115,-0.03859817984444662,-0.02590087965833938,-0.05894140901197334,-0.017264116399538766,0.02142553740990301,0.012695864987603332
GRN,0.10829213329870617,-0.016604284640214285,0.006441115815615513,0.025895108570481197,-0.03341924580374483,0.02194297296068094,0.11302755792182316,0.009699601389009176,-0.04307239103590638,-0.008562151764118684,0.016832828914487098,-0.015042678504354763,-0.04158150112664372,0.03754620728748238,0.06840313500927439,-0.03743525918091575,-0.032435538699891416,-0.04533830656491809,-0.06147840925968276
MIA,0.010143659111697527,0.002059784779241862,-0.021701087310160506,0.022115917170595682,-0.018197921791117056,0.09570732567116945,0.011083149860921517,-0.028230257221728748,0.04108122119600553,0.02702572735113555,-0.033099233595007195,0.01995114538250526,0.0048297657830156,-0.03646702833415943,0.07469741105912055,0.0845081885204083,-0.03556912587173377,0.13995690559943563,0.12201367107844684
COL4A4,-0.021248970354319715,0.017156961191889475,0.08453428039420428,0.025432653673668815,0.05035254086033879,0.138245856193878,0.005008511620450643,0.05105501640069797,-0.018349558427840713,,0.021341814096803236,,-0.027072460952842988,0.021455765458345873,-0.04403104920433681,-0.03833605114926403,0.04536046171142406,-0.0031436738024095538,-0.027788372229247772
TAC1,0.03539139999195835,0.13109356833019978,0.07635379125368903,0.06667493389775703,-0.015081613655860233,-0.08320143312303728,-0.14621799132668406,-0.0315569245699567,-0.014266571691502857,,-0.0370323198138301,,,,,,-0.031192702065465337,-0.029247652646792476,0.11022263929275318
RARRES2,-0.08570005915379988,0.07918073247793646,-0.003601512126829931,0.013754695633523282,0.02865542227242181,0.044549146729659705,0.2197026606910935,-0.031338902889420345,0.04654023406118276,-0.06990753558656825,0.04466547243679768,0.048977758379060585,0.08740118909728985,0.00039103277418118593,-0.007817227345321696,0.000830214755112319,0.03166965208340004,0.008240969706462225,0.061917237959203876
FGF7,,0.11505114285335036,-0.060108118948370357,-0.006130994365860068,0.02301892686295667,0.0673831200036173,0.08348159661893431,0.014392832402035097,0.013819389735731519,0.014789174820908045,0.004785646949872328,-0.06412448410000995,-0.04242888212887491,-0.04023741068899304,0.06533212263608598,0.002072130780330397,0.014213903918282271,0.03069737217920632,0.0468473447396791
EFNA2,,,,,,,,,,,,,,,,-0.022755960620616005,,,
HBEGF,0.07795389048000653,-0.024050051194348814,0.013390885051813795,0.02115536808144446,-0.005186206418061727,0.10570086652958581,0.07045596832279678,0.06094290625632124,-0.02466477382529854,0.03412260931332279,0.015892415266060105,-0.03018610315920383,-0.05216637447408681,0.09924187478483552,0.04879204673733329,-0.019230891065677175,-0.024069253790571912,0.019695884889828492,0.0317365264544798
CSF3,,,0.037767262785947775,0.009364839019333163,-0.009291246223809559,,0.00265227703166902,,,0.020657325590570843,,,,,0.015193041794272218,-0.0007256870931174607,-0.025919776928509525,0.0847105996699582,-0.029230188153951474
PI3,-0.008780931463795282,,0.00523693519378944,0.062002261431851315,0.004727707716833984,,-0.03851549626915197,,,,,-0.003980897886121408,,,-0.008147391840046491,-0.011448304259205117,-0.006386987936594295,-0.015167784378964056,0.034795056676099605
PCSK1N,0.0032490079843652936,-0.02963167606190548,-0.026643333825354436,0.0026110397703660547,0.023765676569118436,-0.05843302341989422,-0.055427755829871535,0.024515534239038676,-0.03794000035533147,-0.022078100821966762,-0.03108939081984155,0.02975722357211596,0.01597927465625222,0.014141325035027645,0.0032904923344285277,-0.03407611754452616,0.059833275357922586,0.05969617969581516,0.02380105318342915
NTS,,,,,-0.035497313401966796,-0.026185061439298225,-0.00595834327157795,-0.02862864966569745,0.020217693365864185,,,,,,-0.057255837777325146,-0.02772381976722074,0.027990193466811558,0.015663415068657278,
SFRP1,0.0335033640336994,0.036434759372946275,,0.031022947257266887,-0.034326046501744104,0.06803533492031,0.009848566628464213,0.0012187914686084106,0.030507373378405683,0.06703580935705045,-0.03983890706730855,0.07454782302194528,0.042762441298463925,0.0821095195311785,0.06470185946113138,0.02724980615395946,-0.0017004785033516705,0.07610658324159314,0.05793780918148695
CXCL13,,0.12023589681217356,0.035580662940868375,,-0.022305257718690116,,,,,0.009527990132747638,,,,,0.044453088446597816,0.05017806856140875,-0.04228054996891331,,-0.023709653190123033
MICA,0.06245515900239679,-0.000933966830939698,0.024053342310268774,0.053224002406577584,0.029817089818153064,-0.014905529183343133,0.08726538376120879,0.0018009226813486615,0.04167823770170181,0.019101076132836618,0.05125769498138234,0.06493891752589953,-0.022929428810594555,0.0691661235078907,0.0505573989148141,-0.002717989098323366,0.006966529387997742,0.08022410750929158,0.025507718159770813
TG,0.004657126272136536,0.1225140153776755,,0.08568416819370658,0.04965065223687857,-0.030224463630748988,0.022349441890477745,8.321644340774522e-05,-0.009475771748894265,0.039100669757644285,-0.024119738135244602,-0.04620878492115458,0.11560909578867506,-0.014789234743800502,-0.032611268038623374,0.10805118540319025,-0.02133237471051032,-0.027031780103400058,-0.026128160511525264
ADA,0.05274118556253132,-0.002269927969413233,-0.029477392605742853,-0.015071584084914135,0.07576957913869249,0.06134729749985432,0.12581743077852173,-0.008195282496135802,-0.015389415362275534,0.034426629324988,0.07370962438214998,-0.01298082047293185,0.14892269274294445,-0.015844546020189556,0.01690808617631697,0.05086283091168953,-0.0565996709734578,0.05878234992306627,-0.02954732795200426
LAMC3,0.06296193698747328,0.05714628388716045,0.057738284887877724,-0.06229260892019802,0.040879561922351766,0.06975509799405846,0.1501970113485125,0.0034821932139865903,-0.0029339937909183293,0.031329399900544355,0.09064377372165015,0.049594970854231,0.08365481144826414,0.06373207149483893,0.0526581342183302,-0.010035244376833601,-0.006080128328473764,-0.0240488054349903,-0.06413827366070934
CCL7,0.02886917712867469,,,-0.023219433294179966,-0.028793968731013142,,,,,,,,,,0.010649599635856275,,,-0.02454611041842221,0.0011928263894942389
NGF,0.03650197146964656,,,-0.04225835742311367,-0.001804200095189466,-0.028842245019414053,,,,0.03839178987471656,,,0.0007895807096426784,-0.03257836007311997,-0.009373980786707668,-0.022450082225577147,-0.04449859276675751,-0.0148651228028939,0.027697913052076126
TNFSF15,,,,-0.02585597462100435,0.012505656146583772,0.02019263858258361,,,,-0.019662477785758702,,,-0.06727785962785289,0.18678859221593863,0.05291994811045853,,-0.016095736484939588,-0.009097535676838369,-0.03235039031428325
HMGB1,0.01342961215771187,0.033646282168812144,0.016879512668374216,0.006803474559216115,0.10896872033993239,0.08191349743376862,0.17267638164691052,-0.05934383094178142,0.0100913653508029,0.0792333917663656,-0.047378169669500966,-0.11087592391596986,0.024548763580116654,-0.08895252269533302,0.05426480559428171,-0.008351823213943371,-0.048328234484142286,0.01604304639246569,0.0002676224560701628
