,UKF259,UKF269,UKF275,UKF334,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.02467825029271083,,,,,,-0.015471709249063353
BMP1,-0.06737225502084256,0.13120596436433524,-0.0401991729412064,-0.00024020659133693056,0.009589827020105093,-0.002608409991093999,-0.014556946393173247,-0.01199364159075388
NDP,0.01022953443938298,0.028057576542994126,0.004875468550885295,0.09647627768904214,-0.02829400031626447,0.023437648165100532,0.072207074196938,0.00903947536074761
TNFSF18,,0.06843386354179003,-0.019597322798012812,,,,,-0.010334858348025663
IL36G,,,,-0.018234105347799873,,,,
RTN4,0.034352940748276974,-0.16906524835141937,0.05377162504971575,-0.01819638029266339,-0.03098816068877356,-0.05025900284719817,-0.01959742637406818,-0.025637813113069653
HEBP1,0.016108480978770885,0.07055549772929502,-0.009218750597608709,-0.012596247917445411,0.008293066487450276,0.05330310503330301,-0.01774396072266854,0.050059273165307214
WNT7B,0.009417371687310402,-0.028151777856910316,0.00789018315601245,0.08056780111643483,-0.029991951072930217,0.0888529164758628,0.018945529172850258,0.06001212035087251
PTMA,0.019921371630310065,-0.04701507338610993,-0.03427650292971909,0.026291601468091015,-0.07386237688296714,-0.06643498985700468,-0.03916821101909012,0.006369508111896888
FASLG,,,,,,,,-0.013418608153462767
CEACAM1,-0.0018058185058466825,0.0267945880441822,0.02505736493673987,,-0.00046908493581369686,0.010716968113389526,0.004190722014193075,-0.018670022410741165
PDAP1,0.049082222824915506,0.14369477060336316,0.067933968300915,0.03651581045279754,0.030382675474204136,-0.009722937299459868,-0.04604895262995273,0.026160855711890457
QDPR,0.007308123046993219,-0.13284893570705825,0.01976927043236384,0.020700669639456357,-0.004749757050838753,0.03715770949639454,0.027575115125387583,0.0032990975627389778
POMC,-0.01045571641281784,-0.006732987197225563,-0.022739183655031917,-0.021959471340824707,-0.006278393815946423,0.0013104160072346914,0.026582741026048747,0.004387263708207233
CCL18,,,,,-0.019070601072044252,0.08466019461770455,0.041133995251590026,
CCL17,-0.02158482542754235,,0.02217431775985573,-0.01665737290129049,,-0.022230504327465695,,-0.012162461118159737
VEGFD,0.08965320225755745,-0.02237586923881509,0.028723099332405473,-0.017852222472733433,,-0.015399748901938029,,
TNFSF13,0.0047633837314387025,,,,,0.009308230084266093,-0.01927393929668218,0.021311280316937888
WNT5A,-0.012527297536932864,0.163739874074271,0.004102355307680509,0.0655492758685579,0.02362610266479352,-0.03180857498813702,-0.013549278321818937,0.04726441978204079
CXCL8,0.054061592080343564,0.08262379233295161,0.04566664264981978,0.06615507142812253,0.050301586857549214,-0.0029016478593954427,-0.0027029720923876697,-0.010890190069224327
GRN,-0.09233346523908782,0.11973140046126171,-0.03092205439598044,0.01031838454871999,0.008557689151719897,0.005780237860684615,0.028646331482057016,0.014225972693215865
