,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05741376080918128,,,,,,,,,,0.09802874984948073,
BMP1,-0.013332834737410522,0.06964084089398669,0.04848892067469643,-0.001979874495082706,-0.0381842749446196,-0.02809140800031554,0.1809139403961403,-0.023435809675315975,0.05924699462819071,-0.03475013363339961,0.07912723703777592,0.036598631129899424,0.049449816951538744,0.028876400776481743,0.004256069434653117,0.011302204909621721,-0.02262806618923785,0.03970314615517236
NDP,-0.020461203439681292,0.07460894443356131,0.012229068115385587,0.01880625367865215,0.012815088648519728,-0.012327119134582596,-0.02286703438208879,0.06013385616467836,0.020926160656411154,0.033714914009915414,0.0516348051027598,0.0012765798925715318,-0.010592174913257334,-0.022358377118440024,0.008279124629031787,0.03920832548740305,0.06616634378356247,0.05500306671881902
TNFSF18,-0.006521122163956647,0.037960582190655616,-0.01759338013273918,-0.01667063671160176,,,0.1368361235679778,0.05154690950126946,,,,,0.10517780244887047,,,,0.04094103436155688,-0.026674489673715173
IL36G,,,,,,,,,,,-0.005512987093934321,,,,,,,
RTN4,0.03325166671115512,0.03617211109303798,-0.0212410127723001,-0.03095692655704019,0.026452153721566878,0.002859022447865887,-0.2711566461026685,-0.0017791079843502285,-0.023205080515607924,-0.02496076813304281,-0.04969583495536439,-0.03509141150247567,-0.1555742973630116,0.037521332205273865,0.021934356328844273,-0.10488546409289803,0.03700911938234776,-0.055249970676387435
HEBP1,-0.010752788706559676,0.021058092397207896,0.03675925010403441,0.06513048851573287,0.02647680152370924,0.06746242975713501,0.051257872349997395,-0.01861284080081953,0.06843020416312724,-0.011293369008802253,0.04032069192006727,0.007465789586040386,0.0027955406670791645,-0.05962757116952185,0.024366254948213144,0.04069746832073804,0.020627810965581504,-0.0007625737308200634
WNT7B,-0.022556347485797146,0.04299259225688694,-0.0431261462346759,-0.02896842989174058,-0.018610589465338962,-0.017152185112342726,-0.0657497428528181,-0.0034113122270531147,-0.02744103958299073,0.05342628054808191,-0.03144511805240025,-0.06735477890900797,,0.0445227465949735,-0.040558256895705365,0.0229602399268281,-0.017440157504666313,0.011470459846586966
PTMA,0.009846358298266739,-0.0411178956990377,0.11021058710918394,0.07389130486142734,-0.026009184021759998,-0.021796227772931612,-0.1174718537793006,-0.023294380883159556,0.07407646158537472,-0.011333790472207794,0.0738978360478371,-0.09036001866924159,-0.020740450499097042,-0.1552714401144476,-0.0790713456063509,0.008631255541373072,-0.040282332824941584,0.027829251695524842
FASLG,0.019773233031669276,,,,,,,,,,,,,,,,-0.021005320447738274,
CEACAM1,-0.03131969474412205,,0.05352272660185913,-0.022231527608175955,0.034316712102265834,-0.035899557840809476,0.038787548673329134,0.07128694129227695,,,,0.10942111973691755,0.03864081216959046,0.0556955065791648,0.09163310824737383,0.015999343500438398,-0.02922581828301403,
PDAP1,0.06320358616232503,-0.014847024906217969,-0.011394936758624505,-0.026707280737732177,-0.02004274898951253,0.055160373094538695,0.14940111853203128,0.017392126622468758,0.0015026620239615503,-0.0038182705772109053,0.008646027720021246,-0.04161380651856423,0.08363521569374342,0.022521508638481545,-0.06245628547540431,-0.03528192016938466,0.03376487037320247,-0.010191051315629961
QDPR,0.02821351396286184,0.08301842707580546,-0.04269823632290573,-0.01691606971326647,0.008465106733892943,-0.012090671373145827,-0.20722825034146747,0.03834070862068198,0.006533939339142972,0.03129433657638759,0.041031500559805666,-0.062014941095103006,-0.06761183042199616,-0.1056476517027571,0.02528981593186782,0.07153814367826303,0.006206962435294154,-0.031246532951711835
POMC,0.06240733389797205,0.03976035229856575,0.007704603490666157,-0.006241659542587351,-0.032149337749092066,0.04369318548213395,-0.0480325080792763,0.028368943550049888,0.007866277417049658,-0.03041878596757719,-0.007620081151297564,-0.05569873177304839,0.0077209975184809165,-0.0036981138716893997,-0.006772753681932995,0.0011404145407232567,-0.06373001753125897,0.07801855217779681
CCL18,,-0.026650781492332506,-0.02314581817374901,,,,,,,0.045224069641787636,,0.0638624925182011,,-0.023230429597516505,-0.019623375505951786,0.09994617706652213,,
