,MGH258,UKF243,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.024374729424586163,,-0.02887418802019287,
BMP1,-0.0017607043433649767,0.05823745776226655,-0.007304463914264772,-0.04769659069469502,0.03140813251187164,0.09955996099170285,0.06209474769804332,-0.017281121311530145,0.02317611076927802,0.006752086285738699,0.029047607429624082,0.05744378638368429,0.01636794117125126,0.013390542457422897,0.09318973258052303,0.00012935105555327486
NDP,0.055543060245937984,-0.03614874754807247,0.02808158546002559,-0.034539818547294564,0.042816031508567554,-0.045605061719576685,0.005630653324153343,0.039741658477454846,0.11245545682513673,0.027059954062253117,0.029921618674922518,0.014573223353481572,-0.009230907936228347,-0.005375060809039054,-0.018245494139579405,0.04526769073871449
TNFSF18,0.08936958361333341,-0.02774363203248885,,,-0.012399096530040375,0.02043139760518858,,,0.08593133282725185,,,,-0.025137228216335548,,0.07117469019127941,-0.02493670942465375
IL36G,,,,,,,,-0.004680808491120252,,,,,,,,
RTN4,-0.030200954095693684,-0.010742258421215319,0.011391221425375825,0.024643966161850155,0.000976768441714054,-0.009962642263103456,0.047092267074698275,-0.06498442795197688,0.06275408314278283,0.01828094695786703,-0.029766858732096765,-0.06834413230477497,-0.024157556243137358,-0.03183747879011359,0.02849461611412208,-0.11191131622322856
HEBP1,0.008348557507086376,0.012348784579783584,0.04220711746055501,0.028489606794462666,-0.000505225259127247,0.041017877520309096,0.04190846584517516,-0.018003448166804107,0.04185398509218701,0.038254165209511054,0.008314865024652065,0.05652224193111607,0.06716179616132187,-0.002326892280991323,0.033263411288300654,-0.04767006176544213
WNT7B,0.013312684027860434,0.009382899312121492,-0.030149784976925838,0.008385987925610959,0.006135437393476947,-0.044303613856302916,-0.013874671449995405,-0.023317124810856706,,-0.01997373567691335,0.010876721315578933,-0.034214384245384186,-0.022777009209734345,-0.03064270297736204,0.010903549941369382,0.0037045328748691
PTMA,-0.0007908737696519812,-0.01339650734966664,0.03731439432820468,-0.04745295074847413,0.025556316913687607,-0.001735365990013404,0.013100981751776507,0.10049165309973258,-0.023940716807708543,-0.07306953995245069,-0.02893949984936034,-0.06097027885206083,-0.03397468753667112,-0.06358181875546924,0.03610848496725897,-0.07482565376429877
FASLG,0.09485357913254537,,,,,,,,,,,,,,0.013874965050911469,
CEACAM1,0.0509779659832075,,-0.03481435783776726,-0.019925275761103218,,-0.012772719543960934,,,0.021857845711199093,0.10743913810364827,0.08976484037029397,-0.021278064289594376,-0.03611957258472778,-0.02033800762436818,0.016744015365871313,
PDAP1,0.01851295118434667,-0.020220239164763797,-0.0061956049427812,0.016598877262262526,-0.004512651190824682,-0.015808734571308408,0.03323822443277702,0.09964351826056304,0.015727441828697047,-0.026472956898064146,-0.018286705792041443,-0.022536439063254348,0.061477189441251204,0.013119404845172674,-0.002959406280681537,-0.03937389219523729
