,UKF251,UKF259,UKF260,UKF269,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01569721653105706,,,,,-0.026033766689474235,,0.0011916129204857422,
BMP1,0.03255140249948726,0.05281732295110039,0.0491005418475114,0.07658074309207899,0.02838761109205913,0.08863832428169514,0.03182574180983998,0.023658268384672707,0.05411951859558177,-0.03264170716516936,0.04188308108329025,-0.04723369731553046
NDP,-0.04103652855069092,-0.010246155170693017,0.03838777144985801,0.026881112028111703,0.02686657031766869,0.06981075830679014,0.028294824034954865,0.08011271938769454,0.016432881067351482,0.049750210280001116,0.03360666299208006,0.1073005118240772
TNFSF18,0.040933962497455643,,,0.02784307147159287,,,,,-0.008117619167710243,,-0.03372963055741891,-0.014134774915047246
RTN4,0.04989051768989853,-0.0250435903309171,0.09185137313103317,-0.13879351786283714,0.00012464441487011494,-0.08761256274168043,-0.017192425680179455,0.02114518988225062,-0.07013968994820173,0.10880310669469376,0.03259313755138103,0.023644893399434586
HEBP1,-0.0039643383416957285,0.031793485607601625,0.006888964221468191,0.04910956397964432,0.0174926095532032,0.043983026274057466,-0.032874050342089414,0.040476381326833046,-0.03888102000208259,-0.0032589957394532805,0.0755985164923715,0.008626606434563583
WNT7B,-0.0184345811466942,-0.0240326188259437,-0.03623544570422686,-0.06497029441726654,-0.013874669858138655,-0.014141120708414324,0.06856796257929597,-0.02612144535153367,-0.03866935576853068,0.022743262901091424,-0.0135411466211472,0.03570594642007997
PTMA,0.033295325157420085,-0.021539936832229767,0.006139534761705516,-0.06228049355365835,0.024454459613696716,-0.16354373161135569,-0.0035522083577898067,0.0008631219487785057,-0.07099066071001835,0.05308878078630662,-0.01332903712322518,-0.09669709686694188
FASLG,,,,,,,,,,,-0.01734250005700568,
CEACAM1,0.07634406788801641,0.004665026995407831,0.1091228529321861,-0.030674494589364096,,0.01842607828359514,-0.009810531421524714,-0.026778873772628452,0.026389674967721165,-0.016364892749167973,0.048129801915163764,
PDAP1,-0.016821714578809297,0.013940120134749363,-0.042770817068727165,0.09043805154911863,0.06621995918844535,0.03475594195936692,-0.04143596129283331,0.003931839097762043,-0.010197745843977136,0.06750636885069614,-0.011694718490578898,-0.015879988350636823
QDPR,0.03202663270938391,-0.06487338293346259,0.009891437372012542,-0.12878248561488917,0.10408490818582944,0.00043838299898824913,0.013974785708718624,0.03823699056017139,-0.07056761273212202,-0.013998410919193047,0.032498961817348244,0.057483034780546276
POMC,-0.025137730016265975,-0.025842656657875964,0.03531933387888516,0.03125036839882183,-0.0061641318124019484,-0.03997813702587185,0.054159839677675174,-0.0627333403020398,0.06606331616179036,-0.026770814753167907,0.028920051676502145,0.011056473743831577
CCL18,,,,,,-0.04348960125552581,0.09590987053831743,0.051709737643945014,,-0.04361086128306185,,
CCL17,,0.05605479344274816,,,-0.017172951826506286,,-0.018965793597380848,-0.038656985453324896,-0.0031791480994943656,,-0.015719028398678093,
VEGFD,-0.02026335832880451,0.12840575271317778,-0.013932178090022718,0.031954491599232866,0.07604957125716957,-0.04899589714138745,,-0.026778873772628452,0.06337597266423091,,,
TNFSF13,,-0.011094864724820325,,,,,-0.03639250920747094,-0.011168387411381821,0.018853112567371155,-0.018376677740714463,0.06988348782730675,0.07696511491194524
WNT5A,0.01694411275927185,0.07504248108737847,-0.03509816259033324,0.08638853201749323,-0.006710447915504228,-0.003302097737647959,0.03641217066935236,-0.061358521602346706,0.005321510305476239,0.004295743374915286,-0.0005289180451867629,-0.03144474274730221
CXCL8,-0.01897340769154081,-0.02770784326065315,-0.009447990403458765,-0.007414706297290432,0.012160683719492835,-0.13300006588271956,0.017805518488526156,-0.058711361817893465,0.04106544875730809,-0.07434099432174453,-0.05334142242522556,-0.014163605546383263
GRN,-0.015304418912328345,0.010114608169963618,-0.004562023059793933,0.1034930980296055,-0.022230715699668595,-0.013499756611160053,-0.017249510693288374,0.0016603238656011645,0.10734230112688735,-0.10992973276937539,0.027989527080620167,-0.0019857699107660564
MIA,-0.01802081382377766,-0.03386897789986887,-0.02519490384738271,0.09289222855731243,-0.014325943110696158,0.0010090710216907666,0.06295350291363182,0.010129444809452066,-0.019737199432733086,-0.0841562648142058,-0.004041226820438534,0.07086055116515148
COL4A4,-0.030305641414647522,0.008880776148019569,-0.0035649964975440324,-0.015468441762836219,-0.011997811700676951,,0.041705849033884246,0.03267333393081996,-0.05287337443604687,0.024390580019797495,-0.03707669239491011,0.01683035671452231
TAC1,0.017388498708241967,-0.00621898144620013,0.02474809183503266,-0.04486425530996734,-0.013905501955613242,,,,,0.08831383530841827,0.0595898078535637,0.06453592529667614
