,UKF259,UKF266,ZH8811Abulk,ZH8811Bbulk
BMP1,-0.028195888569061456,-0.001312675327209426,-0.006133011593389297,-0.02890367147802174
NDP,-0.015889515450422418,0.01429868467326961,0.060266647250949004,0.0170691385288543
TNFSF18,,-0.01258239445638847,,
RTN4,0.04254083181955275,0.04582298566007371,-0.0024871410728143457,-0.032028507601795785
HEBP1,0.008771955718243348,-0.012017800547467502,0.029577250151798237,0.006891541770947906
WNT7B,-0.024032617987400594,0.012134870765293664,0.008782630178748894,0.04922801183796639
PTMA,-0.037974215775529674,-0.009845641365464066,-0.09887303513980934,-0.047985939213937734
CEACAM1,0.06855181734378817,,-0.018212111119549616,0.14102267537275723
PDAP1,-0.011766426140841396,0.020942759460230297,-0.0077899041071818435,-0.019440657234303455
QDPR,-0.05301669880596149,-0.001739234165045971,0.007749817193769655,0.059445249001642136
POMC,-0.014361862595699656,-0.033194894324276095,-0.02388155343189121,0.12567267249420602
CCL18,,,0.08945234750932346,-0.03560237537477656
CCL17,-0.016084697483124383,,-0.012920611348364182,0.03719254346526111
VEGFD,-0.017920129224847495,,,0.16180541377352936
TNFSF13,-0.011094864337699703,-0.012202297787146208,0.04569436984135817,-0.028670713730736788
WNT5A,0.017386508309294727,-0.01087530343648772,0.038021239257651995,0.0016985912829447448
CXCL8,-0.05034904288634804,-0.017356977171484704,0.01683355531746198,-0.11226456132507731
GRN,0.033135568728085256,-0.04579470500906851,0.024002608410664185,-0.05437062148937301
MIA,-0.01626529548498859,-0.022064107749108258,-0.0020234013454472517,0.08890466556955717
COL4A4,-0.03876629313619902,-0.011609947241878983,-0.03413990965640052,-0.0150795986987452
TAC1,0.02068440214605963,0.036198798117740814,,
RARRES2,0.04494537292553743,-0.03268589116843939,0.02779921682091786,-0.059240092115056056
FGF7,0.015610853822650362,0.06387431032361339,-0.006118186345335767,-0.008210558365008473
EFNA2,,,,-0.017366347487000746
HBEGF,-0.028893159474431798,0.0010914421020352069,-0.010323673913193833,-0.07464207197161307
CSF3,-0.0043389342681394265,,0.006098606868900513,-0.08206754212277376
PI3,-0.03308431918156235,,0.00039925565120426743,-0.14334447442687834
PCSK1N,0.02458394845012567,0.028270341101568206,0.0007680172737037971,-0.023674925589950328
NTS,,0.08919744994752299,-0.03014244128966062,-0.02115759891535189
SFRP1,0.026735309318597827,0.036654638942966784,0.08169469599832473,0.05874421604304269
CXCL13,,,-0.02902234218492489,-0.04461909731969573
MICA,-0.005782731060795508,0.05464578156858343,0.055483439016826175,-0.03289527407479251
TG,-0.015145470936482249,-0.016359502513651578,-0.01716826214400235,-0.02605789593735388
ADA,-0.040914357042248085,-0.020567914250308874,0.05469889465580126,0.10112035009801827
LAMC3,-0.018035455055164858,-0.02607771125416395,0.0024594343297782858,0.04196465365968808
CCL7,-0.010950151288713898,,-0.019365018202247283,
NGF,-0.013360595396583096,-0.01561135329509787,0.01710747564691157,0.030250296662575685
TNFSF15,-0.012193529025021957,-0.018955605424964796,-0.018878718243191837,
HMGB1,-0.005132262192823879,-0.002503834930168634,-0.027899747874317593,-0.05260169201155811
ITGB3BP,0.009183559625690832,-0.03223257711578997,0.03497195808440356,-0.020403865043058817
AANAT,0.01473451104705037,,0.08468606273860403,0.028463730886012676
RELN,0.07270756090996115,0.03625552025377365,,
IL15,-0.03850994811367323,-0.01348804015758358,-0.031123783940074735,-0.004584846880204148
UTS2,,,-0.01446702355968439,
BSG,-0.03314423936206759,0.005652978863619621,0.06236677179212322,-0.03275328985490564
ADAMTS3,0.01668009680041287,0.013085357958060267,0.026911559721130116,0.10336360713035547
CD34,-0.018481112565017093,0.09898677678961211,0.035578685099150714,-0.022945074579821607
PLAT,0.02522133719642677,0.0007169795246987913,-0.010014706920774257,0.0600768455451112
NTF3,,,0.03164599677170378,0.04628922316650269
LTA,0.026458980515006034,,,
CKLF,-0.006653289767580521,0.003339982188580528,0.042376701643506556,0.030604109525335127
CD24,0.02968886534852946,-0.037862190283620416,-0.007392091499636732,0.07233766029634081
HSP90AA1,0.008001242754039439,0.0044512389039643675,-0.029910938325019204,-0.13784068352648426
BMP4,0.022284908604172652,-0.027501994260083165,0.018346300754760514,0.033749215225667345
SCGB3A1,,-0.017217721814863543,2.7970241755742966e-05,-0.033243651867308224
IGFBP4,-0.034024905663248305,0.025317899478936232,0.013973745466216528,-0.07492529230686713
RSPO4,-0.021482291145329895,,,
LEFTY2,-0.021210324568528786,0.09915053194269964,-0.016438707538570668,-0.019968179447812224
PF4,-0.009553791268558948,,,-0.015917459800083744
ANGPTL2,0.0015231672567355937,-0.015979423182674903,0.022318767223381043,0.07114757300488996
LRIG2,0.09034072784044818,0.05510345521912776,0.06412980678460023,0.009594565638209247
ICOSLG,-0.00017204888292512183,0.041040588188060466,-0.013560171766842273,0.03627649834652477
WIF1,,0.039165640597352246,,
NPPC,-0.014820286283849543,0.08024421543786318,0.07974151459881848,0.07904715760649624
LYZ,-0.014252886456319084,0.04826042694167487,0.01592636900900176,0.0429625316893698
EREG,,,-0.00458184133002522,-0.01796188454615871
SPTAN1,0.03022674679871276,0.05285556017407636,-0.01890191949675221,0.09006124146144315
LIPC,-0.017168874450682384,-0.02091649177047126,,
COL8A1,-0.022512360976709226,-0.0425130682071611,-0.02367752394207543,0.008467943329577857
GSTM2,-0.004121968052594853,-0.011405954153065615,0.049523060557869224,0.07099173619804602
SPX,0.0473590011814641,0.004103898104232005,-0.019524703389534156,-0.019763560889025693
MFGE8,0.0035250795637473383,0.04713316228689681,0.02070106857687619,-0.011122406937121018
TGFA,-0.030582129724816644,-0.036417342403318675,0.05560792213404571,0.027936867614517476
SLIT2,0.05534313537422095,-0.02131977597384592,0.014807081189971283,-0.012289209602238265
PLTP,-0.02259291943765072,-0.04869500158213231,-0.026131513323800162,-0.023543069196358037
APOD,0.008961878905767115,-0.03690651813514437,-0.005576325572286328,0.12794065207746036
B2M,0.014654717237536558,-0.036758167076590964,0.03547974145163859,0.02135166864081946
