,MGH258,UKF243,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.0814597083651671,,,,,,,,,-0.01754336534705525,-0.02166661223928504,
BMP1,0.017829873892925684,0.047113609132136657,-0.022239342643665675,0.026271578935329734,0.03357520635725216,0.16180205349539722,0.07206353060793277,0.06354578931750365,-0.0020133413323236114,0.056601552878221044,0.012358963390092124,0.17399524365166727,0.10603372427714264,0.05169669945215295,-0.051894239345134645,0.06307466788613107,-0.012419021477546704,0.02675684069330482
NDP,0.04066037681941638,0.11587544702526756,0.02785604499911546,0.05547284207185447,-0.05014791526123171,0.005169440711109509,0.013835528745226783,-0.02565992207801507,-0.021424941159355466,0.011780183948845212,0.010538392245988596,0.09779459283654696,0.0970671550906286,0.0346334422328001,0.0333662128517732,-0.02515600293745604,0.021140932559178278,0.015320741356266813
TNFSF18,0.08049221349072064,0.042767752449544894,-0.02454885424078329,,,-0.018930538310710728,0.026186327981564485,-0.018708196785739834,,,-0.03337006312480072,,0.04484463185577198,,,-0.01809216302383499,0.03617178536166471,0.15044777871329923
IL36G,,,,,,,,,,-0.021609742492081536,,,,,,,,
RTN4,-0.08881405812642605,-0.05110823772853764,-0.004827018012802691,0.06018144462597357,0.019493534550415345,-0.12907670737296856,-0.10971014141236693,-0.00717245109122641,0.05246684728580507,-0.09789819223399603,-0.0543394135344262,-0.07240623204304279,0.0825466192458297,-0.05253683894792476,-0.010062943382417307,-0.03137059639118613,-0.05406739910388796,-0.10810637998621558
HEBP1,0.0140807899864988,0.04353013747759423,-0.030456388613536976,-0.0419678683709986,-0.02480243051761084,0.06549079715783317,0.05389124294322292,0.0031650660185102704,0.07434726295711654,0.028567129873554056,0.07562431813542769,0.027763882111903514,0.06846987081186645,0.0367815751335926,0.007398111815592859,0.017522139831847992,0.052201732510094266,0.015555552999278507
WNT7B,-0.022745662584791305,-0.013102316771528302,-0.015248987270419758,-0.016872209257214606,0.003971413503049064,0.013986998557968217,-0.031011251504542984,-0.03633638755481811,-0.011246855396774986,-0.023751597335764908,-0.03673718240171712,0.06671333538900182,,-0.03714146498439405,0.058563025139207976,0.02261825017275471,0.0849877505599066,0.010524551763697095
PTMA,0.011182554534978269,-0.08214812859756253,-0.0031320537005652084,0.03395866457663944,-0.029047124785372483,0.1916896104596873,0.01878051322373444,-0.036563945375991086,0.021284448665227485,0.03461370505148462,0.01934118024697238,-0.0502849741479613,-0.11618857123727336,-0.057035690218179294,-0.012487137463680707,-0.012243347578839539,-0.05080604048115115,0.056262408148515165
FASLG,0.037852854397604385,,,,,,,,,,,,,,,,-0.018791445403460342,
CEACAM1,0.012090988217235794,,-0.011702680565221724,,-0.022666102644178395,,0.0768813860965364,-0.009888686479820625,,,,0.06387143296858608,-0.04017289995389129,-0.0001505661341140742,0.01631923557774489,0.011757176472500632,-0.02614553631795916,
PDAP1,0.06903568633631536,-0.07447801566542668,0.037645305215277196,-0.04452746254330126,-0.027062650144642195,0.05096946929102882,0.08269352146997394,-0.009068808370943846,0.02634888286445644,0.060924556054344006,-0.017621239525848213,-0.04249826029971018,-0.05761279677806075,-0.03922532631188884,-0.02821017718406635,-0.013598396311096337,0.0022470220773098894,-0.012746822479509048
QDPR,-0.07863992233277385,0.040784512153966314,-0.013074681906625195,-0.012294131168669184,0.07774770473614176,-0.04994248147439862,-0.07967451128868408,0.013438939109405707,0.019946325483539997,-0.05406204486587021,0.03500432669260913,0.06664392687068763,0.06138700630234031,0.10440086093389052,0.07639091648489932,-0.005069640703836178,0.013923545904033573,-0.11389847442121546
POMC,-0.030257702860100103,0.05393684869394051,0.04339826277033319,,0.01182590374785692,0.025915322997473778,-0.009387119201172713,-0.021707512140819188,-0.03024957849072425,0.04233900973722413,0.05939107452165203,-0.012873157876908055,0.04133476684641632,0.0341727604336015,-0.014977287722358705,0.017185941068503078,0.04733535896719895,-0.028218069398435474
CCL18,,-0.013701585293733849,,,,,,,,,,0.030170401628816373,,0.03514870987007271,0.00867367521064311,,,
CCL17,,,,,,,,-0.02333276376585246,-0.013920454173200043,0.04723054815710338,,,,-0.02952079569534038,-0.04857368828842154,-0.023129913817258003,-0.01703233461025009,
VEGFD,,-0.04716463498666189,0.061803453008901915,,0.04792515455210749,,0.005372199863219508,-0.00310298585810785,-0.010210821482018302,-0.021157162536283636,,-0.08564459457373179,-0.05461417714530283,,0.016713458488622455,-0.02439492004506352,,
TNFSF13,,,,,,0.021568529448390487,,,,,,,,-0.03354434893941254,-0.036223547154791653,-0.024803841336612186,0.12548021813467747,-0.029013814450674996
WNT5A,0.037099600173708655,0.04082104101742526,0.0353855210749476,0.05028540004025946,0.016354446328200396,0.1084074285964374,0.04792745814108329,-0.02900786679833463,0.04873843411442406,-0.03219328462174096,-0.040795807860009636,0.0003962354542177881,0.05615039026151311,-0.028056433111790634,0.00441799793990418,0.005631186051304423,0.009460030492678637,0.0753589020588005
CXCL8,,-0.11564741003101046,-0.01569470171643545,-0.07495549729199,-0.03298521366087429,-0.02611402165476494,0.0428221250687151,-0.000553492804472069,-0.00950876094533376,0.04704679955323646,,-0.1115329507250617,0.1251067255224539,-0.07634575726241892,-0.16787728695878326,0.10554942773450524,-0.028172637468617277,0.019284920490242573
GRN,-0.11142649010252255,-0.0018612487305575485,0.011431284887907232,-0.016781821593013047,-0.011932231262668534,0.01951929414384157,0.08011495953702209,0.033364297341586815,-0.03210503237197586,-0.018763704177699073,0.12867971132705325,-0.0367782528892994,0.003304678284875488,0.0006737440100710798,0.0008140398356353918,0.024226934798164797,-0.06793207222126511,-0.0262313687866502
MIA,0.06278339615115357,-0.053752765841094674,0.07059827129472955,0.032165305963462766,0.020353830930819165,0.13520028999072417,0.02119390484627261,-0.020286840233605868,-0.011612659056814467,0.0916807353994564,0.18204550003501865,-0.06364193480844493,-0.043363355749910806,0.16890387132880103,0.17181187550066337,-0.01892375207636784,0.07933482189352818,0.08787797711152386
