,UKF243,UKF248,UKF251,UKF269,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.0267886858146507,,,,,,,-0.03063330359235146
BMP1,0.0011667067612552548,0.04475486086209974,-0.014638606677267909,0.1862388919276408,-0.025325931055393155,0.02072737437833589,0.032526713005332226,0.02282051723784,-0.043170600979459434,0.08768349256007958,0.041308937694548686
NDP,0.08648066790669073,0.02613533592601611,-0.004498580691249141,0.06776782084459326,0.06144579956009684,-0.10559732944535301,0.04238959950073345,-0.03425916920883811,0.028111685094022756,-0.018148917359127832,-0.0003722602985299253
TNFSF18,0.08724562034880144,-0.029024015788911863,-0.04048866340874459,0.17785124636297858,,0.027858031898922175,,,,,0.002939696948118584
RTN4,0.02683651438296307,0.0677124562906355,0.03203495197024621,-0.2510795148277193,0.027540069822248978,0.05506520186266969,-0.0055162192004584686,-0.016420882930145767,-0.002952129114402432,-0.03436081751982477,-0.0715807642679211
HEBP1,0.04559794047300259,0.10046638978473081,0.004429416981990214,0.1080897470650978,0.01417404322156515,0.05676033895172279,0.016904946621283886,0.025320308780906076,-0.023568792024443286,-0.027565881731090976,-0.010276636370515641
WNT7B,0.04066667803138205,0.024044790745992882,0.012921437869758318,-0.08518277314305191,-0.039515292875132675,,-0.0085085238874239,0.04015379695015373,0.10366277944653696,-0.03625515605211745,-0.011492776922704683
PTMA,-0.13860815709789165,0.004570007003468851,-4.438916458351793e-05,-0.14354757075564906,0.008192827904138238,-0.07239358197037576,-0.032531859608605905,-0.11927342262816303,0.002523397377012539,-0.03286716527690226,-0.0008615643248080978
FASLG,,,,,,,,,,,0.08640090114062217
CEACAM1,,0.0070771604978120085,-0.0228210198284466,0.16261528649588147,,0.05196390389864922,0.08555863890977515,-0.008867538237971623,0.0422593578590084,-0.02406307435591964,-0.03696582293380827
PDAP1,0.032929610534527504,0.03317487301510933,0.018253494993025192,0.20673034548800887,0.01241110463934123,-0.017047577776983572,0.009912148405415573,-0.02330177532721351,0.011220464711378348,-0.022035290600941927,0.000492830770175048
QDPR,0.05435540268778729,-0.05025720487868338,0.016040200658863194,-0.25396873159712885,-0.015649197706411874,-0.0917955997734111,0.02159294114231697,0.02042558146140024,0.027403529493111294,-0.002821197496183294,0.0034398072890942533
POMC,0.03131727226400133,-0.016312575351521197,0.016142712871973008,0.05742079834097228,-0.036936500006143576,0.006533583038191183,-0.018142973940621216,0.009204462439968981,-0.002233691316676197,-0.039364028585325235,0.013013036969346001
CCL18,0.03568622864691628,-0.019500466011336676,,,0.0008636922130063303,,-0.0375451337607017,0.0945241268004521,0.0325383911182671,0.027624089967909913,
CCL17,,,,,,,,-0.018543142831135673,-0.023500557508265057,,0.16937571481457495
VEGFD,0.0014927144639241133,-0.02748829879934518,-0.03268653233750746,0.08804569862741864,0.06596502191280791,0.042180069796185195,,,-0.02453249793385253,,
TNFSF13,,0.010623215605314712,,,,,,0.015828353582825895,-0.016438328552233508,0.05678378033280416,0.016234356727704607
WNT5A,0.0354637161005105,0.08929555238348706,0.023374574952244515,0.1915779625515442,0.04998516906137885,0.02120188950191372,0.06312014641213154,-0.014950221614255741,-0.007043286455678783,0.07354570692845011,0.13040282856068103
CXCL8,-0.046337380536888025,-0.02192611825615825,-0.019505378184859423,0.04349087339422176,0.0032842692640449108,0.11013875304004804,-0.02009722603026066,-0.030640781964219335,-0.025342297941602893,-0.03578591349327515,0.03659684827377618
GRN,0.08546421182394438,0.0869506956312619,-0.02389706011352565,0.25969092720714887,-0.04965647504753243,0.09924424271261531,0.03364871796939763,0.007893714445327032,-0.027448208687641515,0.10751826997845773,0.11954593076257089
MIA,-0.016605526087103636,0.010316248510371216,-0.029069115999483083,0.11671462747998963,0.01418967696146494,0.039135880629508124,0.02611446642196211,0.09936308808890144,0.09929548084614728,0.09617366879964165,-0.08278456390247321
COL4A4,0.05290717859710976,-0.010431276689591503,-0.006201432662561095,0.009681592530525831,,-0.045028434234364735,0.018229107491451565,-0.048996228114302966,-0.017389215107540153,0.03398677386728367,0.1348375805395113
TAC1,-0.03830073430020862,0.07008454178053461,-0.029540961550671277,-0.14121704550146913,,,,,,-0.04151565841255808,0.05190112020954357
RARRES2,0.01392823013558461,0.02231472858017996,-0.008495644468798857,0.22003489862476025,-0.019257052563907265,-0.09885703430746795,0.08793167953247831,0.015559413745862003,-0.0028477992659921387,0.05399498126797355,0.03672421902420071
FGF7,0.06008920358248511,,-0.009881666482138876,0.12105175143014467,0.06178068513170931,0.0582568617840091,0.01059525847950132,0.0491847160095008,0.029526292335505022,0.013166950297115697,0.0022696843377414126
EFNA2,,,,,,,,,-0.023316497495874246,,
HBEGF,0.10846424685331221,0.07110993334619195,0.0029152738690049625,0.10982781568735729,0.06634572368924037,0.07069489670625462,0.019551421922948942,0.010658403866595573,-0.03900804370456521,0.043820876959131616,0.03095618631063337
CSF3,-0.009278308426193116,,,0.023025370903330837,0.06822537655216959,,,0.039120875771018686,-0.03324411009256779,0.022864384044429312,0.041393442195305094
PI3,0.05230108114876539,0.06322728108151897,,0.01280784472475246,,,,-0.03441050688319877,-0.06785706026685423,0.041331323612538336,-0.022045826645994776
PCSK1N,0.008201287555806784,-0.007351117066733255,-0.0007304335981918565,-0.0597020247059594,0.08033433479860139,0.06946555386901576,0.03866055010602228,0.024970559578694932,-0.0888123717308172,0.059967826862393624,-0.06760613611316484
NTS,,,,-0.01495113507304441,,,,-0.04325922195500932,-0.028406727580326273,-0.015489445666090458,-0.015534555835418021
SFRP1,-0.017423032507888524,-0.0028097271156047503,0.016340163892640484,0.09590009692676356,-0.0018883107329313346,0.0714153652110983,-0.02807091449017358,0.0480495281379304,-0.03369543900030619,0.013999522368242343,0.06839206668767119
CXCL13,,,-0.02455788242983688,,0.06454036205580643,,,-0.009043655897626427,-0.03090198365001805,0.035272914771562656,
MICA,0.05014396935455186,0.024621771625696624,-0.01354209689064356,0.15084437117136862,0.06071666560962918,0.024797018885636124,0.055271078186802096,0.04670428011192167,0.06428312094011325,-0.018346548315865407,0.04834930762836719
TG,-0.029084331588728262,0.07445809114896905,0.07312296615819114,-0.013746679402771625,-0.006484465217998583,0.06986979456622865,0.08057786493515613,0.11717834758664887,0.010463946040527361,-0.014198174036176374,0.02073218532908059
ADA,-0.0007936330404717415,-0.018349953191000003,0.01900462312591625,0.15724629988574473,0.003670691249697709,0.03527810808988892,0.042353219979831276,0.061681239202047274,-0.0043933782554211554,0.02930638253750559,0.08610361818597398
LAMC3,0.039613043895899445,0.12710395279006464,0.020825622285315384,0.2008054570250639,0.02697472860425023,0.062053884377058395,-0.009606432176934708,0.03974546257468347,-0.0040454283740294535,0.06746819760694532,0.06407859106444423
CCL7,,0.011923255174730446,,,,,,-0.027791896897918535,,,0.06779747307996295
