,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.026170513022082616,,,,,,,,,,,,,0.057753555416053856,
BMP1,0.002877867328563691,0.018812208707820965,0.0010649780801474337,0.05268457581177651,-0.02652495514396423,-0.02947603147362542,0.028626454784635616,0.11857874278587628,0.034621164703112065,-0.0005820013084993749,0.0028541078406994443,0.09872126741970856,0.06792586108307064,0.02917879775501175,-0.06441020249214548,0.04465823635646535,-0.012456787515519124,0.01819658228004122,-0.00531383840459272,-0.07177970709559252,0.019326799370188982,0.04559417538139956
NDP,-0.03095595696011797,0.016959340234508433,0.033643882695118206,0.055049976315628156,-0.05317045153003607,0.014775911651164183,0.012933045451055222,-0.019959206553724684,0.019106213733777074,-0.004548875631467504,-0.006167789011297657,0.04824095571520989,-0.04080345150770442,0.10358709973511884,-0.06012782502456425,-0.07097151770832419,0.08647797794479554,0.02233786147669186,-0.06375400898184266,0.12328728336198733,0.01640572373454199,0.042461346324630986
TNFSF18,-0.00895935166378294,0.040183321113689684,0.02581128667151812,,,,-0.02163190706014465,0.1881368787401301,0.0066638133366177495,,,,,0.2571603439209279,,-0.042222379133744034,,,,-0.03214811177683895,-0.00021351492623454652,0.0022231682825285125
IL36G,,,,,,,,,,,,,-0.03287737358795132,,,,,,,,,
RTN4,-0.058687157656928925,0.010030162352449086,0.01605735409751886,0.06521852279217705,0.02093816079655225,0.026263485155846405,-0.07519035197785619,-0.1123945676207193,0.003614812049119761,0.07366024487978705,-0.06637389086809882,-0.030299911823668764,0.0013089405124666548,-0.0509535436537883,0.04076992397571619,0.05413569464269196,-0.022268380526995406,-0.0712219088211895,0.11891294257584659,-0.04676216223582899,0.05128862138069255,0.04172626692955395
HEBP1,0.06739847473999991,0.017906069442367355,-0.002407631812015229,0.10134596441645649,-0.029385719836495804,-0.030542736797835385,0.005074847023944836,0.024557668065826932,-0.056024763150588186,-0.03351162953488575,-0.02300930205677248,0.023437738941250983,-0.0005819735930048406,0.12257817866895324,-0.09008866204442079,-0.013469772177414017,0.028258187672388406,0.0405586975145688,0.04217974319278092,-0.06636669489711731,-0.00993366773224042,-0.028000766734457828
WNT7B,-0.023853509091507345,-0.01906376174933875,-0.010972426831197628,-0.032553776998981085,0.005606089625719351,0.030783317575242886,-0.040569359187000206,-0.065034791522165,-0.042789620544520665,0.09276455796283406,,0.025295198733211986,-0.006830336928080844,0.02529604318480831,0.07728692546215943,,-0.011363665225794451,-0.008469707282066667,-0.031638404847691905,-0.03214807844166199,0.0825955931588813,-0.05018383736947009
PTMA,-0.09103631286504946,-0.01631655641027798,0.00959983659208038,0.0253438958735977,-0.015557902787178371,0.0007060718573629925,0.06362846254305206,-0.05571867491876284,-0.0431910340873558,-0.016659773118817466,-0.025120589580533183,0.12909744265061418,0.03874298402290055,0.004315371724391938,-0.12894583038028076,-0.003047844906449212,0.002547800993235368,-0.024947240805500613,-0.024735487506281302,-0.09969793597542435,-0.07052671343158873,-0.03630123776308628
FASLG,0.015596529584314055,,,,,,,,,,,,,,,,,,,,0.05678726869633463,
CEACAM1,0.009108121305243425,-0.011176224027570509,-0.018706926393011743,,0.06307262200569967,-0.027418063865419912,,0.024264200393167266,0.03538889498811608,,,,,,0.09943066111208156,-0.02968949827558839,-0.04795802674486139,-0.01343198357412015,-0.020998869436895842,,-0.03075641996691113,
PDAP1,0.07692141528130601,0.01345730547759492,0.004208885382965124,0.010084134445735598,0.020009791911825853,-0.0057260223579265945,0.029158650222277184,0.07944029543743175,-0.020971685445595592,-0.01692127552322142,-0.007031775582950081,0.07257636305005101,0.006369263129315696,0.07762355288199001,0.0030502462022221387,0.01658233292996291,-0.07129193709698459,-0.05589102496124548,0.01603638075440818,0.02619985654850963,-0.014166811652469004,-0.039049388558292666
QDPR,-0.06793710417290089,0.030365002445603122,-0.0073505140127286565,0.109200369979256,-0.048376205298541246,0.013546544783762366,-0.0053616924951517125,-0.07819288745742328,-0.07378603988878374,0.02681698089245948,-0.024023973451696257,0.05183738415620197,-0.07659148060044077,-0.08160837754967447,0.024325227906841947,0.006437406277974377,0.023722768902782312,0.07042127930588087,0.05734232831267396,0.024536086046376387,0.06358466744056775,0.08449820849673548
POMC,0.02691186717423842,0.0194199363650744,-0.012429817940138513,,-0.013328704460005118,0.010618678606883696,-0.03505936258656603,0.02711684944885132,-0.02620557882920408,0.0010984622280589087,0.0303117694646712,0.051198689240779534,-0.015501522322705272,0.05095722438721738,0.038702932833989775,-0.010647127522030696,0.052795592521585555,0.051007652987100464,-0.023716309156061544,,0.005628791715424073,0.05690653475102557
CCL18,,-0.007896431387024694,,,,,,,,,0.053639445945391204,0.12812561138163314,,,-0.07044462701555089,,-0.03516418742483426,0.08393382487294279,-0.012685986439183183,,,
CCL17,,,,,-0.02611285343406295,,,,-0.02884231180051602,0.01748726093671117,,,0.005680102881860998,,,,-0.03402389874173646,0.028751947638172598,,,-0.02003606389707051,
VEGFD,,0.06839191070132439,-0.026793918899205117,,-0.019342130209075024,0.02876049655512147,,0.06470425792380453,0.002906264975181579,0.056763241044405534,0.08602237193843776,-0.016993075500257464,0.04890549562925003,,0.007705828571791733,-0.04036222229510933,,0.008018390233423328,,,,
TNFSF13,,-0.01951561505873793,,,0.08067342138439122,,-0.02097843717796777,,,,,,,,,,0.0010114667493376255,0.009497901217059537,-0.023580322980166955,,-0.020108124840649104,-0.018904352960509418
WNT5A,0.06325345505023973,0.07812154086359553,-0.007920726237774355,0.07583700189060613,0.00436912756521048,-0.017905076656461707,0.040295117948088106,0.12325479307451795,-0.024427268654036268,0.015781452993929523,0.06026734348944662,-0.002945407165869009,-0.051851132091163,0.05248911935537976,-0.040383599969718735,0.07427096887645127,0.031523837059396466,0.02639784364756761,-0.0034057513035517326,-0.07033730673373201,0.023935733171996033,-0.05418733990807063
