,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,0.10075142083472627,,,,,,-0.019607129610295152
BMP1,-0.006006663002543683,-0.02539350806456267,0.004881096856187921,-0.008139323257465293,-0.0758241944791656,-0.045255166437932696,-0.019769012566512444,0.006620571743433453,0.02210542144845702,-0.07981425220588831,0.1463192008498541,-0.03252793241079405
NDP,0.0032868189628726197,0.08181822828328614,0.05763929974098725,-0.016713092836957676,0.017153066851586084,-0.0012288059099994286,0.03757668044747724,-0.01620374714527304,0.04241238700921849,0.1322493781866582,0.11985727639797492,0.1242542109027927
TNFSF18,-0.022885149103990837,-0.011180842352266773,0.06081050031045352,,0.06909847105342821,-0.01964878602285429,-0.0219969272740518,,,-0.0292404800226542,,0.03352106857715874
RTN4,-0.049739439918120694,0.018616269082470025,-0.04049955946878191,-0.03497601863734172,0.07938034281932276,0.039769517134796775,0.06066494981232381,-0.1175443207486377,-0.07646383157719354,0.04460511396773966,-0.06292622760275865,-0.041144164539023344
HEBP1,0.02080111812164666,0.07602216510490985,0.014262540144919011,-0.025241839915583434,-0.0767174806789246,-0.0028708931846711675,0.04144898464552551,0.04032840334713477,0.02763479872016571,0.08601601245259788,0.031293566393281805,0.08748004828049614
WNT7B,-0.020161099577813743,-0.06221775978992328,-0.008371526613140695,-0.04632700103379187,-0.001863790175964076,0.017153164729755747,-0.04809936295258463,-0.020198122230200025,,,0.04822332379264465,-0.0418497653863419
PTMA,-0.025959677538262782,-0.14327055416485115,-0.01469934586588491,-0.020997515315046244,-0.0728957219434368,0.025904971887134916,-0.028165107797974456,0.0006988232094961927,0.07617565105136816,-0.02167161457746057,-0.06792414044597889,-0.07195473012817068
FASLG,-0.02016110527730495,,,,,,,,,,,0.031595341779377596
CEACAM1,-0.027993871121225065,,-0.02181446553370565,-0.015199080505768745,,-0.025856683294903347,0.029849210101558766,,,0.022332048291863683,-0.035497824592923694,0.10331701521278398
PDAP1,0.07635256443498423,0.07339993738930817,0.0014990938054799494,-0.003373266950403762,-0.04691762944663814,-0.07217568350026717,0.016106054089149714,0.009302965807600651,-0.034097747616696164,0.017615980243720596,0.003718021862428636,0.044052021071718565
QDPR,-0.020028160101500322,0.06291232683771855,0.023240376409383683,-0.02112525623019462,0.07309929829322902,0.045568918479336744,0.05134290552447606,-0.07028664692336163,0.06359900271415245,0.05434275869887055,-0.1775277516123168,0.056029827547303165
POMC,0.0027050747632272965,-0.036425376026662404,0.04790998888370284,-0.017783202862388416,0.041853008246682845,-0.03333069825504351,-0.0028886494388672174,-0.017202617637244035,0.047452114123050705,0.04878020357818098,-0.02850596722131682,-0.04501880462779642
CCL18,,-0.027205585311999705,-0.027222391867510503,,,,,,0.07752425278532207,,-0.03523904985088659,
CCL17,,,,,,,-0.017416583262448562,-0.02358054951373087,,,,-0.015413355285122754
VEGFD,,-0.04627549874302455,0.06265090304179631,0.03560231662620327,,-0.022166769506579788,-0.010069646229678339,-0.006651775711989519,0.1117875859986586,0.0063267884999008124,,
TNFSF13,,,0.012486475274882359,,-0.01698100180574563,,,,,,,-0.02511477593661501
WNT5A,0.011371509035075326,0.07425917468028345,-0.03743239453056079,0.027437162600127636,-0.04098694080047011,-0.0468595714249541,0.02139868673137694,0.04771452300165156,-0.047527765771413745,0.11825632367888962,0.08152749207247484,-0.02839903855460035
CXCL8,,0.003953537573840006,0.00854528926637171,0.0019135090124423734,-0.024154373695234904,-0.044076080061071034,-0.02144172075179063,0.07558234040864835,0.02943924139210383,-0.07737905000837605,-0.002587411385289901,-0.05880678297146521
GRN,0.007128205594008563,0.07619661008233387,0.04347260252816967,0.04335631161691628,-0.013912572878003359,-0.03996111661571241,0.003612538425457566,0.021949508115707308,0.026553834910867068,-0.04756146235286999,0.17022264316036145,-0.15752751090523126
MIA,0.010382193928737479,-0.02920291923357607,0.10560380012856006,0.013642186270946436,-0.017823166861948153,-0.03779778144579531,-0.03731780979655132,0.04300073038865258,,-0.07068240160328801,0.0050243019752524935,0.12107371018638223
COL4A4,0.01622490554494738,-0.03437625512743031,0.06535987614528607,0.03102784021883175,-0.01615667299044554,-0.01303893039091811,-0.018826503540990965,-0.04829369785197998,,-0.037756036167140655,0.06376982741246505,-0.005082419474631662
TAC1,0.07108979070665196,-0.058343286063592466,0.07328839762606067,-0.007864968900087482,0.10679487713066362,0.06482296065560235,0.03046207944485267,-0.034353120206008954,-0.08579904065035335,,,-0.020262422818226874
RARRES2,-0.001959983198973589,-0.045974521798550244,0.003806476085848141,0.012646463375397373,-0.09627733617024682,-0.05870670594802854,0.0771593208114744,0.007436947253932799,-0.008627772366609701,-0.05454803818408493,-0.021972039852296454,0.07167002905388951
FGF7,-0.038803116990840734,0.04880297720656896,,-0.027842972585023714,-0.03708400749726487,-0.016602096872887422,-0.015570780830683742,0.034498748800118086,-0.011487311561227556,0.0847458695511242,-0.009712378143036013,0.07924044581771034
HBEGF,0.09255293166677724,0.09297372032735277,-0.008789296482877565,0.021776445114365984,-0.029842988019898355,-0.002478575168733138,0.008030099112401996,0.03639804379259849,0.12546774130762706,0.012830214594303512,0.13156665161490538,-0.07162635355883551
CSF3,,-0.020589555937354415,,-0.04844884488117599,,-0.013794937385345868,,,,,,-0.016227885324533765
PI3,,0.011337880661284622,0.020079834643486272,-0.036127132448205854,,-0.015533281569365195,,,,,,-0.01018015075097737
PCSK1N,-0.021781423690710598,-0.0015231814901965153,0.027203239317116417,0.030242917141806692,0.012190733439635677,0.003964515297517189,-0.014779053283029638,-0.06300409075840578,-0.09638377536027062,0.0758687547606069,0.05133325290343895,0.07919792546832673
NTS,,,,0.09015520530578124,-0.019723626793105194,0.07246235508614296,-0.015814188855497343,0.0270483849763567,0.0626130423638455,,,0.13435501866416186
SFRP1,-0.01273414141833041,-0.02465691144909772,0.006597650248704108,0.026944034471700237,-0.03344354601312411,-0.013028252155166514,0.06645542031875368,0.0451139154144394,0.034650742860784504,-0.006142802756202757,0.11145497568631604,-0.023472859122661283
CXCL13,,,,-0.016440376416956188,,,,,,,,
MICA,0.0702757257541943,0.04459721779684849,0.008197737815646599,-0.0032735879782437665,-0.022586139222745657,-0.06222886883881377,0.020282227342640295,0.05390529607229296,-0.0010810131408768332,0.0054368350950246384,0.07135420016432048,-0.005186548835876201
TG,-0.02334901126692092,-0.020290971724808173,0.01587978297793524,0.08211830320218909,0.026887445119346785,0.14103441775375178,0.01388736262956947,0.029093945720835943,,-0.11490871313655038,-0.04411503267591434,-0.03164747172830184
ADA,-0.0551575429124217,-0.05491681333468328,0.005381005615818494,0.022414658796653674,0.011736615177617753,-0.06383244960920023,-0.051210508324382516,0.017946339258478997,0.11919564139229806,0.009185656261700653,0.026034632481608394,-0.020006748235399618
LAMC3,0.061803767909669356,0.021545974295493674,0.009313093712523195,0.0906528512496052,-0.04557416655740278,-0.007803722978251201,-0.03897405190351369,0.047178184602326215,0.0014182431765080187,-0.02298248218572733,0.13078919343715087,-0.08194255482703725
CCL7,,,-0.017315740914565704,0.011826167667287257,,,,,,,,-0.017005250775073713
NGF,,0.15124016872960766,-0.02973026726643803,-0.023265926144891834,0.03011121923877247,,,,-0.024235317218106657,0.01336951087093084,-0.05236745290143421,-0.05091320829044701
TNFSF15,,0.0421805649400082,,0.030588575449175624,-0.011975015563745046,,,,,-0.0856030941168883,0.15500180679889808,-0.02470918894875943
HMGB1,0.011822798621469269,-0.006243543802713076,-0.04210933147419944,0.0015504690676843812,-0.01777855293686154,-0.029999329859572457,-0.02776499072752365,0.03623060258146995,-0.007316759265311741,0.0022594449254685,-0.025726864019177877,0.0946197315784282
ITGB3BP,0.04237308798359811,0.10038320672291513,0.003856187830104005,-0.049132850604383056,-0.033170359212332856,-0.028081565060816507,0.01941393292094385,0.03571412409616332,0.010490695334959662,0.09262803374377652,0.08948909034159257,0.05118020864990579
AANAT,,0.049097170732917146,0.0016942652951335104,-0.014541621759867956,,-0.012443406839081697,0.019328240307657053,-0.050816888422959915,-0.0227847623809456,,0.043937837340624064,0.004947755517045056
RELN,-0.019356949372820644,-0.046275474724125486,-0.040892951847066816,-0.009041420946795855,-0.02048114399100121,-0.024143945851657553,0.04668187722222539,-0.05341477087920311,0.035310184904446894,-0.007469930935147831,,
IL15,-0.0450601616345162,0.04595655081536143,-0.041089417899203666,0.006438409392851329,-0.018770270834823053,-0.032457475672440936,-0.01928123775959326,0.004904878616441766,-0.02085642632524872,-0.016132617418631298,0.08936834885744117,0.042554598696018214
UTS2,,,,,,0.012049780335775084,,,,,,
BSG,-0.0161494826025378,0.018895569597433944,0.05798726658094698,-0.032633987257851355,-0.010134707063330896,-0.0007703100290734415,-0.10171281872740758,-0.01440634032995894,0.007853062099195392,-0.05967635482396922,0.09805456007698977,-0.04998823270805041
ADAMTS3,-0.03999873112430705,0.11285742786848268,-0.02819700326015008,-0.04411638140415827,-0.030233476311893197,-0.06283105030275446,-0.009320360002218626,0.04039505079122405,-0.036586974552664596,,-0.04394804320627571,0.05955467522192618
CD34,0.045545771645249075,0.00601407689641063,0.027832335637952316,-0.01332950745372185,-0.02895649087826645,-0.004988951606132662,-0.016226913255957414,-0.006565476928171694,0.041604168357251885,0.030932738479946015,0.1740077792326307,-0.06386755187404129
CCL23,,,,,,-0.014158621722049246,,,,,,
