,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.027843502571517388,,,,,,,,,0.02322274115998825,,
BMP1,-0.0017146432423752413,0.02958428173747798,0.01294141945965621,0.031149237762339944,-0.005569250270675319,-0.05857531880810686,0.2141907096996751,-9.370503561706152e-05,-0.008828577741877931,-0.0013179852996955564,0.05895370990501863,-0.022635961988486265,-0.01893547434981215,-0.04914742752585822,-0.07671385218336159,0.005014829128354757,-0.011993678164517206,-0.09090998411882834
NDP,0.047999215573631966,-0.03634661894939935,0.010649269987682347,0.04508474588515205,0.09034106526633849,-0.025725548296624167,0.02657353258287947,-0.006260262000373926,-0.020762970241087808,-0.06249742427306237,0.010514394518047497,0.007799029600101687,-0.015209798032864976,-0.006152917400632859,0.016184827602842643,0.004192756406552602,0.01926956178435127,0.04630732250649475
TNFSF18,0.04800775623587945,-0.0192720190432231,0.05324231232751794,,,-0.021408850789383364,0.06359193633169592,-0.010647509681371023,,,,,,,,0.06671649198678864,,-0.030045461694156284
IL36G,,,,,,,,,,,,-0.014899814961458745,,,,,,
RTN4,0.016356536154589117,-0.028620306316162466,0.01597895167132139,0.017779321232225163,0.04471047209514895,0.06926514353675561,-0.3325427584954797,-0.07153300725142067,0.013828182603528458,0.08319333600866853,-0.02814117707258846,0.09505742503258885,-0.0314098618671621,-0.01709896098255418,0.008230605485228977,-0.036621743048876956,0.0899199312815509,0.030180396089380286
HEBP1,-0.0005818008242228887,-0.04633163222439112,-0.01524154269179549,-0.023540479837415196,0.01569592357224675,0.059049902265660426,0.0631183684586251,-0.011846689857586062,0.035016638240987684,-0.026103684277024624,0.03878404524144381,-0.011570987199443952,0.09022451029127801,0.08734694878386909,0.005717995966209896,0.035045817826698314,0.00782328634916708,-0.01583032245861547
WNT7B,-0.027420706532983462,0.11647352438411755,-0.004096978466611325,0.06505254423070536,0.021819854995842377,0.059198996359821995,-0.09751784760491665,-0.011415928990018358,-0.01754292442691175,,0.03478021272972693,-0.01637661371817139,-0.039253923828725314,0.010599264640748363,0.009081290467378635,-0.007010562781534438,0.002981549978511059,0.010867815017399165
PTMA,-0.04728892399459979,-0.02879610105742639,-0.027916792332771778,0.07650018340986159,-0.010805886281877375,-0.05283039968532866,-0.08136505489335809,-0.04510710395430376,-0.021431722599898447,-0.12990581014289848,0.11638873456589731,-0.054916092043987494,-0.07658949170041625,0.0011762430001743859,-0.004578077641173565,0.03716221410139988,-0.014345796917025486,-0.043833464101810736
FASLG,0.007630334035492759,,,,,,,,,,,,,,,,,
CEACAM1,0.02354121408335153,0.016143405140525487,-0.015300309703770382,0.008645203492440792,-0.025531237898651988,,0.045085809809753456,-0.0005365873259143422,,,,,-0.03520354763336824,0.032348978084697284,-0.007447949020331774,0.08769730034049389,-0.031104068617139276,
PDAP1,-0.0031993385302457244,0.031225745090345564,-0.0035676766826784594,-0.06844759275270473,-0.0459898455194288,-0.006158167750541876,0.23249744852077905,0.0019250926260501522,0.03289241333349099,0.010048292697732854,0.03664268416143896,0.053811230692162815,0.1088967861195396,-0.04560258381064526,0.02990051806209094,-0.006924942273069318,0.06052414713812017,-0.030236862396818335
QDPR,-0.030925489477740105,-0.01029486362792146,-0.06024458164082677,0.017468386967141078,0.10314852270358364,0.12223391885568544,-0.2724087242296593,-0.07503000403854443,0.05541953477701774,-0.1060746041007138,0.08350410588995792,0.025188734773129995,0.05573372633567818,0.021187764455681022,0.08643319537805014,-0.05407614631655196,0.010478052724711846,0.0258993670778938
POMC,0.04924779908042111,-0.022441969889763717,-0.0037496455776211317,0.009876199826631968,0.1137702706982267,-0.006962428439639699,0.02907391698880891,-0.012354528249030876,0.029055748660600608,-0.01662970331902747,0.043845661645774456,-0.03192301325313005,0.050813614505651104,0.011897853211577101,-0.02928313312826469,0.025823744279378336,-0.05088217025202286,-0.000866854327575082
CCL18,,-0.024574384661306226,,,,,,,,-0.050475508022338154,0.07956991613329115,,-0.02495989407390342,-0.05203833271280419,-0.006334214975670907,,-0.034193907206587784,
CCL17,,,,0.045804739028753025,,,,-0.013279517579130084,-0.02171322266833466,,,0.0830815043791604,,-0.027532207534132103,-0.046423722379385066,0.05557820447941127,,
VEGFD,,0.07854412215212755,-0.007458813031056891,0.012468366927665531,0.10914743060281698,,0.07364497425792922,-0.014148202783512946,-0.015926911414465113,-0.024759502516402444,0.0838500304844709,-0.014587763228351565,,,-0.01920360269396719,-0.015321825459943218,,
TNFSF13,,-0.018544625141584937,,0.016237185933131254,,-0.020762119127492294,,,,,,,,-0.0007518473018127869,0.024557137310523135,0.09823200040962521,0.033062811519640745,-0.0009395482491956681
WNT5A,-0.03804458245945504,0.013734832239135882,0.014063678451783666,-0.0005424362059269738,0.019933871198854085,-0.037547513237424224,0.22723648553242415,-0.0073132022810040356,0.025492081332720518,0.016902417371001215,0.036366401807344094,0.02721096601691666,0.051102252244256165,-0.029963634638547756,-0.0007891549124961159,-0.004685849321707746,-0.0013501367458149665,0.0077142903237920135
CXCL8,,-0.025775381403700923,0.04554556269846525,-0.01094184341641682,-0.10532498074138363,-0.02953276784534284,0.08899198635543114,0.06351761654281114,-0.014831832434281402,-0.05641862739335873,-0.03170287824596972,-0.02781798289033241,-0.0439458232835309,-0.08281525181248554,-0.14807961089009722,0.09570055968690913,0.03686401425178432,-0.013138004127297294
GRN,-0.10201587504891348,0.0009946527594100806,-0.0335363093644134,0.018500362196934676,0.004780957972671448,-0.0018052961850369158,0.24758940286928538,0.022415933490552174,-0.03566142427855196,-0.07360612443877758,0.003338630402878952,-0.04256384795397291,-0.004659586067782589,-0.07114378653776228,0.03390839591370628,0.07223057212800071,-0.03806611799750115,-0.004914298304630678
MIA,0.06942796951010724,-0.040767770333448104,-0.019489333997795857,0.016459480745575683,-0.020922175975982553,-0.03754191558997744,0.12923317671765952,-0.014969374100853552,-0.018113507557641826,,-0.02101020327038118,-0.01997861026282575,0.07056548461449164,0.1363550610289311,0.11376860132081237,0.017863648382726156,0.022353678706112923,-0.014111364219396237
COL4A4,-0.01683140647207608,0.03029139433080935,0.030445620252669798,-0.04589828547920244,-0.021726257620684506,-0.01975423907075181,-0.04808930512543629,-0.013864227203243833,-0.030429252177368422,,,-0.019379993143369165,0.08415223822392269,0.13960437292102326,0.022323203658019517,0.023932496447374434,0.02006840362594087,-0.008069995228737501
TAC1,-0.027420699366264567,-0.01133365565546536,0.009670575872664846,0.0002138442891033377,0.069177725574979,0.054752741500567394,-0.17399185310524504,-0.06919101768469604,0.009782630923812463,0.09997652932763015,,0.048019720695747364,,,,,0.03866149470206605,0.12664009414564698
RARRES2,0.04825955737503342,0.02573780842025775,0.0010698344024365654,-0.01103685524844959,-0.08813956832253106,0.03497787045707687,0.2527120179578084,-0.04305407184979413,-0.03074505344204628,0.051211999517944515,-0.06850787850484547,0.006620798644480677,0.06591936160866758,-0.05264339454594474,-0.11664237986936511,0.01295036711901254,0.020399943434872957,0.02185783810237156
FGF7,-0.0271735833748548,,-0.024734705325772564,-0.017677062683995652,0.019562767819806145,-0.006543624381308116,0.09479043724109955,-0.022918079114774302,0.012769000371386213,0.013936122928598874,0.013684616343464004,-0.020509955848715025,0.019318020935263525,0.005424759795979749,0.005548864241313083,-0.012593950082264167,0.057895403316147905,0.07952180088551136
EFNA2,,,,,,,,,,,,,,,-0.016541960543260084,,,
HBEGF,-0.011774703097870454,-0.019768440289635706,-0.012235147112867245,0.039051653469280426,-0.1209793635087747,-0.037951616146424526,0.059872529364869136,0.09192105786063011,0.011251758779213578,-0.08904505904425658,0.0882815620263621,-0.07076868935693625,0.03981755790420206,0.04211168320574774,0.02392082554743559,-0.05302410820897146,0.003344841587500489,0.04840367091294044
CSF3,,,,0.02721844890827402,-0.015566426246554426,,-0.012065436529613746,,,,0.04210722500468718,,,-0.04874202742921079,-0.10201678085848227,,-0.03637954646060247,-0.03842604730760887
PI3,,-0.012930703968675149,,0.010244981805832202,-0.021133765829774703,,-0.004625012456870535,,,,,,,-0.11820774698512265,-0.17090284857360583,-0.025126009280167554,0.018876715867908515,-0.012138236472214728
PCSK1N,0.03776387002284208,0.06251735150793962,0.009430938895118764,-0.024251577840359275,-0.02030089414106812,0.013984277541962131,-0.08183063273538471,-0.006193882494132393,-0.0024941099985535662,0.11098635621799584,0.010913389401390005,0.10868193649488828,0.008847625085739214,-0.06654835267175847,0.04311259696596158,0.10592929461555059,0.12278025349910958,0.031241583682174875
NTS,,,,,-0.008292456214351464,-0.024115437580725676,0.040067424797221536,-0.015838267966539643,0.04200800653276219,-0.022291505687879933,,,,0.03516923700257118,-0.0027108650332821303,,0.04765056467042934,
