,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.034187927878090496,,,,,,,,
BMP1,-0.04360421462079015,-0.006328550202411708,0.009627122511181398,-0.0025416234262802657,-0.052289679599130924,-0.00844998181564663,-0.24483339146609173,-0.053999701571749714,-0.050777023942338725,-0.1499336645048097,-0.15612596547802954,-0.0343719009806772,-0.019167820964576122,-0.08524490963621063,0.0864231274145998
NDP,-0.022331252009160082,0.010367822665298275,-0.005180429984464099,0.009144034066110028,0.17985373995147078,0.04596057483615162,-0.09691911172641973,0.04903481303357038,0.012185396580893194,-0.10773563062820207,-0.048812673368602726,0.035540417140944996,-0.020014296075527686,-0.052236367911289217,-0.13780436217282327
TNFSF18,-0.019581143759512656,-0.024574198129759122,0.042827764633334806,,,0.01576119986421381,-0.05076804654924439,-0.02498216365921295,,,,,-0.03597289902070791,-0.06744827620719744,
IL36G,,,,,,,,,,,-0.024215983307145104,,,,
RTN4,0.1387182421305552,0.04733591166584157,0.043348420466328405,0.029063290044668,0.20247762364238464,0.2200705862055143,0.32887180849007436,0.0898208467500927,0.15754563793628826,0.2917659463257904,0.1946429685159178,0.1064758312867645,0.049332070831144714,0.24546605119786075,-0.05608836493774494
HEBP1,-0.07738939052724068,0.0234747714375963,-0.03696716267719744,-0.06745453296723775,-0.02625450209571939,-0.1327321411838402,-0.09413001019012131,-0.01460214639022763,0.007091357316487203,-0.13821234029779383,0.003734969807891169,-0.02476642253992687,-0.13738011780864007,-0.02103472323181166,-0.05305350214625579
WNT7B,0.04036162307247345,0.0014067173801879027,-0.0216780930596278,-0.022753993461543644,0.06917500964449919,0.11542354720879382,0.2756302689623834,0.02830262003836428,0.08634391592148821,,0.11564765737027652,-0.019769036441472865,0.08161932378623,-0.007871650577309833,0.060819590916063135
PTMA,-0.04826616461630671,0.04505395866152247,-0.04809438221662989,0.053189970024182034,-0.15120066727512554,-0.1798201184991136,0.062070371923740104,0.02649600830349829,-0.10539166865984108,-0.3647135219985216,-0.2392606449190976,-0.03679996816913758,-0.07864819905976925,-0.0771514311008615,-0.19648568996827323
CEACAM1,,0.1345754338493832,0.002430762456867536,0.020807724484698517,0.00695879978710011,,-0.06680785772708181,-0.003581045355651374,,,,-0.013120997001149673,,,
PDAP1,-0.034506685727787624,0.0089872627467699,-0.0370018536503929,-0.0026989378614465155,-0.06838993087720303,-0.010043038548317599,-0.1621366715562337,0.009944375879168842,-0.02098624758568005,0.013950459827615435,-0.11474307897159022,-0.01945669926408312,-0.08055921646702724,-0.09822451755847425,-0.03938477255418943
QDPR,0.07665622420550217,0.057714571599705285,-0.06401618778762636,0.020466299571724834,0.14429813865617205,0.012024219809424589,0.048666846598602424,0.06341474813691059,0.04496302530074994,-0.25554438105797583,0.07811431762891749,0.003000987887789601,-0.06382125507249796,0.20139194588030718,0.02446267043245745
POMC,-0.0017662447391220502,0.041793047677792475,-0.029560641832002486,-0.024467730499159894,0.16449065191644974,-0.014728589730264825,0.03215121636768331,-0.02898732716718381,-0.04340223233413095,-0.008966130384962953,0.1044322686316247,-0.02146422744582352,,-0.018185539468529917,-0.06651625538529266
CCL18,-0.026259923825907402,-0.004725083428128279,,,,,,,,-0.08929769958262652,,-0.0049278382637431084,,,
CCL17,,,,-0.015228931843954545,,,,-0.03115762196090394,0.01576814679855095,,-0.006068916498727191,,,,
VEGFD,-0.02958725877642523,0.01649935546730674,-0.023828638364869002,0.05184675761684048,-0.01299623201975088,,-0.05727394989428143,0.0012589704868074924,-0.015864775429651857,0.08015765006714363,-0.023708819991396835,,,,
TNFSF13,,0.07496424707099235,,-0.0105045763524009,,-0.03687604337408484,,,,,,-0.014734000229807035,,0.031012338283815735,
WNT5A,-0.0751807175058685,0.007035433803198754,-0.05947175935369783,0.045697558064700015,-0.07618007563268375,-0.1271221682896192,-0.19131603635967526,-0.036565559575129816,-0.050326035391807,0.09405433105664393,-0.044905704751429715,-0.020564840833741677,0.08194786625861375,-0.08665963586719011,-0.003260774853837027
CXCL8,-0.12632343436663016,0.0021201454372612645,-0.022311724596424453,-0.053173910901204414,-0.10109624317996267,-0.03509007926718324,-0.10015005456395795,-0.07479401836331458,0.03020769858614487,-0.07504650902279367,-0.03716977051282963,-0.047968383792048,0.01717538218205513,-0.1581195746727906,-0.018099772763885212
GRN,-0.05218993870940437,-0.039463562337845925,0.04023554115512887,-0.03377835869916386,-0.06529172750845622,-0.11879092156443886,-0.2627113571608152,-0.04205249252944319,-0.03782244176104588,-0.23045675789096312,-0.016984418775940882,-0.1013431398672879,-0.01793377842893502,0.014881194570787674,-0.032824116902947745
MIA,0.030213974178346262,0.04884710667556572,-0.021191524557754006,0.018828839651506894,-0.05202520496042403,-0.027010199201745175,-0.09766097130206061,-0.026358628569794727,-0.00040778355758669686,,-0.021527228858222003,-0.058539228103197546,,-0.09706300544482983,
COL4A4,-0.029784739555388618,0.0023675033809265954,0.024091968673156165,-0.0008057660699484973,-0.04219603210939299,-0.038413112047858106,0.014725041516110607,0.011022652238305418,-0.01750187978822427,,-0.03149741065015667,0.1330519822857511,,-0.08200667104752554,
TAC1,0.14292738415942385,0.07231489685025526,0.0537221350121608,0.13992964246036707,0.27401483463465337,0.16126599332826963,0.3481899841285734,0.13168183280224244,0.07428143271757816,0.15777136582565318,0.25204543068682717,0.05959948236399757,0.11779873743419321,0.13045075440841464,0.04409698177318049
RARRES2,0.022753069126228043,-0.01908629487219866,-0.021516160138908946,0.03131312481897053,-0.19169698366944857,-0.1097778395550564,-0.2750665091022644,0.04839484332138787,0.029111465789358307,-0.13447376363351252,-0.11942312896635629,-0.01495512019521895,0.004116924764332081,-0.17563415527067297,0.009497064425976559
FGF7,-0.0049013269564086364,,-0.026895024499000258,-0.026994694677178792,0.12396101583894902,0.03799893279949127,-0.061135423867904784,-0.024627308356018843,-0.002966439718794044,0.0356607784978612,-0.018734894536483093,-0.0021890684120710285,-0.022363004372562473,0.03810768265772199,-0.04800811081603027
HBEGF,-0.07647439125867946,0.025361672496681482,-0.02066554774162074,0.012884677043883703,-0.047806881752156985,-0.09369460585676939,-0.09190525928091113,-0.11550556575593923,-0.05999704896819701,-0.07199640095880096,-0.009127213571673502,-0.047062359556506776,-0.06409041551600916,-0.12111723816406937,0.0023010446358355833
CSF3,-0.029784715974721338,,,-0.018151558901170695,0.010423324104585005,,-0.0006934769844840874,,,,,-0.01881074151183352,0.03045046276622351,-0.07965791339659535,
PI3,-0.03528443759819151,-0.014533184303909173,,-0.01187982127342652,-0.010295279850253561,,-0.040134508099320065,,,,,-0.06218491990255721,,-0.13334214624568333,
PCSK1N,0.15518932384074266,-0.012306362811033738,0.02196490701691718,0.016810491609690236,0.0847256033310152,0.06686750697114592,0.19978911051037762,-0.08904599038481138,0.08266151289253737,0.3325293691379277,0.1976177048377448,0.04317799925377806,0.13625278831632315,0.23447624540394188,0.06746734608596829
NTS,,,,,-0.07556785394318634,0.10373051533677005,-0.04380955600823001,-0.03716119677363039,0.0037450052401642865,-0.021335356472817164,,0.057408024650818935,,,
SFRP1,-0.04598800543795419,0.019603240516166357,0.03476610881747973,-0.013287831686745421,0.08363183181917523,-0.026056554362758028,-0.02565761349708164,-0.00587596324597784,0.11501134667258747,-0.10795860704951361,0.034652344681975325,-0.04504697325170483,-0.013602765270380606,0.038394366758656866,0.08465338006317318
CXCL13,,,-0.0402288048735589,,0.05190931999788063,,,,,,,-0.030684233843409202,,-0.06996990373429901,
MICA,-0.007484274035422298,0.021894059463049426,-0.040372916375583726,-0.002594212755758245,0.02833407116975827,-0.023875515878655263,-0.0468511787295008,-0.012433785593118344,-0.023238087380710815,-0.04425382622831205,-0.09012206329075556,0.0577163065722229,0.02445920504845233,-0.030160924481379067,0.024117062613896213
