,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.026101618288672235,
BMP1,-0.07321220188169753,-0.025081308231949075,-0.08927329803807388,-0.02843056851446411,-0.025065293329213315,0.008832922213477364,-0.08403054898585766,0.08240815473279899,0.047675792667816755,0.021725682911829587,0.024272669009270713,-0.04275583161433959,-0.006870509831090684
NDP,-0.00595626023656695,-0.05050958484583648,0.03545217383551239,0.007907285724576458,-0.00222328850358645,-0.029068001976466716,0.09311232216654387,0.02450451779867944,0.21767416863360783,0.049336097825453076,-0.022392426922790996,-0.01834975065287323,0.027429074291393376
TNFSF18,-0.0641858106720907,-0.017032962054389013,,,,-0.01235848564439542,,,-0.07762551039376386,,,-0.044028763562644506,0.18249696910408564
IL36G,,,,,,,,-0.038306578953354195,,,,,
RTN4,-0.19702586041538553,-0.0002362889587429395,0.014905072381159816,-0.030267073954682318,-0.02555403395006025,-0.0010396191381677985,-0.06059364590403433,-0.13596084359463848,-0.0016703734367621676,-0.010887497396377732,0.05721174597660781,0.0374058156098231,-0.09843895507761274
HEBP1,0.0439362658381552,0.004255261495524263,0.0823401360412292,0.006620583430712593,-0.018985732015268545,-0.022529558454090885,-0.022066261516128022,0.017742836184367332,-0.12630721628033637,0.006010625787471172,-0.05746479210910183,-0.004204682013227674,0.02131788234235072
WNT7B,-0.14958906554397114,0.01855439923689598,-0.028843641598011616,-0.026976179549281325,-0.020643413541931367,0.027505738709079023,0.0028671896928421903,-0.022569356758431323,,0.009366393722625021,0.035554291920259835,0.03853111358746414,0.026169892937746058
PTMA,0.059538978223206945,-0.026827104810578664,-0.16585391363046023,0.05677160866287487,0.004928436542004666,-0.06908772792037625,-0.0235038246493841,0.14657513004766826,-0.19592050376807116,-0.06496703703277434,-0.05067168799242233,-0.1000175479990779,-0.04960973122733558
FASLG,,,,,,,,,,,,0.05418824260971522,
CEACAM1,,-0.02312959786723731,,-0.020718978222470742,-0.028968965704327148,-0.01943695370670254,,,-0.03981040872374425,-0.02156121909835669,-0.01620071172912806,-0.03149734722655959,
PDAP1,0.1585654338875127,-0.07269585961863137,0.014993176330097313,-0.0018645455193252824,0.0014824794461103432,0.025311483856714872,-0.052295329930946745,0.03010023788339084,-0.08584781256299202,0.023229739081976303,0.018257169052307683,0.05710443746739252,0.017468781363545134
QDPR,-0.1034386072610375,-0.023836104061748107,-0.059514670961297374,0.0038719840373651017,-0.027724469867817438,-0.07221942207990789,-0.024755442546629938,-0.1012597993274299,0.004876638170430328,0.022377061526861867,0.011975630094889174,0.03326022859508903,-0.0069962869322343375
POMC,-0.07862246553667121,-0.019428219195745118,,0.0877373569721654,-0.01491289122687872,-0.014339809455732334,-0.02858275688757778,-0.03438186689618253,-0.024747640469145904,-0.042850781821050454,0.02871910404815071,-0.03149625472401875,0.0565866981994584
CCL18,0.04989843113333785,0.06803257766227351,,,,,-0.02094804705771982,,,0.017915926371965242,-0.023218820364401673,,
CCL17,,,,-0.018054782359879236,,-0.015413437721809482,,0.00656386694078182,,0.0993742047902934,,-0.0007789625065321143,
VEGFD,-0.01576692536892671,-0.016738004800873358,,-0.020115021333474647,-0.027715866216407224,0.0007940014893876503,-0.01931166596697727,-0.028370627136337638,0.09043362947949964,,,,
TNFSF13,,-0.021781370055846648,,-0.012453784793883699,,,,,,0.031315259245223145,-0.018192313459037844,-0.03343356768340288,0.08932417949319399
WNT5A,0.08221476957177472,-0.02664782791583008,-0.06801924223089491,-0.008192962979041936,-0.05567370887611774,-0.010957449287816138,-0.02137195994202515,0.059609125231673395,-0.024522255859400637,0.052383688868272306,0.01885656011543799,-0.0406326520745309,0.010320603022181372
CXCL8,0.10310188102918351,0.11751350676452525,0.08632254431374758,0.03922359734582809,0.02463831109929062,0.09813816890992458,-0.08172496317231506,0.13861541806663444,-0.1088187944223002,-0.00016170509604779244,0.06855966903227409,0.0191184459924036,0.026855824590950244
GRN,0.027192981462362518,-0.0380459809284607,-0.1057600788936049,-0.04431035064611203,-0.04699205959829388,-0.025292764339067627,-0.03840127480360018,-0.10900971598873713,-0.07436615022534741,0.0369479852237725,-0.08580897365809922,-0.1006802562967511,-0.03925452118363086
MIA,-0.01686107101265347,0.03797956957873008,-0.010110566211653316,0.07413770345796566,0.0818905788033674,0.034792289236386456,0.04914279526858527,0.017548948217249217,-0.002311296313160624,0.06251762247286666,-0.004316246684680574,-0.05652773267412285,0.10300024500863232
COL4A4,0.030245482343231423,0.0068826181031627865,0.13762340783009963,0.061098873339102716,-0.00451693225864611,-0.01609210585285542,,-0.0167127827322419,-7.200561614365713e-05,-0.028860176021995927,-0.032650033618429025,-0.013802568803446082,-0.00412325403849954
TAC1,-0.1699314973998747,0.05460443730115347,-0.11639038116018062,-0.01760353570727651,-0.03564429541091492,-0.04552055076244644,,-0.10584004510116383,,,0.07033843356057123,0.06923982074906994,0.0013406593829214516
RARRES2,-0.0839221487122132,0.03743807368144452,0.09194226298783333,-0.014064486419815865,0.1527446995130666,-0.09523770387360736,0.013273906112917197,0.17637077871608578,0.15667751845361447,0.06598344221676135,-0.057859891657339395,0.15733961628550522,0.07992462119985336
FGF7,0.11219011565541016,,0.011373394138899734,-0.014233313483390941,0.002652423312170745,0.012944742531051818,0.009498538674908949,0.06037130585956274,-0.002736032073277234,0.04622921035460975,-0.011745270222613884,0.09548698176954064,0.0026822389186955215
HBEGF,-0.03928208612496255,-0.007866191556943057,-0.0077294852203025725,0.006652639788721002,0.11030855106322658,0.017747683145840392,-0.039492542553394176,0.09615355399463137,0.018904657364194135,-0.0001847754102269559,0.018462384910353628,0.11003853678776301,0.09841217374319275
CSF3,0.021757167003678368,,0.04950317364667352,0.0314724958466387,0.059284276007756195,,-0.02901242250575121,,,0.03105635976568681,-0.02322593325931369,-0.021603063619823244,-0.007096187017098353
PI3,0.04253425369709936,0.04930897816704715,0.06211163945437131,0.012091706177252914,0.03277712156089938,,,,,0.014760377671029732,0.029141470388518647,0.008660089764008611,0.035113158329272524
PCSK1N,-0.12654711693438284,-0.027969244581526432,-0.06461544484387093,-0.08418758317533566,0.001092028142812335,0.016244283649492052,-0.011244014699880565,-0.15960680622956572,0.09346975848410587,0.0363744419154113,0.040858379063880686,0.011328802953982567,-0.09252135689714747
NTS,,,,,-0.030558984653344005,-0.0031267375507537196,,,,0.014542585144301547,-0.025903418161340876,-0.031991191400901606,
SFRP1,-0.08641731382272716,-0.035936007090334884,,-0.01575349549115834,-0.03161900360712609,0.06959678217194035,-0.007111179272711993,-0.004684417036457663,-0.06056623880061738,0.04089991645785331,-0.03862384598564717,-0.03124779716056867,0.013862180318952168
CXCL13,,,-0.07079824890171815,,-0.03133483636778356,,-0.04098250008881499,,,-0.02042959694292243,-0.037886330366714564,,-0.03489298348883628
MICA,0.04165624576667689,0.01949701545119132,0.009703349976303446,0.05425907838899096,0.010753324714535377,-0.022472083380472078,0.061350273639464666,0.11086985144357706,0.04698524747425541,0.017409774064347003,-0.0207878346096675,0.022782668665629984,0.026678971011359725
TG,-0.04300000297980062,0.05822394688473939,,-0.017000517528101326,0.016967818147965448,0.002307446168473542,0.0009887810954455683,0.07922549325147843,-0.026770074502217186,0.06354411911141723,-0.019115299975595686,0.041182269124047,0.06828902336760481
ADA,-0.0012799615367919263,0.06484899231146528,-0.019407032496018606,0.057190370128761686,-0.007965298681602964,0.06028431608439395,0.008852764581065778,0.01218706422710162,-0.08297764369357405,-0.015227285947080681,-0.06253150700720239,-0.02207686505549684,-0.016292471837259574
LAMC3,-0.13878813337864537,-0.04940591928658579,-0.09326314294706126,-0.02781210832814016,-0.00792663320253113,0.060151129406428874,-0.0332617278830521,-0.06297959109804166,-0.13055783863252432,0.000503407378922925,-0.10374025120313234,-0.0873327757957837,-0.023349907152290295
