,UKF248,UKF251,UKF255,UKF269,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.018557934620605187,,,,,-0.016423468720042987
BMP1,0.003368753996859426,0.01503927074898224,0.12193751030244339,0.12805199671821957,-0.007743250177725778,-0.014870169984296366,0.02001887672534672,0.00941722261354339,0.055812456554206746
NDP,0.03921138899137224,0.04450222025830135,0.10004931946527758,0.031767930508921016,-0.006357672968511616,0.022610668279455775,0.06765693857033771,0.017790308371871826,-0.010292692480196488
TNFSF18,0.14945982207840733,0.002728646089188401,,0.05576399250944171,,,,,-0.012930503524617004
IL36G,,,,,-0.013349799970391252,,,,
RTN4,0.05553259906167725,0.006623369414174446,0.08213351301591765,-0.08655869672156924,0.002573715990907609,-0.03413051209278947,-0.058663753304015895,0.029334152132624913,-0.04845227270059962
HEBP1,0.017710285093018505,-0.023491280789318843,0.035575227164286426,0.03472068276504664,-0.0117764886054061,-0.0007862446226936209,0.057315828939185416,0.015924026909366236,0.08646130410140924
WNT7B,0.06276638355513514,0.02764907620297931,0.06863219746470264,-0.04215379509748887,0.007854253874798494,-0.0025570518226171422,-0.03529006234350248,-0.005680291474638436,0.07847013720257703
PTMA,0.039923692706603356,0.07577725073284992,0.10287104749160844,-0.048976386114279076,0.04456101026857594,-0.0037787786654903876,-0.00602109596879582,-0.023180333460071825,0.06594375444978699
FASLG,,,,,,,,,-0.014244068817945967
CEACAM1,-0.019877316106432102,-0.018822268468771396,,0.062393462524504874,,-0.02107838467507381,-0.017096392232566853,-0.014826660991910582,0.06646167632184513
PDAP1,0.011420238434759856,0.05822273671732932,-0.0285537942104531,0.12645383630507784,-0.028248183437157102,0.021647799075600136,-0.05579173769542366,0.015631378034207125,-0.0362683002888005
QDPR,0.011102744418742717,0.00242011441931706,0.13981355414014415,-0.10804748249288536,-0.009665659372877462,-0.054878109101188705,0.03583210520789253,0.008180437722332953,-0.025591068566159152
