,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.05657314751558448,-0.09156578410692684,-0.01928635811538056,0.0008320064792150047,0.03394197951105176,0.08177058966440655,-0.010240437454702172,-0.25923916178125905,-0.033515279833672335,-0.037635458842647386,0.03661678051534807,-0.16847509571712874,0.06226971652351064,-0.060280197927427254,0.04827688385825537,-0.007397914676477013,0.08681197741484907,0.00672388307008435,0.06125528503627377,-0.06819491746961467,0.023047073120159547,-0.16584143026546797,0.08416221786154048,-0.00021312690278464842
RARRES2,0.07787739484842397,0.030013418286823496,0.013079005005124402,-0.01873955360098495,0.015912751748181186,-0.24934206024291874,-0.23080863532532883,-0.5162163758824015,0.16857150749952476,-0.03686188188960351,-0.1644754822640035,-0.15247609457204442,-0.08601003800942061,0.03341491311681853,0.12850067079694974,0.026290036987492545,-0.0907639812791993,-0.0717159853504386,0.027557214564821648,0.010025598803205315,-0.06740449173139788,0.045644159703289576,-0.16825476419840174,-0.01879334800310032
SEMA4A,0.12308611547490454,0.11933307658023855,0.08374214030714297,-0.004657910279217048,0.04421116980387549,0.15698185001119616,0.280175862912547,0.3426501723194079,0.14913036998877,0.05085265595286248,0.26825539780765234,0.037893715379695665,0.22099747733574215,0.0010805048833761916,0.04732364210852699,-0.06546772695558409,0.06203609455245933,0.09012184506922731,-0.008839289646632135,0.057646974322212566,0.04267850485143488,0.07833868110911905,0.16262658002577807,0.02739550939202534
GDF11,0.006886096340935366,0.03300604181516233,0.010980551082256025,0.06208094743836226,0.0411871994840316,0.018282963413657205,-0.10655471273636731,-0.259374319490329,-0.00477010421566485,-0.004619664944929839,0.012067914717911219,0.07008750533532819,-0.08523357727195192,0.05268605521869585,0.04122790058323307,0.020060611950153788,0.017626987700965945,0.03579454215661629,-0.06376638560918396,-0.0032994816619150366,0.032150048182439085,0.051884233102780036,0.027137522914400646,0.05620131015981897
GPC3,-0.04994358069120865,-0.028764656432503755,-0.028873137674849378,0.07848651077850378,0.0036031929566126045,-0.04193507665415032,-0.21744008033126927,-0.02901850928827832,-0.03682717295658644,-0.030406030664101327,-0.05436373200354128,0.004725991719647984,,-0.047494340409985424,,-0.05002719117643695,0.15928222539136866,0.14590381078024914,0.048272516246170405,0.03189087147596034,,0.01834490251854625,0.03504068822246622,
OSTN,,,,-0.0076265422689371495,0.04263229391279292,-0.034934284943463415,,0.16199798164165677,0.03789886652164134,0.007181767278759997,,,,,,,,,-0.03132283545909543,,,,0.08503611500845902,
GRN,-0.08963714577629922,-0.07236199818429806,-0.006412634064051621,0.012044966278050715,-0.033337935237969775,-0.06556851186322726,-0.20181316994581508,-0.4893327936753428,-0.0022026948331976717,-0.05796273541181242,-0.35146793695876954,0.04853730515262429,0.01470560533914201,-0.015125063969251345,-0.02820330641703497,0.1071714955384898,-0.0037482923431444506,-0.052950129702832006,-0.033776444843797424,-0.12652753192269167,0.10826863152028565,-0.08305028456178135,0.12533871752498646,-0.020710512967016752
CALM1,0.37850473909690696,0.14452107162076422,-0.030964326060459988,0.03971332886022083,0.0599484112289253,0.28890874330333594,0.30541841035642603,0.5709266912877015,0.05358036767828936,0.05523468966548549,0.64596772124531,0.068065797733696,0.28357700614772147,0.06206299744213192,-0.030700968545463943,-0.03840734517785103,0.14188683515667014,0.12828219952927994,-0.03564464125062831,0.09043482453354731,0.20966656056771982,0.1232878543610664,0.3634133573554275,0.25553514625696455
ANGPTL4,-0.3381086649902752,-0.16430044960782425,0.040523720889058444,-0.11986335284615066,-0.04247682114102842,-0.1022342633155219,-0.09723035438615693,0.023619300487597267,0.04204752621189381,-0.027877924591703684,-0.05014521792539524,-0.09679992395822032,0.0017216828729672976,0.08167474413512854,0.017971161242847585,0.036218254009758304,-0.11022924597113898,-0.1397781914167139,0.009796385996927842,-0.13526095543782454,0.05017203447238085,0.008609712610987546,-0.2966242404354469,-0.12131166879648667
BMP8B,0.04125722824237306,0.041013222034946034,-0.04084984715991494,-0.02644757041515297,0.0018294162941679543,-0.01929580555201719,-0.1214128784575872,-0.0690149027148993,0.025558665234892097,-0.014395391843782461,-0.19880834227354097,-0.01925765930659048,-0.07483474329865099,0.04595764541492258,0.1315949332161517,-0.04642679267815091,0.06880295962816066,0.015211261563422857,0.06363974824771938,-0.04234811512339729,-0.12368323619202087,0.0015453255338687521,0.0522879735349287,0.046988442900898944
