,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.015031585158022923,,,,,,,-0.019917729753362774,0.02103834124433718,
BMP1,0.03058935863671943,0.04268014278320474,-0.006222082653987821,-0.008419454389084115,0.06743404179078684,-0.012214379209831287,0.057380469597908025,0.10794313800313712,0.012994425637848925,-0.037913552136810046,0.11374541015764962,0.014011877820543386,0.052439792911048805,-0.0033943772718208454,0.022577622229469997,0.024699393336382273,0.033825752347245,0.008647651698601775
NDP,-0.03061168944923222,0.05714094297507087,-0.009041759747052876,-0.038649054243998136,0.04464553481233485,-0.034660031501055864,0.005443813303272748,-0.0010980290507999688,0.023313581977973508,-0.039496768436123535,0.004655989104795349,0.04452686740194375,0.06028595086855647,0.08827496960959794,0.023816715794344797,-0.029084302306583546,0.055471528409291995,0.010400390148244516
TNFSF18,-0.019557904326704758,0.027389602621174673,-0.013412950014761208,-0.0252897926096624,,,,-0.014925467301408459,-0.022321452699111687,-0.012622089446573373,,,,,,-0.020540803126067004,0.03522586908365152,-0.03441679031063477
RTN4,0.0006832767975387442,0.01172043388967444,-0.011886098064457614,-0.049268347429723344,-0.06582507820444541,-0.0263931337841147,0.03423765168991104,-0.14581578300762116,-0.08865882820909121,-0.009027394464454405,0.05047161522671892,0.02999717697948652,-0.081456712908203,-0.07033156034919467,-0.043830029551188684,-0.020961730134492932,0.030265737814427478,-0.01999375436292283
HEBP1,0.03721311056039196,0.03214116208460526,0.0014033672292960327,-0.03391439278448581,-0.020594794675539853,0.024853745273811945,-0.012828697026697434,0.05351349886215763,0.006115323751964854,0.06683091991196981,0.025103153368068083,-0.0036493400450602633,-0.004953665064364738,-0.006264286603446968,0.08055136180559441,-0.026860860735480635,0.047807203061448124,0.00425908679399527
WNT7B,-0.01722990114122906,-0.055096930611829374,-0.05231755679851546,-0.015709235216999382,0.09296960991918607,-0.04076932843896403,0.036755779716115745,0.0001340543149162611,-0.05004403022905805,-0.0037631065801422368,,0.014700599843348683,0.07306411989530137,-0.01488478048281558,-0.018993070115987654,0.0206375856323223,0.09585141327402998,-0.01538136125257576
PTMA,0.04640680463091811,-0.06738346264415462,-0.0209502199230527,-0.029714503815716605,0.03964285955282219,-0.003606523180315261,-0.009178862757409907,0.1332173985768394,-0.005441916240872343,0.0021410429309680705,-0.001022691615046253,-0.02117626244861763,0.00658327760178089,-0.05329605138048253,-0.014275649317773276,0.022585616153705183,-0.012375385212996234,0.05738032482371523
FASLG,-0.01722990601207797,,,,,,,,,,,,,,,,0.047654198469367345,
CEACAM1,0.05553870033794508,,0.02814065047660941,-0.01205589318217162,,-0.014994247216223033,-0.017528509567950348,,0.027020600741649383,-0.01985153968813039,,,-0.05955984500172562,-0.028079479950174617,-0.02482280983265435,0.039783060358424854,0.005879771345979874,
PDAP1,0.0540131850110899,0.04337248017749946,0.029297722553460935,0.039162569562312274,-0.02249404559736946,-0.0018790330764977942,-0.034205612528084,0.052645585160330424,-0.0023041750851950094,-0.004785250656368246,-0.039255989334172535,0.026918716621433157,-0.08333937194230204,0.0018070973522271929,0.05458391929863151,-0.011405578480094736,0.04871270075772452,-0.005758294696725615
QDPR,0.08402598526988468,0.06971715980101621,0.02780521745153779,-0.007261860936680457,0.014810207377204279,0.03411382199057505,0.05756511898423708,-0.0044012270953526,-0.016721691806519712,-0.05546316805482238,-0.03371437292630963,0.002389261888280574,-0.10608947726754804,0.018087249193448403,0.007452396478596803,-0.033303984152285804,0.06743161546872647,-0.02435336914094571
POMC,0.038550500259875574,0.03748077569263497,0.005865348158585039,0.054356057741087024,,0.03368033258951013,-0.03527150625479166,0.003072252367470807,0.03136695768819747,-0.014645674462481979,0.027253586980965853,0.005929041339254669,0.05404033620728183,0.05628634492213726,0.0028841892494329193,-0.004350014776835681,0.011133475293098423,-0.02034877742150803
CCL18,,-0.031657738791872586,0.0019051310236258018,,,,,,,,0.013733586259643323,0.03793744317244165,-0.00593374724691444,-0.03335636179341092,-0.015236106179612444,,,
CCL17,,,,,,-0.027286345369225598,,,,-0.01574220298520926,,,,-0.01992103193961639,-0.02399343512098965,-0.02626037613176919,-0.021570647291082094,
VEGFD,,-0.018921304844610853,0.05745509623084204,-0.01726764821725374,,-0.020693629085971655,-0.016770285522681203,,-0.025181937268679948,0.01659136839466102,-0.024509191401566818,0.07322527610746052,0.016640116481557547,,-0.008555773243478976,0.04637075402417444,,
TNFSF13,,,-0.024085268659916587,,,-0.018821510349249844,,-0.014474589654247335,,,,,,0.018528718164294446,0.04050447994274476,0.02637132185538002,-0.011827562168638698,0.018171291799032416
WNT5A,-0.06999419778764245,-0.03504180775813495,0.02154678070320088,0.03269665571205487,0.028792991752828973,-0.030031823466852615,0.02201225422813961,0.11350750176770266,0.06617507946245592,-0.01694208326850393,-0.004844425227643183,0.0203406280001661,-0.004142639618470898,-0.01637630991271104,0.04126621994411878,0.012236851335163598,-0.015314749465617063,0.021895189949018366
CXCL8,,-0.07719999503493784,0.012440081107474306,-0.016168402304485737,-0.07622736327130716,0.023107413001233475,-0.013371840188114992,-0.02058916497350429,0.014101631896299186,-0.030738852950409325,-0.02201926386949959,0.006577396402938296,0.10378079153272318,-0.036930376969756325,-0.08349926363626478,-0.03728400974906734,0.009764638761966142,0.012154830267559967
GRN,-0.01301025150176526,-0.018002256867156126,-0.044333619831753726,0.050905407989140936,-0.034093269443294716,0.02405872021458592,0.054008152528226806,0.04372478214247743,0.05876416255197585,-0.00030337115428564967,0.062534743193737,0.004533824391582417,-0.009786389781974516,-0.003438175340182082,0.022923843043598978,-0.0240625700117572,-0.005549780931334244,0.036162282619096466
MIA,-0.022552460853314096,-0.05021875104248192,-0.03942684327882749,-0.015356638749030826,0.005604286380522228,-0.031071051593212357,-0.01486289790533128,0.17505852848850617,-0.0229503682132798,-0.01277185038704426,,0.030302523866714535,-0.025234368573281304,0.12404463629031354,0.08310695961287062,-0.07718666382655569,0.12512650626613026,-0.024395339772312577
