,UKF260,UKF266,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.01754461625954565,,
BMP1,-0.006331735880533159,-0.029618718262929392,-0.0018451420218303862,-0.009819992504920882,0.05529573100699459,0.02274747766512658,-0.009218301282000298,-0.05441428133658837,-0.0916030788344075
NDP,0.05499585944711013,-0.014387307675113164,0.01082049878809171,-0.008742123933977141,0.02995995345219402,-0.06011435775491915,-0.006056390923109492,0.0024314998884658583,-0.07292312164325754
TNFSF18,,-0.028243221453384336,,,,,-0.029594630974436747,-0.03467382336717941,
RTN4,0.07978032362414991,0.05067850270477386,0.0006351455129003222,-0.010211908560570011,0.040020401728980345,-0.025129116332580286,0.033336351754690866,0.02840700361716991,0.07082547461315059
HEBP1,-0.07484268692695158,-0.005970204374778139,0.031954212810504694,-0.004733274874866808,0.032974301101734674,-0.03511278301317522,0.01656462299273225,-0.005647439733456588,-0.06223808547043135
WNT7B,0.017453199368143248,0.015873944146024284,-0.014651218836160246,0.016674039419284057,0.05067559826894104,-0.027286277289173624,-0.025650237592821777,-0.044911754842926796,0.24473503046430414
PTMA,-0.05246040214703764,-0.07895894889369388,0.009221866310362085,0.021989584459514253,-0.007393761284690704,0.028104754547166183,-0.06792004967561996,-0.0005739332624826659,-0.06144790447643566
FASLG,,,,,,,0.011615408941458166,,
CEACAM1,-0.016207968620129656,,,-0.02673303675357549,0.040502429014017204,-0.02486247105311856,-0.021171440949447867,,
PDAP1,-0.04045548403858504,-0.025959876898595743,-0.03619720321287672,0.06096323079451443,0.023770373211632237,0.045839306556979466,0.020091441308108113,-0.020981438091549037,0.007264264648497372
QDPR,0.09429249992183802,0.07781637110124147,-0.07630642278494612,-0.02559949475954447,0.047123914376274216,-0.04123336790630819,0.03340029074941144,0.03947242383271335,-0.10894845140495261
POMC,0.03502728480439847,0.01669913419843713,-0.008361601698342155,0.04003520045633316,-0.029983391268292182,-0.02085508849434162,0.110292346554072,0.013480713047211764,-0.03206614241839072
CCL18,,,,0.03599650942612397,0.08402911891407205,-0.05160309619160763,,,
CCL17,,,-0.018134101772907717,-0.01896579566131189,0.0248249279187124,,-0.013791993480143462,,
VEGFD,-0.015506866710403107,,-0.01330158295383739,,-0.020435813239078632,,,,
TNFSF13,,0.06019239119939741,,-0.03639251316784461,0.043734815020648625,-0.027918888646809546,-0.0224729022049724,0.00575867279240762,
WNT5A,-0.030393338521785294,-0.030928842930785787,0.06857689444769398,-0.045227798942246,0.020752128404063767,-0.05966808644293961,5.095100430496868e-05,-0.005928903022921679,-0.042443678676033006
CXCL8,-0.035227093363623174,-0.007362743791212725,-0.012387012418668348,-0.045283670764565125,-0.016917738823728042,0.06401135462035734,0.046916504629005526,-0.018364842308919466,-0.04766176381491505
GRN,0.01548946590673018,0.008049131064556809,-0.02976422578789541,0.0473390620406527,0.04106875836213779,-0.003984651809316067,-0.032947777493841895,-0.017800700055886513,-0.0646669617299184
