,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.039210497025070776,,,,,,,,,,,0.0686390454777974,,,,
BMP1,0.026093458695873,0.0041544941446561515,-0.014119082139916316,0.0966641772174091,0.14349401275855406,-0.04001405400935195,0.06786669667563751,0.09738956847833888,-0.036570686182666706,-0.041512414780859465,0.034619802438069,-0.030194973614300444,-0.004012320549771084,0.06416879853995773,0.03836874268986519,0.01304404830582143,-0.05613977086598677,0.003635362525635268,-0.09702861043688259,-0.02595543574464163,-0.08210240269135861,0.08204117617730074,-0.010607544085014872,0.15387674864920683
NDP,0.052373495972769045,-0.019813297039192497,-0.00855738974851224,-0.043336287133063936,0.06934231568889336,-0.05680303728090333,0.03882961431008526,-0.016427482964314802,-0.03438454625394637,0.04951310503268482,-0.06381350480853741,0.09364185770131278,-0.04998541307711162,0.067181902071148,-0.03614193788096212,0.11593517843723479,-0.004129137535862534,0.048064502132110276,0.021057666215147083,-0.09106989127541872,0.09729182554266337,0.02331350228785729,0.04662425887044067,0.02973613179569015
TNFSF18,0.14327571033432718,0.010288210352326669,0.018435700853186344,-0.015252448922422642,,,,-0.02904193943223013,-0.011471538371372773,-0.02643768339762565,,,,,-0.025988026520086385,0.007088280860168206,,,,-0.02060339768452551,,-0.00289928507339614,-0.02044181817523895,
IL36G,,,,,,,,,,,,,,0.01819038076696411,,,,,,,,,,
RTN4,0.026747094392234935,0.029499746140288347,9.173394361403263e-05,0.007799159645071964,-0.07944259180620555,-4.117249697634313e-05,-0.014220243296855506,-0.2115685086109305,0.05732174890584735,0.04652472089866207,-0.018517769192551624,-0.14803536345528606,0.029273147875888708,-0.01222267318635258,-0.0009299210684481042,-0.023584003053967562,0.014735265493384032,-0.06670709402606949,-0.0721952019744971,0.08730683539700873,-0.0394905326762817,-0.0683821740472439,0.08252872179280495,0.11175699677920982
HEBP1,-0.008200871754741818,0.030848036530279205,-0.013810426968550003,0.016763374974864936,-0.021672024228601018,-0.04647225966960044,0.09471458133197126,0.06650447569696916,-0.0033291118106763516,0.05497818954191388,-0.027788412024665952,0.10259867169452794,0.06168859545658106,-0.00711686089412052,0.0026018682047470485,-0.03789237161328639,0.08350949966324984,0.03505477969028652,0.0010939320636556434,0.003698949224060035,0.04857554383099951,0.056621096192715804,0.009104701614403294,0.05281259588537783
WNT7B,0.04570192501832295,0.02333162178990545,-0.015090624108194985,0.007250536542842134,-0.059277951052655126,-0.024648096993661144,0.12196064745370636,-0.0037397586284410728,0.01518621549268036,0.04355042879993187,-0.02098273011685172,,-0.012835019677124295,-0.016383710301204613,-0.02861028062663507,,-0.03688193325100943,-0.02332563950113719,0.09008366534761537,0.010069229056483131,-0.02940839922901635,0.020118235415503827,0.09808373593914833,0.049939115681210754
PTMA,0.08277647416483828,-0.05446820252060236,-0.0010747758696265752,0.025955719245260026,0.22843302387481565,-0.022785614681679164,0.03711524351975,0.31683169435200303,0.08770818338803148,0.018784261672764986,0.030094893701075483,0.22615399631037825,0.016835783417623446,0.04657865736614291,0.024802453961118087,-0.07338048458575638,-0.04619898597453179,-0.029670075029407217,0.02979187660185509,0.1568945657297765,-0.09625998716721165,0.07619209029213306,-0.013865522524471737,0.03804802153008453
FASLG,0.1182129093837311,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.07508872318639156,,-0.016594629946629653,-0.027625915752004584,,-0.028461485526813518,0.008796322055474225,,-0.0470590020408018,-0.00027011217733912134,,,,,,-0.08796724687734209,0.08831605398075681,0.1685463828886749,-0.02257976590270064,0.015437697115233772,0.018445236201049695,,,
PDAP1,-0.008536544959942338,0.013334061016441748,0.11768729142623706,-0.06523359972985388,0.008678307474421516,0.016862464389838145,-0.023661675688859587,0.15407447397054913,-0.08925400859642428,0.021056970062233404,-0.012989281879528922,-0.0170190866986166,-0.04150121508303453,0.038212420788570546,-0.07014364684870789,0.09122057748614831,0.03725318082480503,-0.07798639357854556,-0.11567663480340279,-0.015825505608583076,-0.03429962837842653,0.011013939237232062,0.010112800550296428,-0.004873053672035178
QDPR,0.15423946100553393,0.04793131320572099,0.020674648744994247,0.0611521875463517,0.1192451728559656,0.019685852289731718,0.08861787642128845,-0.07261571452055617,0.08577987443132694,0.04157312875289406,0.05797701855553553,0.1740344913364814,0.03899266070146811,0.06053663546391405,-0.025216592588292477,-0.008242376818243196,-0.06316862312184773,0.06605274571471499,0.044231432384579016,0.06676242302109402,0.04428902982421033,0.12283975162870713,0.13290987294181303,0.15077658743850098
POMC,0.013858878088628882,0.008611966817517053,-0.037732394065558554,0.005295437599540472,,0.020603013130908353,0.008298050976727166,-0.007239858161799662,-0.030639846792247002,0.03521098305118985,-0.0015222349530565483,-0.008568937851898576,0.005959441189477956,0.016836524565320886,0.005500237833371449,0.008286369708571833,-0.0829214249950672,0.10153091981456917,-0.016182412538137497,0.08362027350852697,-0.03193016370514411,,0.07337252733558411,0.018455769243270564
CCL18,,-0.024560109263786885,-0.025241809412585713,,,,,,,,,0.04673200791398845,0.042369189517751,,,,-0.018461633281023425,-0.05215489870453921,0.0027537436884150076,,-0.025382656969927586,,,
CCL17,,,,,,-0.01649662903498881,,,,-0.015750529125205838,-0.025970737838775335,,,0.024658030330455202,,,,-0.02564229687696817,-0.04970164470109151,0.07545684260363426,,,,
VEGFD,,-0.04414340533916566,-0.025923018571379155,0.038294522719902586,,-0.018379066463110594,-0.024433125055508254,,-0.04674938469723481,-0.03512987703503617,-0.019049850279926065,-0.005501773122908307,-0.017197397864358695,-0.01029973358909114,,-0.08014522696880133,,,0.10040916267760679,0.026805106233534604,,,,
TNFSF13,,,-0.013500232916349924,,,0.039203776647571444,,0.019349063978406314,,,,,,,,,,-0.03991848145012439,0.012439622239275874,-0.02645777535750346,-0.02191828429682946,,0.0009527788682194776,
WNT5A,-0.05508277375471717,0.06118949001147064,0.026813255324614236,0.018996495184930115,0.11523500143229826,-0.03204037203198404,0.2358709198936822,0.20644771530019562,-0.06156096432001768,-0.012026993664968656,-0.014502140731339727,0.011504179776129045,0.010787183856471722,-0.016595851862022056,-0.049127618092251586,0.0643303640908512,0.05911931794285923,-0.03169801276709327,0.01742482462329534,-0.02417991586987965,-0.012548032895141671,0.07329355578670065,0.01741503462150635,0.16100802372063452
CXCL8,,-0.09122970451222351,-0.0667128858065836,-0.005625415672979824,-0.14190882654399994,-0.035693297417286614,-0.26723965922847587,0.02776243665767777,-0.050452384737364755,0.009037673954101565,-0.01774004889569488,0.06303568013289595,0.004900770847177102,-0.004198786984416084,,-0.12522642278203508,-0.04654282743783937,-0.06327052133160098,-0.15728161733859142,-0.044443234180356034,-0.03487054638317404,-0.03151231984409819,-0.08911358117084323,-0.11336254709582369
GRN,-0.02044066267716836,-0.04125190241417018,-0.030606804249060787,-0.06770480135514519,0.1054264272528075,0.005086421576373377,0.0046202379701033676,0.10354836025920312,-0.01994475488217485,0.012035085939521004,0.004535825465955126,0.08983422463711739,-0.08138715087412633,0.0023008160365560323,-0.05147798573680615,-0.009666343682093159,-0.015208409512587987,-0.036686842620721555,-0.046281904389061546,-0.08959503563828067,-0.054957722527459084,0.06848416679598626,0.03685523217727583,-0.007467772888327039
MIA,0.050970246322910986,0.07773852049545245,-0.023978214757227258,-0.038681407945423164,-0.017261030308461305,-0.03473636636931733,-0.09259588067241845,0.027107056031370074,-0.012153688426191642,0.013355984488706982,0.03141621477195076,,-0.006584009615954231,0.01757887599241188,-0.044307368582685,0.05291433353560698,0.022123343100999372,0.15850523880633693,0.1871211900371166,-0.00608769643535392,-0.14502086508011489,,-0.034522974865627803,
COL4A4,0.1418704511429467,-0.005194147924419118,0.044526871484482144,0.05540152983543455,-0.03694559311454267,0.0003704708071742201,0.194065383413624,0.0599888099151102,-0.016978094945670756,0.026480576691849306,0.0030881612200418084,,,0.030425937758341924,,-0.031358017929820785,0.043050237308247946,0.2519803124493726,0.018467254163352168,0.03760277663892074,-0.028936831514020194,,-0.042158764506924164,
TAC1,-0.03610148744286793,-0.03277837543706962,-0.017534546346950838,0.08574034684673287,0.10933920114201658,0.043679506068506124,0.07393606550097753,-0.15325020518249505,0.05489312803021897,0.021677451660400995,-0.01488516845080029,-0.14966514407015602,,-0.05235927366483606,,,,,,,0.07013058527483156,0.03601397974236967,0.05892084287873469,0.03761481662605947
RARRES2,-0.06944049318349962,0.06017950929307806,-0.01690227643470479,0.011478850637007649,-0.11918587294488163,-0.01827221443163593,-0.20630247696288034,0.08519693919082832,-0.06724908930852165,0.04264145566165182,-0.05492865357623609,0.10317922893400015,-0.04868723688338518,0.03358056407527804,-0.03413218677768421,-0.07773624907097923,0.014858141707890227,-0.01586067216840914,-0.05939154339339362,0.039627285427250546,-0.01610382715282627,0.01981390291065837,-0.04461325714053817,0.07172065539559093
FGF7,0.03568500482386116,0.006329398576393455,,-0.03304964548037567,0.04898145654099821,-0.01955580952001946,-0.014121448402527848,0.06417601076486946,0.00669592336750629,0.02105666563764439,0.011075463054616692,-0.02681155766048234,-0.02650097932050432,-0.03723664410538751,-0.017790676338131535,0.009062183481821189,-0.022999365695079165,-0.07622639105964979,0.04924695412589826,0.04244324137318802,-0.08462535321401521,0.07806359821366646,0.01687760127048048,0.006349278502929241
EFNA2,,,,,,,,,,,,,,,,,,,-0.03272326481007509,,,,,
HBEGF,0.036932839893937836,0.03239857017163496,-0.0808137734016587,-0.07207407266638881,-0.052073496659493554,0.01227647051002226,-0.07327667860264135,0.15409948779991756,-0.027157626982240564,-0.08690693681942395,-0.042654646362722856,0.051591979582564874,-0.02485366406923792,0.04025263564955619,0.04475116435976044,0.0036690706811487368,0.0010680530137709358,-0.01875967298813331,-0.0098915429535932,-0.013794942270206384,-0.02299271173220142,-0.017475515963480143,-0.036268533701257995,0.014154197678232823
CSF3,,-0.030496524641069545,,,-0.07886744178263846,-0.01966254341851501,-0.17432029407939167,,-0.03160181043903529,,,,-0.025836102058385674,,,,,-0.04577660861985355,-0.09284725825924507,,-0.0011526420584139874,-0.07185965396273937,0.04936448978626697,
PI3,,-0.00554839781881907,-0.03724588016652332,,-0.04446009478348955,-0.03393161363376686,-0.19380974470931514,,-0.0460306929405797,,,,,,,,,-0.09314916812734829,-0.1947481935892613,-0.037381997859245335,-0.08082646068626391,,-0.02638038329127624,
