,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,0.05726599576835551,,,,,,,,-0.016113793936627003,,
BMP1,-0.0393699268156626,0.061833887586838596,0.012797523610826186,-0.016336381682882206,0.0004827623653222264,0.12055729804803986,0.03305372139525304,0.015210056006824506,0.07548781995741169,-0.013673722874983968,0.08018870053516335,0.07852628548806577,0.03996556851686891,0.0814453655274548,-0.035088682263096777,0.00963787696984507
NDP,0.08755551590536167,0.053353824127303655,-0.04550251219564924,-0.00685049310238439,-0.05757300489431994,0.04189946545132468,0.029066552190574392,-0.022041867338891373,-0.037285028350215216,-0.02512909178626751,-0.009298661138408248,0.04224823615971464,0.04385067326032,0.01114771885655615,-0.04976655198239107,0.006917103569065778
TNFSF18,0.06680841348087894,0.08207188138336234,,,,0.03788028131342986,-0.01710308200283143,,,0.07315877275968345,,,,-0.016617871261677568,,-0.028252163138689057
IL36G,,,,,,,,-0.0003349142886870447,,,,,,,,
RTN4,-0.07239156862941155,0.024174448190234284,-0.05084710022212655,-0.02592284120815599,0.03168119716395198,-0.16622726884749708,0.014617029213804264,-0.029531468172270054,-0.022997759035480354,0.020861693921478772,-0.0406816783497608,-0.07693771101694968,-0.04738738901098623,-0.07007724583312344,-0.012735100888568794,0.040629490698076705
HEBP1,0.04146285520412299,0.02806036030533617,-0.013626891922743797,0.0006640909558917551,0.010227934325379481,0.061438646022881294,-0.0015604040630931492,0.004170761460275476,0.055613952616563454,0.024736968837152446,0.06436368776622024,0.04716011323003651,-0.04042084566050284,0.010113329194878451,0.05703241132280988,-0.009496015944623612
WNT7B,-0.05847134677992228,-0.006830469201724204,0.002910074038978979,-0.007533785839644301,0.013592922263462653,-0.04382774192085734,-0.03099741054727064,-0.020538444243260116,-0.00968501665435844,,-0.036933229709766466,0.024302990847423,0.004049324442521699,0.08540326511713943,0.08283376151017623,0.010829106448032743
PTMA,-0.07012573529289619,0.01122253362475617,0.033111138643701896,-0.007244994034849239,-0.010718300615916599,-0.08940588180047516,-0.016502825769132794,0.045294255934058794,-0.051031001450597295,-0.022846587908049353,-0.03494625819034723,-0.08243042583404468,-0.033498889320169256,-0.07053549817233926,0.07199190052355177,0.07409568698191339
CEACAM1,,0.011675463583809964,,0.056463157882426875,-0.01734562382493493,0.06363282551673816,-0.026899073454175988,,0.016172691625635876,0.035354675839614116,0.05568239719109147,0.09079278613793372,-0.02160667382559488,-0.023878146073788763,-0.019932165357417965,
PDAP1,0.03548751827237867,0.01533608799924436,0.028383939702229126,0.022251787049837206,0.04365804297934725,0.11721560046115442,-0.02033551035229057,0.02413640052786898,-0.00834727298993432,-0.10068491791176257,-0.0031530481342099256,-0.0455100002958035,-0.03609942623292303,0.05156576379762912,-0.001736677656863957,-0.027774997543016797
QDPR,-0.0013340574218727406,-0.06295532742575652,0.06430904994959964,-0.010235623348897056,0.017156344460717062,-0.17414965598458093,0.024305214528644613,0.0180613026922951,0.0012862532262127703,0.02310727896631884,-0.0748606509970552,0.0046328684766607404,0.09639007316245288,-0.019614815568342606,0.0029291243254637098,-0.037508704242031635
POMC,7.93061969849749e-05,-0.007126654136238403,,-0.011909516608253802,-0.03490349689246259,0.01395746410678286,0.007843979510244552,0.00547323434439736,0.1211642866070674,0.06794606289714047,0.010325162599813774,0.09027235863252413,0.09864779226401954,-0.04192867448580473,-0.03260640412324588,0.03525761970017874
CCL18,-0.033596619677582415,-0.02658320448514736,,,,,,,-0.034616365812856716,,-0.02348426377411781,0.028621891258023828,0.08553661836866491,,0.010076082241379517,
CCL17,,,,0.009235759057372978,,,0.05662514962098336,-0.017070504707552378,,,,-0.0210933228635488,0.06556245399935215,0.027510865768834783,,
VEGFD,0.009021196772982949,-0.013342398448106791,,0.02079131471011811,-0.016595310798418045,0.06210000541793801,0.08774661085874833,-0.01829498862557486,-0.010846625150185911,0.009965687480457359,,,-0.0030968755413195016,-0.022407030061232132,,
TNFSF13,,0.030624791623600617,,-0.017827769755480425,,,,,,,,0.0245469839059488,-0.03390310509026154,0.0662664442967629,0.11444623255078244,0.03392324482251104
WNT5A,0.009912606248354093,-0.0011387115300894835,-0.03653089886455153,-0.07183572960811296,0.0433309771603229,0.12669340719123925,-0.01642774370614464,-0.01087684009922252,0.012375632972735846,-0.048273413626078024,0.09652473485250641,0.009688509369744911,0.020110689998667365,0.03972520966978664,-0.025664675413238212,0.08488720540184622
CXCL8,-0.10629355471132965,-0.047519262576893234,-0.06691626266566077,0.08649473340050386,0.008949949183279444,0.09646204485049145,-0.028586655837297473,-0.0202698765010291,0.010727862593036814,0.0044741530515589,-0.041347743812752885,-0.032776506857657525,-0.014692779289591257,-0.030163420111984935,-0.007989784241583303,-0.013491518609606816
GRN,0.0719188630843281,0.08972658090479578,-0.012169278876038815,-0.05115283898761038,0.0067522859415742225,0.11637937581298768,0.04506634144721769,0.059759282629810055,0.01408765536780022,-0.0961268457710245,0.11625102042556985,0.0706404036616639,-0.007452483152070019,0.06010321567592255,-0.007013459080394931,0.10056307150056622
