,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07149545277303318,,,,,,,-0.018439175607003703,,-0.011603380798346429,
BMP1,0.04530394890121566,0.040140657262959276,-0.045767433223623165,-0.01801160903448123,0.0001864990348831816,-0.07991423883265658,0.008323914331172638,0.07396619686422318,0.017184049614273823,0.0393646563233674,0.04473751368817844,-0.045209577905237136,-0.007314439305201027,-0.006971107219476821,0.011643426255120904,-0.03365360935485814,0.057147647845432206,0.04721224853501062
NDP,-0.005262126404626422,0.050043889235809776,0.05927326226898219,0.030520118558094767,-0.029584802116478147,-0.0563583285375643,0.02134209602875106,0.04606236514042918,-0.0017467284948175146,0.035628621183710664,-0.07741802467464086,0.02461694411357403,0.0408023475372935,-0.04177417373396623,0.003063836797480538,-0.042878208204619024,0.11044948214325569,0.04480941957892632
TNFSF18,-0.013557791552059523,0.05274984364283451,-0.014172383185023589,,,,-0.025360083131062423,0.03483405681462731,0.022324332557575016,,,,,,-0.019015996332940183,,0.05441517474837167,0.024779095309505422
IL36G,,,,,,,,,,0.11479915971649794,,,,,,,,
RTN4,0.007561522252085363,-0.02375978280411051,-0.0635558566661136,-0.03868828263614091,-0.004517031473237487,-0.08298979022066667,0.013408447078821405,-0.11518148142673489,-0.0064288311145263835,-0.08858721480953696,-0.10249419862124455,-0.006148637039717794,-0.03018648732051021,-0.02600131569008395,-0.020640730617959263,0.0628100012201567,0.0014645985915247306,-0.10778781800815238
HEBP1,0.14111328702951,0.009672611336288295,0.029002515231927532,0.029642625030972862,0.010442500742404964,-0.008737212154437641,0.011627652686010317,0.0744545965250235,0.020070321776141615,0.03771324189970842,-0.082939697414974,-0.02097019267291745,0.026209913325355348,0.0049514640478445435,0.005118523881142823,-0.03498424060078862,-0.007117280261227147,0.047625807371904874
WNT7B,-0.06709063720356732,-0.03994858783596442,-0.03300454530184744,0.10196420192727687,0.0481297443701627,-0.053846106452181505,-0.002276102587580738,-0.022969597841956863,0.07640365153153422,-0.02257640162598707,0.028235416266953414,-0.02950954302376149,-0.01225531892045739,-0.024732381670117137,0.01341930568227962,-0.032028999811315115,0.005827209848918597,0.036122971904420785
PTMA,0.04593198614675062,0.052302101496224454,0.05696885620333358,-0.022683447295159077,-0.001339418929273967,0.09665068271475652,0.0664830476719404,-0.11976965093268441,0.015940181705553818,0.12035836628007573,-0.008052673791791573,0.062009906657333774,-0.07422523173643193,0.03786827743668449,-0.049349257219112715,-0.0357096864530297,-0.07663117443343595,0.03686874639649268
FASLG,,,,,,,,,,,,,,,,,0.12112568124568365,
