,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.031171284401360976,,,,,,,,,0.08599603795550623,
BMP1,0.022167154592789257,0.11652134173898275,0.12854028641608856,0.06266804796535069,0.1869608074769835,0.008212767733363466,0.06857529373325313,0.13466636738820342,0.004101845403427501,0.00701740173031087,-0.20435664050875516,0.05857735050568812,0.10210904319673185,0.0294079722988189,0.02497753150200134,-0.03846249266026991,0.10302163080897278,0.09585407560588242
NDP,0.045071970021576854,0.19319736963180686,0.016105619926986166,0.030843922612568516,0.1610915373370786,0.0684622243029336,-0.0020319078807364056,-0.007271248515232776,-0.01948660177858279,0.010654236085556082,0.09530224960990688,0.06729157925346295,0.08896666231985355,-0.02012273855047928,0.013178515201854075,0.0192241483484947,0.10676787336759477,0.003716724338906925
TNFSF18,0.14397612854953581,0.06389496463790877,-0.010891951178938299,-0.03119441666921785,,,0.007414112081154647,0.052252738645415846,0.024523699895308188,,,0.014125947423947634,,,,,0.016516708424576948,0.08931106304723382
RTN4,0.08984236771303301,-0.04535638070358606,0.061401594231419075,-0.032590299982543494,0.05989852589606087,0.0580994966795837,-0.1685904054322333,-0.19335398338249118,0.017172236946023673,-0.055915351691025905,-0.026797994800999488,-0.1135459439922098,-0.10511898221458083,0.03220992691074024,-0.10448303876732383,-0.02597037053137351,-0.023265432782510455,-0.05049649981366163
HEBP1,0.05497084732589303,-0.022734499781574075,-0.02809828911270504,0.017107184548254467,0.014428155877691102,-0.030005354376463584,0.03761753816260881,0.0900622425019334,0.017069548614571207,0.01912911939556115,-0.1591466091676569,-0.14679452250805008,0.015083291352626553,-0.005848723615054418,0.05722156998806218,0.059650881293990286,0.10081328692857455,-0.0004402442220072828
WNT7B,0.10947646159414669,0.11068167062249555,0.053676166129540515,0.0434309323897406,0.05342222408557775,0.045964106466595794,-0.04248951514486124,-0.041253547951469786,-0.06407322160289133,-0.057534125275317816,-0.11996324234721424,,-0.05627245209828122,-0.018778690262507145,0.002345239319292987,0.04067268245501082,-0.04554880301242196,0.0008524654492002012
PTMA,0.15464694896204595,-0.24331583346779878,0.04350885743871271,0.03126597978242524,0.07303593854712208,-0.03819692049796379,0.242771391044497,-0.10672665860396939,-0.13228545832005453,0.0029964272988898875,-0.07205638465807897,-0.002954908156659996,-0.05655105541036537,-0.09200181777414955,-0.04088296347141179,-0.004271887508383513,0.013242484271972766,0.0406248317960948
FASLG,-0.013966985957209481,,,,,,,,,,,,,,,,0.0008225578215206736,
CEACAM1,0.052470388799824026,,0.030430975509121484,-0.0468642646243966,,0.06630329506079445,,0.045893661523108274,0.044234693784959596,,,-0.0301963351063055,-0.014563188707308019,-0.018212107670532888,0.04369912671693368,-0.025968425763884077,-0.008199688004906834,
PDAP1,-0.018514295226497415,0.06601390948970731,0.07578892513897931,0.02866373742056349,-0.014722620953999717,0.026057158437250604,0.11794726921255962,0.13230162719931024,0.04394838081544562,-0.009979660291404796,0.11016875134946366,0.04606808117286807,0.03765616265015367,0.008027061178163921,-0.04067926845105465,-0.013761820913606055,-0.029992280927057875,0.041688913057838235
QDPR,0.24703479525274674,0.13428962551910448,0.031893264428189204,-0.06353100502985205,0.1152134941696175,-0.0025520056421212455,-0.08946267275649067,-0.1870444736338172,0.02435761790155435,-0.0470238523941668,-0.003636994713853867,0.045273302877964376,-0.1546943085106397,0.009307207784894946,0.013787557563762706,-0.03328238358358204,0.06434458487515521,-0.06542632327608722
POMC,-0.02265436260803269,0.09025348342536217,0.028659260886353104,-0.0025226658174967503,,-0.0428069497271142,-0.026103681766628768,0.009296187303205425,-0.02157919848258602,-0.011368016595232195,0.039809482934329905,0.01048977004649532,0.06939732705512208,0.008973548135803625,0.08256313330812487,0.012739899252040481,0.04117963524167536,0.022516364422463523
CCL18,,0.0073524938340042145,-0.10382818069907854,,,,,,,,0.05295453987755176,,-0.0428435842070492,0.04790216618721335,0.029738028530858846,0.12736976132700698,,
CCL17,,,,,,-0.05641634269640875,,,-0.004841232286555055,0.01768587680756256,,,,-0.01292060890145375,-0.022326469912591514,,0.05099955468191612,
VEGFD,,-0.025413534181564827,0.017124380751129962,-0.020317340787566324,,0.03892484538680045,,-0.011325525462301467,-0.016004313682315034,0.007194480245948372,0.059552331196089166,-0.0541855067532469,,,-0.007421191716003816,,,
TNFSF13,,,-0.0037865214900286294,,,0.04186591315610431,-0.0074316791517039715,,,,,,,0.026452396373266723,-0.01629184784994458,-0.02916080166311063,0.009510479179093841,-0.00970110902850596
WNT5A,-0.07027308539572999,0.10156579347139368,0.033124293203072856,0.04344144751882816,0.08672880689408058,0.0517766858830561,0.11654711436362575,0.15373154778122583,0.07129122185238168,0.06708551345983402,0.020054614048744448,0.10147228076267731,0.02392478607589359,-0.02041751615542319,-0.031519622150584646,-0.004950467968150267,0.056650856911714814,0.059473380792795044
CXCL8,,-0.2294748214215662,-0.10173381847155344,-0.037105301388210755,-0.1240906847008847,-0.0176966235917107,0.12075304751255542,0.1148745722444142,0.015156372953018905,0.00614062706136392,0.08556323505676879,0.04198078915376323,-0.010191358930894673,-0.005727301074422148,0.0378242764710064,0.0372657344934903,-0.008966472271341973,0.028980148430286456
GRN,0.04606764032674856,0.07048423963939468,0.10511114652434811,-0.004127433974551414,0.13071850255301226,0.04794791381217465,0.0594027726901163,0.12994563127270523,0.061731719019193415,0.008741324499489223,-0.030882205872275133,0.05658159557638819,0.053078023847893646,0.09211923179398367,0.007906194849716362,-0.053160635752193375,0.024981248952055224,0.1414202874361424
MIA,0.10636600767178178,0.02806543341525498,0.00654838393178849,0.09512903589520218,0.0005477620866338337,0.006750973834809597,0.04226118429832192,0.0531020879985594,0.04814431919140198,-0.03093365305481243,0.04793599073929073,-0.008977522879616956,0.004185521318319322,0.042429469057369835,0.09408980891658798,-0.09088861112721128,0.07907111347605252,0.06353943190148893
COL4A4,0.005121981961498626,0.09823276071275734,-0.04896883082964113,0.014255794896823756,-0.026959182369389954,-0.021786406233914497,-0.022021439169192775,0.06097147114233405,0.039678905311620855,-0.010064986427382946,,0.08060152679811801,0.001057963906030952,-0.008295555956990566,0.004391152790161873,-0.052335353432902965,-0.028682592919828234,-0.002436198415788801
TAC1,-0.029743622732165895,0.05665593618612533,0.14194854058008363,-0.00978435920574591,0.17121649797744645,0.07251709934311944,-0.0951569836714849,-0.132983085446341,-0.024210881672854668,-0.030648767102724496,,,,,,0.030844527491474972,-0.04100753884645113,-0.07502484260709946
RARRES2,-0.14631193097414177,0.011889403428926663,-0.0840092421115232,0.0756230596635929,-0.05958311434753548,0.10032538993782372,0.030880069223225205,0.17217893644523874,-0.03398110893370266,0.01949196035281908,0.3803053252845296,-0.0990981580232709,0.044440434281177686,0.007765631736152938,0.014654547327021837,0.021872351255540014,-0.012919413127273878,-0.06790469752437756
FGF7,0.06876935967705458,0.052240972416016794,,-0.02200617698119093,-0.06857460465142444,0.010772549725509808,0.06545223163859547,0.04511593154781551,-0.005512987250324639,-0.031058867017120646,0.10317537008092396,0.033452172957214414,0.04371151333956774,0.014205684170230722,0.047237290558850814,-0.042423438839190475,0.12192501290738732,0.06108720974181338
EFNA2,,,,,,,,,,,,,,,-0.022897219069645085,,,
HBEGF,0.02864338400793563,0.11773231121669994,0.036138413663758646,0.02851013638735837,0.09056373143329804,0.05360613681761592,0.18409144479385617,0.11836771303401458,0.04089372053438566,-0.03474449974583475,0.08190186772033275,-0.006125570799220997,0.004350026975904454,0.012041465740785474,-0.0016138411083006221,-0.043661459999624425,-0.04355191026801387,0.11022205603039785
CSF3,,-0.04249712932497418,,,-0.06032716067487322,-0.040615806689708316,,0.010854247721876539,,,0.11809127672473727,,,-0.02420672393918409,0.04865910786362964,-0.03722928558484235,-0.008739822073666427,0.05050479574890804
PI3,,-0.10017920952873312,-0.10416143342646945,,-0.01138974440636765,-0.030322853872519658,,-0.02008164924055993,,,,,,-0.027623927637310162,0.03448214299297942,0.04231987311836114,-0.06682803568794023,0.025059690584290258
PCSK1N,-0.14447772875632833,0.15113622914078526,0.07129098297363175,-0.036709074452788454,0.09028984491015912,-0.026270074855803915,-0.09847552319228553,-0.030128351245118052,0.05104744506594543,-0.0831940521016288,-0.006049806017583974,0.03830951142750285,-0.005236387624265966,-0.014601058952999813,-0.011189254016584202,-0.05826193138645091,0.06724265411660642,-0.005286635300210952
NTS,,,,,,,-0.013014020827587581,0.018419923329058327,0.0185437826310515,0.03887018500167263,,,,-0.0301424355812733,-0.027895916381675743,0.03708091662687359,0.16291049330604082,
